	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	161	0.536415696144104	750	1.3204818964004517	161.0000	845.0000	750.0000	509.0000	56.0000	143.0000	489.0000	895.0000	356.0000	925.0000	0.5364	0.2877	0.1185	0.0066	0.0056	0.0051	0.0051	0.0040	0.0028	0.0020	2	0	
1	845	0.5167940855026245	750	1.657822608947754	845.0000	161.0000	750.0000	895.0000	509.0000	56.0000	143.0000	148.0000	338.0000	489.0000	0.5168	0.2658	0.0798	0.0176	0.0125	0.0109	0.0109	0.0077	0.0072	0.0063	2	0	
2	845	0.6038157343864441	750	1.7862071990966797	845.0000	161.0000	489.0000	509.0000	864.0000	54.0000	96.0000	338.0000	750.0000	255.0000	0.6038	0.1459	0.0502	0.0489	0.0176	0.0168	0.0125	0.0094	0.0091	0.0060	8	0	
3	161	0.9437304735183716	750	0.3333289325237274	161.0000	845.0000	895.0000	56.0000	750.0000	35.0000	2.0000	227.0000	484.0000	143.0000	0.9437	0.0190	0.0163	0.0073	0.0033	0.0026	0.0009	0.0007	0.0007	0.0005	4	1	
4	161	0.9965732097625732	750	0.030076006427407265	161.0000	845.0000	56.0000	895.0000	750.0000	337.0000	509.0000	156.0000	35.0000	227.0000	0.9966	0.0015	0.0005	0.0004	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	4	1	
5	161	0.9590997695922852	750	0.238906592130661	161.0000	845.0000	717.0000	750.0000	35.0000	637.0000	790.0000	864.0000	54.0000	937.0000	0.9591	0.0282	0.0017	0.0015	0.0014	0.0009	0.0008	0.0008	0.0006	0.0005	3	1	
6	161	0.9814625978469849	750	0.12105393409729004	161.0000	750.0000	56.0000	845.0000	673.0000	148.0000	358.0000	143.0000	509.0000	156.0000	0.9815	0.0109	0.0045	0.0007	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	1	2	
7	161	0.9956111311912537	750	0.03220229223370552	161.0000	56.0000	750.0000	845.0000	169.0000	337.0000	156.0000	509.0000	673.0000	35.0000	0.9956	0.0028	0.0014	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2	2	
8	161	0.8244895935058594	750	0.9726343154907227	161.0000	54.0000	750.0000	3.0000	143.0000	56.0000	637.0000	96.0000	575.0000	822.0000	0.8245	0.0521	0.0351	0.0108	0.0108	0.0084	0.0075	0.0056	0.0029	0.0020	2	2	
9	161	0.9854506254196167	750	0.09864648431539536	161.0000	750.0000	56.0000	845.0000	637.0000	895.0000	35.0000	673.0000	509.0000	255.0000	0.9855	0.0079	0.0039	0.0009	0.0003	0.0003	0.0002	0.0002	0.0001	0.0001	1	3	
10	161	0.9886515736579895	750	0.07298186421394348	161.0000	56.0000	750.0000	895.0000	845.0000	864.0000	489.0000	35.0000	509.0000	255.0000	0.9887	0.0080	0.0027	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	2	3	
11	161	0.8922144174575806	750	0.6410844922065735	161.0000	56.0000	750.0000	637.0000	54.0000	717.0000	3.0000	390.0000	845.0000	715.0000	0.8922	0.0431	0.0173	0.0074	0.0046	0.0026	0.0023	0.0018	0.0015	0.0015	2	3	
12	161	0.9783784747123718	750	0.15542879700660706	161.0000	56.0000	35.0000	864.0000	750.0000	509.0000	279.0000	338.0000	18.0000	337.0000	0.9784	0.0068	0.0058	0.0017	0.0012	0.0009	0.0008	0.0008	0.0004	0.0004	4	4	
13	161	0.9960726499557495	750	0.03137339651584625	161.0000	56.0000	864.0000	338.0000	35.0000	750.0000	509.0000	18.0000	337.0000	279.0000	0.9961	0.0025	0.0004	0.0003	0.0003	0.0002	0.0001	0.0000	0.0000	0.0000	5	4	
14	161	0.9934358596801758	750	0.06340382993221283	161.0000	390.0000	56.0000	864.0000	750.0000	509.0000	302.0000	35.0000	3.0000	54.0000	0.9934	0.0006	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0003	4	4	
15	161	0.9552410840988159	750	0.23150566220283508	161.0000	845.0000	923.0000	750.0000	56.0000	255.0000	279.0000	8.0000	790.0000	319.0000	0.9552	0.0246	0.0156	0.0026	0.0009	0.0002	0.0001	0.0001	0.0001	0.0001	3	5	
16	161	0.9918067455291748	750	0.06192232668399811	161.0000	845.0000	923.0000	56.0000	750.0000	926.0000	255.0000	227.0000	319.0000	337.0000	0.9918	0.0027	0.0027	0.0009	0.0008	0.0005	0.0002	0.0001	0.0001	0.0000	4	5	
17	161	0.9404198527336121	750	0.3907923698425293	161.0000	637.0000	54.0000	356.0000	56.0000	750.0000	790.0000	845.0000	715.0000	717.0000	0.9404	0.0185	0.0095	0.0038	0.0031	0.0030	0.0030	0.0027	0.0022	0.0020	5	5	
