	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	226	0.08059923350811005	751	5.151546955108643	226.0000	191.0000	277.0000	4.0000	483.0000	621.0000	282.0000	169.0000	141.0000	49.0000	0.0806	0.0414	0.0371	0.0284	0.0262	0.0242	0.0242	0.0209	0.0197	0.0193	536	0	
1	340	0.8142094016075134	751	0.783737301826477	340.0000	453.0000	8.0000	558.0000	441.0000	560.0000	517.0000	4.0000	282.0000	538.0000	0.8142	0.0908	0.0643	0.0084	0.0024	0.0017	0.0016	0.0011	0.0010	0.0009	444	0	
2	4	0.21963812410831451	751	4.311497211456299	4.0000	228.0000	509.0000	484.0000	279.0000	8.0000	626.0000	589.0000	319.0000	226.0000	0.2196	0.0823	0.0597	0.0412	0.0375	0.0286	0.0246	0.0214	0.0198	0.0185	267	1	
3	340	0.6049973964691162	751	1.5569233894348145	340.0000	8.0000	4.0000	441.0000	338.0000	453.0000	558.0000	226.0000	319.0000	830.0000	0.6050	0.1156	0.0944	0.0664	0.0267	0.0132	0.0124	0.0099	0.0094	0.0087	229	1	
4	4	0.23527561128139496	751	3.0407862663269043	4.0000	484.0000	319.0000	228.0000	730.0000	923.0000	340.0000	8.0000	279.0000	460.0000	0.2353	0.1460	0.1421	0.0894	0.0550	0.0406	0.0301	0.0213	0.0160	0.0158	107	2	
5	8	0.41786932945251465	751	1.6331465244293213	8.0000	340.0000	453.0000	4.0000	319.0000	730.0000	441.0000	830.0000	558.0000	923.0000	0.4179	0.2330	0.1447	0.0831	0.0507	0.0469	0.0095	0.0028	0.0024	0.0013	138	2	
6	340	0.8066537976264954	751	1.096752643585205	340.0000	228.0000	484.0000	626.0000	282.0000	8.0000	319.0000	485.0000	4.0000	864.0000	0.8067	0.0449	0.0380	0.0180	0.0108	0.0103	0.0090	0.0064	0.0054	0.0047	53	3	
7	340	0.8845263123512268	751	0.4330466091632843	340.0000	8.0000	453.0000	319.0000	4.0000	626.0000	484.0000	528.0000	517.0000	282.0000	0.8845	0.1013	0.0052	0.0036	0.0015	0.0007	0.0005	0.0003	0.0003	0.0002	55	3	
8	484	0.41597816348075867	751	1.5751264095306396	484.0000	228.0000	319.0000	626.0000	282.0000	340.0000	4.0000	830.0000	279.0000	441.0000	0.4160	0.3277	0.1107	0.0563	0.0389	0.0061	0.0059	0.0056	0.0044	0.0037	109	4	
9	340	0.7822003364562988	751	0.8300654888153076	340.0000	319.0000	8.0000	484.0000	4.0000	830.0000	441.0000	583.0000	453.0000	626.0000	0.7822	0.1047	0.0716	0.0193	0.0061	0.0041	0.0033	0.0020	0.0016	0.0016	84	4	
10	282	0.2556356191635132	751	2.4766345024108887	282.0000	228.0000	255.0000	484.0000	319.0000	626.0000	8.0000	227.0000	161.0000	845.0000	0.2556	0.1870	0.1568	0.1402	0.0667	0.0209	0.0203	0.0159	0.0097	0.0091	151	5	
11	340	0.8688880205154419	751	0.5612187385559082	340.0000	453.0000	8.0000	319.0000	4.0000	441.0000	626.0000	924.0000	442.0000	282.0000	0.8689	0.0834	0.0174	0.0111	0.0058	0.0054	0.0045	0.0014	0.0004	0.0003	112	5	
12	340	0.39798611402511597	751	1.7290968894958496	340.0000	319.0000	441.0000	282.0000	228.0000	845.0000	484.0000	453.0000	932.0000	517.0000	0.3980	0.2180	0.1694	0.0834	0.0471	0.0355	0.0174	0.0122	0.0045	0.0022	95	6	
13	340	0.979397714138031	751	0.12981873750686646	340.0000	8.0000	441.0000	453.0000	319.0000	4.0000	830.0000	520.0000	811.0000	517.0000	0.9794	0.0069	0.0051	0.0046	0.0038	0.0001	0.0000	0.0000	0.0000	0.0000	86	6	
14	228	0.9187277555465698	751	0.5163373947143555	228.0000	319.0000	282.0000	845.0000	625.0000	8.0000	932.0000	662.0000	340.0000	453.0000	0.9187	0.0293	0.0080	0.0052	0.0051	0.0041	0.0021	0.0021	0.0018	0.0018	130	7	
15	340	0.3219367265701294	751	1.7090480327606201	340.0000	8.0000	453.0000	319.0000	441.0000	4.0000	282.0000	923.0000	558.0000	730.0000	0.3219	0.3179	0.1693	0.1060	0.0356	0.0068	0.0063	0.0055	0.0033	0.0030	87	7	
16	282	0.5338974595069885	751	1.4050794839859009	282.0000	228.0000	484.0000	4.0000	340.0000	626.0000	754.0000	460.0000	319.0000	8.0000	0.5339	0.2605	0.0980	0.0385	0.0280	0.0078	0.0066	0.0047	0.0046	0.0021	216	8	
17	340	0.9937441945075989	751	0.04111875593662262	340.0000	8.0000	319.0000	4.0000	453.0000	626.0000	517.0000	651.0000	730.0000	558.0000	0.9937	0.0056	0.0004	0.0001	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	134	8	
18	228	0.9103854894638062	751	0.4656672775745392	228.0000	484.0000	4.0000	8.0000	486.0000	282.0000	460.0000	319.0000	923.0000	227.0000	0.9104	0.0465	0.0132	0.0082	0.0060	0.0035	0.0022	0.0021	0.0013	0.0010	236	9	
19	340	0.4832850694656372	751	0.9486479163169861	340.0000	8.0000	319.0000	4.0000	923.0000	830.0000	453.0000	730.0000	441.0000	932.0000	0.4833	0.4634	0.0274	0.0092	0.0092	0.0017	0.0013	0.0012	0.0008	0.0005	105	9	
20	228	0.8134934902191162	751	0.9239758253097534	228.0000	484.0000	460.0000	626.0000	625.0000	8.0000	319.0000	282.0000	845.0000	754.0000	0.8135	0.0734	0.0336	0.0182	0.0114	0.0068	0.0049	0.0043	0.0038	0.0036	129	10	
21	340	0.9471959471702576	751	0.3156963586807251	340.0000	8.0000	484.0000	830.0000	319.0000	441.0000	932.0000	811.0000	4.0000	226.0000	0.9472	0.0219	0.0092	0.0088	0.0038	0.0012	0.0009	0.0008	0.0008	0.0005	107	10	
22	4	0.4092012643814087	751	1.546159029006958	4.0000	484.0000	228.0000	626.0000	340.0000	485.0000	8.0000	662.0000	845.0000	460.0000	0.4092	0.3748	0.0910	0.0270	0.0232	0.0198	0.0110	0.0082	0.0073	0.0037	147	11	
23	340	0.7364205718040466	751	0.9465838074684143	340.0000	453.0000	8.0000	4.0000	830.0000	319.0000	441.0000	484.0000	932.0000	626.0000	0.7364	0.1342	0.0719	0.0317	0.0075	0.0045	0.0034	0.0032	0.0016	0.0015	113	11	
24	228	0.5447399616241455	751	1.449244499206543	228.0000	484.0000	4.0000	487.0000	453.0000	340.0000	8.0000	626.0000	486.0000	460.0000	0.5447	0.2065	0.1090	0.0715	0.0144	0.0144	0.0079	0.0073	0.0047	0.0037	181	12	
25	340	0.87265944480896	751	0.5519583225250244	340.0000	8.0000	453.0000	4.0000	319.0000	441.0000	484.0000	830.0000	730.0000	490.0000	0.8727	0.0530	0.0501	0.0150	0.0034	0.0018	0.0010	0.0006	0.0003	0.0003	142	12	
26	228	0.2589578926563263	751	2.225123405456543	228.0000	484.0000	4.0000	8.0000	460.0000	319.0000	730.0000	923.0000	340.0000	227.0000	0.2590	0.2495	0.2068	0.0677	0.0338	0.0312	0.0248	0.0212	0.0156	0.0152	159	13	
27	340	0.4768286347389221	751	1.4326622486114502	340.0000	453.0000	8.0000	4.0000	830.0000	319.0000	490.0000	558.0000	923.0000	583.0000	0.4768	0.2105	0.1574	0.1098	0.0209	0.0093	0.0080	0.0025	0.0009	0.0008	125	13	
28	282	0.6976950168609619	751	0.962300717830658	282.0000	484.0000	4.0000	228.0000	8.0000	626.0000	319.0000	460.0000	181.0000	485.0000	0.6977	0.1522	0.0755	0.0667	0.0059	0.0006	0.0003	0.0003	0.0001	0.0001	220	14	
29	340	0.9034473299980164	751	0.5106359124183655	340.0000	319.0000	8.0000	453.0000	6.0000	4.0000	228.0000	538.0000	517.0000	830.0000	0.9034	0.0316	0.0229	0.0136	0.0102	0.0046	0.0035	0.0020	0.0020	0.0015	167	14	
30	4	0.4121592044830322	751	1.811974287033081	4.0000	485.0000	228.0000	282.0000	484.0000	340.0000	583.0000	441.0000	142.0000	460.0000	0.4122	0.2037	0.1220	0.1121	0.0458	0.0415	0.0208	0.0095	0.0045	0.0041	148	15	
31	340	0.9983212351799011	751	0.015731409192085266	340.0000	453.0000	319.0000	4.0000	583.0000	490.0000	8.0000	651.0000	441.0000	485.0000	0.9983	0.0009	0.0002	0.0001	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	127	15	
32	228	0.8601495623588562	751	0.7088162899017334	228.0000	8.0000	4.0000	484.0000	282.0000	340.0000	923.0000	483.0000	460.0000	161.0000	0.8601	0.0545	0.0226	0.0205	0.0103	0.0055	0.0051	0.0038	0.0030	0.0025	133	16	
33	340	0.9965673685073853	751	0.02907891571521759	340.0000	8.0000	4.0000	490.0000	483.0000	453.0000	626.0000	319.0000	651.0000	830.0000	0.9966	0.0020	0.0003	0.0003	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	106	16	
34	845	0.16846802830696106	751	3.399290084838867	845.0000	923.0000	625.0000	228.0000	319.0000	340.0000	925.0000	703.0000	255.0000	662.0000	0.1685	0.1119	0.1115	0.1002	0.0940	0.0394	0.0288	0.0227	0.0226	0.0186	78	17	
35	340	0.9952060580253601	751	0.0344589501619339	340.0000	319.0000	453.0000	651.0000	8.0000	425.0000	583.0000	255.0000	517.0000	923.0000	0.9952	0.0040	0.0003	0.0002	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	116	17	
36	228	0.8757545948028564	751	0.7517985701560974	228.0000	845.0000	255.0000	340.0000	60.0000	8.0000	142.0000	282.0000	625.0000	486.0000	0.8758	0.0277	0.0161	0.0113	0.0104	0.0089	0.0080	0.0033	0.0033	0.0028	106	18	
37	340	0.9966160655021667	751	0.02955801971256733	340.0000	453.0000	8.0000	923.0000	319.0000	490.0000	830.0000	4.0000	226.0000	583.0000	0.9966	0.0014	0.0005	0.0005	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	80	18	
38	282	0.9957984089851379	751	0.03311549872159958	282.0000	228.0000	142.0000	74.0000	340.0000	803.0000	485.0000	489.0000	454.0000	486.0000	0.9958	0.0018	0.0017	0.0002	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	146	19	
39	340	0.9173984527587891	751	0.4552760124206543	340.0000	923.0000	282.0000	830.0000	142.0000	441.0000	8.0000	583.0000	319.0000	6.0000	0.9174	0.0237	0.0218	0.0129	0.0064	0.0057	0.0037	0.0016	0.0012	0.0010	177	19	
40	228	0.9900874495506287	751	0.06970550119876862	228.0000	282.0000	484.0000	8.0000	453.0000	625.0000	4.0000	489.0000	460.0000	155.0000	0.9901	0.0059	0.0024	0.0004	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	175	20	
41	340	0.30235061049461365	751	2.2315235137939453	340.0000	830.0000	4.0000	453.0000	8.0000	626.0000	489.0000	228.0000	583.0000	484.0000	0.3024	0.2174	0.0886	0.0786	0.0745	0.0668	0.0341	0.0334	0.0305	0.0116	148	20	
42	282	0.5908248424530029	751	0.8137813806533813	282.0000	228.0000	319.0000	484.0000	441.0000	923.0000	928.0000	626.0000	558.0000	4.0000	0.5908	0.3781	0.0256	0.0020	0.0010	0.0007	0.0004	0.0003	0.0002	0.0001	147	21	
43	626	0.3889112174510956	751	1.7057888507843018	626.0000	319.0000	340.0000	558.0000	453.0000	830.0000	583.0000	228.0000	6.0000	4.0000	0.3889	0.2410	0.2104	0.0348	0.0335	0.0263	0.0201	0.0086	0.0062	0.0052	140	21	
44	8	0.9616027474403381	751	0.22741487622261047	8.0000	228.0000	319.0000	484.0000	453.0000	282.0000	517.0000	4.0000	626.0000	486.0000	0.9616	0.0221	0.0066	0.0019	0.0016	0.0014	0.0008	0.0006	0.0005	0.0005	180	22	
45	340	0.7089528441429138	751	0.8043228387832642	340.0000	453.0000	8.0000	319.0000	517.0000	442.0000	483.0000	830.0000	651.0000	4.0000	0.7090	0.1756	0.1148	0.0003	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	186	22	
46	845	0.27009350061416626	751	2.5442123413085938	845.0000	484.0000	319.0000	441.0000	228.0000	486.0000	227.0000	340.0000	8.0000	583.0000	0.2701	0.1320	0.1248	0.0815	0.0785	0.0565	0.0537	0.0338	0.0331	0.0265	101	23	
47	340	0.9984294772148132	751	0.013875283300876617	340.0000	319.0000	453.0000	8.0000	583.0000	335.0000	558.0000	830.0000	923.0000	6.0000	0.9984	0.0007	0.0005	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	82	23	
48	228	0.4239055812358856	751	1.8151865005493164	228.0000	282.0000	626.0000	8.0000	453.0000	484.0000	441.0000	319.0000	830.0000	4.0000	0.4239	0.1792	0.1468	0.1054	0.0509	0.0216	0.0171	0.0088	0.0077	0.0059	129	24	
49	340	0.980780303478241	751	0.12388104200363159	340.0000	8.0000	453.0000	319.0000	441.0000	923.0000	483.0000	558.0000	651.0000	517.0000	0.9808	0.0074	0.0069	0.0028	0.0009	0.0003	0.0002	0.0002	0.0001	0.0001	103	24	
50	282	0.8553696870803833	751	0.5403109788894653	282.0000	228.0000	8.0000	319.0000	484.0000	453.0000	625.0000	227.0000	340.0000	485.0000	0.8554	0.1092	0.0255	0.0023	0.0015	0.0015	0.0011	0.0008	0.0007	0.0007	195	25	
51	340	0.9984139204025269	751	0.01453801617026329	340.0000	453.0000	583.0000	319.0000	6.0000	8.0000	282.0000	651.0000	830.0000	186.0000	0.9984	0.0007	0.0004	0.0002	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	166	25	
52	228	0.5898467898368835	751	1.8107948303222656	228.0000	8.0000	282.0000	489.0000	319.0000	845.0000	255.0000	625.0000	161.0000	441.0000	0.5898	0.1252	0.0581	0.0379	0.0253	0.0201	0.0172	0.0137	0.0131	0.0119	164	26	
53	340	0.9817407131195068	751	0.10515384376049042	340.0000	8.0000	453.0000	583.0000	319.0000	4.0000	651.0000	520.0000	441.0000	821.0000	0.9817	0.0122	0.0057	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	97	26	
54	228	0.7887213826179504	751	1.1012542247772217	228.0000	484.0000	8.0000	227.0000	161.0000	60.0000	845.0000	625.0000	441.0000	282.0000	0.7887	0.0851	0.0162	0.0144	0.0140	0.0112	0.0060	0.0057	0.0050	0.0041	194	27	
