	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	259	0.47302913665771484	753	2.2367191314697266	259.0000	485.0000	657.0000	487.0000	6.0000	246.0000	494.0000	489.0000	202.0000	484.0000	0.4730	0.0880	0.0857	0.0741	0.0723	0.0336	0.0232	0.0139	0.0138	0.0134	325	0	
1	243	0.19249965250492096	753	3.1922731399536133	243.0000	210.0000	6.0000	484.0000	489.0000	657.0000	259.0000	246.0000	637.0000	715.0000	0.1925	0.1562	0.1502	0.0751	0.0660	0.0611	0.0227	0.0212	0.0147	0.0092	371	0	
2	6	0.18709313869476318	753	3.108657121658325	6.0000	243.0000	210.0000	657.0000	489.0000	484.0000	259.0000	246.0000	487.0000	637.0000	0.1871	0.1847	0.1412	0.0718	0.0710	0.0651	0.0245	0.0205	0.0097	0.0097	377	0	
3	259	0.47444596886634827	753	2.153576374053955	259.0000	485.0000	6.0000	487.0000	657.0000	246.0000	494.0000	484.0000	489.0000	210.0000	0.4744	0.1017	0.0944	0.0814	0.0673	0.0248	0.0228	0.0173	0.0135	0.0120	333	0	
4	484	0.462877482175827	753	2.9565298557281494	484.0000	487.0000	202.0000	845.0000	321.0000	210.0000	666.0000	67.0000	485.0000	864.0000	0.4629	0.0624	0.0293	0.0269	0.0246	0.0214	0.0159	0.0158	0.0157	0.0150	46	1	
5	912	0.09803730994462967	753	4.161360740661621	912.0000	186.0000	6.0000	38.0000	166.0000	167.0000	715.0000	484.0000	143.0000	210.0000	0.0980	0.0963	0.0646	0.0483	0.0358	0.0350	0.0303	0.0294	0.0284	0.0264	94	1	
6	912	0.09218423813581467	753	4.291406154632568	912.0000	6.0000	186.0000	715.0000	38.0000	166.0000	210.0000	167.0000	143.0000	342.0000	0.0922	0.0623	0.0577	0.0533	0.0423	0.0358	0.0347	0.0313	0.0288	0.0268	96	1	
7	484	0.5285449028015137	753	2.688136100769043	484.0000	487.0000	202.0000	845.0000	321.0000	210.0000	666.0000	485.0000	6.0000	566.0000	0.5285	0.0686	0.0197	0.0170	0.0158	0.0155	0.0145	0.0144	0.0140	0.0136	53	1	
8	202	0.21361839771270752	753	3.2893810272216797	202.0000	246.0000	657.0000	6.0000	180.0000	454.0000	494.0000	226.0000	845.0000	664.0000	0.2136	0.1351	0.0594	0.0572	0.0530	0.0498	0.0461	0.0364	0.0300	0.0205	14	2	
9	657	0.14218401908874512	753	3.490004062652588	657.0000	180.0000	246.0000	175.0000	484.0000	912.0000	465.0000	243.0000	202.0000	494.0000	0.1422	0.1159	0.0900	0.0591	0.0568	0.0453	0.0446	0.0422	0.0265	0.0243	29	2	
10	657	0.23718507587909698	753	3.1268510818481445	657.0000	180.0000	246.0000	175.0000	912.0000	494.0000	484.0000	465.0000	210.0000	202.0000	0.2372	0.1637	0.1109	0.0526	0.0284	0.0279	0.0258	0.0243	0.0237	0.0228	27	2	
11	202	0.18312212824821472	753	3.343113899230957	202.0000	246.0000	657.0000	226.0000	6.0000	180.0000	494.0000	454.0000	845.0000	207.0000	0.1831	0.1295	0.0647	0.0607	0.0572	0.0569	0.0547	0.0465	0.0309	0.0203	14	2	
12	259	0.20430777966976166	753	2.747476100921631	259.0000	480.0000	666.0000	47.0000	717.0000	246.0000	489.0000	454.0000	175.0000	226.0000	0.2043	0.1593	0.1580	0.1062	0.0991	0.0351	0.0202	0.0178	0.0160	0.0144	13	3	
13	489	0.4153681695461273	753	2.9080774784088135	489.0000	175.0000	484.0000	171.0000	912.0000	637.0000	4.0000	67.0000	864.0000	228.0000	0.4154	0.0792	0.0770	0.0496	0.0269	0.0267	0.0245	0.0236	0.0142	0.0136	19	3	
