	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	277	0.36891642212867737	754	2.558971643447876	277.0000	854.0000	489.0000	453.0000	441.0000	304.0000	279.0000	278.0000	141.0000	626.0000	0.3689	0.1848	0.1516	0.0290	0.0265	0.0230	0.0178	0.0150	0.0121	0.0114	430	0	
1	4	0.17866025865077972	754	3.779917001724243	4.0000	441.0000	509.0000	662.0000	830.0000	854.0000	137.0000	460.0000	626.0000	304.0000	0.1787	0.0667	0.0603	0.0565	0.0389	0.0368	0.0365	0.0361	0.0319	0.0290	418	1	
2	626	0.587052583694458	754	1.8432645797729492	626.0000	441.0000	830.0000	854.0000	304.0000	277.0000	424.0000	558.0000	4.0000	219.0000	0.5871	0.1766	0.0680	0.0165	0.0099	0.0076	0.0068	0.0068	0.0066	0.0064	205	2	
3	441	0.77935391664505	754	1.3321051597595215	441.0000	932.0000	626.0000	940.0000	340.0000	689.0000	528.0000	830.0000	625.0000	312.0000	0.7794	0.0284	0.0267	0.0227	0.0220	0.0112	0.0092	0.0089	0.0077	0.0059	165	3	
4	441	0.7482820153236389	754	1.3406028747558594	441.0000	312.0000	830.0000	689.0000	219.0000	304.0000	70.0000	558.0000	625.0000	751.0000	0.7483	0.0636	0.0336	0.0314	0.0140	0.0131	0.0126	0.0081	0.0044	0.0036	137	4	
5	441	0.2706748843193054	754	2.7805256843566895	441.0000	219.0000	830.0000	689.0000	273.0000	453.0000	208.0000	932.0000	329.0000	70.0000	0.2707	0.1576	0.1395	0.0869	0.0563	0.0426	0.0249	0.0216	0.0172	0.0128	154	5	
6	441	0.30902084708213806	754	2.3090548515319824	441.0000	854.0000	830.0000	626.0000	932.0000	219.0000	689.0000	282.0000	70.0000	228.0000	0.3090	0.2886	0.0836	0.0667	0.0503	0.0432	0.0198	0.0168	0.0102	0.0080	94	6	
7	441	0.44807401299476624	754	1.314404845237732	441.0000	830.0000	219.0000	558.0000	228.0000	932.0000	273.0000	626.0000	724.0000	70.0000	0.4481	0.4141	0.0434	0.0363	0.0128	0.0118	0.0045	0.0039	0.0038	0.0037	48	7	
8	854	0.2790444791316986	754	2.1896719932556152	854.0000	626.0000	625.0000	830.0000	932.0000	689.0000	219.0000	304.0000	279.0000	277.0000	0.2790	0.2093	0.1470	0.1149	0.0720	0.0406	0.0386	0.0270	0.0134	0.0072	165	8	
9	441	0.8906465768814087	754	0.47888654470443726	441.0000	453.0000	304.0000	830.0000	854.0000	228.0000	219.0000	945.0000	689.0000	312.0000	0.8906	0.0824	0.0063	0.0042	0.0028	0.0027	0.0018	0.0017	0.0015	0.0012	50	9	
