	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	117	0.205451101064682	757	3.6447436809539795	117.0000	160.0000	700.0000	443.0000	264.0000	0.0000	757.0000	626.0000	444.0000	661.0000	0.2055	0.1057	0.0620	0.0600	0.0457	0.0406	0.0335	0.0289	0.0261	0.0246	6	0	
1	626	0.1936580091714859	757	3.5992941856384277	626.0000	264.0000	297.0000	757.0000	117.0000	582.0000	721.0000	528.0000	370.0000	919.0000	0.1937	0.0765	0.0764	0.0750	0.0596	0.0492	0.0486	0.0308	0.0252	0.0250	3	0	
2	626	0.1519741714000702	757	4.413662910461426	626.0000	0.0000	757.0000	297.0000	700.0000	117.0000	802.0000	865.0000	661.0000	443.0000	0.1520	0.1127	0.0362	0.0351	0.0332	0.0287	0.0262	0.0260	0.0237	0.0231	2	0	
3	443	0.37509968876838684	757	2.839280843734741	443.0000	888.0000	782.0000	468.0000	446.0000	160.0000	200.0000	942.0000	0.0000	235.0000	0.3751	0.1170	0.0783	0.0606	0.0472	0.0314	0.0285	0.0224	0.0140	0.0130	25	1	
4	131	0.3297320008277893	757	2.4537782669067383	131.0000	757.0000	528.0000	443.0000	805.0000	721.0000	160.0000	297.0000	419.0000	119.0000	0.3297	0.3264	0.0644	0.0250	0.0205	0.0203	0.0157	0.0125	0.0108	0.0096	1	1	
5	888	0.30449676513671875	757	2.5560524463653564	888.0000	443.0000	468.0000	782.0000	0.0000	235.0000	942.0000	655.0000	446.0000	200.0000	0.3045	0.1864	0.1737	0.0685	0.0415	0.0226	0.0168	0.0166	0.0099	0.0097	28	1	
6	854	0.2815437316894531	757	3.218848705291748	854.0000	425.0000	324.0000	638.0000	453.0000	661.0000	0.0000	724.0000	626.0000	340.0000	0.2815	0.1556	0.1000	0.0364	0.0337	0.0273	0.0238	0.0237	0.0229	0.0217	65	2	
7	528	0.42723700404167175	757	2.460040330886841	528.0000	626.0000	160.0000	721.0000	453.0000	724.0000	757.0000	371.0000	932.0000	297.0000	0.4272	0.2607	0.0408	0.0173	0.0143	0.0113	0.0107	0.0099	0.0089	0.0086	6	2	
8	235	0.1843612790107727	757	3.648451328277588	235.0000	782.0000	661.0000	324.0000	789.0000	0.0000	425.0000	160.0000	854.0000	468.0000	0.1844	0.1591	0.0683	0.0610	0.0537	0.0365	0.0266	0.0240	0.0232	0.0168	12	2	
9	782	0.3362622857093811	757	2.7030935287475586	782.0000	235.0000	724.0000	563.0000	757.0000	468.0000	888.0000	528.0000	160.0000	90.0000	0.3363	0.1036	0.0882	0.0756	0.0709	0.0695	0.0434	0.0218	0.0175	0.0124	4	3	
10	757	0.4042350947856903	757	2.5261378288269043	757.0000	888.0000	721.0000	724.0000	297.0000	805.0000	90.0000	582.0000	160.0000	205.0000	0.4042	0.1834	0.0460	0.0413	0.0232	0.0223	0.0219	0.0209	0.0203	0.0192	0	3	
11	782	0.49491235613822937	757	1.2144558429718018	782.0000	235.0000	468.0000	588.0000	789.0000	911.0000	888.0000	724.0000	563.0000	757.0000	0.4949	0.2992	0.1778	0.0042	0.0040	0.0031	0.0023	0.0017	0.0016	0.0010	9	3	
