	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	282	0.13439203798770905	759	5.453746318817139	282.0000	811.0000	942.0000	468.0000	235.0000	0.0000	521.0000	297.0000	304.0000	626.0000	0.1344	0.0290	0.0255	0.0204	0.0190	0.0183	0.0171	0.0130	0.0108	0.0107	202	0	
1	809	0.28124794363975525	759	4.002835273742676	809.0000	719.0000	874.0000	647.0000	837.0000	673.0000	285.0000	924.0000	811.0000	583.0000	0.2812	0.1530	0.0335	0.0316	0.0294	0.0224	0.0145	0.0132	0.0128	0.0115	253	0	
2	282	0.16799363493919373	759	4.990983009338379	282.0000	0.0000	521.0000	942.0000	297.0000	468.0000	811.0000	626.0000	449.0000	310.0000	0.1680	0.0586	0.0546	0.0287	0.0197	0.0190	0.0151	0.0130	0.0124	0.0117	98	0	
3	809	0.4290962219238281	759	3.3912675380706787	809.0000	719.0000	285.0000	673.0000	811.0000	837.0000	647.0000	924.0000	874.0000	489.0000	0.4291	0.0855	0.0319	0.0306	0.0208	0.0201	0.0189	0.0169	0.0146	0.0114	357	0	
4	282	0.11912752687931061	759	5.471736431121826	282.0000	811.0000	924.0000	338.0000	297.0000	583.0000	453.0000	371.0000	896.0000	32.0000	0.1191	0.0303	0.0248	0.0230	0.0206	0.0145	0.0132	0.0128	0.0118	0.0107	194	1	
5	719	0.14534911513328552	759	4.783090114593506	719.0000	924.0000	811.0000	282.0000	874.0000	138.0000	483.0000	291.0000	884.0000	543.0000	0.1453	0.0840	0.0303	0.0290	0.0210	0.0205	0.0197	0.0180	0.0163	0.0147	29	1	
6	449	0.12243394553661346	759	5.228659629821777	449.0000	924.0000	347.0000	282.0000	203.0000	205.0000	874.0000	811.0000	884.0000	310.0000	0.1224	0.0350	0.0287	0.0216	0.0215	0.0208	0.0186	0.0170	0.0167	0.0137	37	1	
7	874	0.06877924501895905	759	4.844382286071777	874.0000	853.0000	528.0000	811.0000	884.0000	924.0000	133.0000	844.0000	719.0000	837.0000	0.0688	0.0583	0.0476	0.0389	0.0379	0.0368	0.0362	0.0266	0.0243	0.0175	16	1	
8	625	0.04377558082342148	759	5.149630069732666	625.0000	789.0000	243.0000	521.0000	844.0000	700.0000	350.0000	811.0000	561.0000	721.0000	0.0438	0.0381	0.0377	0.0361	0.0340	0.0272	0.0265	0.0258	0.0254	0.0242	35	2	
9	719	0.14824825525283813	759	4.6425089836120605	719.0000	598.0000	235.0000	576.0000	789.0000	174.0000	527.0000	203.0000	349.0000	654.0000	0.1482	0.0873	0.0812	0.0551	0.0199	0.0189	0.0141	0.0138	0.0128	0.0118	533	2	
