	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	96	0.42020121216773987	762	2.5016109943389893	96.0000	282.0000	38.0000	818.0000	122.0000	575.0000	583.0000	626.0000	6.0000	54.0000	0.4202	0.2060	0.0628	0.0364	0.0341	0.0330	0.0263	0.0134	0.0086	0.0083	19	0	
1	575	0.1818719506263733	762	3.091674566268921	575.0000	762.0000	818.0000	47.0000	122.0000	353.0000	692.0000	715.0000	54.0000	216.0000	0.1819	0.1603	0.1387	0.0883	0.0674	0.0328	0.0319	0.0305	0.0219	0.0190	1	0	
2	575	0.21731694042682648	762	3.287792205810547	575.0000	96.0000	818.0000	54.0000	122.0000	499.0000	430.0000	299.0000	353.0000	824.0000	0.2173	0.1139	0.0837	0.0609	0.0584	0.0549	0.0494	0.0408	0.0347	0.0245	13	0	
3	122	0.209717258810997	762	2.872044086456299	122.0000	575.0000	818.0000	692.0000	762.0000	353.0000	282.0000	941.0000	499.0000	54.0000	0.2097	0.1950	0.1884	0.0723	0.0588	0.0269	0.0257	0.0215	0.0158	0.0121	4	0	
4	54	0.3228192627429962	762	2.977874755859375	54.0000	143.0000	575.0000	701.0000	762.0000	692.0000	833.0000	299.0000	353.0000	3.0000	0.3228	0.1002	0.0759	0.0736	0.0538	0.0481	0.0404	0.0207	0.0192	0.0171	4	0	
5	96	0.3693091571331024	762	2.6620888710021973	96.0000	909.0000	854.0000	282.0000	626.0000	320.0000	499.0000	583.0000	651.0000	515.0000	0.3693	0.1964	0.0851	0.0705	0.0515	0.0144	0.0141	0.0120	0.0110	0.0104	28	1	
6	762	0.9668017625808716	762	0.22667384147644043	762.0000	535.0000	818.0000	80.0000	692.0000	852.0000	122.0000	575.0000	833.0000	353.0000	0.9668	0.0123	0.0051	0.0049	0.0013	0.0012	0.0011	0.0008	0.0007	0.0006	0	1	
7	282	0.13039259612560272	762	3.4157063961029053	282.0000	122.0000	353.0000	575.0000	909.0000	818.0000	430.0000	499.0000	37.0000	172.0000	0.1304	0.1227	0.0874	0.0823	0.0790	0.0605	0.0558	0.0486	0.0411	0.0239	30	1	
8	353	0.19618792831897736	762	2.812507152557373	353.0000	80.0000	818.0000	499.0000	762.0000	122.0000	575.0000	909.0000	692.0000	430.0000	0.1962	0.1477	0.1220	0.1060	0.0830	0.0721	0.0522	0.0275	0.0178	0.0150	4	1	
9	833	0.4465004801750183	762	1.8959720134735107	833.0000	762.0000	332.0000	430.0000	667.0000	480.0000	573.0000	5.0000	470.0000	37.0000	0.4465	0.3018	0.0545	0.0303	0.0235	0.0233	0.0104	0.0096	0.0081	0.0073	1	1	
10	546	0.30425214767456055	762	3.490938663482666	546.0000	583.0000	521.0000	515.0000	235.0000	762.0000	228.0000	644.0000	37.0000	467.0000	0.3043	0.1460	0.0521	0.0456	0.0321	0.0211	0.0185	0.0183	0.0160	0.0129	5	2	
