	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	141	0.8376752138137817	768	1.0492867231369019	141.0000	657.0000	698.0000	34.0000	304.0000	180.0000	226.0000	484.0000	768.0000	487.0000	0.8377	0.0491	0.0122	0.0098	0.0056	0.0051	0.0037	0.0030	0.0030	0.0028	8	0	
1	141	0.5296950340270996	768	1.6249606609344482	141.0000	698.0000	657.0000	180.0000	768.0000	304.0000	226.0000	289.0000	34.0000	494.0000	0.5297	0.2626	0.0737	0.0270	0.0141	0.0109	0.0095	0.0066	0.0060	0.0046	4	0	
2	141	0.8194260597229004	768	1.1491856575012207	141.0000	621.0000	304.0000	489.0000	698.0000	494.0000	724.0000	590.0000	768.0000	219.0000	0.8194	0.0409	0.0181	0.0147	0.0146	0.0073	0.0047	0.0042	0.0041	0.0032	8	0	
3	621	0.4794675409793854	768	1.1244555711746216	621.0000	141.0000	590.0000	698.0000	304.0000	255.0000	494.0000	289.0000	509.0000	279.0000	0.4795	0.4497	0.0166	0.0069	0.0060	0.0047	0.0042	0.0039	0.0036	0.0033	12	0	
4	141	0.28996506333351135	768	2.706449270248413	141.0000	768.0000	97.0000	288.0000	590.0000	316.0000	289.0000	698.0000	637.0000	621.0000	0.2900	0.2521	0.0612	0.0508	0.0434	0.0408	0.0305	0.0305	0.0143	0.0136	1	1	
5	768	0.29311415553092957	768	2.7183611392974854	768.0000	141.0000	698.0000	494.0000	487.0000	662.0000	288.0000	590.0000	97.0000	226.0000	0.2931	0.1671	0.1336	0.0605	0.0504	0.0411	0.0315	0.0302	0.0219	0.0155	0	1	
6	141	0.21492251753807068	768	3.2797014713287354	141.0000	768.0000	698.0000	316.0000	304.0000	625.0000	494.0000	895.0000	288.0000	590.0000	0.2149	0.1900	0.0785	0.0683	0.0374	0.0352	0.0337	0.0299	0.0256	0.0248	1	1	
7	768	0.2253158986568451	768	3.056232452392578	768.0000	895.0000	141.0000	590.0000	289.0000	316.0000	304.0000	288.0000	494.0000	621.0000	0.2253	0.1262	0.1256	0.0764	0.0486	0.0446	0.0364	0.0329	0.0312	0.0289	0	1	
8	768	0.5737638473510742	768	1.8086199760437012	768.0000	316.0000	305.0000	289.0000	97.0000	141.0000	509.0000	226.0000	662.0000	698.0000	0.5738	0.0847	0.0664	0.0631	0.0281	0.0271	0.0247	0.0231	0.0224	0.0135	0	2	
9	768	0.7915589213371277	768	0.9298431873321533	768.0000	226.0000	662.0000	509.0000	698.0000	494.0000	180.0000	97.0000	289.0000	305.0000	0.7916	0.0911	0.0391	0.0153	0.0151	0.0146	0.0051	0.0045	0.0038	0.0037	0	2	
10	768	0.2862546145915985	768	2.6246516704559326	768.0000	662.0000	316.0000	698.0000	509.0000	304.0000	226.0000	141.0000	277.0000	621.0000	0.2863	0.0913	0.0913	0.0709	0.0625	0.0605	0.0541	0.0531	0.0476	0.0340	0	2	
11	768	0.451399028301239	768	2.18849515914917	768.0000	335.0000	509.0000	304.0000	226.0000	277.0000	305.0000	316.0000	494.0000	141.0000	0.4514	0.1093	0.0711	0.0548	0.0543	0.0402	0.0337	0.0323	0.0282	0.0224	0	2	
12	305	0.1974589228630066	768	3.2539894580841064	305.0000	768.0000	494.0000	662.0000	141.0000	713.0000	97.0000	289.0000	180.0000	316.0000	0.1975	0.1353	0.1015	0.0935	0.0536	0.0369	0.0341	0.0267	0.0233	0.0223	1	3	
13	735	0.22970789670944214	768	2.434821128845215	735.0000	768.0000	662.0000	494.0000	180.0000	657.0000	141.0000	97.0000	390.0000	510.0000	0.2297	0.1612	0.1513	0.1391	0.1142	0.0598	0.0164	0.0139	0.0107	0.0085	1	3	
14	141	0.41006186604499817	768	2.262424945831299	141.0000	494.0000	713.0000	316.0000	621.0000	662.0000	698.0000	460.0000	369.0000	768.0000	0.4101	0.2414	0.0435	0.0415	0.0395	0.0237	0.0214	0.0208	0.0187	0.0138	9	3	
15	141	0.3278169333934784	768	2.5988271236419678	141.0000	494.0000	316.0000	243.0000	621.0000	713.0000	369.0000	768.0000	304.0000	662.0000	0.3278	0.2478	0.0511	0.0377	0.0301	0.0297	0.0234	0.0231	0.0179	0.0169	7	3	
16	141	0.9352340698242188	768	0.4839683175086975	141.0000	97.0000	662.0000	713.0000	180.0000	335.0000	166.0000	316.0000	658.0000	768.0000	0.9352	0.0119	0.0090	0.0039	0.0032	0.0031	0.0023	0.0019	0.0018	0.0013	9	4	
17	141	0.6330552101135254	768	1.52096426486969	141.0000	180.0000	316.0000	509.0000	166.0000	662.0000	97.0000	494.0000	768.0000	657.0000	0.6331	0.1402	0.0602	0.0328	0.0233	0.0219	0.0183	0.0146	0.0102	0.0049	8	4	
18	141	0.8821741342544556	768	0.7683929204940796	141.0000	316.0000	662.0000	304.0000	97.0000	768.0000	621.0000	335.0000	209.0000	698.0000	0.8822	0.0129	0.0126	0.0122	0.0118	0.0116	0.0111	0.0061	0.0029	0.0023	5	4	
19	141	0.6709697246551514	768	1.4290282726287842	141.0000	658.0000	335.0000	316.0000	243.0000	768.0000	209.0000	304.0000	895.0000	140.0000	0.6710	0.1456	0.0338	0.0302	0.0145	0.0142	0.0129	0.0111	0.0072	0.0064	5	4	
20	494	0.479114830493927	768	1.2547032833099365	494.0000	141.0000	768.0000	621.0000	662.0000	414.0000	316.0000	305.0000	180.0000	625.0000	0.4791	0.2642	0.2211	0.0106	0.0054	0.0038	0.0023	0.0020	0.0019	0.0016	2	5	
21	494	0.8232947587966919	768	0.6558587551116943	494.0000	768.0000	141.0000	662.0000	180.0000	735.0000	657.0000	226.0000	414.0000	698.0000	0.8233	0.1243	0.0253	0.0131	0.0086	0.0008	0.0006	0.0005	0.0004	0.0004	1	5	
22	141	0.5893148183822632	768	1.7344388961791992	141.0000	494.0000	625.0000	845.0000	768.0000	621.0000	460.0000	186.0000	350.0000	895.0000	0.5893	0.1801	0.0660	0.0226	0.0219	0.0188	0.0081	0.0053	0.0052	0.0044	4	5	
23	141	0.5029386878013611	768	1.5671052932739258	141.0000	494.0000	768.0000	272.0000	621.0000	895.0000	255.0000	148.0000	658.0000	186.0000	0.5029	0.2788	0.1046	0.0149	0.0127	0.0100	0.0091	0.0073	0.0064	0.0053	2	5	
24	768	0.7765950560569763	768	1.1004679203033447	768.0000	141.0000	97.0000	494.0000	98.0000	662.0000	305.0000	460.0000	487.0000	698.0000	0.7766	0.0613	0.0456	0.0326	0.0224	0.0099	0.0073	0.0059	0.0035	0.0029	0	6	
25	768	0.5294869542121887	768	1.47860848903656	768.0000	494.0000	735.0000	662.0000	180.0000	141.0000	97.0000	657.0000	246.0000	509.0000	0.5295	0.2545	0.0783	0.0349	0.0314	0.0218	0.0143	0.0108	0.0028	0.0024	0	6	
26	768	0.5882845520973206	768	1.3631019592285156	768.0000	494.0000	141.0000	335.0000	625.0000	460.0000	97.0000	621.0000	8.0000	735.0000	0.5883	0.1932	0.1368	0.0222	0.0106	0.0072	0.0061	0.0046	0.0029	0.0023	0	6	
