	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	637	0.4647393226623535	769	1.830209732055664	637.0000	216.0000	715.0000	262.0000	47.0000	709.0000	161.0000	56.0000	423.0000	750.0000	0.4647	0.2333	0.0864	0.0474	0.0339	0.0329	0.0142	0.0140	0.0131	0.0086	383	0	
1	637	0.8412529826164246	769	0.6511008739471436	637.0000	216.0000	47.0000	262.0000	423.0000	408.0000	709.0000	25.0000	717.0000	790.0000	0.8413	0.0908	0.0361	0.0170	0.0034	0.0033	0.0019	0.0016	0.0012	0.0009	232	0	
2	790	0.6843389868736267	769	1.0870428085327148	790.0000	501.0000	262.0000	408.0000	709.0000	637.0000	25.0000	216.0000	533.0000	715.0000	0.6843	0.1875	0.0497	0.0243	0.0164	0.0162	0.0060	0.0030	0.0028	0.0023	75	1	
3	790	0.23364406824111938	769	2.3651630878448486	790.0000	262.0000	501.0000	423.0000	535.0000	216.0000	408.0000	637.0000	566.0000	709.0000	0.2336	0.1825	0.1773	0.0808	0.0688	0.0436	0.0356	0.0346	0.0315	0.0254	47	1	
4	790	0.7309225797653198	769	0.8950408697128296	790.0000	637.0000	262.0000	216.0000	709.0000	25.0000	533.0000	855.0000	501.0000	408.0000	0.7309	0.1791	0.0434	0.0169	0.0119	0.0083	0.0054	0.0011	0.0008	0.0007	16	2	
5	790	0.2526291012763977	769	2.46976375579834	790.0000	637.0000	216.0000	501.0000	262.0000	25.0000	709.0000	423.0000	845.0000	855.0000	0.2526	0.2152	0.1359	0.0947	0.0674	0.0508	0.0352	0.0281	0.0207	0.0130	26	2	
6	790	0.5194194912910461	769	1.5003769397735596	790.0000	262.0000	216.0000	637.0000	501.0000	709.0000	25.0000	533.0000	608.0000	408.0000	0.5194	0.1703	0.1371	0.0728	0.0611	0.0089	0.0075	0.0069	0.0050	0.0024	18	3	
7	501	0.9259238243103027	769	0.4342741370201111	501.0000	262.0000	216.0000	637.0000	790.0000	423.0000	25.0000	709.0000	845.0000	408.0000	0.9259	0.0187	0.0159	0.0111	0.0082	0.0062	0.0035	0.0030	0.0014	0.0009	17	3	
8	637	0.36293286085128784	769	1.7536486387252808	637.0000	790.0000	216.0000	709.0000	25.0000	143.0000	262.0000	501.0000	855.0000	533.0000	0.3629	0.3040	0.1239	0.0572	0.0542	0.0287	0.0232	0.0212	0.0051	0.0047	17	4	
9	216	0.564128041267395	769	1.547620415687561	216.0000	790.0000	709.0000	262.0000	501.0000	637.0000	25.0000	408.0000	533.0000	535.0000	0.5641	0.1492	0.0651	0.0556	0.0517	0.0450	0.0328	0.0163	0.0044	0.0036	14	4	
10	790	0.5471081137657166	769	1.5240483283996582	790.0000	637.0000	262.0000	709.0000	216.0000	715.0000	501.0000	845.0000	25.0000	902.0000	0.5471	0.1977	0.0680	0.0631	0.0448	0.0216	0.0152	0.0141	0.0101	0.0055	18	5	
11	790	0.22229892015457153	769	2.4459807872772217	790.0000	637.0000	216.0000	423.0000	262.0000	25.0000	709.0000	845.0000	535.0000	47.0000	0.2223	0.2079	0.1251	0.0936	0.0610	0.0570	0.0493	0.0426	0.0300	0.0229	15	5	
12	790	0.6104779839515686	769	1.2391483783721924	790.0000	637.0000	216.0000	501.0000	262.0000	709.0000	715.0000	25.0000	855.0000	769.0000	0.6105	0.2167	0.0598	0.0373	0.0372	0.0215	0.0056	0.0038	0.0017	0.0008	9	6	
13	216	0.4917154312133789	769	1.987884759902954	216.0000	637.0000	845.0000	790.0000	852.0000	47.0000	80.0000	701.0000	717.0000	501.0000	0.4917	0.1220	0.0965	0.0736	0.0597	0.0338	0.0192	0.0109	0.0102	0.0101	12	6	
14	637	0.2992026209831238	769	1.5437145233154297	637.0000	790.0000	216.0000	709.0000	25.0000	262.0000	902.0000	501.0000	855.0000	769.0000	0.2992	0.2984	0.2948	0.0373	0.0267	0.0113	0.0108	0.0070	0.0023	0.0017	9	7	
