	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	347	0.12056805193424225	771	5.027768135070801	347.0000	324.0000	467.0000	326.0000	807.0000	859.0000	0.0000	682.0000	425.0000	810.0000	0.1206	0.0455	0.0320	0.0316	0.0253	0.0252	0.0224	0.0178	0.0177	0.0173	11	0	
1	467	0.29939618706703186	771	4.146669864654541	467.0000	884.0000	859.0000	558.0000	837.0000	347.0000	324.0000	142.0000	235.0000	588.0000	0.2994	0.0405	0.0320	0.0290	0.0278	0.0196	0.0152	0.0151	0.0142	0.0125	75	0	
2	771	0.09547343105077744	771	5.07981014251709	771.0000	807.0000	282.0000	859.0000	425.0000	809.0000	513.0000	621.0000	837.0000	320.0000	0.0955	0.0491	0.0474	0.0366	0.0334	0.0250	0.0230	0.0190	0.0158	0.0154	0	0	
3	810	0.18090523779392242	771	3.4614949226379395	810.0000	472.0000	639.0000	789.0000	0.0000	347.0000	324.0000	310.0000	807.0000	638.0000	0.1809	0.1803	0.0727	0.0566	0.0530	0.0415	0.0309	0.0210	0.0188	0.0187	38	1	
4	639	0.22004131972789764	771	3.1714112758636475	639.0000	472.0000	859.0000	789.0000	810.0000	0.0000	324.0000	471.0000	635.0000	205.0000	0.2200	0.1382	0.1107	0.0984	0.0560	0.0388	0.0199	0.0177	0.0171	0.0161	74	1	
5	771	0.7941053509712219	771	1.0454154014587402	771.0000	807.0000	809.0000	282.0000	320.0000	639.0000	254.0000	859.0000	33.0000	874.0000	0.7941	0.0613	0.0436	0.0212	0.0195	0.0107	0.0061	0.0043	0.0032	0.0030	0	1	
6	117	0.18798217177391052	771	4.222699165344238	117.0000	370.0000	759.0000	443.0000	310.0000	724.0000	446.0000	253.0000	942.0000	789.0000	0.1880	0.0423	0.0404	0.0376	0.0347	0.0332	0.0258	0.0248	0.0225	0.0217	60	2	
7	724	0.1978045552968979	771	3.3340935707092285	724.0000	235.0000	712.0000	759.0000	789.0000	324.0000	205.0000	471.0000	338.0000	232.0000	0.1978	0.1777	0.0959	0.0502	0.0496	0.0396	0.0355	0.0303	0.0206	0.0181	191	2	
8	771	0.9328354597091675	771	0.5147542953491211	771.0000	324.0000	859.0000	874.0000	471.0000	809.0000	33.0000	425.0000	45.0000	347.0000	0.9328	0.0086	0.0074	0.0046	0.0039	0.0033	0.0027	0.0026	0.0024	0.0017	0	2	
9	324	0.22867459058761597	771	3.4111220836639404	324.0000	234.0000	205.0000	884.0000	724.0000	310.0000	712.0000	528.0000	837.0000	471.0000	0.2287	0.1886	0.0809	0.0494	0.0430	0.0301	0.0201	0.0178	0.0178	0.0174	23	3	
10	324	0.4663126766681671	771	2.309948682785034	324.0000	234.0000	724.0000	205.0000	789.0000	471.0000	232.0000	310.0000	859.0000	200.0000	0.4663	0.1725	0.0671	0.0575	0.0204	0.0193	0.0165	0.0120	0.0106	0.0101	147	3	
11	771	0.9829955697059631	771	0.13869088888168335	771.0000	324.0000	807.0000	639.0000	425.0000	282.0000	810.0000	524.0000	471.0000	0.0000	0.9830	0.0051	0.0015	0.0013	0.0009	0.0008	0.0008	0.0006	0.0005	0.0004	0	3	
12	310	0.5354958176612854	771	2.3137292861938477	310.0000	324.0000	942.0000	837.0000	90.0000	425.0000	234.0000	576.0000	471.0000	528.0000	0.5355	0.1484	0.0281	0.0275	0.0245	0.0204	0.0177	0.0146	0.0133	0.0098	13	4	
13	310	0.3449780344963074	771	2.644176721572876	310.0000	324.0000	471.0000	837.0000	712.0000	234.0000	468.0000	724.0000	682.0000	789.0000	0.3450	0.2122	0.0656	0.0584	0.0496	0.0458	0.0184	0.0172	0.0130	0.0102	160	4	
14	347	0.5446084141731262	771	1.651853322982788	347.0000	809.0000	771.0000	874.0000	810.0000	324.0000	471.0000	310.0000	807.0000	8.0000	0.5446	0.1891	0.1330	0.0402	0.0097	0.0082	0.0063	0.0052	0.0051	0.0035	2	4	
