	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	80	0.7618985772132874	785	1.3605690002441406	80.0000	575.0000	598.0000	938.0000	701.0000	499.0000	762.0000	430.0000	470.0000	583.0000	0.7619	0.0684	0.0346	0.0131	0.0100	0.0098	0.0052	0.0052	0.0051	0.0046	11	0	
1	80	0.3698992431163788	785	3.8759031295776367	80.0000	575.0000	598.0000	515.0000	583.0000	499.0000	783.0000	412.0000	98.0000	104.0000	0.3699	0.0479	0.0352	0.0247	0.0184	0.0172	0.0168	0.0167	0.0152	0.0112	13	0	
2	499	0.4311833679676056	785	3.1087136268615723	499.0000	575.0000	96.0000	282.0000	353.0000	598.0000	470.0000	824.0000	299.0000	483.0000	0.4312	0.0904	0.0444	0.0293	0.0259	0.0258	0.0172	0.0172	0.0133	0.0131	24	1	
3	499	0.44878464937210083	785	2.7936220169067383	499.0000	575.0000	122.0000	353.0000	80.0000	470.0000	598.0000	412.0000	96.0000	833.0000	0.4488	0.1307	0.0470	0.0211	0.0182	0.0176	0.0168	0.0158	0.0152	0.0148	30	1	
4	598	0.4501187205314636	785	2.386721611022949	598.0000	575.0000	172.0000	37.0000	833.0000	355.0000	938.0000	593.0000	573.0000	785.0000	0.4501	0.1981	0.0332	0.0251	0.0247	0.0212	0.0203	0.0167	0.0153	0.0142	9	2	
5	833	0.23707163333892822	785	4.150422096252441	833.0000	395.0000	701.0000	65.0000	80.0000	98.0000	513.0000	687.0000	301.0000	470.0000	0.2371	0.0465	0.0427	0.0383	0.0316	0.0264	0.0241	0.0238	0.0217	0.0204	69	2	
6	598	0.31752100586891174	785	3.229893922805786	598.0000	37.0000	575.0000	785.0000	573.0000	675.0000	583.0000	680.0000	396.0000	172.0000	0.3175	0.0832	0.0734	0.0615	0.0599	0.0285	0.0217	0.0210	0.0183	0.0181	3	3	
7	701	0.2722485065460205	785	4.15058708190918	701.0000	680.0000	833.0000	80.0000	301.0000	33.0000	142.0000	98.0000	832.0000	710.0000	0.2722	0.0809	0.0422	0.0314	0.0297	0.0210	0.0209	0.0201	0.0113	0.0109	22	3	
8	598	0.7153481841087341	785	1.554481029510498	598.0000	575.0000	785.0000	80.0000	349.0000	37.0000	355.0000	701.0000	848.0000	353.0000	0.7153	0.0691	0.0450	0.0235	0.0114	0.0113	0.0084	0.0082	0.0055	0.0051	2	4	
9	80	0.2725255787372589	785	3.231576681137085	80.0000	98.0000	692.0000	598.0000	680.0000	301.0000	54.0000	252.0000	701.0000	5.0000	0.2725	0.1222	0.0929	0.0834	0.0411	0.0328	0.0245	0.0223	0.0192	0.0182	14	4	
