	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	49	0.32055020332336426	787	2.865837812423706	49.0000	787.0000	483.0000	924.0000	853.0000	362.0000	364.0000	96.0000	453.0000	552.0000	0.3206	0.1376	0.1260	0.1105	0.0220	0.0197	0.0195	0.0181	0.0144	0.0127	1	0	
1	191	0.19458262622356415	787	3.3225340843200684	191.0000	483.0000	49.0000	787.0000	924.0000	282.0000	57.0000	811.0000	226.0000	673.0000	0.1946	0.1164	0.1091	0.0843	0.0816	0.0521	0.0516	0.0233	0.0173	0.0141	3	0	
2	719	0.16548387706279755	787	3.663818359375	719.0000	285.0000	552.0000	584.0000	868.0000	544.0000	162.0000	131.0000	528.0000	844.0000	0.1655	0.1473	0.1464	0.0465	0.0380	0.0344	0.0276	0.0253	0.0183	0.0162	13	0	
3	96	0.5209540128707886	787	2.6543054580688477	96.0000	489.0000	924.0000	483.0000	113.0000	49.0000	867.0000	719.0000	364.0000	54.0000	0.5210	0.0640	0.0537	0.0385	0.0303	0.0186	0.0163	0.0152	0.0137	0.0131	10	0	
4	285	0.20591309666633606	787	4.6581807136535645	285.0000	584.0000	811.0000	191.0000	49.0000	364.0000	483.0000	503.0000	157.0000	719.0000	0.2059	0.0576	0.0555	0.0296	0.0251	0.0243	0.0137	0.0137	0.0132	0.0118	17	0	
5	483	0.3092808723449707	787	2.794633388519287	483.0000	49.0000	96.0000	787.0000	924.0000	867.0000	157.0000	364.0000	719.0000	342.0000	0.3093	0.2993	0.0477	0.0465	0.0205	0.0193	0.0147	0.0142	0.0094	0.0094	3	0	
6	49	0.28213462233543396	787	3.594247341156006	49.0000	358.0000	285.0000	483.0000	342.0000	169.0000	162.0000	924.0000	362.0000	787.0000	0.2821	0.0543	0.0513	0.0481	0.0470	0.0419	0.0330	0.0287	0.0230	0.0214	9	0	
7	282	0.9179936051368713	787	0.6441429257392883	282.0000	787.0000	483.0000	853.0000	924.0000	719.0000	49.0000	385.0000	353.0000	71.0000	0.9180	0.0133	0.0075	0.0051	0.0038	0.0033	0.0021	0.0019	0.0018	0.0017	1	0	
8	49	0.4168197810649872	787	2.488335132598877	49.0000	483.0000	787.0000	166.0000	342.0000	96.0000	719.0000	924.0000	169.0000	867.0000	0.4168	0.2403	0.0452	0.0335	0.0289	0.0168	0.0146	0.0131	0.0124	0.0124	2	0	
9	49	0.7146568298339844	787	1.2559168338775635	49.0000	483.0000	924.0000	787.0000	673.0000	96.0000	867.0000	626.0000	162.0000	342.0000	0.7147	0.0991	0.0598	0.0362	0.0315	0.0094	0.0068	0.0041	0.0033	0.0032	3	1	
10	49	0.9411097168922424	787	0.36360251903533936	49.0000	483.0000	673.0000	924.0000	787.0000	191.0000	96.0000	867.0000	509.0000	643.0000	0.9411	0.0165	0.0164	0.0098	0.0034	0.0026	0.0010	0.0008	0.0008	0.0005	4	1	
11	797	0.2041589319705963	787	3.5145349502563477	797.0000	282.0000	719.0000	647.0000	924.0000	531.0000	867.0000	55.0000	347.0000	654.0000	0.2042	0.1674	0.0923	0.0551	0.0425	0.0408	0.0236	0.0205	0.0195	0.0187	28	1	
12	96	0.2580437660217285	787	2.819241762161255	96.0000	489.0000	483.0000	867.0000	924.0000	49.0000	673.0000	509.0000	364.0000	74.0000	0.2580	0.2073	0.1210	0.1051	0.0404	0.0308	0.0303	0.0209	0.0140	0.0132	12	1	
13	358	0.1738673597574234	787	3.9920942783355713	358.0000	703.0000	716.0000	421.0000	925.0000	492.0000	457.0000	182.0000	102.0000	188.0000	0.1739	0.0775	0.0555	0.0548	0.0379	0.0316	0.0263	0.0257	0.0245	0.0186	55	1	
