	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	790	0.20013666152954102	790	2.3590657711029053	790.0000	709.0000	262.0000	47.0000	637.0000	216.0000	715.0000	423.0000	408.0000	533.0000	0.2001	0.1921	0.1896	0.1216	0.0900	0.0615	0.0273	0.0249	0.0141	0.0078	0	0	
1	709	0.35026419162750244	790	3.133732795715332	709.0000	47.0000	717.0000	845.0000	715.0000	637.0000	790.0000	707.0000	713.0000	533.0000	0.3503	0.0869	0.0695	0.0650	0.0543	0.0463	0.0263	0.0221	0.0182	0.0146	6	1	
2	657	0.06309875100851059	790	5.39461612701416	657.0000	575.0000	707.0000	170.0000	637.0000	845.0000	501.0000	47.0000	494.0000	717.0000	0.0631	0.0442	0.0264	0.0258	0.0253	0.0182	0.0179	0.0169	0.0142	0.0140	45	2	
3	637	0.25082123279571533	790	3.6575093269348145	637.0000	216.0000	790.0000	709.0000	707.0000	845.0000	47.0000	408.0000	717.0000	56.0000	0.2508	0.0890	0.0735	0.0583	0.0418	0.0413	0.0398	0.0240	0.0236	0.0230	2	3	
4	790	0.21627244353294373	790	2.5221786499023438	790.0000	709.0000	533.0000	216.0000	408.0000	637.0000	845.0000	25.0000	262.0000	769.0000	0.2163	0.1681	0.1424	0.1382	0.1048	0.0470	0.0336	0.0213	0.0183	0.0127	0	4	
5	216	0.3332611322402954	790	2.2965731620788574	216.0000	715.0000	637.0000	47.0000	790.0000	262.0000	769.0000	408.0000	25.0000	709.0000	0.3333	0.2277	0.1267	0.0681	0.0511	0.0290	0.0255	0.0209	0.0117	0.0111	4	5	
6	637	0.46584659814834595	790	1.460205078125	637.0000	790.0000	715.0000	25.0000	262.0000	216.0000	408.0000	533.0000	769.0000	56.0000	0.4658	0.2815	0.1246	0.0561	0.0241	0.0139	0.0110	0.0107	0.0061	0.0012	1	6	
7	637	0.816426157951355	790	0.7706394791603088	637.0000	216.0000	790.0000	717.0000	707.0000	47.0000	769.0000	25.0000	191.0000	262.0000	0.8164	0.1127	0.0329	0.0085	0.0052	0.0037	0.0024	0.0024	0.0017	0.0012	2	7	
8	845	0.685961127281189	790	1.3795336484909058	845.0000	637.0000	790.0000	408.0000	262.0000	709.0000	25.0000	717.0000	216.0000	769.0000	0.6860	0.0903	0.0493	0.0393	0.0351	0.0277	0.0111	0.0107	0.0106	0.0098	2	8	
9	262	0.3730359971523285	790	2.6283655166625977	262.0000	790.0000	408.0000	360.0000	637.0000	533.0000	148.0000	25.0000	769.0000	501.0000	0.3730	0.1219	0.0920	0.0736	0.0628	0.0359	0.0346	0.0217	0.0204	0.0125	1	9	
