	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	582	0.09915135055780411	791	4.487378120422363	582.0000	75.0000	552.0000	893.0000	585.0000	215.0000	703.0000	625.0000	204.0000	811.0000	0.0992	0.0980	0.0769	0.0450	0.0436	0.0358	0.0324	0.0247	0.0211	0.0187	749	0	
1	75	0.11160735785961151	791	3.685060977935791	75.0000	582.0000	893.0000	315.0000	215.0000	213.0000	552.0000	776.0000	844.0000	703.0000	0.1116	0.1096	0.0802	0.0649	0.0493	0.0471	0.0431	0.0428	0.0412	0.0408	330	1	
2	215	0.19538769125938416	791	3.6083555221557617	215.0000	893.0000	495.0000	285.0000	75.0000	614.0000	204.0000	213.0000	358.0000	315.0000	0.1954	0.0985	0.0728	0.0701	0.0563	0.0506	0.0478	0.0285	0.0183	0.0175	142	2	
3	893	0.24564288556575775	791	3.3649587631225586	893.0000	213.0000	776.0000	582.0000	282.0000	342.0000	215.0000	320.0000	529.0000	924.0000	0.2456	0.2212	0.0664	0.0362	0.0326	0.0224	0.0202	0.0145	0.0140	0.0133	279	3	
4	75	0.2838974595069885	791	3.062162160873413	75.0000	212.0000	893.0000	582.0000	213.0000	317.0000	245.0000	215.0000	495.0000	285.0000	0.2839	0.1139	0.1049	0.0611	0.0500	0.0371	0.0266	0.0249	0.0240	0.0156	111	4	
5	215	0.4330911338329315	791	2.029644012451172	215.0000	213.0000	320.0000	776.0000	212.0000	893.0000	407.0000	342.0000	585.0000	484.0000	0.4331	0.2792	0.0406	0.0364	0.0344	0.0255	0.0170	0.0155	0.0136	0.0079	90	5	
6	893	0.19696110486984253	791	3.152437686920166	893.0000	776.0000	215.0000	904.0000	532.0000	582.0000	217.0000	232.0000	143.0000	45.0000	0.1970	0.1782	0.0962	0.0767	0.0472	0.0459	0.0251	0.0227	0.0225	0.0201	213	6	
7	893	0.8977018594741821	791	0.5725517272949219	893.0000	215.0000	315.0000	776.0000	582.0000	213.0000	212.0000	844.0000	904.0000	585.0000	0.8977	0.0367	0.0166	0.0107	0.0098	0.0066	0.0023	0.0020	0.0019	0.0015	90	7	
8	893	0.34697604179382324	791	2.3338794708251953	893.0000	212.0000	215.0000	614.0000	844.0000	213.0000	315.0000	436.0000	407.0000	585.0000	0.3470	0.1730	0.0806	0.0797	0.0562	0.0478	0.0467	0.0448	0.0207	0.0165	80	8	
9	213	0.24503882229328156	791	1.8401663303375244	213.0000	212.0000	315.0000	436.0000	407.0000	893.0000	776.0000	843.0000	75.0000	215.0000	0.2450	0.1934	0.1857	0.1782	0.1520	0.0104	0.0064	0.0050	0.0046	0.0046	65	9	
10	407	0.5990980267524719	791	1.68100106716156	407.0000	285.0000	436.0000	212.0000	215.0000	213.0000	249.0000	776.0000	585.0000	320.0000	0.5991	0.1019	0.0693	0.0453	0.0346	0.0344	0.0340	0.0126	0.0106	0.0061	182	10	
11	215	0.7774375677108765	791	0.9874736070632935	215.0000	407.0000	495.0000	213.0000	776.0000	162.0000	208.0000	212.0000	904.0000	585.0000	0.7774	0.0688	0.0670	0.0296	0.0131	0.0077	0.0072	0.0056	0.0047	0.0028	241	11	
12	212	0.691567063331604	791	1.2854628562927246	212.0000	342.0000	213.0000	315.0000	215.0000	776.0000	407.0000	436.0000	75.0000	582.0000	0.6916	0.0871	0.0780	0.0364	0.0254	0.0222	0.0202	0.0096	0.0054	0.0052	65	12	
13	342	0.325483113527298	791	2.373779296875	342.0000	893.0000	585.0000	215.0000	212.0000	143.0000	857.0000	213.0000	394.0000	529.0000	0.3255	0.1962	0.1343	0.0799	0.0440	0.0405	0.0267	0.0177	0.0163	0.0141	111	13	
