	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	868	0.13884618878364563	797	4.163239002227783	868.0000	282.0000	483.0000	844.0000	719.0000	131.0000	528.0000	629.0000	721.0000	122.0000	0.1388	0.1309	0.0627	0.0309	0.0240	0.0226	0.0213	0.0211	0.0210	0.0197	217	0	
1	551	0.1289026290178299	797	4.815698146820068	551.0000	241.0000	358.0000	819.0000	681.0000	177.0000	212.0000	924.0000	925.0000	540.0000	0.1289	0.0517	0.0464	0.0414	0.0358	0.0243	0.0225	0.0209	0.0193	0.0172	34	0	
2	551	0.5647724270820618	797	2.6541969776153564	551.0000	797.0000	285.0000	483.0000	584.0000	924.0000	629.0000	320.0000	672.0000	681.0000	0.5648	0.0462	0.0425	0.0257	0.0248	0.0170	0.0124	0.0114	0.0090	0.0085	1	0	
3	819	0.15135224163532257	797	4.771795272827148	819.0000	528.0000	551.0000	241.0000	811.0000	924.0000	177.0000	320.0000	854.0000	626.0000	0.1514	0.0842	0.0340	0.0285	0.0195	0.0172	0.0166	0.0155	0.0155	0.0151	30	0	
4	410	0.10901524871587753	797	4.403384208679199	410.0000	629.0000	868.0000	824.0000	358.0000	867.0000	102.0000	925.0000	614.0000	396.0000	0.1090	0.0831	0.0709	0.0299	0.0269	0.0266	0.0264	0.0259	0.0242	0.0206	319	0	
5	91	0.16055583953857422	797	3.4276323318481445	91.0000	241.0000	551.0000	552.0000	528.0000	226.0000	342.0000	919.0000	483.0000	489.0000	0.1606	0.1351	0.1104	0.0926	0.0746	0.0478	0.0417	0.0309	0.0301	0.0205	27	0	
6	551	0.45575717091560364	797	2.8647122383117676	551.0000	241.0000	483.0000	924.0000	342.0000	226.0000	528.0000	285.0000	797.0000	358.0000	0.4558	0.1234	0.0551	0.0301	0.0292	0.0197	0.0151	0.0127	0.0125	0.0106	8	0	
7	551	0.48969289660453796	797	2.925889492034912	551.0000	241.0000	528.0000	483.0000	797.0000	342.0000	91.0000	925.0000	540.0000	919.0000	0.4897	0.1102	0.0318	0.0227	0.0196	0.0194	0.0165	0.0111	0.0103	0.0092	4	0	
8	551	0.1104673445224762	797	4.882483959197998	551.0000	797.0000	925.0000	358.0000	212.0000	584.0000	162.0000	614.0000	457.0000	629.0000	0.1105	0.0616	0.0506	0.0388	0.0219	0.0205	0.0174	0.0163	0.0162	0.0149	1	0	
9	483	0.0846281349658966	797	4.507975101470947	483.0000	854.0000	924.0000	787.0000	279.0000	819.0000	551.0000	277.0000	226.0000	681.0000	0.0846	0.0837	0.0587	0.0543	0.0441	0.0388	0.0361	0.0315	0.0269	0.0174	59	0	
10	551	0.16149792075157166	797	3.5368213653564453	551.0000	241.0000	226.0000	91.0000	342.0000	483.0000	528.0000	540.0000	489.0000	552.0000	0.1615	0.1180	0.1135	0.0959	0.0615	0.0577	0.0427	0.0306	0.0264	0.0201	26	0	
11	91	0.2671092748641968	797	3.08451509475708	91.0000	241.0000	551.0000	528.0000	226.0000	552.0000	919.0000	342.0000	483.0000	734.0000	0.2671	0.1252	0.1211	0.0877	0.0664	0.0420	0.0339	0.0228	0.0186	0.0128	16	0	
12	854	0.5742180943489075	797	1.7904679775238037	854.0000	868.0000	282.0000	528.0000	721.0000	71.0000	711.0000	313.0000	177.0000	517.0000	0.5742	0.1493	0.0768	0.0403	0.0346	0.0190	0.0155	0.0137	0.0058	0.0050	378	0	
13	239	0.12643350660800934	797	4.4561004638671875	239.0000	213.0000	854.0000	585.0000	347.0000	528.0000	164.0000	177.0000	614.0000	868.0000	0.1264	0.0488	0.0488	0.0464	0.0393	0.0367	0.0298	0.0280	0.0261	0.0259	256	0	
14	551	0.5943843126296997	797	2.440469741821289	551.0000	241.0000	483.0000	924.0000	797.0000	681.0000	342.0000	358.0000	925.0000	528.0000	0.5944	0.0765	0.0336	0.0217	0.0198	0.0101	0.0092	0.0087	0.0083	0.0078	4	0	
15	282	0.1937888264656067	797	4.497488498687744	282.0000	421.0000	787.0000	290.0000	347.0000	131.0000	551.0000	87.0000	483.0000	705.0000	0.1938	0.0803	0.0365	0.0233	0.0230	0.0215	0.0201	0.0185	0.0168	0.0154	24	1	
16	884	0.6111329793930054	797	2.323707103729248	884.0000	61.0000	584.0000	797.0000	205.0000	646.0000	212.0000	295.0000	726.0000	589.0000	0.6111	0.1008	0.0228	0.0134	0.0124	0.0099	0.0088	0.0075	0.0061	0.0058	3	1	
17	797	0.5413238406181335	797	2.0876975059509277	797.0000	551.0000	629.0000	483.0000	584.0000	670.0000	900.0000	844.0000	44.0000	780.0000	0.5413	0.1581	0.0377	0.0353	0.0289	0.0270	0.0219	0.0104	0.0083	0.0075	0	1	
18	61	0.33326753973960876	797	3.2119522094726562	61.0000	884.0000	295.0000	670.0000	797.0000	194.0000	646.0000	900.0000	821.0000	584.0000	0.3333	0.1267	0.0861	0.0521	0.0446	0.0268	0.0175	0.0140	0.0115	0.0114	4	1	
19	396	0.47605904936790466	797	2.2854979038238525	396.0000	347.0000	824.0000	282.0000	357.0000	745.0000	421.0000	313.0000	832.0000	205.0000	0.4761	0.1376	0.0963	0.0600	0.0308	0.0191	0.0153	0.0129	0.0127	0.0098	38	1	
20	884	0.4358440339565277	797	2.9909768104553223	884.0000	241.0000	61.0000	679.0000	551.0000	797.0000	919.0000	540.0000	91.0000	232.0000	0.4358	0.1204	0.0575	0.0318	0.0210	0.0189	0.0143	0.0118	0.0100	0.0094	5	1	
21	670	0.25659826397895813	797	2.8579983711242676	670.0000	884.0000	295.0000	797.0000	646.0000	241.0000	551.0000	285.0000	900.0000	61.0000	0.2566	0.2501	0.0657	0.0588	0.0526	0.0279	0.0227	0.0174	0.0171	0.0161	3	1	
