	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	626	0.5710931420326233	799	2.8398590087890625	626.0000	75.0000	468.0000	515.0000	0.0000	297.0000	621.0000	884.0000	521.0000	141.0000	0.5711	0.0348	0.0224	0.0211	0.0129	0.0118	0.0116	0.0080	0.0078	0.0078	95	0	
1	626	0.14737211167812347	799	4.485763072967529	626.0000	515.0000	468.0000	0.0000	297.0000	942.0000	521.0000	782.0000	310.0000	449.0000	0.1474	0.0996	0.0466	0.0400	0.0325	0.0297	0.0264	0.0264	0.0240	0.0200	35	0	
2	626	0.14099842309951782	799	4.348882675170898	626.0000	808.0000	0.0000	306.0000	873.0000	844.0000	443.0000	297.0000	479.0000	449.0000	0.1410	0.0825	0.0708	0.0481	0.0441	0.0324	0.0291	0.0207	0.0203	0.0199	41	1	
3	942	0.10722121596336365	799	4.40927791595459	942.0000	0.0000	386.0000	479.0000	306.0000	626.0000	466.0000	449.0000	799.0000	724.0000	0.1072	0.0969	0.0882	0.0472	0.0348	0.0311	0.0274	0.0235	0.0203	0.0195	8	1	
4	626	0.23448476195335388	799	3.3086020946502686	626.0000	449.0000	0.0000	479.0000	872.0000	873.0000	808.0000	443.0000	282.0000	561.0000	0.2345	0.1665	0.1559	0.0395	0.0351	0.0267	0.0165	0.0139	0.0126	0.0110	17	2	
5	0	0.24488863348960876	799	3.8764262199401855	0.0000	449.0000	799.0000	386.0000	561.0000	479.0000	466.0000	942.0000	515.0000	872.0000	0.2449	0.0804	0.0485	0.0414	0.0271	0.0255	0.0249	0.0246	0.0245	0.0236	2	2	
6	306	0.16112059354782104	799	4.085845947265625	306.0000	329.0000	821.0000	808.0000	626.0000	811.0000	703.0000	91.0000	854.0000	69.0000	0.1611	0.0909	0.0688	0.0622	0.0421	0.0243	0.0234	0.0218	0.0196	0.0176	28	3	
7	306	0.0648176521062851	799	4.778274059295654	306.0000	201.0000	91.0000	799.0000	808.0000	329.0000	69.0000	662.0000	515.0000	830.0000	0.0648	0.0484	0.0481	0.0335	0.0323	0.0298	0.0289	0.0229	0.0223	0.0216	3	3	
8	117	0.3177936375141144	799	2.7322745323181152	117.0000	306.0000	479.0000	386.0000	118.0000	580.0000	626.0000	872.0000	449.0000	64.0000	0.3178	0.1173	0.0902	0.0578	0.0567	0.0474	0.0421	0.0376	0.0318	0.0291	17	4	
9	479	0.13929538428783417	799	3.4177141189575195	479.0000	386.0000	799.0000	306.0000	259.0000	561.0000	117.0000	118.0000	64.0000	580.0000	0.1393	0.1101	0.1031	0.0659	0.0653	0.0560	0.0536	0.0404	0.0305	0.0270	2	4	
10	446	0.20078550279140472	799	3.056155204772949	446.0000	64.0000	799.0000	443.0000	479.0000	0.0000	449.0000	86.0000	386.0000	306.0000	0.2008	0.1404	0.1140	0.0933	0.0738	0.0429	0.0415	0.0311	0.0252	0.0191	2	5	
11	799	0.22546185553073883	799	3.3908588886260986	799.0000	0.0000	306.0000	446.0000	12.0000	929.0000	199.0000	86.0000	685.0000	724.0000	0.2255	0.1807	0.0627	0.0454	0.0406	0.0341	0.0330	0.0280	0.0203	0.0173	0	5	
12	449	0.3145518898963928	799	3.1340203285217285	449.0000	86.0000	118.0000	306.0000	446.0000	561.0000	872.0000	297.0000	626.0000	64.0000	0.3146	0.0809	0.0640	0.0594	0.0514	0.0508	0.0390	0.0273	0.0231	0.0221	17	6	
13	306	0.22076524794101715	799	3.043541669845581	306.0000	942.0000	799.0000	12.0000	86.0000	446.0000	561.0000	118.0000	580.0000	449.0000	0.2208	0.0997	0.0915	0.0911	0.0737	0.0618	0.0576	0.0464	0.0293	0.0191	2	6	
14	118	0.5531193017959595	799	1.9177131652832031	118.0000	306.0000	479.0000	69.0000	86.0000	446.0000	466.0000	872.0000	449.0000	500.0000	0.5531	0.1261	0.0827	0.0368	0.0345	0.0257	0.0218	0.0136	0.0100	0.0073	14	7	
15	306	0.3572843074798584	799	2.754418134689331	306.0000	118.0000	799.0000	86.0000	724.0000	500.0000	561.0000	199.0000	479.0000	466.0000	0.3573	0.1197	0.0736	0.0614	0.0543	0.0378	0.0311	0.0281	0.0259	0.0169	2	7	
16	118	0.24848252534866333	799	2.594595432281494	118.0000	449.0000	500.0000	0.0000	479.0000	201.0000	446.0000	799.0000	306.0000	888.0000	0.2485	0.2170	0.1773	0.0689	0.0437	0.0387	0.0191	0.0173	0.0125	0.0110	7	8	
17	500	0.2994348406791687	799	2.245609760284424	500.0000	0.0000	799.0000	479.0000	118.0000	201.0000	888.0000	306.0000	466.0000	449.0000	0.2994	0.2646	0.1241	0.0721	0.0517	0.0341	0.0217	0.0162	0.0160	0.0148	2	8	
18	626	0.2485084980726242	799	2.996286392211914	626.0000	446.0000	479.0000	118.0000	0.0000	86.0000	724.0000	500.0000	201.0000	799.0000	0.2485	0.2027	0.0672	0.0566	0.0427	0.0369	0.0356	0.0296	0.0258	0.0257	9	9	
19	724	0.6081112623214722	799	2.0320544242858887	724.0000	799.0000	201.0000	561.0000	446.0000	500.0000	190.0000	86.0000	515.0000	782.0000	0.6081	0.0717	0.0518	0.0372	0.0362	0.0217	0.0128	0.0114	0.0087	0.0075	1	9	
20	306	0.4817454218864441	799	1.8568782806396484	306.0000	118.0000	479.0000	500.0000	0.0000	708.0000	449.0000	27.0000	86.0000	466.0000	0.4817	0.2115	0.0905	0.0412	0.0294	0.0196	0.0194	0.0181	0.0147	0.0106	16	10	
21	306	0.8137314915657043	799	0.9889453649520874	306.0000	500.0000	466.0000	942.0000	0.0000	799.0000	708.0000	118.0000	479.0000	86.0000	0.8137	0.0400	0.0363	0.0175	0.0132	0.0120	0.0102	0.0079	0.0065	0.0062	5	10	
22	118	0.4971620440483093	799	1.979034662246704	118.0000	446.0000	685.0000	0.0000	27.0000	799.0000	306.0000	724.0000	443.0000	500.0000	0.4972	0.1600	0.0891	0.0539	0.0357	0.0317	0.0156	0.0099	0.0099	0.0097	5	11	
23	942	0.3535327613353729	799	2.5840373039245605	942.0000	799.0000	12.0000	685.0000	27.0000	306.0000	561.0000	724.0000	0.0000	446.0000	0.3535	0.1600	0.0627	0.0483	0.0354	0.0354	0.0320	0.0313	0.0273	0.0263	1	11	
24	479	0.2621256113052368	799	2.6076407432556152	479.0000	86.0000	118.0000	446.0000	91.0000	0.0000	286.0000	724.0000	626.0000	443.0000	0.2621	0.2445	0.1097	0.0731	0.0431	0.0309	0.0222	0.0206	0.0203	0.0145	44	12	
25	86	0.47499579191207886	799	2.2207372188568115	86.0000	91.0000	446.0000	479.0000	118.0000	500.0000	286.0000	306.0000	27.0000	942.0000	0.4750	0.1275	0.0600	0.0594	0.0453	0.0430	0.0212	0.0175	0.0165	0.0147	18	12	
26	118	0.7583839297294617	799	1.301788330078125	118.0000	500.0000	0.0000	708.0000	306.0000	86.0000	685.0000	531.0000	446.0000	69.0000	0.7584	0.0747	0.0218	0.0214	0.0145	0.0123	0.0080	0.0071	0.0067	0.0055	24	13	
27	500	0.4471450746059418	799	2.0253474712371826	500.0000	0.0000	708.0000	306.0000	799.0000	118.0000	190.0000	91.0000	531.0000	86.0000	0.4471	0.2712	0.0630	0.0332	0.0232	0.0183	0.0153	0.0128	0.0083	0.0075	4	13	
28	86	0.8351095914840698	799	0.7138874530792236	86.0000	306.0000	479.0000	199.0000	118.0000	466.0000	799.0000	500.0000	872.0000	446.0000	0.8351	0.0683	0.0507	0.0138	0.0130	0.0070	0.0041	0.0032	0.0010	0.0009	6	14	
29	86	0.5987113118171692	799	1.3160935640335083	86.0000	306.0000	199.0000	500.0000	799.0000	479.0000	118.0000	708.0000	466.0000	446.0000	0.5987	0.2051	0.0655	0.0499	0.0248	0.0231	0.0108	0.0081	0.0067	0.0017	4	14	
30	86	0.5531998872756958	799	1.2731367349624634	86.0000	479.0000	466.0000	500.0000	306.0000	91.0000	799.0000	446.0000	872.0000	118.0000	0.5532	0.3250	0.0250	0.0196	0.0148	0.0114	0.0104	0.0089	0.0049	0.0043	6	15	
31	86	0.6263048648834229	799	1.4504010677337646	86.0000	500.0000	479.0000	306.0000	91.0000	466.0000	799.0000	888.0000	199.0000	118.0000	0.6263	0.1375	0.0590	0.0367	0.0360	0.0272	0.0259	0.0191	0.0087	0.0036	6	15	
32	446	0.4731765389442444	799	1.7177841663360596	446.0000	118.0000	756.0000	500.0000	799.0000	86.0000	64.0000	708.0000	370.0000	449.0000	0.4732	0.3197	0.0277	0.0251	0.0233	0.0176	0.0108	0.0102	0.0095	0.0077	4	16	
33	500	0.5117772221565247	799	1.5121443271636963	500.0000	799.0000	561.0000	724.0000	118.0000	446.0000	466.0000	86.0000	708.0000	942.0000	0.5118	0.3116	0.0309	0.0265	0.0167	0.0160	0.0131	0.0120	0.0096	0.0095	1	16	
34	561	0.24907192587852478	799	2.7170169353485107	561.0000	479.0000	446.0000	117.0000	27.0000	802.0000	872.0000	799.0000	86.0000	118.0000	0.2491	0.1301	0.0865	0.0669	0.0654	0.0612	0.0607	0.0555	0.0337	0.0218	7	17	
35	561	0.3500511348247528	799	2.3453457355499268	561.0000	799.0000	306.0000	27.0000	942.0000	86.0000	0.0000	235.0000	724.0000	500.0000	0.3501	0.1981	0.0939	0.0468	0.0425	0.0421	0.0314	0.0304	0.0244	0.0182	1	17	
36	118	0.3701508045196533	799	1.855898380279541	118.0000	0.0000	306.0000	479.0000	33.0000	466.0000	86.0000	27.0000	500.0000	199.0000	0.3702	0.3542	0.0737	0.0325	0.0286	0.0265	0.0195	0.0182	0.0108	0.0075	25	18	
37	0	0.331356942653656	799	2.55332088470459	0.0000	199.0000	306.0000	724.0000	86.0000	118.0000	500.0000	466.0000	515.0000	534.0000	0.3314	0.0982	0.0949	0.0746	0.0705	0.0654	0.0588	0.0334	0.0328	0.0135	18	18	
38	479	0.6703149676322937	799	1.4605168104171753	479.0000	626.0000	86.0000	500.0000	561.0000	199.0000	27.0000	872.0000	117.0000	306.0000	0.6703	0.1028	0.0687	0.0298	0.0249	0.0148	0.0093	0.0091	0.0066	0.0057	11	19	
39	799	0.4358810782432556	799	1.7164156436920166	799.0000	479.0000	500.0000	782.0000	561.0000	888.0000	306.0000	86.0000	199.0000	510.0000	0.4359	0.2643	0.1135	0.0509	0.0408	0.0189	0.0147	0.0138	0.0085	0.0068	0	19	
40	0	0.618239164352417	799	1.626920223236084	0.0000	306.0000	118.0000	27.0000	86.0000	872.0000	942.0000	479.0000	487.0000	500.0000	0.6182	0.0997	0.0625	0.0524	0.0373	0.0197	0.0166	0.0155	0.0124	0.0122	17	20	
41	306	0.2567827105522156	799	2.577026844024658	306.0000	487.0000	942.0000	12.0000	86.0000	561.0000	219.0000	500.0000	799.0000	118.0000	0.2568	0.1264	0.1163	0.0913	0.0767	0.0645	0.0519	0.0401	0.0247	0.0218	8	20	
42	86	0.5236470103263855	799	1.978029489517212	86.0000	306.0000	479.0000	118.0000	799.0000	466.0000	602.0000	27.0000	443.0000	91.0000	0.5236	0.0915	0.0881	0.0664	0.0509	0.0385	0.0172	0.0148	0.0147	0.0107	4	21	
43	724	0.24294407665729523	799	2.517059326171875	724.0000	799.0000	86.0000	515.0000	942.0000	306.0000	500.0000	602.0000	235.0000	561.0000	0.2429	0.1790	0.1641	0.0843	0.0753	0.0419	0.0414	0.0317	0.0157	0.0149	1	21	
44	799	0.5318117737770081	799	1.7727572917938232	799.0000	500.0000	479.0000	306.0000	0.0000	59.0000	118.0000	286.0000	386.0000	86.0000	0.5318	0.1642	0.1033	0.0329	0.0271	0.0228	0.0160	0.0159	0.0158	0.0123	0	22	
45	799	0.927010715007782	799	0.3914160132408142	799.0000	500.0000	479.0000	12.0000	86.0000	0.0000	306.0000	708.0000	446.0000	286.0000	0.9270	0.0444	0.0068	0.0043	0.0028	0.0025	0.0018	0.0011	0.0010	0.0009	0	22	
