	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	800	0.18273603916168213	800	3.027617931365967	800.0000	933.0000	566.0000	360.0000	332.0000	667.0000	664.0000	50.0000	123.0000	480.0000	0.1827	0.1629	0.1321	0.0857	0.0572	0.0361	0.0307	0.0285	0.0271	0.0225	0	0	
1	715	0.18707451224327087	800	3.489070177078247	715.0000	2.0000	480.0000	657.0000	800.0000	933.0000	664.0000	50.0000	262.0000	637.0000	0.1871	0.0926	0.0806	0.0695	0.0569	0.0446	0.0392	0.0365	0.0351	0.0301	4	0	
2	161	0.8677235245704651	800	0.7306654453277588	161.0000	845.0000	750.0000	262.0000	56.0000	790.0000	408.0000	709.0000	533.0000	302.0000	0.8677	0.0272	0.0263	0.0235	0.0129	0.0107	0.0042	0.0027	0.0026	0.0023	23	0	
3	800	0.5387398600578308	800	1.9622361660003662	800.0000	657.0000	864.0000	715.0000	845.0000	664.0000	480.0000	210.0000	454.0000	224.0000	0.5387	0.0888	0.0887	0.0473	0.0355	0.0342	0.0305	0.0189	0.0174	0.0161	0	0	
4	715	0.7243332266807556	800	1.3402247428894043	715.0000	800.0000	657.0000	845.0000	161.0000	423.0000	262.0000	637.0000	864.0000	664.0000	0.7243	0.0603	0.0384	0.0329	0.0305	0.0245	0.0176	0.0145	0.0072	0.0066	1	0	
5	637	0.3236764669418335	800	2.2682275772094727	637.0000	715.0000	262.0000	533.0000	657.0000	790.0000	25.0000	161.0000	408.0000	709.0000	0.3237	0.2422	0.1174	0.0607	0.0570	0.0422	0.0157	0.0151	0.0139	0.0113	12	0	
6	566	0.6538944840431213	800	1.227430820465088	566.0000	151.0000	454.0000	360.0000	845.0000	800.0000	170.0000	864.0000	838.0000	263.0000	0.6539	0.1625	0.0799	0.0427	0.0239	0.0060	0.0055	0.0050	0.0032	0.0031	5	0	
7	933	0.5205166339874268	800	1.4889345169067383	933.0000	566.0000	170.0000	16.0000	800.0000	224.0000	667.0000	67.0000	664.0000	864.0000	0.5205	0.3170	0.0278	0.0274	0.0158	0.0147	0.0089	0.0068	0.0066	0.0054	4	0	
8	566	0.5155285596847534	800	1.895766258239746	566.0000	933.0000	360.0000	569.0000	224.0000	67.0000	383.0000	664.0000	16.0000	170.0000	0.5155	0.1679	0.0580	0.0450	0.0382	0.0306	0.0190	0.0155	0.0140	0.0131	10	0	
9	933	0.4574976861476898	800	1.9152510166168213	933.0000	566.0000	800.0000	667.0000	16.0000	332.0000	664.0000	224.0000	864.0000	572.0000	0.4575	0.1961	0.1012	0.0939	0.0187	0.0161	0.0129	0.0115	0.0107	0.0096	2	0	
10	637	0.20226815342903137	800	3.2099902629852295	637.0000	262.0000	790.0000	715.0000	25.0000	533.0000	657.0000	161.0000	408.0000	800.0000	0.2023	0.1039	0.0960	0.0889	0.0559	0.0549	0.0525	0.0362	0.0285	0.0263	9	0	
11	800	0.3540579378604889	800	2.275400161743164	800.0000	845.0000	224.0000	664.0000	864.0000	657.0000	454.0000	566.0000	210.0000	16.0000	0.3541	0.1884	0.1016	0.0850	0.0764	0.0323	0.0250	0.0238	0.0093	0.0090	0	0	
12	667	0.19042721390724182	800	3.2045865058898926	667.0000	800.0000	933.0000	332.0000	423.0000	657.0000	664.0000	572.0000	637.0000	262.0000	0.1904	0.1455	0.0881	0.0681	0.0624	0.0460	0.0393	0.0338	0.0321	0.0255	1	0	
13	715	0.46144425868988037	800	1.7463107109069824	715.0000	800.0000	657.0000	864.0000	423.0000	664.0000	480.0000	815.0000	435.0000	224.0000	0.4614	0.2237	0.1442	0.0471	0.0304	0.0198	0.0111	0.0068	0.0059	0.0053	1	0	
14	800	0.44888049364089966	800	1.8380663394927979	800.0000	454.0000	815.0000	864.0000	664.0000	566.0000	359.0000	224.0000	933.0000	435.0000	0.4489	0.2157	0.1072	0.0589	0.0432	0.0324	0.0203	0.0171	0.0061	0.0056	0	0	
15	566	0.473226398229599	800	2.171419620513916	566.0000	845.0000	800.0000	151.0000	664.0000	864.0000	657.0000	454.0000	224.0000	480.0000	0.4732	0.1164	0.1141	0.0557	0.0376	0.0274	0.0261	0.0192	0.0184	0.0108	2	0	
16	657	0.35232773423194885	800	2.732478141784668	657.0000	664.0000	637.0000	800.0000	480.0000	715.0000	262.0000	864.0000	566.0000	423.0000	0.3523	0.1546	0.0778	0.0694	0.0392	0.0384	0.0245	0.0243	0.0193	0.0125	3	0	
17	566	0.2443658858537674	800	2.9516735076904297	566.0000	800.0000	715.0000	262.0000	845.0000	790.0000	637.0000	360.0000	25.0000	480.0000	0.2444	0.1101	0.1044	0.0950	0.0818	0.0369	0.0295	0.0285	0.0274	0.0259	1	0	
18	566	0.49338409304618835	800	1.8000409603118896	566.0000	800.0000	454.0000	864.0000	815.0000	16.0000	94.0000	933.0000	664.0000	170.0000	0.4934	0.1607	0.1590	0.0501	0.0224	0.0143	0.0128	0.0125	0.0096	0.0076	1	0	
19	800	0.6697404980659485	800	1.6182663440704346	800.0000	566.0000	657.0000	454.0000	933.0000	664.0000	864.0000	480.0000	815.0000	845.0000	0.6697	0.0457	0.0446	0.0323	0.0294	0.0279	0.0226	0.0222	0.0180	0.0170	0	0	
20	664	0.20574094355106354	800	3.197692632675171	664.0000	224.0000	800.0000	933.0000	566.0000	657.0000	360.0000	50.0000	438.0000	16.0000	0.2057	0.1018	0.0866	0.0708	0.0693	0.0648	0.0503	0.0419	0.0281	0.0223	2	0	
