	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	226	0.2789243459701538	803	3.558844566345215	226.0000	583.0000	191.0000	675.0000	466.0000	449.0000	253.0000	491.0000	297.0000	63.0000	0.2789	0.1792	0.0813	0.0494	0.0268	0.0205	0.0145	0.0114	0.0099	0.0084	438	0	
1	942	0.4264417886734009	803	3.5077688694000244	942.0000	449.0000	226.0000	297.0000	580.0000	802.0000	386.0000	282.0000	811.0000	466.0000	0.4264	0.0569	0.0487	0.0236	0.0199	0.0190	0.0124	0.0118	0.0114	0.0114	161	0	
2	396	0.16693711280822754	803	3.647817611694336	396.0000	583.0000	63.0000	546.0000	347.0000	226.0000	941.0000	439.0000	802.0000	4.0000	0.1669	0.1258	0.0925	0.0740	0.0627	0.0522	0.0297	0.0243	0.0162	0.0160	345	1	
3	626	0.4310697913169861	803	2.6430792808532715	626.0000	942.0000	546.0000	396.0000	282.0000	873.0000	439.0000	737.0000	941.0000	226.0000	0.4311	0.1635	0.0817	0.0461	0.0182	0.0152	0.0148	0.0137	0.0101	0.0089	163	1	
4	873	0.23010104894638062	803	4.093819618225098	873.0000	452.0000	282.0000	310.0000	811.0000	522.0000	802.0000	894.0000	0.0000	326.0000	0.2301	0.0577	0.0422	0.0383	0.0364	0.0277	0.0273	0.0241	0.0232	0.0215	144	2	
5	802	0.1547856628894806	803	4.854414939880371	802.0000	443.0000	0.0000	522.0000	441.0000	873.0000	546.0000	479.0000	452.0000	425.0000	0.1548	0.0452	0.0310	0.0289	0.0254	0.0228	0.0198	0.0194	0.0191	0.0176	43	2	
6	802	0.13072706758975983	803	4.084680080413818	802.0000	110.0000	65.0000	22.0000	522.0000	874.0000	326.0000	452.0000	479.0000	635.0000	0.1307	0.1072	0.0637	0.0510	0.0484	0.0312	0.0277	0.0258	0.0229	0.0202	86	3	
7	802	0.1881086826324463	803	3.7862539291381836	802.0000	534.0000	443.0000	781.0000	737.0000	602.0000	439.0000	628.0000	522.0000	635.0000	0.1881	0.0948	0.0828	0.0774	0.0436	0.0336	0.0323	0.0192	0.0189	0.0181	38	3	
8	583	0.3027787208557129	803	3.618795871734619	583.0000	282.0000	802.0000	310.0000	110.0000	412.0000	479.0000	63.0000	940.0000	64.0000	0.3028	0.1009	0.0709	0.0326	0.0271	0.0256	0.0249	0.0240	0.0207	0.0129	285	4	
9	808	0.552273690700531	803	2.6420657634735107	808.0000	282.0000	942.0000	602.0000	583.0000	811.0000	443.0000	310.0000	59.0000	329.0000	0.5523	0.0395	0.0339	0.0311	0.0244	0.0211	0.0193	0.0180	0.0149	0.0116	70	4	
10	110	0.3525010943412781	803	3.0099167823791504	110.0000	874.0000	22.0000	811.0000	802.0000	522.0000	737.0000	65.0000	808.0000	347.0000	0.3525	0.0910	0.0578	0.0452	0.0364	0.0356	0.0349	0.0332	0.0316	0.0305	403	5	
11	534	0.47990095615386963	803	1.9179441928863525	534.0000	802.0000	737.0000	65.0000	808.0000	439.0000	110.0000	781.0000	811.0000	942.0000	0.4799	0.2439	0.0464	0.0372	0.0307	0.0238	0.0171	0.0136	0.0132	0.0127	83	5	
12	811	0.31487467885017395	803	3.726111650466919	811.0000	75.0000	662.0000	191.0000	874.0000	675.0000	443.0000	821.0000	273.0000	595.0000	0.3149	0.0660	0.0290	0.0289	0.0274	0.0233	0.0209	0.0177	0.0177	0.0176	242	6	
13	443	0.5690554976463318	803	2.3098270893096924	443.0000	534.0000	0.0000	811.0000	449.0000	802.0000	884.0000	546.0000	439.0000	821.0000	0.5691	0.0488	0.0440	0.0403	0.0364	0.0237	0.0175	0.0148	0.0123	0.0123	91	6	
14	802	0.8471322655677795	803	0.999950647354126	802.0000	811.0000	443.0000	602.0000	234.0000	64.0000	635.0000	22.0000	310.0000	583.0000	0.8471	0.0277	0.0164	0.0099	0.0086	0.0053	0.0052	0.0050	0.0049	0.0048	100	7	
15	802	0.27990707755088806	803	2.869572401046753	802.0000	0.0000	443.0000	602.0000	534.0000	700.0000	234.0000	811.0000	781.0000	282.0000	0.2799	0.2000	0.1122	0.0434	0.0284	0.0260	0.0249	0.0203	0.0183	0.0180	104	7	
16	802	0.934797465801239	803	0.4766368269920349	802.0000	142.0000	932.0000	583.0000	203.0000	942.0000	234.0000	253.0000	872.0000	110.0000	0.9348	0.0087	0.0073	0.0069	0.0047	0.0031	0.0030	0.0028	0.0022	0.0021	117	8	
17	942	0.3273833692073822	803	1.6312366724014282	942.0000	802.0000	534.0000	546.0000	468.0000	443.0000	439.0000	626.0000	602.0000	700.0000	0.3274	0.2949	0.2703	0.0359	0.0132	0.0095	0.0092	0.0045	0.0035	0.0030	52	8	
18	802	0.821824848651886	803	0.9693584442138672	802.0000	22.0000	226.0000	811.0000	717.0000	234.0000	110.0000	666.0000	347.0000	874.0000	0.8218	0.0471	0.0466	0.0123	0.0081	0.0064	0.0062	0.0058	0.0053	0.0027	222	9	
19	443	0.2054094672203064	803	3.118178367614746	443.0000	626.0000	802.0000	546.0000	662.0000	64.0000	811.0000	534.0000	941.0000	583.0000	0.2054	0.1412	0.1351	0.0514	0.0473	0.0450	0.0336	0.0317	0.0301	0.0290	109	9	
20	802	0.9779500365257263	803	0.16586464643478394	802.0000	347.0000	312.0000	476.0000	142.0000	730.0000	104.0000	22.0000	935.0000	811.0000	0.9780	0.0106	0.0014	0.0013	0.0013	0.0005	0.0004	0.0004	0.0004	0.0002	301	10	
21	802	0.5349205732345581	803	2.2078027725219727	802.0000	546.0000	64.0000	780.0000	534.0000	811.0000	468.0000	583.0000	443.0000	234.0000	0.5349	0.1109	0.0769	0.0274	0.0247	0.0189	0.0180	0.0170	0.0118	0.0101	111	10	
22	802	0.6326966285705566	803	1.9918519258499146	802.0000	443.0000	65.0000	110.0000	226.0000	129.0000	635.0000	476.0000	232.0000	64.0000	0.6327	0.0816	0.0617	0.0249	0.0163	0.0153	0.0088	0.0088	0.0072	0.0069	92	11	
23	443	0.37836509943008423	803	2.6543495655059814	443.0000	802.0000	65.0000	64.0000	781.0000	476.0000	626.0000	468.0000	297.0000	534.0000	0.3784	0.1694	0.1187	0.0461	0.0275	0.0266	0.0129	0.0118	0.0115	0.0103	58	11	
24	802	0.31458529829978943	803	3.301398754119873	802.0000	65.0000	234.0000	449.0000	932.0000	583.0000	811.0000	226.0000	110.0000	22.0000	0.3146	0.0655	0.0650	0.0632	0.0503	0.0411	0.0315	0.0282	0.0272	0.0244	543	12	
