	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	789	0.2151816338300705	804	3.364985704421997	789.0000	528.0000	282.0000	942.0000	759.0000	472.0000	310.0000	0.0000	811.0000	837.0000	0.2152	0.1496	0.0936	0.0785	0.0488	0.0384	0.0337	0.0267	0.0223	0.0169	558	0	
1	282	0.340472936630249	804	2.064168691635132	282.0000	789.0000	942.0000	528.0000	810.0000	627.0000	235.0000	324.0000	470.0000	0.0000	0.3405	0.2352	0.2151	0.0319	0.0258	0.0183	0.0163	0.0146	0.0132	0.0120	261	1	
2	0	0.4183550477027893	804	2.763737201690674	0.0000	528.0000	744.0000	865.0000	789.0000	324.0000	532.0000	810.0000	759.0000	524.0000	0.4184	0.1362	0.0579	0.0473	0.0312	0.0228	0.0182	0.0167	0.0140	0.0136	393	2	
3	471	0.4331887364387512	804	1.3452949523925781	471.0000	789.0000	627.0000	854.0000	181.0000	837.0000	310.0000	478.0000	720.0000	347.0000	0.4332	0.4311	0.0473	0.0152	0.0122	0.0094	0.0089	0.0054	0.0054	0.0052	220	3	
4	635	0.7022461295127869	804	1.3037084341049194	635.0000	942.0000	282.0000	528.0000	324.0000	789.0000	810.0000	0.0000	347.0000	771.0000	0.7022	0.1367	0.0380	0.0335	0.0116	0.0103	0.0093	0.0067	0.0040	0.0031	151	4	
5	347	0.4093499183654785	804	1.924409031867981	347.0000	854.0000	471.0000	326.0000	181.0000	837.0000	228.0000	133.0000	789.0000	810.0000	0.4093	0.2117	0.1101	0.0870	0.0543	0.0369	0.0242	0.0118	0.0086	0.0082	285	5	
6	0	0.7291643023490906	804	1.5774775743484497	0.0000	282.0000	942.0000	310.0000	789.0000	635.0000	744.0000	837.0000	771.0000	524.0000	0.7292	0.0468	0.0232	0.0221	0.0174	0.0148	0.0131	0.0127	0.0061	0.0059	239	6	
7	528	0.39628979563713074	804	2.0353434085845947	528.0000	347.0000	471.0000	854.0000	789.0000	282.0000	837.0000	181.0000	627.0000	0.0000	0.3963	0.1751	0.1412	0.1107	0.0793	0.0094	0.0058	0.0056	0.0049	0.0046	347	7	
8	837	0.6846963167190552	804	1.315771222114563	837.0000	854.0000	471.0000	347.0000	789.0000	282.0000	181.0000	909.0000	720.0000	326.0000	0.6847	0.1293	0.0569	0.0520	0.0124	0.0065	0.0061	0.0057	0.0056	0.0054	365	8	
9	558	0.5015869140625	804	0.9939988851547241	558.0000	282.0000	319.0000	626.0000	789.0000	181.0000	830.0000	730.0000	754.0000	335.0000	0.5016	0.4465	0.0108	0.0092	0.0081	0.0073	0.0046	0.0016	0.0013	0.0010	308	9	
10	310	0.320534884929657	804	3.353428363800049	310.0000	942.0000	528.0000	759.0000	724.0000	635.0000	837.0000	453.0000	563.0000	488.0000	0.3205	0.0772	0.0658	0.0484	0.0431	0.0283	0.0258	0.0190	0.0183	0.0177	139	10	
11	942	0.9432482123374939	804	0.3297842741012573	942.0000	635.0000	789.0000	759.0000	310.0000	468.0000	700.0000	528.0000	0.0000	712.0000	0.9432	0.0252	0.0106	0.0041	0.0038	0.0034	0.0029	0.0018	0.0013	0.0007	178	11	
12	789	0.4601381719112396	804	2.1170971393585205	789.0000	635.0000	942.0000	528.0000	0.0000	310.0000	282.0000	347.0000	682.0000	844.0000	0.4601	0.1353	0.1098	0.0782	0.0620	0.0255	0.0097	0.0094	0.0087	0.0065	175	12	
13	347	0.4837839603424072	804	1.4378719329833984	347.0000	471.0000	837.0000	854.0000	326.0000	720.0000	810.0000	324.0000	627.0000	411.0000	0.4838	0.2049	0.1865	0.0834	0.0138	0.0080	0.0038	0.0025	0.0020	0.0015	345	13	
14	0	0.3374852240085602	804	2.4033799171447754	0.0000	700.0000	729.0000	810.0000	635.0000	310.0000	759.0000	942.0000	90.0000	627.0000	0.3375	0.1582	0.1082	0.0811	0.0514	0.0390	0.0310	0.0281	0.0272	0.0209	305	14	
15	635	0.9396031498908997	804	0.35170260071754456	635.0000	942.0000	627.0000	712.0000	737.0000	644.0000	789.0000	759.0000	0.0000	468.0000	0.9396	0.0288	0.0081	0.0078	0.0049	0.0017	0.0012	0.0009	0.0006	0.0005	107	15	
16	635	0.9873374104499817	804	0.08526649326086044	635.0000	942.0000	789.0000	759.0000	793.0000	282.0000	468.0000	310.0000	471.0000	859.0000	0.9873	0.0080	0.0021	0.0011	0.0004	0.0002	0.0002	0.0002	0.0001	0.0001	114	16	
17	789	0.8370758891105652	804	0.5773755311965942	789.0000	471.0000	627.0000	810.0000	528.0000	130.0000	310.0000	635.0000	837.0000	771.0000	0.8371	0.1185	0.0359	0.0039	0.0021	0.0009	0.0005	0.0002	0.0001	0.0001	190	17	
18	471	0.6885765194892883	804	1.054246425628662	471.0000	789.0000	837.0000	627.0000	720.0000	324.0000	130.0000	347.0000	810.0000	13.0000	0.6886	0.1392	0.1286	0.0118	0.0055	0.0046	0.0031	0.0031	0.0023	0.0020	226	18	
19	471	0.5076557993888855	804	1.2054862976074219	471.0000	837.0000	282.0000	789.0000	854.0000	810.0000	6.0000	724.0000	411.0000	181.0000	0.5077	0.3825	0.0486	0.0196	0.0109	0.0035	0.0031	0.0027	0.0024	0.0020	363	19	
20	789	0.7432000041007996	804	1.1673519611358643	789.0000	528.0000	205.0000	468.0000	471.0000	478.0000	310.0000	627.0000	90.0000	837.0000	0.7432	0.0886	0.0669	0.0270	0.0132	0.0062	0.0061	0.0046	0.0042	0.0037	365	20	
21	789	0.554926872253418	804	1.80747652053833	789.0000	528.0000	884.0000	759.0000	549.0000	420.0000	282.0000	471.0000	712.0000	472.0000	0.5549	0.1332	0.0920	0.0507	0.0228	0.0205	0.0183	0.0153	0.0139	0.0132	386	21	
22	789	0.39593619108200073	804	1.8880962133407593	789.0000	942.0000	635.0000	0.0000	627.0000	13.0000	844.0000	77.0000	737.0000	471.0000	0.3959	0.2777	0.1180	0.0799	0.0281	0.0115	0.0115	0.0067	0.0059	0.0056	231	22	
23	789	0.3849962651729584	804	1.7443753480911255	789.0000	282.0000	635.0000	712.0000	942.0000	759.0000	859.0000	0.0000	810.0000	700.0000	0.3850	0.2366	0.2304	0.0269	0.0195	0.0191	0.0171	0.0113	0.0087	0.0074	215	23	
24	528	0.40206924080848694	804	1.719297170639038	528.0000	789.0000	0.0000	635.0000	420.0000	942.0000	810.0000	759.0000	793.0000	700.0000	0.4021	0.3593	0.0594	0.0429	0.0243	0.0157	0.0157	0.0130	0.0093	0.0087	193	24	
