	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	217	0.1167256087064743	806	4.117762088775635	217.0000	528.0000	282.0000	205.0000	844.0000	532.0000	711.0000	153.0000	639.0000	521.0000	0.1167	0.1094	0.0973	0.0702	0.0638	0.0368	0.0299	0.0236	0.0182	0.0179	214	0	
1	282	0.2628522515296936	806	4.004642486572266	282.0000	789.0000	0.0000	626.0000	471.0000	627.0000	532.0000	205.0000	528.0000	873.0000	0.2629	0.1113	0.0501	0.0457	0.0306	0.0295	0.0285	0.0139	0.0115	0.0099	242	0	
2	412	0.08451522141695023	806	5.157888412475586	412.0000	443.0000	234.0000	468.0000	942.0000	840.0000	789.0000	11.0000	282.0000	0.0000	0.0845	0.0364	0.0311	0.0260	0.0245	0.0225	0.0203	0.0192	0.0188	0.0164	320	1	
3	626	0.1011730432510376	806	4.317056179046631	626.0000	0.0000	297.0000	638.0000	449.0000	468.0000	789.0000	561.0000	942.0000	282.0000	0.1012	0.0842	0.0684	0.0547	0.0339	0.0285	0.0269	0.0248	0.0239	0.0231	167	1	
4	0	0.09119489789009094	806	4.592918395996094	0.0000	425.0000	865.0000	532.0000	205.0000	744.0000	235.0000	443.0000	789.0000	582.0000	0.0912	0.0656	0.0592	0.0432	0.0317	0.0295	0.0287	0.0246	0.0217	0.0198	209	2	
5	720	0.20464687049388885	806	3.2280097007751465	720.0000	297.0000	789.0000	626.0000	0.0000	638.0000	490.0000	452.0000	932.0000	235.0000	0.2046	0.1578	0.1380	0.0868	0.0479	0.0345	0.0289	0.0135	0.0133	0.0127	194	2	
6	425	0.392294704914093	806	2.932283401489258	425.0000	0.0000	865.0000	320.0000	117.0000	756.0000	234.0000	282.0000	449.0000	700.0000	0.3923	0.1226	0.0663	0.0608	0.0251	0.0204	0.0157	0.0155	0.0147	0.0141	49	3	
7	425	0.24520963430404663	806	3.0426435470581055	425.0000	282.0000	320.0000	744.0000	0.0000	638.0000	789.0000	297.0000	859.0000	452.0000	0.2452	0.1080	0.0949	0.0926	0.0706	0.0381	0.0357	0.0285	0.0253	0.0215	42	3	
8	865	0.25718408823013306	806	2.7510318756103516	865.0000	744.0000	425.0000	320.0000	0.0000	282.0000	234.0000	232.0000	412.0000	638.0000	0.2572	0.1843	0.1215	0.1135	0.0629	0.0196	0.0156	0.0144	0.0136	0.0134	88	4	
9	744	0.17509885132312775	806	3.0955846309661865	744.0000	425.0000	638.0000	320.0000	0.0000	576.0000	282.0000	865.0000	324.0000	505.0000	0.1751	0.1699	0.1260	0.0607	0.0548	0.0541	0.0451	0.0382	0.0234	0.0211	84	4	
