	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	0	0.17396582663059235	808	4.467323303222656	0.0000	239.0000	888.0000	285.0000	443.0000	528.0000	449.0000	811.0000	844.0000	626.0000	0.1740	0.0855	0.0535	0.0287	0.0284	0.0269	0.0225	0.0217	0.0188	0.0168	118	0	
1	528	0.07829795032739639	808	4.362804412841797	528.0000	523.0000	85.0000	58.0000	626.0000	326.0000	819.0000	320.0000	329.0000	522.0000	0.0783	0.0671	0.0665	0.0390	0.0379	0.0366	0.0314	0.0296	0.0277	0.0270	87	0	
2	0	0.07886204868555069	808	4.897797107696533	0.0000	528.0000	888.0000	239.0000	282.0000	844.0000	811.0000	626.0000	532.0000	523.0000	0.0789	0.0764	0.0425	0.0370	0.0309	0.0226	0.0214	0.0213	0.0206	0.0197	86	0	
3	282	0.2950529456138611	808	3.9595565795898438	282.0000	453.0000	626.0000	811.0000	528.0000	385.0000	532.0000	523.0000	896.0000	854.0000	0.2951	0.0815	0.0516	0.0468	0.0430	0.0175	0.0130	0.0119	0.0117	0.0113	194	0	
4	58	0.35458895564079285	808	3.3573522567749023	58.0000	320.0000	528.0000	326.0000	819.0000	807.0000	639.0000	854.0000	532.0000	51.0000	0.3546	0.0562	0.0433	0.0415	0.0407	0.0306	0.0247	0.0227	0.0224	0.0192	80	0	
5	58	0.20338086783885956	808	4.518406867980957	58.0000	273.0000	523.0000	532.0000	0.0000	329.0000	744.0000	811.0000	865.0000	819.0000	0.2034	0.0522	0.0413	0.0397	0.0245	0.0214	0.0199	0.0194	0.0185	0.0179	39	0	
6	282	0.17618384957313538	808	3.6319386959075928	282.0000	626.0000	297.0000	364.0000	528.0000	552.0000	449.0000	453.0000	734.0000	483.0000	0.1762	0.1409	0.1286	0.0611	0.0371	0.0332	0.0246	0.0203	0.0200	0.0183	111	0	
7	120	0.31665316224098206	808	3.2484703063964844	120.0000	576.0000	522.0000	605.0000	694.0000	682.0000	449.0000	729.0000	164.0000	544.0000	0.3167	0.1020	0.0980	0.0917	0.0370	0.0324	0.0210	0.0147	0.0104	0.0097	69	0	
8	523	0.07386105507612228	808	4.547983169555664	523.0000	0.0000	626.0000	532.0000	329.0000	58.0000	528.0000	326.0000	490.0000	720.0000	0.0739	0.0585	0.0512	0.0463	0.0460	0.0394	0.0384	0.0319	0.0246	0.0218	88	0	
9	523	0.0739440768957138	808	4.255340099334717	523.0000	329.0000	58.0000	131.0000	626.0000	522.0000	85.0000	0.0000	326.0000	729.0000	0.0739	0.0600	0.0520	0.0435	0.0431	0.0414	0.0401	0.0396	0.0368	0.0328	72	0	
10	85	0.11604075878858566	808	4.225763320922852	85.0000	523.0000	528.0000	522.0000	819.0000	247.0000	532.0000	543.0000	808.0000	521.0000	0.1160	0.1136	0.0823	0.0454	0.0377	0.0295	0.0281	0.0243	0.0228	0.0200	8	0	
11	0	0.05686090141534805	808	5.229528903961182	0.0000	811.0000	528.0000	282.0000	443.0000	703.0000	285.0000	523.0000	945.0000	468.0000	0.0569	0.0407	0.0392	0.0341	0.0264	0.0247	0.0230	0.0213	0.0182	0.0170	97	0	
12	58	0.1616116464138031	808	4.014535427093506	58.0000	523.0000	282.0000	854.0000	639.0000	85.0000	528.0000	0.0000	744.0000	320.0000	0.1616	0.1153	0.0377	0.0329	0.0294	0.0283	0.0269	0.0267	0.0260	0.0233	85	0	
13	522	0.09209580719470978	808	4.8726115226745605	522.0000	521.0000	0.0000	945.0000	808.0000	523.0000	488.0000	285.0000	884.0000	528.0000	0.0921	0.0767	0.0447	0.0380	0.0303	0.0295	0.0283	0.0228	0.0205	0.0185	4	0	
14	819	0.1547580510377884	808	3.7176036834716797	819.0000	58.0000	326.0000	523.0000	522.0000	521.0000	807.0000	320.0000	0.0000	329.0000	0.1548	0.1308	0.0860	0.0549	0.0485	0.0434	0.0298	0.0296	0.0262	0.0258	31	0	
15	528	0.21247409284114838	808	3.4366416931152344	528.0000	282.0000	297.0000	449.0000	443.0000	626.0000	919.0000	734.0000	873.0000	884.0000	0.2125	0.1726	0.1030	0.0410	0.0315	0.0290	0.0288	0.0285	0.0252	0.0205	253	0	
16	449	0.28395065665245056	808	3.176379442214966	449.0000	528.0000	91.0000	919.0000	297.0000	443.0000	6.0000	466.0000	917.0000	583.0000	0.2840	0.1017	0.0916	0.0752	0.0682	0.0352	0.0313	0.0247	0.0177	0.0166	236	0	
17	58	0.6457363367080688	808	1.9415318965911865	58.0000	744.0000	329.0000	523.0000	0.0000	819.0000	326.0000	521.0000	639.0000	524.0000	0.6457	0.0593	0.0347	0.0310	0.0299	0.0131	0.0120	0.0116	0.0106	0.0101	41	0	
18	364	0.19598416984081268	808	4.195526123046875	364.0000	449.0000	297.0000	226.0000	6.0000	662.0000	884.0000	466.0000	91.0000	888.0000	0.1960	0.0734	0.0452	0.0440	0.0322	0.0318	0.0310	0.0280	0.0267	0.0240	67	0	
19	282	0.16717520356178284	808	3.7600150108337402	282.0000	58.0000	744.0000	254.0000	320.0000	854.0000	819.0000	326.0000	639.0000	807.0000	0.1672	0.1399	0.0561	0.0470	0.0418	0.0399	0.0395	0.0385	0.0277	0.0204	193	0	
20	58	0.13430659472942352	808	4.818486213684082	58.0000	285.0000	523.0000	273.0000	811.0000	819.0000	0.0000	854.0000	329.0000	320.0000	0.1343	0.0551	0.0384	0.0334	0.0317	0.0288	0.0256	0.0227	0.0205	0.0172	30	0	
21	282	0.20642462372779846	808	4.020706653594971	282.0000	811.0000	528.0000	874.0000	453.0000	385.0000	719.0000	647.0000	532.0000	826.0000	0.2064	0.1091	0.0833	0.0590	0.0234	0.0218	0.0214	0.0194	0.0179	0.0163	245	0	
22	844	0.12075552344322205	808	3.9947445392608643	844.0000	626.0000	282.0000	522.0000	941.0000	297.0000	75.0000	205.0000	449.0000	488.0000	0.1208	0.0940	0.0857	0.0750	0.0721	0.0451	0.0440	0.0321	0.0222	0.0189	18	0	
23	0	0.4234200417995453	808	2.916241407394409	0.0000	58.0000	329.0000	744.0000	521.0000	326.0000	532.0000	802.0000	942.0000	522.0000	0.4234	0.1267	0.0313	0.0311	0.0292	0.0242	0.0199	0.0189	0.0161	0.0160	54	0	
24	58	0.561728298664093	808	2.508397102355957	58.0000	854.0000	744.0000	0.0000	320.0000	532.0000	329.0000	639.0000	326.0000	811.0000	0.5617	0.0499	0.0305	0.0232	0.0230	0.0196	0.0186	0.0175	0.0154	0.0149	93	0	
25	0	0.4003680646419525	808	3.266923666000366	0.0000	58.0000	522.0000	523.0000	811.0000	524.0000	521.0000	443.0000	532.0000	744.0000	0.4004	0.1097	0.0313	0.0305	0.0276	0.0227	0.0194	0.0177	0.0159	0.0142	34	0	
26	0	0.14205017685890198	808	4.783308029174805	0.0000	942.0000	75.0000	888.0000	239.0000	468.0000	552.0000	449.0000	215.0000	6.0000	0.1421	0.0462	0.0365	0.0354	0.0329	0.0278	0.0270	0.0234	0.0221	0.0207	95	0	
27	523	0.06988698989152908	808	5.078082084655762	523.0000	808.0000	522.0000	521.0000	285.0000	85.0000	945.0000	844.0000	247.0000	488.0000	0.0699	0.0390	0.0377	0.0361	0.0284	0.0277	0.0273	0.0211	0.0200	0.0179	1	0	
28	297	0.11897603422403336	808	4.285675048828125	297.0000	626.0000	528.0000	282.0000	884.0000	941.0000	552.0000	449.0000	844.0000	522.0000	0.1190	0.0863	0.0604	0.0564	0.0457	0.0420	0.0389	0.0337	0.0239	0.0220	64	0	
29	0	0.48481008410453796	808	3.3852651119232178	0.0000	888.0000	942.0000	449.0000	468.0000	655.0000	532.0000	443.0000	637.0000	528.0000	0.4848	0.0376	0.0242	0.0211	0.0179	0.0174	0.0100	0.0095	0.0092	0.0087	71	0	
30	285	0.039447929710149765	808	5.665050506591797	285.0000	503.0000	510.0000	797.0000	646.0000	945.0000	679.0000	273.0000	808.0000	884.0000	0.0394	0.0288	0.0286	0.0252	0.0247	0.0193	0.0166	0.0155	0.0144	0.0139	8	0	
31	0	0.3838290870189667	808	3.8024685382843018	0.0000	942.0000	888.0000	468.0000	443.0000	811.0000	655.0000	449.0000	945.0000	523.0000	0.3838	0.0325	0.0305	0.0229	0.0220	0.0168	0.0149	0.0149	0.0145	0.0135	57	0	
32	449	0.1081508919596672	808	4.776663303375244	449.0000	488.0000	873.0000	479.0000	0.0000	811.0000	521.0000	329.0000	808.0000	226.0000	0.1082	0.0449	0.0401	0.0370	0.0358	0.0289	0.0265	0.0259	0.0219	0.0203	8	1	
33	329	0.17345723509788513	808	3.842679023742676	329.0000	810.0000	472.0000	811.0000	942.0000	789.0000	700.0000	807.0000	452.0000	282.0000	0.1735	0.1239	0.0673	0.0534	0.0489	0.0472	0.0440	0.0251	0.0198	0.0180	233	1	
34	75	0.09564022719860077	808	4.415523529052734	75.0000	811.0000	449.0000	239.0000	888.0000	329.0000	655.0000	521.0000	215.0000	307.0000	0.0956	0.0860	0.0643	0.0639	0.0399	0.0383	0.0354	0.0340	0.0245	0.0187	16	1	
35	811	0.7058113217353821	808	1.8415526151657104	811.0000	282.0000	329.0000	476.0000	364.0000	510.0000	854.0000	524.0000	307.0000	479.0000	0.7058	0.0398	0.0381	0.0178	0.0119	0.0115	0.0097	0.0077	0.0067	0.0063	20	1	
36	425	0.21248576045036316	808	3.486713171005249	425.0000	744.0000	452.0000	282.0000	810.0000	329.0000	811.0000	524.0000	58.0000	859.0000	0.2125	0.1290	0.1080	0.0803	0.0374	0.0289	0.0252	0.0243	0.0199	0.0198	161	1	
37	273	0.08648835867643356	808	4.781363487243652	273.0000	329.0000	945.0000	521.0000	942.0000	468.0000	888.0000	235.0000	488.0000	655.0000	0.0865	0.0571	0.0545	0.0400	0.0301	0.0300	0.0294	0.0293	0.0194	0.0182	28	1	
38	873	0.7127456665039062	808	1.7214512825012207	873.0000	297.0000	232.0000	443.0000	884.0000	942.0000	226.0000	91.0000	917.0000	466.0000	0.7127	0.0514	0.0187	0.0159	0.0128	0.0116	0.0108	0.0106	0.0105	0.0100	117	1	
39	884	0.10562864691019058	808	4.283285140991211	884.0000	873.0000	449.0000	919.0000	282.0000	226.0000	443.0000	232.0000	91.0000	811.0000	0.1056	0.0822	0.0676	0.0533	0.0515	0.0491	0.0413	0.0377	0.0373	0.0363	43	1	
40	942	0.188705176115036	808	3.4385428428649902	942.0000	626.0000	329.0000	282.0000	546.0000	811.0000	720.0000	873.0000	534.0000	452.0000	0.1887	0.1233	0.0735	0.0726	0.0683	0.0359	0.0305	0.0286	0.0286	0.0209	229	1	
41	807	0.15380138158798218	808	3.4705052375793457	807.0000	329.0000	472.0000	700.0000	810.0000	452.0000	152.0000	942.0000	789.0000	661.0000	0.1538	0.1354	0.0854	0.0851	0.0769	0.0727	0.0219	0.0211	0.0184	0.0181	249	1	
42	626	0.06897176057100296	808	4.8729939460754395	626.0000	449.0000	510.0000	239.0000	521.0000	273.0000	808.0000	307.0000	655.0000	942.0000	0.0690	0.0609	0.0510	0.0475	0.0350	0.0338	0.0276	0.0267	0.0244	0.0198	6	1	
43	873	0.08221293240785599	808	5.1898956298828125	873.0000	811.0000	282.0000	488.0000	329.0000	676.0000	347.0000	0.0000	443.0000	521.0000	0.0822	0.0474	0.0412	0.0359	0.0300	0.0276	0.0223	0.0156	0.0143	0.0132	12	1	
