	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	582	0.046466488391160965	811	5.271570682525635	582.0000	811.0000	4.0000	426.0000	844.0000	721.0000	521.0000	273.0000	585.0000	510.0000	0.0465	0.0335	0.0303	0.0275	0.0258	0.0241	0.0216	0.0214	0.0182	0.0166	1	0	
1	811	0.9016014337539673	811	0.6056612730026245	811.0000	347.0000	131.0000	410.0000	925.0000	177.0000	874.0000	809.0000	162.0000	315.0000	0.9016	0.0367	0.0073	0.0055	0.0051	0.0042	0.0041	0.0040	0.0038	0.0038	0	0	
2	748	0.37385228276252747	811	2.1624364852905273	748.0000	191.0000	49.0000	478.0000	811.0000	673.0000	657.0000	924.0000	331.0000	483.0000	0.3739	0.3646	0.0617	0.0197	0.0107	0.0101	0.0092	0.0074	0.0073	0.0072	4	0	
3	811	0.7789425849914551	811	1.4048106670379639	811.0000	674.0000	273.0000	532.0000	75.0000	0.0000	521.0000	23.0000	716.0000	644.0000	0.7789	0.0524	0.0276	0.0208	0.0057	0.0042	0.0041	0.0040	0.0038	0.0036	0	1	
4	811	0.9951601624488831	811	0.038444556295871735	811.0000	874.0000	347.0000	131.0000	809.0000	342.0000	177.0000	57.0000	65.0000	169.0000	0.9952	0.0032	0.0006	0.0003	0.0001	0.0001	0.0001	0.0001	0.0000	0.0000	0	1	
5	191	0.43404319882392883	811	2.619197130203247	191.0000	226.0000	483.0000	181.0000	787.0000	180.0000	657.0000	811.0000	673.0000	509.0000	0.4340	0.1060	0.0974	0.0416	0.0303	0.0283	0.0196	0.0180	0.0167	0.0165	7	1	
6	811	0.6154110431671143	811	2.425635576248169	811.0000	521.0000	576.0000	232.0000	510.0000	780.0000	871.0000	391.0000	532.0000	674.0000	0.6154	0.0717	0.0257	0.0215	0.0113	0.0087	0.0080	0.0078	0.0063	0.0050	0	2	
7	811	0.9960464835166931	811	0.0324813611805439	811.0000	874.0000	809.0000	232.0000	889.0000	57.0000	331.0000	169.0000	65.0000	925.0000	0.9960	0.0024	0.0007	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0000	0	2	
8	811	0.34087133407592773	811	2.566117525100708	811.0000	191.0000	483.0000	819.0000	787.0000	169.0000	867.0000	657.0000	246.0000	226.0000	0.3409	0.2738	0.0832	0.0406	0.0329	0.0147	0.0123	0.0099	0.0094	0.0090	0	2	
9	811	0.40078744292259216	811	3.4702506065368652	811.0000	273.0000	521.0000	493.0000	232.0000	888.0000	489.0000	431.0000	716.0000	460.0000	0.4008	0.0546	0.0493	0.0335	0.0243	0.0144	0.0133	0.0128	0.0119	0.0115	0	3	
