	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	11	0.20463061332702637	814	2.903286933898926	11.0000	470.0000	499.0000	692.0000	824.0000	861.0000	13.0000	683.0000	834.0000	96.0000	0.2046	0.1772	0.1618	0.0584	0.0583	0.0496	0.0364	0.0298	0.0205	0.0200	130	0	
1	575	0.38100796937942505	814	1.9966661930084229	575.0000	470.0000	96.0000	598.0000	848.0000	861.0000	594.0000	499.0000	38.0000	943.0000	0.3810	0.2418	0.1303	0.0701	0.0438	0.0351	0.0225	0.0129	0.0068	0.0034	104	0	
2	575	0.5299652814865112	814	1.9718587398529053	575.0000	470.0000	598.0000	499.0000	594.0000	63.0000	573.0000	593.0000	675.0000	430.0000	0.5300	0.1112	0.0902	0.0608	0.0398	0.0261	0.0147	0.0109	0.0097	0.0092	45	0	
3	575	0.6804394125938416	814	1.2113208770751953	575.0000	598.0000	594.0000	848.0000	499.0000	818.0000	63.0000	938.0000	491.0000	573.0000	0.6804	0.1784	0.0557	0.0223	0.0122	0.0076	0.0042	0.0037	0.0028	0.0027	22	0	
4	353	0.37017109990119934	814	2.7184534072875977	353.0000	122.0000	818.0000	499.0000	96.0000	583.0000	339.0000	909.0000	692.0000	680.0000	0.3702	0.1443	0.0970	0.0527	0.0488	0.0285	0.0283	0.0240	0.0164	0.0127	24	1	
5	575	0.8738011121749878	814	0.741882860660553	575.0000	818.0000	353.0000	938.0000	96.0000	583.0000	678.0000	848.0000	122.0000	81.0000	0.8738	0.0317	0.0134	0.0115	0.0110	0.0087	0.0082	0.0066	0.0049	0.0036	17	1	
6	938	0.7334003448486328	814	1.1523127555847168	938.0000	499.0000	353.0000	818.0000	122.0000	593.0000	430.0000	675.0000	172.0000	598.0000	0.7334	0.0758	0.0558	0.0534	0.0271	0.0079	0.0073	0.0060	0.0056	0.0055	13	1	
7	938	0.6201165318489075	814	1.7521381378173828	938.0000	818.0000	122.0000	598.0000	353.0000	575.0000	814.0000	678.0000	901.0000	499.0000	0.6201	0.0713	0.0539	0.0362	0.0314	0.0264	0.0213	0.0207	0.0193	0.0148	6	1	
8	909	0.40753453969955444	814	2.0048089027404785	909.0000	122.0000	353.0000	499.0000	583.0000	692.0000	690.0000	471.0000	375.0000	252.0000	0.4075	0.2173	0.1378	0.0346	0.0335	0.0271	0.0213	0.0187	0.0165	0.0116	39	2	
9	575	0.6668951511383057	814	1.519514560699463	575.0000	81.0000	122.0000	96.0000	353.0000	598.0000	675.0000	909.0000	938.0000	375.0000	0.6669	0.0632	0.0585	0.0403	0.0398	0.0295	0.0225	0.0112	0.0085	0.0084	13	2	
10	430	0.30430611968040466	814	2.4034669399261475	430.0000	499.0000	598.0000	675.0000	938.0000	172.0000	575.0000	353.0000	814.0000	593.0000	0.3043	0.1260	0.0981	0.0830	0.0661	0.0646	0.0589	0.0371	0.0313	0.0300	8	2	
11	575	0.18043284118175507	814	2.749730110168457	575.0000	675.0000	491.0000	598.0000	938.0000	430.0000	814.0000	499.0000	573.0000	122.0000	0.1804	0.1521	0.0975	0.0910	0.0639	0.0609	0.0531	0.0493	0.0400	0.0367	6	2	
12	499	0.22463610768318176	814	3.0488829612731934	499.0000	470.0000	814.0000	593.0000	818.0000	430.0000	353.0000	598.0000	938.0000	37.0000	0.2246	0.0962	0.0905	0.0840	0.0684	0.0632	0.0519	0.0451	0.0247	0.0230	2	3	
13	575	0.47772204875946045	814	1.578108549118042	575.0000	598.0000	81.0000	122.0000	675.0000	814.0000	172.0000	678.0000	938.0000	470.0000	0.4777	0.2450	0.1585	0.0265	0.0245	0.0097	0.0081	0.0071	0.0065	0.0042	5	3	
14	598	0.42289406061172485	814	1.857984185218811	598.0000	575.0000	938.0000	675.0000	430.0000	593.0000	814.0000	63.0000	499.0000	594.0000	0.4229	0.2228	0.0963	0.0883	0.0424	0.0412	0.0139	0.0126	0.0099	0.0092	6	3	
15	938	0.312973290681839	814	1.9972953796386719	938.0000	598.0000	575.0000	675.0000	594.0000	430.0000	814.0000	172.0000	818.0000	122.0000	0.3130	0.3009	0.1464	0.0694	0.0369	0.0205	0.0194	0.0104	0.0096	0.0091	6	3	
16	353	0.4058966040611267	814	2.410430431365967	353.0000	499.0000	573.0000	37.0000	575.0000	470.0000	675.0000	692.0000	814.0000	203.0000	0.4059	0.1851	0.0700	0.0599	0.0403	0.0355	0.0290	0.0170	0.0120	0.0109	8	4	
17	575	0.5763697028160095	814	1.939826488494873	575.0000	355.0000	675.0000	598.0000	678.0000	573.0000	593.0000	583.0000	81.0000	353.0000	0.5764	0.1133	0.0574	0.0409	0.0304	0.0233	0.0184	0.0150	0.0118	0.0106	13	4	
18	499	0.4122833013534546	814	2.0013675689697266	499.0000	575.0000	593.0000	675.0000	430.0000	172.0000	470.0000	594.0000	573.0000	353.0000	0.4123	0.1653	0.1511	0.0664	0.0513	0.0345	0.0335	0.0208	0.0103	0.0079	11	4	
19	575	0.14920474588871002	814	3.358748435974121	575.0000	499.0000	594.0000	818.0000	573.0000	938.0000	675.0000	172.0000	430.0000	491.0000	0.1492	0.1283	0.1050	0.0919	0.0582	0.0568	0.0462	0.0460	0.0393	0.0305	10	4	
20	122	0.27711087465286255	814	2.2699084281921387	122.0000	499.0000	818.0000	353.0000	470.0000	121.0000	594.0000	37.0000	583.0000	575.0000	0.2771	0.2584	0.0952	0.0942	0.0911	0.0309	0.0303	0.0240	0.0175	0.0088	12	5	
21	598	0.2293504923582077	814	2.881326675415039	598.0000	575.0000	81.0000	824.0000	861.0000	347.0000	583.0000	353.0000	396.0000	675.0000	0.2294	0.2244	0.0882	0.0580	0.0482	0.0474	0.0270	0.0258	0.0238	0.0228	22	5	
22	499	0.3644006550312042	814	2.439774990081787	499.0000	675.0000	121.0000	598.0000	63.0000	583.0000	470.0000	938.0000	172.0000	593.0000	0.3644	0.1336	0.0843	0.0602	0.0550	0.0479	0.0370	0.0297	0.0287	0.0250	10	5	
23	594	0.2141568958759308	814	2.476344347000122	594.0000	938.0000	575.0000	499.0000	814.0000	598.0000	675.0000	818.0000	172.0000	122.0000	0.2142	0.1708	0.1543	0.1140	0.0870	0.0636	0.0251	0.0242	0.0181	0.0169	4	5	
24	353	0.7235347032546997	814	1.2066270112991333	353.0000	499.0000	122.0000	814.0000	470.0000	675.0000	575.0000	63.0000	430.0000	81.0000	0.7235	0.0710	0.0544	0.0536	0.0228	0.0180	0.0111	0.0093	0.0062	0.0057	3	6	
25	575	0.6494365334510803	814	1.4561100006103516	575.0000	466.0000	583.0000	598.0000	161.0000	81.0000	848.0000	814.0000	396.0000	669.0000	0.6494	0.0880	0.0843	0.0768	0.0237	0.0166	0.0081	0.0050	0.0045	0.0043	7	6	
26	470	0.4929471015930176	814	1.7304158210754395	470.0000	63.0000	675.0000	499.0000	598.0000	122.0000	594.0000	938.0000	430.0000	575.0000	0.4929	0.1611	0.1041	0.0779	0.0413	0.0333	0.0301	0.0215	0.0097	0.0065	10	6	
27	594	0.4276653528213501	814	2.034332513809204	594.0000	938.0000	63.0000	598.0000	675.0000	575.0000	122.0000	499.0000	814.0000	470.0000	0.4277	0.1028	0.0867	0.0864	0.0754	0.0683	0.0540	0.0250	0.0158	0.0137	8	6	
28	499	0.5675383806228638	814	1.3155043125152588	499.0000	353.0000	598.0000	575.0000	470.0000	675.0000	81.0000	122.0000	172.0000	818.0000	0.5675	0.2645	0.0588	0.0446	0.0133	0.0108	0.0097	0.0071	0.0061	0.0034	10	7	
29	598	0.7517854571342468	814	1.0887718200683594	598.0000	575.0000	81.0000	63.0000	353.0000	355.0000	938.0000	375.0000	675.0000	172.0000	0.7518	0.1111	0.0310	0.0272	0.0259	0.0064	0.0036	0.0032	0.0028	0.0027	26	7	
30	499	0.7006567716598511	814	0.9880160689353943	499.0000	598.0000	575.0000	814.0000	63.0000	593.0000	430.0000	172.0000	675.0000	353.0000	0.7007	0.1734	0.0829	0.0127	0.0092	0.0060	0.0042	0.0027	0.0020	0.0014	3	7	
31	499	0.4214949309825897	814	2.1488542556762695	499.0000	598.0000	814.0000	575.0000	430.0000	938.0000	122.0000	353.0000	63.0000	818.0000	0.4215	0.1129	0.0868	0.0682	0.0676	0.0669	0.0364	0.0317	0.0308	0.0150	2	7	
