	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	583	0.6991785764694214	818	1.7239634990692139	583.0000	675.0000	63.0000	253.0000	4.0000	226.0000	412.0000	122.0000	37.0000	873.0000	0.6992	0.0943	0.0328	0.0244	0.0085	0.0075	0.0063	0.0042	0.0039	0.0037	14	0	
1	583	0.6062316298484802	818	1.6220080852508545	583.0000	63.0000	675.0000	122.0000	818.0000	593.0000	412.0000	253.0000	626.0000	37.0000	0.6062	0.1340	0.0960	0.0615	0.0172	0.0092	0.0071	0.0058	0.0047	0.0038	4	0	
2	583	0.36180830001831055	818	2.0103683471679688	583.0000	63.0000	675.0000	412.0000	818.0000	47.0000	593.0000	662.0000	454.0000	253.0000	0.3618	0.3560	0.0783	0.0437	0.0389	0.0119	0.0085	0.0075	0.0063	0.0060	4	1	
3	63	0.6599819660186768	818	1.3124394416809082	63.0000	583.0000	675.0000	593.0000	412.0000	818.0000	37.0000	662.0000	357.0000	419.0000	0.6600	0.1931	0.0469	0.0188	0.0172	0.0168	0.0056	0.0028	0.0022	0.0018	5	1	
4	675	0.7997329235076904	818	0.6709135174751282	675.0000	583.0000	818.0000	63.0000	593.0000	196.0000	412.0000	0.0000	357.0000	47.0000	0.7997	0.1674	0.0136	0.0062	0.0041	0.0014	0.0007	0.0004	0.0004	0.0004	2	2	
5	675	0.8866977691650391	818	0.47551774978637695	675.0000	583.0000	818.0000	593.0000	63.0000	357.0000	196.0000	412.0000	122.0000	419.0000	0.8867	0.0738	0.0279	0.0048	0.0035	0.0008	0.0003	0.0002	0.0002	0.0002	2	2	
6	675	0.9459154605865479	818	0.32497745752334595	675.0000	583.0000	412.0000	63.0000	818.0000	593.0000	4.0000	253.0000	47.0000	890.0000	0.9459	0.0250	0.0048	0.0047	0.0045	0.0036	0.0035	0.0012	0.0011	0.0009	4	3	
7	675	0.9836538434028625	818	0.10455957800149918	675.0000	818.0000	593.0000	63.0000	80.0000	412.0000	583.0000	4.0000	47.0000	144.0000	0.9837	0.0109	0.0024	0.0010	0.0009	0.0003	0.0002	0.0001	0.0001	0.0001	1	3	
8	583	0.6804919242858887	818	1.4654364585876465	583.0000	675.0000	449.0000	253.0000	129.0000	593.0000	454.0000	412.0000	122.0000	219.0000	0.6805	0.1115	0.0395	0.0324	0.0289	0.0183	0.0182	0.0073	0.0060	0.0059	10	4	
9	583	0.4827602505683899	818	1.5286296606063843	583.0000	675.0000	122.0000	593.0000	454.0000	129.0000	818.0000	219.0000	419.0000	449.0000	0.4828	0.3536	0.0287	0.0195	0.0160	0.0149	0.0124	0.0103	0.0097	0.0065	6	4	
10	583	0.9548495411872864	818	0.23092308640480042	583.0000	675.0000	818.0000	593.0000	143.0000	63.0000	253.0000	375.0000	890.0000	932.0000	0.9548	0.0214	0.0213	0.0005	0.0003	0.0003	0.0003	0.0001	0.0001	0.0001	2	5	
11	675	0.3645806312561035	818	1.1566390991210938	675.0000	818.0000	583.0000	593.0000	63.0000	454.0000	144.0000	143.0000	253.0000	342.0000	0.3646	0.3412	0.2847	0.0056	0.0012	0.0002	0.0002	0.0002	0.0002	0.0001	1	5	
12	583	0.8349910974502563	818	0.5890619158744812	583.0000	818.0000	375.0000	63.0000	783.0000	205.0000	675.0000	122.0000	593.0000	678.0000	0.8350	0.1411	0.0057	0.0049	0.0023	0.0008	0.0007	0.0007	0.0006	0.0006	1	6	
13	583	0.8201758861541748	818	0.6716525554656982	583.0000	63.0000	818.0000	675.0000	593.0000	938.0000	353.0000	375.0000	144.0000	122.0000	0.8202	0.1165	0.0447	0.0056	0.0036	0.0021	0.0019	0.0009	0.0006	0.0006	2	6	
14	818	0.8320877552032471	818	0.5956165790557861	818.0000	583.0000	675.0000	593.0000	63.0000	122.0000	412.0000	375.0000	129.0000	311.0000	0.8321	0.1275	0.0175	0.0147	0.0066	0.0008	0.0003	0.0001	0.0001	0.0000	0	7	
15	818	0.9844276309013367	818	0.09620210528373718	818.0000	675.0000	593.0000	583.0000	63.0000	122.0000	412.0000	701.0000	221.0000	375.0000	0.9844	0.0102	0.0024	0.0023	0.0006	0.0000	0.0000	0.0000	0.0000	0.0000	0	7	
16	675	0.35678669810295105	818	1.414793610572815	675.0000	818.0000	583.0000	412.0000	47.0000	63.0000	232.0000	890.0000	593.0000	122.0000	0.3568	0.2857	0.2714	0.0592	0.0092	0.0040	0.0027	0.0025	0.0011	0.0009	1	8	
17	675	0.9124802350997925	818	0.3645190894603729	675.0000	818.0000	412.0000	63.0000	583.0000	593.0000	144.0000	122.0000	221.0000	232.0000	0.9125	0.0721	0.0062	0.0048	0.0015	0.0013	0.0004	0.0002	0.0002	0.0001	1	8	
