	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	282	0.349271684885025	819	2.243786096572876	282.0000	412.0000	694.0000	152.0000	396.0000	347.0000	470.0000	11.0000	720.0000	343.0000	0.3493	0.2216	0.1557	0.0781	0.0329	0.0219	0.0167	0.0137	0.0119	0.0057	50	0	
1	924	0.06549130380153656	819	5.432487964630127	924.0000	285.0000	282.0000	583.0000	347.0000	287.0000	675.0000	576.0000	811.0000	597.0000	0.0655	0.0341	0.0270	0.0243	0.0239	0.0227	0.0222	0.0197	0.0164	0.0161	84	0	
2	282	0.18678215146064758	819	4.072246074676514	282.0000	347.0000	396.0000	412.0000	534.0000	720.0000	627.0000	449.0000	65.0000	33.0000	0.1868	0.1465	0.0929	0.0346	0.0237	0.0200	0.0132	0.0130	0.0126	0.0112	124	0	
3	583	0.2639140784740448	819	4.373418807983398	583.0000	343.0000	597.0000	818.0000	235.0000	80.0000	287.0000	282.0000	113.0000	924.0000	0.2639	0.0407	0.0388	0.0329	0.0309	0.0294	0.0242	0.0179	0.0153	0.0133	134	0	
4	470	0.5826659202575684	819	1.6345152854919434	470.0000	627.0000	282.0000	941.0000	301.0000	407.0000	641.0000	75.0000	315.0000	436.0000	0.5827	0.2568	0.0323	0.0119	0.0091	0.0083	0.0069	0.0054	0.0035	0.0031	35	1	
5	348	0.8240106701850891	819	0.6548442840576172	348.0000	349.0000	285.0000	350.0000	719.0000	811.0000	85.0000	213.0000	543.0000	36.0000	0.8240	0.1451	0.0100	0.0038	0.0024	0.0013	0.0008	0.0005	0.0005	0.0004	18	1	
6	627	0.36372655630111694	819	3.6088390350341797	627.0000	470.0000	282.0000	585.0000	75.0000	532.0000	315.0000	449.0000	84.0000	884.0000	0.3637	0.0879	0.0413	0.0371	0.0290	0.0210	0.0126	0.0092	0.0091	0.0091	50	1	
7	348	0.6574681997299194	819	1.3346562385559082	348.0000	349.0000	576.0000	285.0000	719.0000	213.0000	811.0000	72.0000	854.0000	674.0000	0.6575	0.2351	0.0108	0.0081	0.0075	0.0050	0.0047	0.0044	0.0035	0.0029	38	1	
8	641	0.1918003410100937	819	4.278871536254883	641.0000	282.0000	627.0000	470.0000	371.0000	419.0000	889.0000	810.0000	453.0000	449.0000	0.1918	0.0813	0.0675	0.0450	0.0422	0.0305	0.0255	0.0224	0.0195	0.0176	73	2	
9	36	0.30446377396583557	819	3.478879928588867	36.0000	592.0000	44.0000	897.0000	285.0000	85.0000	940.0000	811.0000	808.0000	226.0000	0.3045	0.1838	0.0275	0.0270	0.0262	0.0257	0.0211	0.0158	0.0148	0.0106	14	2	
10	391	0.05250764638185501	819	5.327847480773926	391.0000	641.0000	585.0000	371.0000	627.0000	810.0000	712.0000	857.0000	470.0000	941.0000	0.0525	0.0495	0.0400	0.0342	0.0337	0.0234	0.0192	0.0169	0.0168	0.0159	46	2	
11	36	0.6011170744895935	819	2.539585590362549	36.0000	592.0000	427.0000	72.0000	110.0000	273.0000	521.0000	436.0000	235.0000	854.0000	0.6011	0.0311	0.0263	0.0217	0.0160	0.0154	0.0145	0.0113	0.0112	0.0096	43	2	
12	470	0.6131805181503296	819	2.2413926124572754	470.0000	282.0000	324.0000	941.0000	65.0000	111.0000	499.0000	310.0000	627.0000	819.0000	0.6132	0.0433	0.0257	0.0243	0.0231	0.0202	0.0201	0.0191	0.0188	0.0136	9	3	
13	348	0.2873974144458771	819	2.4291348457336426	348.0000	522.0000	44.0000	592.0000	854.0000	282.0000	427.0000	84.0000	674.0000	72.0000	0.2874	0.2528	0.0992	0.0902	0.0389	0.0323	0.0278	0.0253	0.0194	0.0185	10	3	
14	819	0.08840805292129517	819	4.094137191772461	819.0000	324.0000	470.0000	282.0000	347.0000	310.0000	111.0000	810.0000	521.0000	811.0000	0.0884	0.0805	0.0786	0.0614	0.0503	0.0484	0.0447	0.0292	0.0258	0.0208	0	3	
15	854	0.3130919337272644	819	2.874588966369629	854.0000	348.0000	72.0000	44.0000	592.0000	273.0000	415.0000	721.0000	282.0000	674.0000	0.3131	0.1259	0.0949	0.0428	0.0399	0.0386	0.0359	0.0339	0.0331	0.0287	31	3	
16	627	0.4136902689933777	819	2.3024516105651855	627.0000	282.0000	941.0000	436.0000	470.0000	942.0000	857.0000	819.0000	212.0000	811.0000	0.4137	0.1987	0.1342	0.0603	0.0253	0.0144	0.0102	0.0074	0.0064	0.0055	7	4	
17	592	0.8444459438323975	819	0.8908064365386963	592.0000	72.0000	282.0000	213.0000	854.0000	84.0000	576.0000	348.0000	744.0000	819.0000	0.8444	0.0377	0.0259	0.0171	0.0119	0.0071	0.0056	0.0050	0.0044	0.0044	9	4	
18	212	0.13874176144599915	819	4.3079752922058105	212.0000	436.0000	819.0000	215.0000	884.0000	111.0000	84.0000	614.0000	529.0000	744.0000	0.1387	0.0671	0.0659	0.0537	0.0479	0.0439	0.0340	0.0196	0.0192	0.0188	2	4	
19	72	0.20906640589237213	819	2.4370312690734863	72.0000	615.0000	854.0000	592.0000	576.0000	436.0000	427.0000	282.0000	213.0000	112.0000	0.2091	0.1477	0.1445	0.1113	0.0962	0.0927	0.0434	0.0429	0.0348	0.0140	11	4	
20	111	0.4717160761356354	819	1.1241106986999512	111.0000	470.0000	54.0000	235.0000	407.0000	371.0000	499.0000	712.0000	391.0000	810.0000	0.4717	0.4580	0.0251	0.0043	0.0041	0.0041	0.0038	0.0022	0.0019	0.0017	77	5	
21	213	0.3624606132507324	819	2.196845054626465	213.0000	719.0000	36.0000	854.0000	940.0000	576.0000	925.0000	112.0000	436.0000	282.0000	0.3625	0.2445	0.1206	0.0402	0.0368	0.0305	0.0235	0.0191	0.0155	0.0133	77	5	
22	111	0.7490491271018982	819	1.564893364906311	111.0000	470.0000	810.0000	371.0000	301.0000	712.0000	641.0000	77.0000	84.0000	407.0000	0.7490	0.0546	0.0306	0.0084	0.0079	0.0073	0.0065	0.0065	0.0055	0.0052	49	5	
23	36	0.3117784261703491	819	1.6214067935943604	36.0000	213.0000	854.0000	576.0000	282.0000	72.0000	811.0000	112.0000	719.0000	436.0000	0.3118	0.2837	0.2813	0.0416	0.0295	0.0091	0.0070	0.0051	0.0047	0.0043	73	5	
24	470	0.5427421927452087	819	2.2165932655334473	470.0000	857.0000	111.0000	941.0000	585.0000	436.0000	407.0000	75.0000	315.0000	791.0000	0.5427	0.0577	0.0468	0.0425	0.0402	0.0375	0.0308	0.0180	0.0164	0.0142	271	6	
25	285	0.5356751084327698	819	2.0695509910583496	285.0000	528.0000	676.0000	348.0000	36.0000	84.0000	282.0000	674.0000	522.0000	592.0000	0.5357	0.0825	0.0667	0.0569	0.0549	0.0286	0.0182	0.0165	0.0143	0.0119	62	6	
26	111	0.17939169704914093	819	3.378293991088867	111.0000	315.0000	857.0000	791.0000	510.0000	215.0000	84.0000	589.0000	407.0000	436.0000	0.1794	0.1191	0.1123	0.0682	0.0458	0.0452	0.0415	0.0344	0.0253	0.0248	134	6	
27	36	0.6388602256774902	819	1.7203593254089355	36.0000	285.0000	72.0000	427.0000	854.0000	84.0000	528.0000	676.0000	674.0000	719.0000	0.6389	0.0949	0.0471	0.0338	0.0250	0.0151	0.0127	0.0122	0.0121	0.0097	47	6	
28	436	0.8894463777542114	819	0.7557780146598816	436.0000	282.0000	575.0000	310.0000	627.0000	470.0000	84.0000	396.0000	529.0000	347.0000	0.8894	0.0239	0.0101	0.0081	0.0050	0.0046	0.0044	0.0042	0.0032	0.0027	13	7	
29	592	0.48225247859954834	819	0.924793541431427	592.0000	576.0000	72.0000	744.0000	36.0000	84.0000	854.0000	285.0000	0.0000	415.0000	0.4823	0.4569	0.0516	0.0038	0.0019	0.0012	0.0006	0.0003	0.0003	0.0002	26	7	
30	436	0.5828033685684204	819	2.0862202644348145	436.0000	84.0000	837.0000	324.0000	712.0000	819.0000	529.0000	782.0000	232.0000	282.0000	0.5828	0.1180	0.0387	0.0269	0.0225	0.0193	0.0158	0.0124	0.0119	0.0100	5	7	
31	576	0.8203546404838562	819	0.5634298324584961	576.0000	72.0000	592.0000	854.0000	744.0000	471.0000	810.0000	415.0000	213.0000	36.0000	0.8204	0.1583	0.0120	0.0051	0.0030	0.0003	0.0002	0.0002	0.0001	0.0001	26	7	
32	470	0.7261486053466797	819	1.2608354091644287	470.0000	436.0000	641.0000	111.0000	575.0000	85.0000	75.0000	942.0000	282.0000	315.0000	0.7261	0.1228	0.0290	0.0254	0.0191	0.0108	0.0082	0.0058	0.0055	0.0028	43	8	
33	85	0.23871301114559174	819	2.467556953430176	85.0000	576.0000	84.0000	528.0000	854.0000	44.0000	592.0000	674.0000	36.0000	110.0000	0.2387	0.2034	0.1980	0.0920	0.0585	0.0468	0.0194	0.0097	0.0094	0.0074	13	8	
34	111	0.4996952414512634	819	2.0495076179504395	111.0000	436.0000	75.0000	315.0000	585.0000	644.0000	614.0000	391.0000	84.0000	791.0000	0.4997	0.1844	0.1089	0.0184	0.0177	0.0138	0.0134	0.0096	0.0096	0.0087	55	8	
35	36	0.2737012505531311	819	2.065035820007324	36.0000	854.0000	576.0000	84.0000	213.0000	415.0000	44.0000	155.0000	85.0000	865.0000	0.2737	0.2549	0.2145	0.0919	0.0185	0.0176	0.0167	0.0144	0.0134	0.0119	61	8	
36	470	0.4468469023704529	819	1.6140213012695312	470.0000	282.0000	499.0000	528.0000	347.0000	436.0000	711.0000	385.0000	110.0000	543.0000	0.4468	0.3973	0.0278	0.0180	0.0127	0.0108	0.0098	0.0064	0.0034	0.0026	176	9	
37	576	0.6560093760490417	819	1.5347137451171875	576.0000	347.0000	110.0000	36.0000	342.0000	436.0000	85.0000	285.0000	592.0000	543.0000	0.6560	0.0813	0.0677	0.0526	0.0308	0.0212	0.0160	0.0129	0.0048	0.0047	151	9	
38	282	0.29956281185150146	819	2.712005615234375	282.0000	77.0000	727.0000	301.0000	744.0000	264.0000	470.0000	436.0000	80.0000	711.0000	0.2996	0.2299	0.0606	0.0562	0.0424	0.0379	0.0340	0.0273	0.0248	0.0135	270	9	
39	436	0.6335391998291016	819	1.4633339643478394	436.0000	576.0000	854.0000	213.0000	36.0000	304.0000	75.0000	285.0000	72.0000	110.0000	0.6335	0.0819	0.0718	0.0712	0.0711	0.0127	0.0082	0.0067	0.0051	0.0046	241	9	
40	470	0.8675490617752075	819	0.7306419610977173	470.0000	499.0000	282.0000	347.0000	874.0000	941.0000	72.0000	436.0000	324.0000	682.0000	0.8675	0.0411	0.0379	0.0092	0.0080	0.0045	0.0025	0.0025	0.0025	0.0024	51	10	
41	925	0.3998669981956482	819	2.419917583465576	925.0000	576.0000	213.0000	85.0000	44.0000	285.0000	36.0000	436.0000	703.0000	854.0000	0.3999	0.1746	0.0541	0.0516	0.0502	0.0447	0.0373	0.0188	0.0166	0.0141	41	10	
42	874	0.29276707768440247	819	3.4029617309570312	874.0000	470.0000	941.0000	84.0000	644.0000	436.0000	942.0000	744.0000	682.0000	324.0000	0.2928	0.0668	0.0658	0.0542	0.0346	0.0318	0.0308	0.0298	0.0253	0.0252	40	10	
43	213	0.6989277601242065	819	0.8992519974708557	213.0000	436.0000	576.0000	854.0000	36.0000	72.0000	112.0000	407.0000	273.0000	415.0000	0.6989	0.2427	0.0208	0.0117	0.0084	0.0032	0.0019	0.0019	0.0019	0.0005	21	10	
44	470	0.5563881993293762	819	1.8648325204849243	470.0000	627.0000	310.0000	436.0000	857.0000	529.0000	282.0000	641.0000	111.0000	85.0000	0.5564	0.1650	0.0543	0.0480	0.0354	0.0252	0.0176	0.0086	0.0079	0.0054	26	11	
45	72	0.19865968823432922	819	2.874161720275879	72.0000	285.0000	676.0000	44.0000	776.0000	36.0000	940.0000	292.0000	57.0000	592.0000	0.1987	0.1401	0.1020	0.0706	0.0697	0.0692	0.0585	0.0545	0.0358	0.0254	144	11	
46	436	0.21693578362464905	819	3.183732509613037	436.0000	529.0000	614.0000	320.0000	84.0000	315.0000	111.0000	310.0000	857.0000	627.0000	0.2169	0.1627	0.0831	0.0778	0.0733	0.0441	0.0355	0.0217	0.0181	0.0175	22	11	
47	36	0.6134476065635681	819	1.5589162111282349	36.0000	72.0000	576.0000	776.0000	213.0000	57.0000	940.0000	854.0000	44.0000	436.0000	0.6134	0.1443	0.0556	0.0458	0.0270	0.0211	0.0207	0.0118	0.0104	0.0089	208	11	
48	470	0.4397987425327301	819	2.2370760440826416	470.0000	282.0000	499.0000	75.0000	719.0000	647.0000	436.0000	857.0000	72.0000	543.0000	0.4398	0.1797	0.1642	0.0208	0.0153	0.0120	0.0103	0.0081	0.0073	0.0067	71	12	
49	285	0.38008013367652893	819	2.4339404106140137	285.0000	576.0000	592.0000	72.0000	44.0000	213.0000	719.0000	112.0000	347.0000	744.0000	0.3801	0.1389	0.0863	0.0764	0.0410	0.0394	0.0331	0.0323	0.0301	0.0218	59	12	
50	80	0.19530761241912842	819	4.040992736816406	80.0000	499.0000	719.0000	282.0000	430.0000	854.0000	470.0000	84.0000	647.0000	532.0000	0.1953	0.0487	0.0446	0.0402	0.0382	0.0369	0.0260	0.0255	0.0251	0.0232	64	12	
51	72	0.38689255714416504	819	1.5256881713867188	72.0000	576.0000	854.0000	592.0000	112.0000	44.0000	876.0000	744.0000	415.0000	273.0000	0.3869	0.3246	0.2052	0.0108	0.0089	0.0087	0.0067	0.0063	0.0059	0.0057	95	12	
52	470	0.3195164203643799	819	2.732461929321289	470.0000	111.0000	85.0000	282.0000	436.0000	942.0000	711.0000	941.0000	419.0000	819.0000	0.3195	0.2290	0.0584	0.0568	0.0503	0.0269	0.0257	0.0174	0.0130	0.0121	9	13	
53	348	0.9874832630157471	819	0.09295595437288284	348.0000	273.0000	44.0000	674.0000	576.0000	72.0000	282.0000	213.0000	347.0000	84.0000	0.9875	0.0056	0.0020	0.0010	0.0008	0.0007	0.0006	0.0005	0.0002	0.0001	18	13	
54	111	0.4412488341331482	819	2.1044511795043945	111.0000	282.0000	84.0000	532.0000	874.0000	499.0000	232.0000	470.0000	122.0000	348.0000	0.4412	0.2564	0.0917	0.0233	0.0180	0.0153	0.0132	0.0100	0.0085	0.0084	24	13	
55	273	0.3299151360988617	819	2.0477681159973145	273.0000	854.0000	576.0000	72.0000	213.0000	282.0000	719.0000	436.0000	471.0000	626.0000	0.3299	0.2351	0.1711	0.0850	0.0507	0.0253	0.0183	0.0110	0.0102	0.0068	140	13	
56	942	0.24736598134040833	819	2.3029308319091797	942.0000	627.0000	282.0000	470.0000	727.0000	529.0000	111.0000	499.0000	941.0000	819.0000	0.2474	0.2328	0.1984	0.0994	0.0520	0.0367	0.0267	0.0070	0.0060	0.0052	9	14	
57	348	0.759151816368103	819	0.977724015712738	348.0000	592.0000	576.0000	543.0000	72.0000	84.0000	676.0000	674.0000	34.0000	394.0000	0.7592	0.1068	0.0297	0.0257	0.0256	0.0236	0.0194	0.0032	0.0016	0.0011	15	14	
58	727	0.8238523006439209	819	0.8356428742408752	727.0000	111.0000	301.0000	84.0000	77.0000	679.0000	499.0000	900.0000	942.0000	536.0000	0.8239	0.0933	0.0309	0.0078	0.0034	0.0030	0.0030	0.0027	0.0026	0.0025	33	14	
59	576	0.8776553869247437	819	0.3811591863632202	576.0000	72.0000	592.0000	854.0000	213.0000	810.0000	348.0000	324.0000	436.0000	112.0000	0.8777	0.1209	0.0009	0.0002	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	94	14	
60	111	0.131290465593338	819	3.9146249294281006	111.0000	449.0000	499.0000	301.0000	857.0000	727.0000	536.0000	791.0000	205.0000	75.0000	0.1313	0.0703	0.0559	0.0529	0.0461	0.0424	0.0411	0.0327	0.0289	0.0275	16	15	
61	348	0.3414432108402252	819	2.328033924102783	348.0000	213.0000	394.0000	436.0000	576.0000	112.0000	592.0000	776.0000	744.0000	719.0000	0.3414	0.1654	0.1521	0.0991	0.0924	0.0178	0.0108	0.0093	0.0071	0.0063	35	15	
62	536	0.27180811762809753	819	2.8829617500305176	536.0000	449.0000	301.0000	727.0000	111.0000	84.0000	0.0000	900.0000	391.0000	420.0000	0.2718	0.1302	0.1028	0.0715	0.0680	0.0569	0.0511	0.0304	0.0241	0.0181	22	15	
63	576	0.763697624206543	819	1.167917013168335	576.0000	436.0000	213.0000	854.0000	36.0000	348.0000	112.0000	860.0000	776.0000	324.0000	0.7637	0.0712	0.0463	0.0273	0.0182	0.0114	0.0080	0.0047	0.0047	0.0034	149	15	
64	111	0.24664995074272156	819	3.609778881072998	111.0000	942.0000	470.0000	529.0000	819.0000	85.0000	75.0000	310.0000	627.0000	436.0000	0.2466	0.0665	0.0664	0.0472	0.0468	0.0314	0.0296	0.0287	0.0276	0.0263	4	16	
65	615	0.3066543936729431	819	2.6940102577209473	615.0000	348.0000	576.0000	84.0000	706.0000	213.0000	874.0000	436.0000	745.0000	72.0000	0.3067	0.1031	0.1017	0.0893	0.0631	0.0334	0.0260	0.0257	0.0250	0.0210	17	16	
66	449	0.19959339499473572	819	3.4168102741241455	449.0000	811.0000	111.0000	942.0000	727.0000	72.0000	536.0000	84.0000	420.0000	529.0000	0.1996	0.1144	0.0864	0.0694	0.0506	0.0424	0.0409	0.0303	0.0264	0.0252	18	16	
67	854	0.38315680623054504	819	1.4849308729171753	854.0000	576.0000	615.0000	719.0000	213.0000	85.0000	436.0000	72.0000	282.0000	112.0000	0.3832	0.3295	0.1949	0.0232	0.0163	0.0130	0.0113	0.0091	0.0061	0.0035	35	16	
68	536	0.41224563121795654	819	2.994035482406616	536.0000	805.0000	84.0000	727.0000	77.0000	282.0000	840.0000	232.0000	529.0000	627.0000	0.4122	0.0689	0.0492	0.0443	0.0272	0.0260	0.0237	0.0213	0.0210	0.0183	50	17	
69	674	0.7560667991638184	819	1.290043592453003	674.0000	44.0000	282.0000	348.0000	285.0000	744.0000	213.0000	592.0000	273.0000	84.0000	0.7561	0.0645	0.0412	0.0210	0.0160	0.0144	0.0066	0.0063	0.0062	0.0050	61	17	
70	232	0.7588139772415161	819	1.2208049297332764	232.0000	727.0000	84.0000	536.0000	840.0000	532.0000	80.0000	744.0000	874.0000	301.0000	0.7588	0.0492	0.0454	0.0402	0.0239	0.0105	0.0104	0.0060	0.0053	0.0050	143	17	
71	854	0.9271215796470642	819	0.4241636097431183	854.0000	36.0000	312.0000	674.0000	576.0000	590.0000	415.0000	471.0000	436.0000	810.0000	0.9271	0.0274	0.0144	0.0080	0.0067	0.0025	0.0018	0.0014	0.0011	0.0011	129	17	
72	711	0.3833785057067871	819	2.440791606903076	711.0000	120.0000	585.0000	436.0000	857.0000	111.0000	529.0000	85.0000	84.0000	407.0000	0.3834	0.2088	0.0404	0.0334	0.0325	0.0322	0.0261	0.0251	0.0225	0.0191	14	18	
73	213	0.52880859375	819	2.1232495307922363	213.0000	719.0000	169.0000	436.0000	457.0000	705.0000	638.0000	706.0000	44.0000	285.0000	0.5288	0.1861	0.0600	0.0154	0.0140	0.0117	0.0089	0.0084	0.0076	0.0067	33	18	
