	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	703	0.04776020720601082	821	5.093046188354492	703.0000	583.0000	483.0000	719.0000	924.0000	673.0000	285.0000	540.0000	787.0000	551.0000	0.0478	0.0431	0.0427	0.0408	0.0362	0.0299	0.0263	0.0260	0.0195	0.0195	141	0	
1	844	0.5085101127624512	821	1.591544270515442	844.0000	528.0000	626.0000	350.0000	297.0000	721.0000	703.0000	552.0000	362.0000	453.0000	0.5085	0.2892	0.0690	0.0294	0.0257	0.0108	0.0089	0.0079	0.0055	0.0046	68	0	
2	547	0.13805235922336578	821	3.722785472869873	547.0000	716.0000	285.0000	703.0000	55.0000	676.0000	347.0000	936.0000	797.0000	924.0000	0.1381	0.1369	0.1368	0.0587	0.0411	0.0324	0.0250	0.0235	0.0230	0.0226	106	1	
3	362	0.262546181678772	821	2.5677385330200195	362.0000	453.0000	716.0000	528.0000	703.0000	61.0000	844.0000	350.0000	936.0000	821.0000	0.2625	0.1933	0.1760	0.0998	0.0572	0.0273	0.0196	0.0184	0.0119	0.0103	9	1	
4	703	0.36007821559906006	821	2.3902082443237305	703.0000	61.0000	716.0000	242.0000	528.0000	362.0000	492.0000	544.0000	673.0000	936.0000	0.3601	0.1897	0.1218	0.0815	0.0404	0.0361	0.0166	0.0119	0.0086	0.0075	15	2	
5	528	0.36868202686309814	821	2.0547311305999756	528.0000	61.0000	703.0000	716.0000	362.0000	821.0000	721.0000	844.0000	797.0000	55.0000	0.3687	0.2533	0.1205	0.0766	0.0583	0.0265	0.0071	0.0061	0.0055	0.0051	5	2	
6	492	0.15513664484024048	821	4.022305011749268	492.0000	75.0000	507.0000	936.0000	780.0000	787.0000	273.0000	821.0000	453.0000	945.0000	0.1551	0.1107	0.1046	0.0379	0.0297	0.0281	0.0260	0.0189	0.0184	0.0171	7	3	
7	821	0.29774025082588196	821	2.9727931022644043	821.0000	844.0000	241.0000	531.0000	350.0000	721.0000	273.0000	945.0000	528.0000	245.0000	0.2977	0.1559	0.0701	0.0575	0.0487	0.0368	0.0348	0.0338	0.0337	0.0156	0	3	
8	716	0.47334977984428406	821	2.3820414543151855	716.0000	936.0000	945.0000	273.0000	55.0000	821.0000	61.0000	242.0000	453.0000	264.0000	0.4733	0.1100	0.0777	0.0726	0.0451	0.0245	0.0214	0.0119	0.0113	0.0101	5	4	
9	716	0.4925057291984558	821	2.3802099227905273	716.0000	945.0000	936.0000	884.0000	61.0000	821.0000	797.0000	689.0000	931.0000	545.0000	0.4925	0.0896	0.0852	0.0515	0.0509	0.0424	0.0127	0.0085	0.0079	0.0074	5	4	
10	75	0.4120456278324127	821	1.783743143081665	75.0000	61.0000	888.0000	703.0000	55.0000	241.0000	285.0000	931.0000	540.0000	492.0000	0.4120	0.3903	0.0394	0.0355	0.0110	0.0062	0.0058	0.0054	0.0052	0.0044	53	5	
11	936	0.2555449604988098	821	3.266598701477051	936.0000	716.0000	55.0000	721.0000	945.0000	797.0000	821.0000	273.0000	61.0000	917.0000	0.2555	0.1074	0.0924	0.0623	0.0447	0.0360	0.0248	0.0234	0.0221	0.0216	6	5	
12	936	0.6023411154747009	821	1.7713022232055664	936.0000	55.0000	716.0000	931.0000	196.0000	291.0000	945.0000	507.0000	273.0000	440.0000	0.6023	0.1559	0.0692	0.0224	0.0115	0.0096	0.0094	0.0088	0.0072	0.0070	19	6	
13	350	0.28533536195755005	821	2.329378366470337	350.0000	528.0000	362.0000	716.0000	936.0000	821.0000	626.0000	194.0000	55.0000	931.0000	0.2853	0.1969	0.1408	0.1316	0.0692	0.0257	0.0203	0.0147	0.0113	0.0089	5	6	
14	492	0.12267633527517319	821	3.6722187995910645	492.0000	540.0000	703.0000	264.0000	719.0000	805.0000	924.0000	194.0000	61.0000	442.0000	0.1227	0.1184	0.0978	0.0582	0.0411	0.0408	0.0404	0.0381	0.0346	0.0321	25	7	
15	194	0.4856763780117035	821	2.298656940460205	194.0000	31.0000	483.0000	716.0000	884.0000	821.0000	924.0000	264.0000	166.0000	797.0000	0.4857	0.1634	0.0455	0.0443	0.0198	0.0191	0.0153	0.0152	0.0140	0.0120	5	7	
16	821	0.3188035488128662	821	3.352077007293701	821.0000	242.0000	797.0000	61.0000	703.0000	440.0000	787.0000	716.0000	453.0000	285.0000	0.3188	0.1006	0.0795	0.0544	0.0214	0.0204	0.0198	0.0181	0.0171	0.0169	0	8	
17	626	0.3886678218841553	821	2.2295889854431152	626.0000	821.0000	194.0000	797.0000	716.0000	890.0000	721.0000	273.0000	208.0000	297.0000	0.3887	0.2124	0.1206	0.0749	0.0275	0.0265	0.0208	0.0116	0.0096	0.0074	1	8	
18	647	0.17245055735111237	821	3.5704407691955566	647.0000	716.0000	703.0000	55.0000	540.0000	797.0000	61.0000	528.0000	945.0000	936.0000	0.1725	0.1354	0.0694	0.0604	0.0518	0.0466	0.0450	0.0448	0.0356	0.0209	26	9	
19	716	0.7018288373947144	821	1.3116786479949951	716.0000	528.0000	194.0000	55.0000	797.0000	703.0000	821.0000	890.0000	936.0000	443.0000	0.7018	0.1213	0.0529	0.0336	0.0147	0.0093	0.0068	0.0053	0.0051	0.0048	6	9	
20	945	0.3487618863582611	821	3.1481730937957764	945.0000	87.0000	55.0000	61.0000	716.0000	936.0000	888.0000	442.0000	273.0000	787.0000	0.3488	0.0834	0.0754	0.0517	0.0444	0.0338	0.0252	0.0250	0.0169	0.0149	21	10	
21	716	0.5279825329780579	821	2.3841662406921387	716.0000	176.0000	442.0000	194.0000	890.0000	55.0000	61.0000	821.0000	936.0000	273.0000	0.5280	0.0497	0.0490	0.0318	0.0300	0.0286	0.0254	0.0221	0.0183	0.0146	7	10	
22	936	0.07913091778755188	821	4.226644039154053	936.0000	945.0000	75.0000	61.0000	780.0000	472.0000	525.0000	196.0000	488.0000	582.0000	0.0791	0.0706	0.0624	0.0613	0.0511	0.0475	0.0434	0.0266	0.0248	0.0241	15	11	
23	716	0.222832590341568	821	2.8968217372894287	716.0000	797.0000	194.0000	821.0000	703.0000	75.0000	55.0000	936.0000	208.0000	273.0000	0.2228	0.2157	0.1109	0.0593	0.0506	0.0375	0.0288	0.0280	0.0247	0.0236	3	11	
24	61	0.5606938004493713	821	2.1424341201782227	61.0000	821.0000	55.0000	442.0000	716.0000	931.0000	186.0000	492.0000	787.0000	441.0000	0.5607	0.1001	0.0747	0.0357	0.0288	0.0249	0.0106	0.0103	0.0090	0.0077	1	12	
25	273	0.7897584438323975	821	1.0073519945144653	273.0000	945.0000	350.0000	721.0000	890.0000	821.0000	703.0000	443.0000	194.0000	241.0000	0.7898	0.0485	0.0450	0.0398	0.0300	0.0082	0.0050	0.0039	0.0038	0.0032	5	12	
26	453	0.8125986456871033	821	1.1597464084625244	453.0000	703.0000	75.0000	242.0000	558.0000	442.0000	517.0000	719.0000	730.0000	492.0000	0.8126	0.0337	0.0204	0.0113	0.0113	0.0109	0.0100	0.0092	0.0075	0.0074	10	13	
27	890	0.206073597073555	821	2.5620744228363037	890.0000	626.0000	194.0000	443.0000	703.0000	273.0000	208.0000	721.0000	350.0000	204.0000	0.2061	0.1790	0.1569	0.1023	0.1007	0.0555	0.0370	0.0354	0.0114	0.0112	11	13	
28	945	0.7922237515449524	821	1.219570279121399	945.0000	888.0000	716.0000	273.0000	703.0000	61.0000	196.0000	821.0000	492.0000	944.0000	0.7922	0.0324	0.0269	0.0206	0.0177	0.0171	0.0071	0.0057	0.0051	0.0050	7	14	
29	890	0.18591609597206116	821	3.2665491104125977	890.0000	194.0000	318.0000	273.0000	721.0000	716.0000	703.0000	626.0000	797.0000	241.0000	0.1859	0.1176	0.0896	0.0633	0.0610	0.0570	0.0357	0.0341	0.0337	0.0311	24	14	
30	703	0.30115821957588196	821	2.9226112365722656	703.0000	716.0000	61.0000	55.0000	936.0000	787.0000	528.0000	945.0000	924.0000	647.0000	0.3012	0.1299	0.1213	0.0969	0.0368	0.0234	0.0215	0.0186	0.0137	0.0136	17	15	
31	703	0.17096279561519623	821	3.2034244537353516	703.0000	483.0000	194.0000	61.0000	716.0000	318.0000	844.0000	821.0000	528.0000	936.0000	0.1710	0.1567	0.0674	0.0651	0.0645	0.0559	0.0535	0.0492	0.0307	0.0275	7	15	
32	945	0.24918366968631744	821	3.069683790206909	945.0000	61.0000	273.0000	936.0000	507.0000	75.0000	888.0000	510.0000	82.0000	703.0000	0.2492	0.1126	0.1034	0.0696	0.0659	0.0601	0.0457	0.0327	0.0217	0.0177	29	16	
33	821	0.2591869831085205	821	2.9248578548431396	821.0000	194.0000	208.0000	61.0000	703.0000	716.0000	890.0000	626.0000	924.0000	884.0000	0.2592	0.1075	0.1043	0.0890	0.0632	0.0516	0.0461	0.0351	0.0285	0.0228	0	16	
34	703	0.23150432109832764	821	2.6955630779266357	703.0000	273.0000	945.0000	61.0000	75.0000	944.0000	51.0000	925.0000	681.0000	488.0000	0.2315	0.1805	0.1532	0.1285	0.0456	0.0368	0.0273	0.0168	0.0131	0.0120	39	17	
35	194	0.41165581345558167	821	2.7068214416503906	194.0000	890.0000	844.0000	716.0000	945.0000	703.0000	176.0000	186.0000	821.0000	87.0000	0.4117	0.1239	0.0946	0.0356	0.0263	0.0157	0.0154	0.0151	0.0150	0.0135	8	17	
36	703	0.46391698718070984	821	2.191652774810791	703.0000	61.0000	931.0000	945.0000	273.0000	362.0000	278.0000	716.0000	936.0000	821.0000	0.4639	0.2162	0.0551	0.0327	0.0254	0.0206	0.0178	0.0144	0.0111	0.0075	9	18	
37	716	0.6293351054191589	821	1.5512733459472656	716.0000	61.0000	194.0000	890.0000	55.0000	936.0000	703.0000	350.0000	362.0000	87.0000	0.6293	0.1023	0.0968	0.0292	0.0257	0.0245	0.0223	0.0174	0.0058	0.0051	16	18	
38	75	0.2905833125114441	821	2.1607258319854736	75.0000	61.0000	936.0000	55.0000	492.0000	931.0000	719.0000	945.0000	703.0000	867.0000	0.2906	0.1994	0.1584	0.1034	0.0938	0.0326	0.0270	0.0249	0.0109	0.0104	15	19	
39	61	0.7158738970756531	821	1.5410164594650269	61.0000	821.0000	626.0000	890.0000	362.0000	168.0000	443.0000	241.0000	719.0000	194.0000	0.7159	0.0420	0.0385	0.0380	0.0164	0.0151	0.0141	0.0109	0.0068	0.0065	1	19	
40	326	0.19270731508731842	821	3.2828235626220703	326.0000	867.0000	517.0000	440.0000	854.0000	277.0000	278.0000	807.0000	203.0000	647.0000	0.1927	0.1693	0.0994	0.0823	0.0647	0.0619	0.0270	0.0259	0.0132	0.0111	152	20	
41	890	0.24126645922660828	821	2.9295172691345215	890.0000	528.0000	716.0000	194.0000	626.0000	350.0000	821.0000	721.0000	703.0000	61.0000	0.2413	0.1479	0.1470	0.0662	0.0362	0.0307	0.0296	0.0258	0.0235	0.0226	6	20	
42	821	0.7621394395828247	821	1.1855686902999878	821.0000	61.0000	936.0000	196.0000	273.0000	132.0000	945.0000	442.0000	716.0000	102.0000	0.7621	0.0753	0.0438	0.0190	0.0176	0.0154	0.0066	0.0061	0.0049	0.0044	0	21	
43	61	0.38709181547164917	821	1.9668636322021484	61.0000	821.0000	194.0000	936.0000	890.0000	703.0000	273.0000	483.0000	721.0000	176.0000	0.3871	0.3053	0.0836	0.0437	0.0278	0.0246	0.0202	0.0126	0.0093	0.0092	1	21	
44	442	0.329448938369751	821	2.4289896488189697	442.0000	821.0000	483.0000	61.0000	186.0000	55.0000	945.0000	75.0000	538.0000	716.0000	0.3294	0.1347	0.1314	0.1114	0.0871	0.0420	0.0165	0.0116	0.0088	0.0088	1	22	
45	483	0.9053500890731812	821	0.6324527263641357	483.0000	797.0000	945.0000	194.0000	924.0000	626.0000	821.0000	890.0000	31.0000	350.0000	0.9054	0.0136	0.0118	0.0098	0.0081	0.0068	0.0060	0.0051	0.0032	0.0021	6	22	
46	75	0.5294104814529419	821	1.866353154182434	75.0000	453.0000	488.0000	945.0000	362.0000	371.0000	492.0000	558.0000	61.0000	780.0000	0.5294	0.1571	0.1375	0.0255	0.0234	0.0185	0.0093	0.0077	0.0063	0.0036	12	23	
47	890	0.3512194752693176	821	2.70743727684021	890.0000	4.0000	821.0000	196.0000	87.0000	716.0000	595.0000	362.0000	528.0000	910.0000	0.3512	0.2231	0.0619	0.0371	0.0344	0.0203	0.0178	0.0146	0.0136	0.0135	2	23	
48	453	0.19275400042533875	821	3.1579055786132812	453.0000	538.0000	442.0000	441.0000	821.0000	730.0000	176.0000	780.0000	186.0000	75.0000	0.1928	0.1240	0.1026	0.0826	0.0675	0.0557	0.0369	0.0275	0.0259	0.0254	4	24	
49	821	0.9913187623023987	821	0.07507021725177765	821.0000	75.0000	531.0000	716.0000	194.0000	890.0000	55.0000	176.0000	264.0000	797.0000	0.9913	0.0021	0.0013	0.0009	0.0007	0.0006	0.0005	0.0003	0.0003	0.0002	0	24	
50	453	0.8829203844070435	821	0.6397516131401062	453.0000	517.0000	558.0000	730.0000	441.0000	945.0000	821.0000	890.0000	82.0000	61.0000	0.8829	0.0487	0.0276	0.0067	0.0033	0.0028	0.0021	0.0018	0.0016	0.0015	6	25	
51	890	0.19447819888591766	821	2.731952667236328	890.0000	721.0000	194.0000	350.0000	528.0000	591.0000	944.0000	82.0000	936.0000	716.0000	0.1945	0.1449	0.1429	0.1322	0.0599	0.0557	0.0476	0.0270	0.0256	0.0253	51	25	
52	61	0.43520089983940125	821	1.8656429052352905	61.0000	703.0000	945.0000	797.0000	51.0000	362.0000	196.0000	944.0000	936.0000	925.0000	0.4352	0.2216	0.1683	0.0305	0.0227	0.0152	0.0111	0.0098	0.0091	0.0089	17	26	
53	194	0.30619123578071594	821	2.3920488357543945	194.0000	797.0000	716.0000	55.0000	936.0000	890.0000	61.0000	424.0000	703.0000	821.0000	0.3062	0.1750	0.1480	0.0848	0.0596	0.0360	0.0318	0.0172	0.0167	0.0158	9	26	
54	453	0.4122566282749176	821	2.2083916664123535	453.0000	716.0000	442.0000	821.0000	61.0000	138.0000	730.0000	525.0000	55.0000	472.0000	0.4123	0.1640	0.1627	0.0596	0.0243	0.0184	0.0143	0.0127	0.0110	0.0093	3	27	
55	821	0.6865377426147461	821	1.0909333229064941	821.0000	716.0000	797.0000	61.0000	194.0000	55.0000	890.0000	186.0000	87.0000	931.0000	0.6865	0.2123	0.0359	0.0106	0.0099	0.0074	0.0062	0.0045	0.0038	0.0032	0	27	
56	453	0.562734842300415	821	1.714941143989563	453.0000	517.0000	716.0000	538.0000	821.0000	61.0000	945.0000	605.0000	558.0000	196.0000	0.5627	0.1837	0.0442	0.0402	0.0329	0.0298	0.0226	0.0128	0.0099	0.0086	4	28	
57	194	0.283697247505188	821	2.380650043487549	194.0000	945.0000	821.0000	703.0000	716.0000	890.0000	797.0000	273.0000	61.0000	208.0000	0.2837	0.2443	0.1555	0.0565	0.0434	0.0331	0.0205	0.0159	0.0144	0.0128	2	28	
58	716	0.7832033038139343	821	1.313589334487915	716.0000	51.0000	844.0000	821.0000	542.0000	138.0000	208.0000	797.0000	55.0000	442.0000	0.7832	0.0284	0.0251	0.0172	0.0162	0.0124	0.0100	0.0081	0.0080	0.0051	3	29	
59	208	0.16601279377937317	821	3.014143943786621	208.0000	55.0000	716.0000	194.0000	936.0000	721.0000	350.0000	925.0000	890.0000	582.0000	0.1660	0.1261	0.0994	0.0938	0.0769	0.0437	0.0420	0.0416	0.0397	0.0352	10	29	
60	453	0.591457188129425	821	1.8346166610717773	453.0000	821.0000	442.0000	716.0000	61.0000	730.0000	888.0000	196.0000	517.0000	176.0000	0.5915	0.0884	0.0684	0.0680	0.0378	0.0139	0.0122	0.0115	0.0115	0.0106	1	30	
61	821	0.380309134721756	821	2.6009984016418457	821.0000	936.0000	483.0000	194.0000	55.0000	716.0000	890.0000	318.0000	582.0000	797.0000	0.3803	0.1402	0.0617	0.0591	0.0397	0.0380	0.0344	0.0244	0.0204	0.0176	0	30	
62	453	0.6832394599914551	821	1.4865530729293823	453.0000	716.0000	442.0000	821.0000	61.0000	730.0000	888.0000	196.0000	517.0000	945.0000	0.6832	0.0668	0.0621	0.0428	0.0305	0.0134	0.0115	0.0110	0.0106	0.0103	3	31	
63	821	0.3134929835796356	821	2.727095127105713	821.0000	936.0000	716.0000	890.0000	55.0000	194.0000	582.0000	483.0000	318.0000	196.0000	0.3135	0.1486	0.1063	0.0578	0.0572	0.0538	0.0252	0.0225	0.0194	0.0166	0	31	
64	453	0.528519868850708	821	2.1070709228515625	453.0000	61.0000	716.0000	442.0000	821.0000	517.0000	888.0000	730.0000	945.0000	196.0000	0.5285	0.0791	0.0752	0.0531	0.0495	0.0234	0.0233	0.0196	0.0194	0.0147	4	32	
65	821	0.35299065709114075	821	2.715880870819092	821.0000	936.0000	55.0000	194.0000	890.0000	716.0000	582.0000	797.0000	318.0000	483.0000	0.3530	0.1374	0.0836	0.0544	0.0468	0.0431	0.0277	0.0252	0.0234	0.0139	0	32	
