	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	0	0.29243871569633484	824	4.438749313354492	0.0000	122.0000	91.0000	692.0000	235.0000	594.0000	347.0000	172.0000	701.0000	499.0000	0.2924	0.0373	0.0244	0.0229	0.0228	0.0222	0.0168	0.0150	0.0125	0.0117	43	0	
1	873	0.18650376796722412	824	4.106963157653809	873.0000	347.0000	834.0000	298.0000	861.0000	824.0000	205.0000	357.0000	692.0000	884.0000	0.1865	0.0842	0.0581	0.0555	0.0449	0.0405	0.0367	0.0282	0.0246	0.0201	5	0	
2	11	0.2834870219230652	824	3.515645980834961	11.0000	644.0000	687.0000	833.0000	515.0000	499.0000	395.0000	834.0000	13.0000	737.0000	0.2835	0.0743	0.0721	0.0500	0.0458	0.0358	0.0263	0.0256	0.0221	0.0213	43	1	
3	861	0.28414589166641235	824	3.205573320388794	861.0000	11.0000	834.0000	54.0000	683.0000	96.0000	93.0000	737.0000	499.0000	824.0000	0.2841	0.1576	0.0804	0.0469	0.0318	0.0291	0.0193	0.0192	0.0180	0.0179	9	1	
4	96	0.12057528644800186	824	4.002569675445557	96.0000	833.0000	692.0000	3.0000	11.0000	395.0000	861.0000	5.0000	74.0000	54.0000	0.1206	0.0958	0.0729	0.0694	0.0364	0.0325	0.0319	0.0280	0.0266	0.0252	62	2	
5	834	0.7779373526573181	824	1.1967108249664307	834.0000	299.0000	11.0000	861.0000	833.0000	684.0000	499.0000	687.0000	824.0000	470.0000	0.7779	0.0484	0.0424	0.0344	0.0152	0.0147	0.0042	0.0038	0.0037	0.0033	8	2	
6	499	0.18803195655345917	824	3.265406608581543	499.0000	834.0000	692.0000	11.0000	833.0000	687.0000	470.0000	594.0000	684.0000	600.0000	0.1880	0.1706	0.1099	0.0764	0.0737	0.0595	0.0217	0.0191	0.0155	0.0141	17	3	
7	834	0.7888503074645996	824	1.3080025911331177	834.0000	11.0000	299.0000	684.0000	737.0000	687.0000	861.0000	20.0000	282.0000	412.0000	0.7889	0.0428	0.0179	0.0168	0.0137	0.0116	0.0083	0.0073	0.0062	0.0055	10	3	
8	833	0.41417136788368225	824	2.4979166984558105	833.0000	11.0000	834.0000	499.0000	584.0000	395.0000	412.0000	862.0000	684.0000	789.0000	0.4142	0.2280	0.0916	0.0244	0.0140	0.0134	0.0123	0.0075	0.0072	0.0064	32	4	
9	834	0.9340420365333557	824	0.4757454991340637	834.0000	11.0000	684.0000	833.0000	231.0000	683.0000	299.0000	824.0000	861.0000	737.0000	0.9340	0.0131	0.0060	0.0052	0.0045	0.0034	0.0030	0.0025	0.0024	0.0019	7	4	
10	834	0.3255751430988312	824	2.905337333679199	834.0000	11.0000	833.0000	861.0000	299.0000	282.0000	828.0000	117.0000	692.0000	832.0000	0.3256	0.1344	0.0934	0.0897	0.0581	0.0250	0.0164	0.0142	0.0136	0.0132	12	5	
11	834	0.48724427819252014	824	1.6654577255249023	834.0000	861.0000	299.0000	231.0000	824.0000	11.0000	291.0000	412.0000	779.0000	396.0000	0.4872	0.3113	0.0504	0.0329	0.0220	0.0146	0.0092	0.0068	0.0042	0.0035	4	5	
12	11	0.7346553802490234	824	0.7663617134094238	11.0000	834.0000	63.0000	828.0000	499.0000	594.0000	353.0000	583.0000	675.0000	833.0000	0.7347	0.2377	0.0044	0.0034	0.0024	0.0013	0.0013	0.0011	0.0008	0.0007	22	6	
13	834	0.39914193749427795	824	1.8924884796142578	834.0000	11.0000	683.0000	430.0000	824.0000	63.0000	861.0000	353.0000	15.0000	412.0000	0.3991	0.3518	0.0532	0.0259	0.0219	0.0212	0.0152	0.0128	0.0083	0.0071	4	6	
14	11	0.6555967330932617	824	1.7127844095230103	11.0000	430.0000	594.0000	593.0000	828.0000	600.0000	412.0000	15.0000	172.0000	63.0000	0.6556	0.0709	0.0659	0.0383	0.0218	0.0177	0.0111	0.0099	0.0093	0.0073	31	7	
15	430	0.5331742763519287	824	2.095674991607666	430.0000	11.0000	824.0000	834.0000	412.0000	121.0000	861.0000	15.0000	683.0000	881.0000	0.5332	0.1272	0.0473	0.0390	0.0351	0.0220	0.0212	0.0196	0.0172	0.0164	2	7	
16	11	0.37810152769088745	824	1.8776650428771973	11.0000	499.0000	834.0000	687.0000	824.0000	299.0000	828.0000	470.0000	15.0000	430.0000	0.3781	0.2210	0.1749	0.1235	0.0128	0.0098	0.0093	0.0080	0.0068	0.0047	4	8	
17	824	0.3224104046821594	824	2.3523898124694824	824.0000	834.0000	11.0000	470.0000	861.0000	430.0000	499.0000	687.0000	231.0000	15.0000	0.3224	0.1888	0.1647	0.0671	0.0435	0.0397	0.0236	0.0203	0.0163	0.0130	0	8	
18	834	0.986840009689331	824	0.10712206363677979	834.0000	11.0000	609.0000	824.0000	395.0000	828.0000	701.0000	470.0000	600.0000	499.0000	0.9868	0.0025	0.0022	0.0018	0.0014	0.0012	0.0009	0.0004	0.0002	0.0002	3	9	
19	824	0.44330859184265137	824	1.6346557140350342	824.0000	834.0000	11.0000	395.0000	609.0000	430.0000	412.0000	353.0000	251.0000	470.0000	0.4433	0.3537	0.0523	0.0457	0.0255	0.0069	0.0052	0.0049	0.0048	0.0043	0	9	
20	834	0.39964112639427185	824	2.0047788619995117	834.0000	499.0000	11.0000	692.0000	833.0000	600.0000	828.0000	687.0000	122.0000	395.0000	0.3996	0.2414	0.1160	0.0534	0.0400	0.0281	0.0267	0.0138	0.0124	0.0062	15	10	
21	834	0.8669154644012451	824	0.7617802619934082	834.0000	824.0000	861.0000	499.0000	470.0000	11.0000	395.0000	251.0000	832.0000	430.0000	0.8669	0.0398	0.0237	0.0180	0.0065	0.0057	0.0045	0.0029	0.0027	0.0024	1	10	
22	834	0.11782601475715637	824	3.5442986488342285	834.0000	11.0000	499.0000	600.0000	15.0000	861.0000	824.0000	828.0000	584.0000	594.0000	0.1178	0.1088	0.0744	0.0662	0.0609	0.0489	0.0477	0.0467	0.0371	0.0334	6	11	
23	824	0.5037146806716919	824	1.8421986103057861	824.0000	861.0000	834.0000	251.0000	231.0000	15.0000	93.0000	513.0000	779.0000	832.0000	0.5037	0.2505	0.0667	0.0201	0.0190	0.0160	0.0103	0.0086	0.0083	0.0074	0	11	
24	11	0.9340914487838745	824	0.41021817922592163	11.0000	499.0000	470.0000	687.0000	594.0000	600.0000	834.0000	828.0000	833.0000	122.0000	0.9341	0.0163	0.0084	0.0079	0.0077	0.0069	0.0049	0.0031	0.0016	0.0015	20	12	
25	824	0.36671438813209534	824	2.3836846351623535	824.0000	11.0000	834.0000	470.0000	683.0000	861.0000	430.0000	251.0000	499.0000	93.0000	0.3667	0.2089	0.1107	0.0313	0.0290	0.0241	0.0222	0.0206	0.0184	0.0158	0	12	
26	499	0.3111560046672821	824	2.8916547298431396	499.0000	834.0000	11.0000	687.0000	470.0000	824.0000	15.0000	0.0000	828.0000	299.0000	0.3112	0.2421	0.0717	0.0350	0.0329	0.0316	0.0153	0.0134	0.0133	0.0104	5	13	
27	834	0.7812610864639282	824	1.257110595703125	834.0000	231.0000	824.0000	861.0000	430.0000	11.0000	15.0000	299.0000	499.0000	470.0000	0.7813	0.0530	0.0259	0.0228	0.0085	0.0083	0.0081	0.0072	0.0056	0.0051	2	13	
28	470	0.40784281492233276	824	2.579467296600342	470.0000	861.0000	834.0000	824.0000	63.0000	251.0000	93.0000	396.0000	395.0000	11.0000	0.4078	0.0993	0.0762	0.0667	0.0422	0.0346	0.0330	0.0292	0.0282	0.0219	3	14	
