	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	844	0.0999746099114418	826	4.961791038513184	844.0000	347.0000	721.0000	61.0000	396.0000	584.0000	466.0000	917.0000	205.0000	629.0000	0.1000	0.0873	0.0436	0.0346	0.0290	0.0274	0.0272	0.0208	0.0202	0.0186	747	0	
1	307	0.03535109758377075	826	5.392938613891602	307.0000	811.0000	282.0000	719.0000	844.0000	6.0000	453.0000	492.0000	476.0000	441.0000	0.0354	0.0339	0.0263	0.0241	0.0197	0.0194	0.0193	0.0183	0.0180	0.0179	161	0	
2	282	0.5183415412902832	826	2.490499258041382	282.0000	6.0000	626.0000	528.0000	419.0000	854.0000	583.0000	442.0000	893.0000	181.0000	0.5183	0.1581	0.0492	0.0236	0.0171	0.0125	0.0107	0.0102	0.0061	0.0055	205	0	
3	282	0.17388026416301727	826	4.313549518585205	282.0000	528.0000	627.0000	893.0000	719.0000	844.0000	436.0000	552.0000	315.0000	131.0000	0.1739	0.0879	0.0534	0.0503	0.0349	0.0346	0.0273	0.0255	0.0196	0.0182	94	0	
4	528	0.22251856327056885	826	3.9314894676208496	528.0000	626.0000	362.0000	297.0000	721.0000	844.0000	776.0000	789.0000	532.0000	75.0000	0.2225	0.0961	0.0921	0.0425	0.0418	0.0265	0.0253	0.0228	0.0216	0.0209	247	0	
5	282	0.4487457871437073	826	3.2001123428344727	282.0000	893.0000	844.0000	528.0000	719.0000	436.0000	552.0000	854.0000	131.0000	315.0000	0.4487	0.0486	0.0425	0.0305	0.0256	0.0236	0.0229	0.0182	0.0147	0.0144	162	0	
6	657	0.07653789967298508	826	5.011198997497559	657.0000	142.0000	789.0000	583.0000	468.0000	585.0000	471.0000	521.0000	735.0000	644.0000	0.0765	0.0603	0.0471	0.0424	0.0340	0.0321	0.0292	0.0259	0.0256	0.0236	579	0	
7	75	0.40170061588287354	826	3.2558178901672363	75.0000	789.0000	626.0000	721.0000	235.0000	0.0000	627.0000	942.0000	466.0000	532.0000	0.4017	0.0743	0.0452	0.0425	0.0370	0.0214	0.0183	0.0171	0.0135	0.0125	338	0	
8	75	0.5588994026184082	826	2.167806386947632	75.0000	789.0000	721.0000	626.0000	627.0000	350.0000	530.0000	235.0000	0.0000	419.0000	0.5589	0.1451	0.0504	0.0442	0.0153	0.0115	0.0073	0.0064	0.0063	0.0062	344	0	
9	226	0.16064453125	826	4.409818649291992	226.0000	6.0000	626.0000	924.0000	342.0000	49.0000	483.0000	177.0000	854.0000	453.0000	0.1606	0.1339	0.0488	0.0274	0.0240	0.0223	0.0175	0.0171	0.0168	0.0157	434	0	
10	626	0.06526227295398712	826	4.86747407913208	626.0000	49.0000	924.0000	483.0000	364.0000	787.0000	453.0000	844.0000	643.0000	528.0000	0.0653	0.0608	0.0448	0.0410	0.0399	0.0298	0.0292	0.0224	0.0195	0.0191	279	0	
11	583	0.12287626415491104	826	4.372323989868164	583.0000	626.0000	575.0000	471.0000	528.0000	789.0000	844.0000	419.0000	721.0000	776.0000	0.1229	0.0972	0.0723	0.0689	0.0397	0.0329	0.0319	0.0279	0.0206	0.0176	407	0	
12	893	0.23287571966648102	826	3.365459442138672	893.0000	844.0000	282.0000	528.0000	552.0000	719.0000	703.0000	131.0000	436.0000	492.0000	0.2329	0.2069	0.0674	0.0539	0.0446	0.0376	0.0199	0.0196	0.0185	0.0181	151	0	
13	893	0.178134948015213	826	4.012524604797363	893.0000	521.0000	811.0000	282.0000	716.0000	844.0000	57.0000	719.0000	492.0000	672.0000	0.1781	0.1287	0.0509	0.0283	0.0266	0.0264	0.0231	0.0230	0.0227	0.0208	129	0	
14	626	0.0962337926030159	826	4.599188327789307	626.0000	49.0000	282.0000	442.0000	453.0000	538.0000	6.0000	342.0000	787.0000	483.0000	0.0962	0.0813	0.0731	0.0421	0.0419	0.0359	0.0337	0.0210	0.0180	0.0173	299	0	
15	893	0.12004892528057098	826	4.483590126037598	893.0000	672.0000	719.0000	716.0000	483.0000	643.0000	191.0000	492.0000	436.0000	787.0000	0.1200	0.0915	0.0614	0.0463	0.0405	0.0366	0.0298	0.0181	0.0180	0.0164	228	0	
16	844	0.18105337023735046	826	2.905452013015747	844.0000	721.0000	584.0000	205.0000	153.0000	716.0000	362.0000	551.0000	776.0000	531.0000	0.1811	0.1648	0.1377	0.1131	0.1037	0.0638	0.0228	0.0121	0.0114	0.0114	387	1	
17	453	0.22160740196704865	826	4.2486042976379395	453.0000	282.0000	364.0000	811.0000	243.0000	222.0000	329.0000	215.0000	532.0000	307.0000	0.2216	0.0598	0.0596	0.0584	0.0361	0.0259	0.0197	0.0168	0.0157	0.0148	29	1	
18	282	0.6972734928131104	826	1.6202983856201172	282.0000	528.0000	419.0000	819.0000	215.0000	628.0000	582.0000	350.0000	552.0000	453.0000	0.6973	0.0618	0.0395	0.0332	0.0257	0.0154	0.0149	0.0120	0.0068	0.0051	107	1	
19	552	0.5849843621253967	826	2.353982925415039	552.0000	528.0000	282.0000	350.0000	805.0000	628.0000	532.0000	531.0000	854.0000	436.0000	0.5850	0.0570	0.0333	0.0321	0.0297	0.0162	0.0154	0.0140	0.0119	0.0103	27	1	
20	528	0.22988106310367584	826	3.3196401596069336	528.0000	552.0000	805.0000	532.0000	844.0000	893.0000	727.0000	419.0000	626.0000	215.0000	0.2299	0.1221	0.0844	0.0806	0.0449	0.0270	0.0262	0.0242	0.0239	0.0233	51	1	
21	552	0.20114284753799438	826	3.4852449893951416	552.0000	436.0000	528.0000	531.0000	282.0000	854.0000	805.0000	532.0000	893.0000	213.0000	0.2011	0.1265	0.0793	0.0674	0.0634	0.0364	0.0288	0.0273	0.0200	0.0182	38	1	
22	301	0.08223673701286316	826	4.486835479736328	301.0000	552.0000	419.0000	724.0000	377.0000	574.0000	541.0000	235.0000	468.0000	942.0000	0.0822	0.0611	0.0521	0.0483	0.0419	0.0350	0.0314	0.0308	0.0258	0.0225	198	1	
23	805	0.35992154479026794	826	3.039501190185547	805.0000	401.0000	626.0000	532.0000	350.0000	419.0000	854.0000	528.0000	721.0000	531.0000	0.3599	0.0799	0.0632	0.0582	0.0548	0.0323	0.0257	0.0250	0.0232	0.0212	73	1	
24	626	0.5619724988937378	826	2.108250617980957	626.0000	805.0000	419.0000	350.0000	490.0000	297.0000	854.0000	532.0000	401.0000	528.0000	0.5620	0.0984	0.0762	0.0347	0.0229	0.0223	0.0158	0.0141	0.0128	0.0126	109	1	
25	453	0.12395350635051727	826	4.11942195892334	453.0000	552.0000	528.0000	626.0000	844.0000	490.0000	297.0000	222.0000	582.0000	364.0000	0.1240	0.1077	0.0771	0.0636	0.0460	0.0375	0.0312	0.0300	0.0246	0.0241	346	1	
26	626	0.1330954134464264	826	3.8625776767730713	626.0000	552.0000	453.0000	844.0000	490.0000	297.0000	528.0000	805.0000	582.0000	222.0000	0.1331	0.1321	0.0860	0.0575	0.0458	0.0439	0.0368	0.0302	0.0299	0.0240	426	1	
27	805	0.3339766561985016	826	2.225193977355957	805.0000	626.0000	552.0000	528.0000	532.0000	350.0000	419.0000	297.0000	724.0000	582.0000	0.3340	0.2726	0.0802	0.0722	0.0440	0.0428	0.0421	0.0105	0.0080	0.0076	46	1	
28	552	0.11493473500013351	826	3.9418411254882812	552.0000	436.0000	532.0000	528.0000	531.0000	285.0000	854.0000	805.0000	282.0000	582.0000	0.1149	0.1124	0.0659	0.0595	0.0587	0.0372	0.0344	0.0321	0.0255	0.0215	67	1	
29	811	0.1703457087278366	826	4.193973064422607	811.0000	531.0000	436.0000	582.0000	532.0000	478.0000	552.0000	716.0000	884.0000	727.0000	0.1703	0.0828	0.0522	0.0359	0.0302	0.0293	0.0289	0.0286	0.0258	0.0173	66	1	
30	528	0.14310316741466522	826	3.360252857208252	528.0000	844.0000	419.0000	282.0000	552.0000	490.0000	453.0000	350.0000	222.0000	626.0000	0.1431	0.1133	0.0956	0.0910	0.0850	0.0588	0.0487	0.0438	0.0315	0.0295	232	1	
31	436	0.7070996761322021	826	1.549206256866455	436.0000	582.0000	716.0000	552.0000	531.0000	532.0000	843.0000	483.0000	643.0000	776.0000	0.7071	0.0915	0.0366	0.0233	0.0138	0.0093	0.0080	0.0070	0.0053	0.0052	75	1	
32	893	0.23535564541816711	826	3.737460136413574	893.0000	844.0000	347.0000	45.0000	919.0000	246.0000	153.0000	521.0000	584.0000	585.0000	0.2354	0.1198	0.0831	0.0623	0.0255	0.0251	0.0211	0.0192	0.0188	0.0170	168	2	
33	528	0.40994736552238464	826	1.7044631242752075	528.0000	282.0000	826.0000	893.0000	874.0000	347.0000	385.0000	532.0000	315.0000	811.0000	0.4099	0.2934	0.1393	0.0588	0.0315	0.0126	0.0093	0.0049	0.0032	0.0031	2	2	
34	282	0.656862199306488	826	1.1367098093032837	282.0000	528.0000	385.0000	805.0000	711.0000	626.0000	552.0000	419.0000	727.0000	45.0000	0.6569	0.2343	0.0559	0.0063	0.0061	0.0044	0.0033	0.0031	0.0030	0.0022	25	2	
35	826	0.6651307344436646	826	1.165488600730896	826.0000	528.0000	532.0000	282.0000	385.0000	893.0000	639.0000	347.0000	523.0000	521.0000	0.6651	0.2221	0.0337	0.0223	0.0079	0.0076	0.0065	0.0049	0.0036	0.0018	0	2	
36	528	0.9707823395729065	826	0.22914104163646698	528.0000	552.0000	532.0000	844.0000	893.0000	805.0000	757.0000	362.0000	310.0000	85.0000	0.9708	0.0057	0.0041	0.0032	0.0018	0.0014	0.0012	0.0012	0.0007	0.0007	31	2	
37	528	0.26715409755706787	826	2.912477970123291	528.0000	315.0000	385.0000	531.0000	532.0000	826.0000	639.0000	436.0000	893.0000	282.0000	0.2672	0.1492	0.1079	0.0759	0.0441	0.0357	0.0339	0.0321	0.0319	0.0286	5	2	
38	830	0.3424786627292633	826	3.427940607070923	830.0000	811.0000	468.0000	235.0000	419.0000	626.0000	840.0000	160.0000	532.0000	37.0000	0.3425	0.0780	0.0633	0.0470	0.0329	0.0263	0.0228	0.0160	0.0157	0.0149	95	2	
39	627	0.26202499866485596	826	3.1693291664123535	627.0000	528.0000	552.0000	532.0000	419.0000	805.0000	844.0000	531.0000	893.0000	125.0000	0.2620	0.1115	0.1026	0.0931	0.0427	0.0361	0.0360	0.0291	0.0234	0.0186	73	2	
40	528	0.3267805576324463	826	2.4567365646362305	528.0000	532.0000	805.0000	419.0000	350.0000	531.0000	627.0000	844.0000	552.0000	591.0000	0.3268	0.2556	0.0687	0.0632	0.0506	0.0369	0.0303	0.0221	0.0134	0.0088	44	2	
41	528	0.5914929509162903	826	2.2696807384490967	528.0000	552.0000	531.0000	626.0000	805.0000	811.0000	893.0000	245.0000	896.0000	419.0000	0.5915	0.0514	0.0438	0.0371	0.0265	0.0206	0.0157	0.0109	0.0092	0.0092	53	2	
42	528	0.23170986771583557	826	3.318403482437134	528.0000	552.0000	805.0000	531.0000	893.0000	626.0000	85.0000	811.0000	896.0000	727.0000	0.2317	0.2044	0.0982	0.0396	0.0382	0.0278	0.0150	0.0130	0.0125	0.0120	119	2	
43	528	0.3550363779067993	826	2.402423620223999	528.0000	532.0000	627.0000	552.0000	419.0000	626.0000	805.0000	727.0000	264.0000	893.0000	0.3550	0.1759	0.1260	0.0886	0.0414	0.0411	0.0220	0.0158	0.0157	0.0084	18	2	
44	528	0.8505631685256958	826	0.8106644153594971	528.0000	385.0000	893.0000	282.0000	531.0000	826.0000	532.0000	639.0000	315.0000	290.0000	0.8506	0.0603	0.0143	0.0105	0.0101	0.0076	0.0057	0.0047	0.0041	0.0039	5	2	
45	893	0.7128621935844421	826	1.5064549446105957	893.0000	385.0000	900.0000	719.0000	532.0000	282.0000	811.0000	826.0000	37.0000	528.0000	0.7129	0.0871	0.0261	0.0201	0.0155	0.0105	0.0100	0.0088	0.0087	0.0071	7	2	
46	528	0.2466588169336319	826	3.7479817867279053	528.0000	552.0000	727.0000	531.0000	282.0000	626.0000	805.0000	419.0000	385.0000	453.0000	0.2467	0.0831	0.0451	0.0364	0.0358	0.0348	0.0343	0.0287	0.0222	0.0178	103	2	
47	893	0.358265221118927	826	2.9794158935546875	893.0000	532.0000	436.0000	811.0000	826.0000	523.0000	552.0000	900.0000	582.0000	315.0000	0.3583	0.1144	0.0889	0.0452	0.0239	0.0195	0.0180	0.0178	0.0178	0.0174	4	2	
48	844	0.41435208916664124	826	2.900918483734131	844.0000	629.0000	721.0000	531.0000	245.0000	584.0000	776.0000	87.0000	884.0000	75.0000	0.4144	0.0885	0.0879	0.0303	0.0253	0.0210	0.0206	0.0193	0.0154	0.0152	460	3	
49	854	0.7384635806083679	826	1.5071088075637817	854.0000	319.0000	441.0000	282.0000	909.0000	181.0000	347.0000	279.0000	133.0000	874.0000	0.7385	0.0587	0.0270	0.0262	0.0158	0.0109	0.0094	0.0078	0.0070	0.0059	313	3	
50	528	0.8838328719139099	826	0.7359945774078369	528.0000	282.0000	805.0000	854.0000	724.0000	924.0000	884.0000	727.0000	893.0000	419.0000	0.8838	0.0515	0.0035	0.0027	0.0026	0.0024	0.0024	0.0024	0.0023	0.0023	164	3	
51	854	0.7145563364028931	826	1.099710464477539	854.0000	282.0000	181.0000	411.0000	441.0000	627.0000	290.0000	319.0000	279.0000	711.0000	0.7146	0.1921	0.0295	0.0085	0.0049	0.0038	0.0035	0.0033	0.0027	0.0024	92	3	
