	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	4	0.14535576105117798	830	4.838122844696045	4.0000	228.0000	811.0000	485.0000	0.0000	489.0000	521.0000	854.0000	453.0000	6.0000	0.1454	0.0965	0.0437	0.0375	0.0282	0.0271	0.0241	0.0188	0.0176	0.0137	47	0	
1	854	0.2896037995815277	830	4.299107074737549	854.0000	277.0000	228.0000	626.0000	6.0000	485.0000	819.0000	279.0000	0.0000	721.0000	0.2896	0.0494	0.0441	0.0285	0.0206	0.0177	0.0167	0.0157	0.0156	0.0148	49	0	
2	811	0.07194925099611282	830	4.920562744140625	811.0000	521.0000	570.0000	716.0000	582.0000	703.0000	662.0000	552.0000	625.0000	0.0000	0.0719	0.0689	0.0389	0.0298	0.0287	0.0257	0.0248	0.0224	0.0223	0.0210	31	1	
3	830	0.3271530270576477	830	3.6627204418182373	830.0000	626.0000	489.0000	4.0000	228.0000	441.0000	485.0000	521.0000	297.0000	932.0000	0.3272	0.1491	0.0380	0.0289	0.0200	0.0172	0.0169	0.0163	0.0148	0.0129	0	1	
4	932	0.33712437748908997	830	3.067777395248413	932.0000	830.0000	143.0000	377.0000	625.0000	90.0000	235.0000	700.0000	196.0000	626.0000	0.3371	0.1513	0.0751	0.0471	0.0329	0.0244	0.0180	0.0150	0.0143	0.0143	1	2	
5	489	0.10583319514989853	830	4.016739368438721	489.0000	485.0000	830.0000	269.0000	626.0000	689.0000	0.0000	348.0000	279.0000	364.0000	0.1058	0.0978	0.0806	0.0692	0.0614	0.0488	0.0436	0.0270	0.0250	0.0211	2	2	
6	689	0.0631445124745369	830	4.847110271453857	689.0000	830.0000	936.0000	884.0000	811.0000	70.0000	716.0000	226.0000	228.0000	75.0000	0.0631	0.0530	0.0523	0.0432	0.0315	0.0307	0.0290	0.0229	0.0215	0.0214	1	3	
7	830	0.21014681458473206	830	4.144867897033691	830.0000	854.0000	6.0000	626.0000	884.0000	228.0000	453.0000	75.0000	721.0000	528.0000	0.2101	0.0873	0.0586	0.0509	0.0374	0.0265	0.0252	0.0174	0.0159	0.0159	0	3	
8	811	0.2173638939857483	830	3.2641587257385254	811.0000	716.0000	724.0000	932.0000	689.0000	830.0000	570.0000	936.0000	228.0000	582.0000	0.2174	0.1968	0.1199	0.0571	0.0309	0.0293	0.0278	0.0165	0.0139	0.0133	5	4	
9	924	0.1065252497792244	830	4.099564075469971	924.0000	679.0000	361.0000	830.0000	899.0000	453.0000	932.0000	854.0000	490.0000	208.0000	0.1065	0.0824	0.0745	0.0597	0.0555	0.0413	0.0402	0.0330	0.0329	0.0292	3	4	
10	888	0.2227606475353241	830	3.1931276321411133	888.0000	830.0000	932.0000	625.0000	570.0000	0.0000	235.0000	563.0000	70.0000	253.0000	0.2228	0.2193	0.1016	0.0494	0.0419	0.0253	0.0192	0.0177	0.0152	0.0138	1	5	
11	626	0.37344664335250854	830	2.0247538089752197	626.0000	830.0000	75.0000	219.0000	888.0000	563.0000	90.0000	104.0000	334.0000	228.0000	0.3734	0.1829	0.1820	0.0748	0.0736	0.0200	0.0085	0.0080	0.0077	0.0052	1	5	
12	273	0.25056666135787964	830	3.074191093444824	273.0000	143.0000	460.0000	932.0000	228.0000	689.0000	104.0000	269.0000	489.0000	75.0000	0.2506	0.1239	0.1123	0.0946	0.0794	0.0455	0.0193	0.0160	0.0153	0.0146	13	6	
13	626	0.35498887300491333	830	2.901270866394043	626.0000	830.0000	104.0000	460.0000	689.0000	453.0000	219.0000	370.0000	226.0000	6.0000	0.3550	0.1531	0.0745	0.0596	0.0315	0.0307	0.0251	0.0129	0.0119	0.0117	1	6	
14	830	0.22565555572509766	830	3.1369426250457764	830.0000	932.0000	689.0000	424.0000	811.0000	163.0000	716.0000	884.0000	751.0000	283.0000	0.2257	0.1462	0.1300	0.0706	0.0538	0.0468	0.0222	0.0190	0.0189	0.0144	0	7	
15	830	0.7344234585762024	830	0.9485445618629456	830.0000	626.0000	932.0000	297.0000	370.0000	453.0000	219.0000	490.0000	125.0000	334.0000	0.7344	0.1897	0.0231	0.0129	0.0053	0.0042	0.0036	0.0030	0.0029	0.0022	0	7	
16	424	0.2282951921224594	830	2.9419684410095215	424.0000	830.0000	811.0000	283.0000	370.0000	143.0000	163.0000	932.0000	449.0000	570.0000	0.2283	0.2070	0.1272	0.0681	0.0378	0.0345	0.0276	0.0234	0.0157	0.0135	1	8	
17	626	0.6308595538139343	830	1.6137372255325317	626.0000	830.0000	297.0000	932.0000	724.0000	625.0000	75.0000	125.0000	370.0000	228.0000	0.6309	0.1077	0.0843	0.0459	0.0230	0.0145	0.0118	0.0077	0.0077	0.0074	1	8	
18	628	0.14683440327644348	830	3.9612622261047363	628.0000	932.0000	143.0000	283.0000	689.0000	700.0000	163.0000	811.0000	0.0000	207.0000	0.1468	0.0940	0.0682	0.0579	0.0542	0.0444	0.0261	0.0242	0.0229	0.0201	66	9	
19	932	0.551428496837616	830	1.5768799781799316	932.0000	75.0000	626.0000	77.0000	264.0000	634.0000	830.0000	424.0000	375.0000	563.0000	0.5514	0.1815	0.1409	0.0314	0.0229	0.0107	0.0085	0.0061	0.0033	0.0025	6	9	
20	932	0.3375020921230316	830	2.6574926376342773	932.0000	830.0000	460.0000	228.0000	160.0000	283.0000	370.0000	235.0000	489.0000	163.0000	0.3375	0.1954	0.0754	0.0462	0.0405	0.0353	0.0291	0.0236	0.0184	0.0155	1	10	
21	830	0.19661948084831238	830	3.5055136680603027	830.0000	490.0000	626.0000	453.0000	674.0000	489.0000	160.0000	334.0000	235.0000	528.0000	0.1966	0.0710	0.0616	0.0524	0.0511	0.0459	0.0389	0.0380	0.0361	0.0341	0	10	
22	104	0.4960953891277313	830	2.0028765201568604	104.0000	932.0000	143.0000	4.0000	70.0000	75.0000	830.0000	73.0000	228.0000	283.0000	0.4961	0.1911	0.0844	0.0337	0.0222	0.0218	0.0215	0.0176	0.0099	0.0097	6	11	
23	75	0.4088183641433716	830	1.517669916152954	75.0000	830.0000	932.0000	104.0000	4.0000	626.0000	143.0000	563.0000	235.0000	77.0000	0.4088	0.2800	0.2212	0.0269	0.0140	0.0094	0.0072	0.0051	0.0043	0.0030	1	11	
24	830	0.9827242493629456	830	0.11795733869075775	830.0000	689.0000	932.0000	593.0000	283.0000	73.0000	450.0000	292.0000	235.0000	163.0000	0.9827	0.0075	0.0056	0.0010	0.0008	0.0005	0.0005	0.0001	0.0001	0.0001	0	12	
25	830	0.9696598649024963	830	0.2158154547214508	830.0000	724.0000	558.0000	283.0000	450.0000	689.0000	104.0000	80.0000	712.0000	334.0000	0.9697	0.0109	0.0045	0.0029	0.0023	0.0014	0.0011	0.0011	0.0004	0.0004	0	12	
26	932	0.25307226181030273	830	2.9141030311584473	932.0000	283.0000	297.0000	104.0000	358.0000	689.0000	273.0000	125.0000	160.0000	75.0000	0.2531	0.1330	0.1044	0.0604	0.0516	0.0417	0.0412	0.0338	0.0304	0.0293	22	13	
27	75	0.2533523142337799	830	2.7187657356262207	75.0000	837.0000	228.0000	297.0000	830.0000	704.0000	125.0000	626.0000	450.0000	724.0000	0.2534	0.2128	0.1155	0.1034	0.0605	0.0235	0.0230	0.0192	0.0183	0.0137	4	13	
28	830	0.6854925155639648	830	1.0094919204711914	830.0000	932.0000	283.0000	4.0000	450.0000	228.0000	292.0000	73.0000	716.0000	751.0000	0.6855	0.2326	0.0311	0.0179	0.0037	0.0026	0.0026	0.0026	0.0024	0.0020	0	14	
29	837	0.37626680731773376	830	2.8440587520599365	837.0000	854.0000	830.0000	4.0000	75.0000	932.0000	6.0000	679.0000	485.0000	701.0000	0.3763	0.1438	0.0594	0.0555	0.0418	0.0250	0.0235	0.0215	0.0204	0.0166	2	14	
30	932	0.5116716027259827	830	1.4622653722763062	932.0000	830.0000	283.0000	104.0000	73.0000	377.0000	143.0000	593.0000	347.0000	226.0000	0.5117	0.2958	0.0923	0.0272	0.0110	0.0067	0.0058	0.0046	0.0040	0.0040	1	15	
