	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	834	0.3972192406654358	834	2.15103816986084	834.0000	737.0000	20.0000	299.0000	37.0000	13.0000	282.0000	687.0000	720.0000	881.0000	0.3972	0.1246	0.1189	0.1119	0.1027	0.0189	0.0125	0.0119	0.0100	0.0091	0	0	
1	834	0.9187139272689819	834	0.47556445002555847	834.0000	684.0000	299.0000	20.0000	683.0000	11.0000	253.0000	824.0000	687.0000	13.0000	0.9187	0.0386	0.0062	0.0051	0.0050	0.0046	0.0028	0.0028	0.0027	0.0023	0	1	
2	834	0.8227566480636597	834	0.716711163520813	834.0000	687.0000	11.0000	20.0000	737.0000	13.0000	635.0000	412.0000	684.0000	824.0000	0.8228	0.1206	0.0150	0.0113	0.0104	0.0048	0.0025	0.0020	0.0019	0.0013	0	2	
3	834	0.9507359862327576	834	0.3221820592880249	834.0000	299.0000	737.0000	20.0000	687.0000	11.0000	684.0000	412.0000	37.0000	231.0000	0.9507	0.0102	0.0094	0.0052	0.0052	0.0043	0.0042	0.0028	0.0015	0.0008	0	3	
4	834	0.9825580716133118	834	0.14311066269874573	834.0000	942.0000	11.0000	635.0000	513.0000	946.0000	687.0000	584.0000	20.0000	861.0000	0.9826	0.0053	0.0019	0.0013	0.0008	0.0007	0.0007	0.0005	0.0004	0.0004	0	4	
5	834	0.6856463551521301	834	1.2984306812286377	834.0000	282.0000	737.0000	11.0000	13.0000	253.0000	684.0000	412.0000	515.0000	720.0000	0.6856	0.1564	0.0387	0.0368	0.0132	0.0092	0.0074	0.0034	0.0033	0.0032	0	5	
6	834	0.7758291363716125	834	0.6660078167915344	834.0000	942.0000	253.0000	635.0000	687.0000	386.0000	412.0000	11.0000	439.0000	534.0000	0.7758	0.1973	0.0167	0.0021	0.0011	0.0008	0.0007	0.0006	0.0005	0.0004	0	6	
7	834	0.8794666528701782	834	0.6310670971870422	834.0000	684.0000	737.0000	231.0000	299.0000	861.0000	534.0000	37.0000	546.0000	282.0000	0.8795	0.0457	0.0388	0.0080	0.0050	0.0026	0.0021	0.0013	0.0012	0.0012	0	7	
8	834	0.9946674108505249	834	0.04798441380262375	834.0000	684.0000	687.0000	737.0000	282.0000	231.0000	942.0000	253.0000	635.0000	534.0000	0.9947	0.0012	0.0011	0.0006	0.0003	0.0003	0.0002	0.0002	0.0002	0.0001	0	8	
9	834	0.4723414182662964	834	1.7524867057800293	834.0000	253.0000	781.0000	282.0000	37.0000	11.0000	635.0000	299.0000	430.0000	412.0000	0.4723	0.1631	0.1508	0.0993	0.0479	0.0179	0.0038	0.0022	0.0021	0.0020	0	9	
10	834	0.9674432873725891	834	0.20416051149368286	834.0000	687.0000	299.0000	684.0000	737.0000	20.0000	231.0000	11.0000	824.0000	13.0000	0.9674	0.0141	0.0062	0.0030	0.0025	0.0018	0.0016	0.0015	0.0005	0.0005	0	10	
11	834	0.9920592308044434	834	0.054189085960388184	834.0000	11.0000	687.0000	20.0000	299.0000	720.0000	37.0000	737.0000	781.0000	499.0000	0.9921	0.0065	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0	11	
12	834	0.981890082359314	834	0.11120002716779709	834.0000	737.0000	11.0000	299.0000	13.0000	687.0000	684.0000	20.0000	635.0000	412.0000	0.9819	0.0098	0.0069	0.0004	0.0002	0.0001	0.0001	0.0001	0.0001	0.0000	0	12	
13	834	0.9492719769477844	834	0.26530686020851135	834.0000	11.0000	299.0000	881.0000	253.0000	824.0000	861.0000	534.0000	282.0000	412.0000	0.9493	0.0264	0.0159	0.0054	0.0007	0.0004	0.0003	0.0003	0.0002	0.0002	0	13	
14	834	0.9977425336837769	834	0.018340153619647026	834.0000	11.0000	299.0000	687.0000	861.0000	824.0000	412.0000	684.0000	20.0000	231.0000	0.9977	0.0015	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	14	
15	834	0.9884273409843445	834	0.091154545545578	834.0000	737.0000	534.0000	824.0000	231.0000	687.0000	627.0000	37.0000	20.0000	635.0000	0.9884	0.0045	0.0012	0.0012	0.0008	0.0008	0.0005	0.0004	0.0003	0.0003	0	15	
