	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	122	0.1893204152584076	838	4.279849052429199	122.0000	583.0000	205.0000	818.0000	919.0000	658.0000	16.0000	422.0000	38.0000	368.0000	0.1893	0.1723	0.0270	0.0268	0.0257	0.0216	0.0215	0.0198	0.0146	0.0135	201	0	
1	122	0.851352870464325	838	1.065514326095581	122.0000	818.0000	583.0000	205.0000	422.0000	701.0000	143.0000	54.0000	353.0000	16.0000	0.8514	0.0357	0.0164	0.0092	0.0053	0.0025	0.0024	0.0024	0.0021	0.0020	172	0	
2	583	0.1516280174255371	838	4.301520347595215	583.0000	641.0000	122.0000	818.0000	143.0000	423.0000	454.0000	575.0000	657.0000	715.0000	0.1516	0.0894	0.0877	0.0750	0.0299	0.0290	0.0276	0.0219	0.0195	0.0182	235	0	
3	122	0.7439468502998352	838	1.60343599319458	122.0000	583.0000	818.0000	235.0000	205.0000	422.0000	547.0000	353.0000	81.0000	471.0000	0.7439	0.0623	0.0262	0.0251	0.0132	0.0112	0.0078	0.0057	0.0027	0.0023	302	0	
4	205	0.2019895762205124	838	3.7021021842956543	205.0000	547.0000	235.0000	919.0000	211.0000	852.0000	395.0000	588.0000	160.0000	80.0000	0.2020	0.1844	0.1243	0.0570	0.0240	0.0240	0.0177	0.0160	0.0102	0.0098	442	1	
5	80	0.0875253975391388	838	4.359626770019531	80.0000	362.0000	205.0000	575.0000	122.0000	852.0000	818.0000	235.0000	422.0000	353.0000	0.0875	0.0641	0.0603	0.0602	0.0491	0.0484	0.0439	0.0435	0.0376	0.0312	138	1	
6	575	0.3486112654209137	838	3.1749677658081055	575.0000	80.0000	122.0000	818.0000	701.0000	205.0000	143.0000	235.0000	597.0000	594.0000	0.3486	0.1572	0.0600	0.0357	0.0249	0.0215	0.0204	0.0171	0.0168	0.0166	238	1	
7	235	0.31373509764671326	838	2.8281216621398926	235.0000	547.0000	422.0000	852.0000	205.0000	353.0000	122.0000	395.0000	609.0000	597.0000	0.3137	0.2210	0.0625	0.0619	0.0517	0.0352	0.0299	0.0161	0.0117	0.0099	440	1	
8	205	0.5017104744911194	838	2.904890537261963	205.0000	818.0000	170.0000	122.0000	484.0000	919.0000	422.0000	169.0000	657.0000	436.0000	0.5017	0.0948	0.0447	0.0185	0.0157	0.0155	0.0151	0.0110	0.0080	0.0074	420	2	
9	484	0.20314665138721466	838	3.826061964035034	484.0000	205.0000	169.0000	421.0000	818.0000	495.0000	701.0000	417.0000	122.0000	547.0000	0.2031	0.1574	0.0856	0.0489	0.0337	0.0253	0.0248	0.0208	0.0156	0.0152	328	2	
