	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	410	0.9373494982719421	845	0.2561285197734833	410.0000	845.0000	734.0000	127.0000	56.0000	150.0000	2.0000	484.0000	489.0000	473.0000	0.9373	0.0569	0.0053	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	1	0	
1	845	0.9060295820236206	845	0.40497279167175293	845.0000	734.0000	410.0000	2.0000	56.0000	127.0000	150.0000	489.0000	926.0000	895.0000	0.9060	0.0691	0.0132	0.0062	0.0014	0.0008	0.0005	0.0004	0.0004	0.0004	0	0	
2	410	0.9853602051734924	845	0.0891004204750061	410.0000	845.0000	734.0000	161.0000	56.0000	2.0000	143.0000	575.0000	790.0000	375.0000	0.9854	0.0115	0.0017	0.0005	0.0005	0.0001	0.0001	0.0000	0.0000	0.0000	1	0	
3	410	0.7573081254959106	845	0.6406501531600952	410.0000	845.0000	734.0000	56.0000	127.0000	2.0000	150.0000	161.0000	143.0000	484.0000	0.7573	0.2202	0.0205	0.0005	0.0005	0.0002	0.0002	0.0001	0.0001	0.0001	1	0	
4	410	0.719028115272522	845	1.0924208164215088	410.0000	845.0000	734.0000	127.0000	616.0000	667.0000	949.0000	150.0000	383.0000	473.0000	0.7190	0.1205	0.0950	0.0136	0.0085	0.0073	0.0048	0.0040	0.0034	0.0034	1	0	
5	410	0.9553021788597107	845	0.19595712423324585	410.0000	845.0000	734.0000	127.0000	56.0000	2.0000	150.0000	616.0000	489.0000	473.0000	0.9553	0.0419	0.0023	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	1	0	
6	410	0.7230395078659058	845	0.6388978958129883	410.0000	845.0000	734.0000	56.0000	2.0000	127.0000	150.0000	489.0000	484.0000	895.0000	0.7230	0.2678	0.0071	0.0009	0.0004	0.0001	0.0001	0.0001	0.0001	0.0001	1	0	
7	410	0.9915924072265625	845	0.05661643669009209	410.0000	734.0000	845.0000	127.0000	150.0000	926.0000	56.0000	949.0000	2.0000	473.0000	0.9916	0.0040	0.0039	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2	0	
8	845	0.4470178484916687	845	1.5706331729888916	845.0000	734.0000	410.0000	56.0000	2.0000	161.0000	143.0000	489.0000	150.0000	926.0000	0.4470	0.2190	0.1999	0.0502	0.0292	0.0183	0.0110	0.0039	0.0024	0.0023	0	0	
9	845	0.9124458432197571	845	0.3769604563713074	845.0000	410.0000	161.0000	734.0000	56.0000	2.0000	150.0000	337.0000	575.0000	143.0000	0.9124	0.0664	0.0090	0.0073	0.0026	0.0010	0.0002	0.0001	0.0001	0.0001	0	0	
10	845	0.9215158820152283	845	0.3654565215110779	845.0000	410.0000	734.0000	56.0000	161.0000	2.0000	127.0000	150.0000	143.0000	489.0000	0.9215	0.0485	0.0188	0.0054	0.0023	0.0020	0.0003	0.0003	0.0002	0.0001	0	0	
11	410	0.7813945412635803	845	0.5835192799568176	410.0000	845.0000	734.0000	127.0000	56.0000	2.0000	150.0000	489.0000	161.0000	484.0000	0.7814	0.2053	0.0118	0.0005	0.0003	0.0002	0.0002	0.0001	0.0000	0.0000	1	0	
12	410	0.9789727330207825	845	0.11593712866306305	410.0000	845.0000	734.0000	616.0000	161.0000	143.0000	56.0000	571.0000	360.0000	127.0000	0.9790	0.0182	0.0011	0.0007	0.0003	0.0003	0.0001	0.0001	0.0000	0.0000	1	0	
