	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	757	0.07981816679239273	854	4.84274959564209	757.0000	453.0000	528.0000	370.0000	811.0000	893.0000	215.0000	282.0000	826.0000	552.0000	0.0798	0.0533	0.0499	0.0492	0.0429	0.0328	0.0247	0.0226	0.0188	0.0177	33	0	
1	854	0.7861159443855286	854	1.2994837760925293	854.0000	282.0000	370.0000	721.0000	320.0000	164.0000	789.0000	837.0000	177.0000	507.0000	0.7861	0.0887	0.0051	0.0049	0.0048	0.0043	0.0031	0.0029	0.0025	0.0025	0	0	
2	854	0.18183982372283936	854	3.5294761657714844	854.0000	282.0000	789.0000	370.0000	700.0000	757.0000	626.0000	719.0000	117.0000	729.0000	0.1818	0.1384	0.1110	0.0878	0.0389	0.0346	0.0315	0.0310	0.0278	0.0204	0	0	
3	854	0.2089480608701706	854	4.190560340881348	854.0000	721.0000	370.0000	453.0000	427.0000	641.0000	177.0000	213.0000	615.0000	528.0000	0.2089	0.0811	0.0549	0.0441	0.0364	0.0292	0.0203	0.0188	0.0173	0.0171	0	0	
4	582	0.16492077708244324	854	4.352369785308838	582.0000	552.0000	492.0000	528.0000	453.0000	843.0000	893.0000	805.0000	703.0000	844.0000	0.1649	0.0674	0.0487	0.0461	0.0330	0.0279	0.0264	0.0261	0.0251	0.0246	25	1	
5	278	0.32038483023643494	854	2.074582815170288	278.0000	837.0000	508.0000	471.0000	854.0000	541.0000	279.0000	772.0000	810.0000	507.0000	0.3204	0.2465	0.1475	0.0947	0.0717	0.0290	0.0238	0.0067	0.0061	0.0047	4	1	
6	471	0.5674377679824829	854	1.540107250213623	471.0000	789.0000	626.0000	411.0000	6.0000	854.0000	279.0000	585.0000	278.0000	507.0000	0.5674	0.2559	0.0586	0.0188	0.0141	0.0122	0.0085	0.0058	0.0037	0.0025	5	1	
7	700	0.18021123111248016	854	4.7150959968566895	700.0000	854.0000	795.0000	427.0000	273.0000	488.0000	811.0000	329.0000	453.0000	615.0000	0.1802	0.0688	0.0489	0.0348	0.0308	0.0198	0.0181	0.0165	0.0152	0.0151	1	1	
8	811	0.06720459461212158	854	4.59535026550293	811.0000	854.0000	552.0000	453.0000	212.0000	843.0000	440.0000	582.0000	528.0000	721.0000	0.0672	0.0627	0.0532	0.0434	0.0399	0.0351	0.0336	0.0334	0.0309	0.0301	1	2	
9	854	0.9737604260444641	854	0.18605734407901764	854.0000	282.0000	789.0000	837.0000	471.0000	682.0000	411.0000	810.0000	626.0000	719.0000	0.9738	0.0152	0.0015	0.0013	0.0008	0.0004	0.0003	0.0003	0.0003	0.0003	0	2	
