	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	942	0.1489379107952118	857	4.765236854553223	942.0000	703.0000	131.0000	627.0000	285.0000	358.0000	492.0000	205.0000	102.0000	75.0000	0.1489	0.0826	0.0549	0.0338	0.0232	0.0179	0.0179	0.0168	0.0153	0.0151	154	0	
1	364	0.8989026546478271	857	0.7821241617202759	364.0000	912.0000	177.0000	811.0000	417.0000	747.0000	371.0000	889.0000	131.0000	552.0000	0.8989	0.0147	0.0062	0.0049	0.0042	0.0037	0.0032	0.0028	0.0024	0.0023	63	0	
2	177	0.1529332399368286	857	4.505910873413086	177.0000	854.0000	811.0000	857.0000	626.0000	647.0000	889.0000	867.0000	719.0000	282.0000	0.1529	0.0786	0.0438	0.0382	0.0372	0.0228	0.0218	0.0201	0.0191	0.0178	3	1	
3	364	0.9442444443702698	857	0.40482276678085327	364.0000	889.0000	177.0000	912.0000	321.0000	453.0000	59.0000	342.0000	654.0000	641.0000	0.9442	0.0118	0.0075	0.0060	0.0055	0.0020	0.0017	0.0014	0.0014	0.0012	14	1	
4	647	0.3387136459350586	857	2.665684461593628	647.0000	492.0000	285.0000	867.0000	719.0000	342.0000	131.0000	75.0000	552.0000	407.0000	0.3387	0.1970	0.0530	0.0506	0.0351	0.0331	0.0299	0.0273	0.0255	0.0255	14	2	
5	747	0.2897883653640747	857	3.697970390319824	747.0000	285.0000	815.0000	321.0000	647.0000	407.0000	342.0000	371.0000	896.0000	800.0000	0.2898	0.0592	0.0589	0.0507	0.0301	0.0300	0.0291	0.0270	0.0211	0.0203	13	2	
6	285	0.307120144367218	857	3.1100752353668213	285.0000	169.0000	703.0000	223.0000	247.0000	585.0000	440.0000	867.0000	177.0000	492.0000	0.3071	0.1283	0.0802	0.0566	0.0483	0.0372	0.0216	0.0211	0.0188	0.0182	11	3	
7	177	0.4140339195728302	857	1.9261524677276611	177.0000	371.0000	136.0000	857.0000	342.0000	647.0000	896.0000	285.0000	703.0000	407.0000	0.4140	0.1982	0.1780	0.0715	0.0347	0.0122	0.0109	0.0100	0.0071	0.0042	3	3	
8	857	0.3453516960144043	857	2.45261287689209	857.0000	789.0000	647.0000	654.0000	896.0000	540.0000	867.0000	131.0000	719.0000	223.0000	0.3454	0.2163	0.0794	0.0685	0.0501	0.0301	0.0246	0.0166	0.0165	0.0155	0	4	
9	654	0.23881466686725616	857	3.4417662620544434	654.0000	857.0000	896.0000	647.0000	342.0000	164.0000	310.0000	811.0000	889.0000	136.0000	0.2388	0.1456	0.0647	0.0492	0.0441	0.0343	0.0341	0.0310	0.0241	0.0241	1	4	
10	857	0.1052541434764862	857	4.159951210021973	857.0000	789.0000	358.0000	49.0000	162.0000	805.0000	223.0000	285.0000	719.0000	654.0000	0.1053	0.0880	0.0451	0.0426	0.0420	0.0396	0.0368	0.0332	0.0318	0.0317	0	5	
