	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	321	0.1596202403306961	864	3.148505687713623	321.0000	667.0000	16.0000	820.0000	435.0000	864.0000	43.0000	454.0000	67.0000	815.0000	0.1596	0.1173	0.1156	0.0716	0.0629	0.0511	0.0452	0.0372	0.0351	0.0289	5	0	
1	815	0.6085379719734192	864	1.739619493484497	815.0000	454.0000	864.0000	537.0000	435.0000	838.0000	258.0000	151.0000	927.0000	664.0000	0.6085	0.1382	0.0454	0.0454	0.0163	0.0134	0.0129	0.0107	0.0093	0.0084	2	0	
2	224	0.21331670880317688	864	2.598968267440796	224.0000	845.0000	454.0000	927.0000	820.0000	657.0000	202.0000	170.0000	864.0000	259.0000	0.2133	0.2085	0.1755	0.0560	0.0460	0.0424	0.0285	0.0272	0.0260	0.0227	8	1	
3	454	0.6488194465637207	864	1.6335794925689697	454.0000	338.0000	641.0000	657.0000	170.0000	224.0000	927.0000	845.0000	202.0000	259.0000	0.6488	0.0696	0.0657	0.0379	0.0304	0.0296	0.0147	0.0146	0.0124	0.0117	10	1	
4	641	0.2603805363178253	864	2.426152229309082	641.0000	454.0000	845.0000	864.0000	800.0000	435.0000	815.0000	224.0000	747.0000	927.0000	0.2604	0.2070	0.1674	0.0691	0.0625	0.0457	0.0311	0.0151	0.0140	0.0138	3	2	
5	641	0.244903102517128	864	2.5572152137756348	641.0000	845.0000	224.0000	454.0000	800.0000	815.0000	864.0000	123.0000	566.0000	927.0000	0.2449	0.1917	0.0974	0.0849	0.0721	0.0585	0.0398	0.0288	0.0268	0.0164	6	2	
6	641	0.36272644996643066	864	1.4661556482315063	641.0000	454.0000	845.0000	435.0000	67.0000	224.0000	16.0000	321.0000	800.0000	202.0000	0.3627	0.3511	0.2119	0.0202	0.0141	0.0043	0.0042	0.0037	0.0036	0.0035	12	3	
7	454	0.6583251357078552	864	0.9316189289093018	454.0000	641.0000	800.0000	845.0000	16.0000	566.0000	435.0000	838.0000	927.0000	202.0000	0.6583	0.2924	0.0097	0.0076	0.0057	0.0027	0.0025	0.0023	0.0021	0.0017	13	3	
8	454	0.27632054686546326	864	2.4472360610961914	454.0000	845.0000	170.0000	838.0000	864.0000	800.0000	815.0000	927.0000	202.0000	338.0000	0.2763	0.1458	0.1406	0.0711	0.0611	0.0583	0.0375	0.0315	0.0249	0.0249	4	4	
9	170	0.19304801523685455	864	2.665465831756592	170.0000	838.0000	454.0000	815.0000	800.0000	927.0000	845.0000	151.0000	123.0000	864.0000	0.1930	0.1320	0.1304	0.0959	0.0761	0.0589	0.0479	0.0394	0.0353	0.0313	9	4	
10	454	0.7479274868965149	864	1.0473580360412598	454.0000	864.0000	641.0000	170.0000	41.0000	845.0000	151.0000	927.0000	566.0000	484.0000	0.7479	0.1049	0.0648	0.0162	0.0155	0.0117	0.0097	0.0066	0.0045	0.0023	1	5	
11	454	0.7148316502571106	864	1.298246145248413	454.0000	864.0000	151.0000	927.0000	41.0000	641.0000	170.0000	838.0000	815.0000	800.0000	0.7148	0.0749	0.0606	0.0264	0.0242	0.0181	0.0165	0.0109	0.0107	0.0066	1	5	
12	747	0.19070683419704437	864	3.197481155395508	747.0000	454.0000	838.0000	332.0000	151.0000	927.0000	641.0000	864.0000	202.0000	800.0000	0.1907	0.1617	0.0859	0.0779	0.0542	0.0397	0.0378	0.0377	0.0339	0.0330	7	6	
13	838	0.19736582040786743	864	2.8541336059570312	838.0000	454.0000	151.0000	927.0000	864.0000	815.0000	747.0000	332.0000	845.0000	202.0000	0.1974	0.1953	0.1178	0.0773	0.0655	0.0362	0.0260	0.0240	0.0239	0.0219	4	6	
14	454	0.8349438905715942	864	0.6381752490997314	454.0000	641.0000	800.0000	151.0000	845.0000	815.0000	202.0000	864.0000	927.0000	838.0000	0.8349	0.1214	0.0194	0.0068	0.0028	0.0020	0.0020	0.0014	0.0014	0.0013	7	7	
15	454	0.9438496232032776	864	0.34295853972435	454.0000	641.0000	815.0000	800.0000	845.0000	151.0000	537.0000	193.0000	202.0000	838.0000	0.9438	0.0131	0.0119	0.0095	0.0058	0.0051	0.0023	0.0016	0.0013	0.0011	13	7	
16	454	0.9702073931694031	864	0.21537074446678162	454.0000	151.0000	800.0000	864.0000	170.0000	338.0000	838.0000	927.0000	845.0000	94.0000	0.9702	0.0076	0.0047	0.0038	0.0019	0.0018	0.0016	0.0011	0.0009	0.0008	3	8	
17	454	0.8927731513977051	864	0.6179925799369812	454.0000	800.0000	170.0000	151.0000	338.0000	845.0000	864.0000	94.0000	657.0000	927.0000	0.8928	0.0274	0.0136	0.0129	0.0112	0.0086	0.0079	0.0054	0.0029	0.0028	6	8	
18	454	0.28260084986686707	864	2.2885079383850098	454.0000	151.0000	170.0000	845.0000	838.0000	566.0000	800.0000	927.0000	864.0000	641.0000	0.2826	0.1608	0.1380	0.0770	0.0722	0.0716	0.0448	0.0439	0.0423	0.0115	8	9	
19	170	0.24944186210632324	864	2.5761337280273438	170.0000	566.0000	927.0000	454.0000	151.0000	123.0000	747.0000	41.0000	864.0000	838.0000	0.2494	0.1611	0.1163	0.0909	0.0716	0.0488	0.0459	0.0347	0.0217	0.0194	8	9	
20	641	0.6609659194946289	864	1.4225618839263916	641.0000	747.0000	41.0000	332.0000	435.0000	67.0000	170.0000	454.0000	800.0000	202.0000	0.6610	0.1177	0.0572	0.0380	0.0317	0.0250	0.0135	0.0084	0.0068	0.0058	26	10	
21	641	0.45873329043388367	864	1.5988175868988037	641.0000	747.0000	170.0000	41.0000	224.0000	332.0000	454.0000	927.0000	193.0000	16.0000	0.4587	0.2875	0.0996	0.0487	0.0297	0.0178	0.0116	0.0075	0.0052	0.0048	28	10	
22	845	0.466756671667099	864	1.4008910655975342	845.0000	641.0000	838.0000	454.0000	170.0000	747.0000	864.0000	224.0000	927.0000	41.0000	0.4668	0.3732	0.0353	0.0229	0.0205	0.0193	0.0190	0.0171	0.0045	0.0032	6	11	
23	845	0.5493434071540833	864	1.6693183183670044	845.0000	641.0000	838.0000	454.0000	747.0000	170.0000	864.0000	800.0000	619.0000	151.0000	0.5493	0.1094	0.0942	0.0883	0.0649	0.0183	0.0152	0.0112	0.0066	0.0065	6	11	
24	454	0.9985737800598145	864	0.013685213401913643	454.0000	641.0000	800.0000	845.0000	864.0000	747.0000	838.0000	566.0000	202.0000	927.0000	0.9986	0.0007	0.0002	0.0001	0.0001	0.0001	0.0001	0.0000	0.0000	0.0000	4	12	
25	454	0.9785090088844299	864	0.12556196749210358	454.0000	747.0000	641.0000	566.0000	800.0000	50.0000	202.0000	657.0000	571.0000	151.0000	0.9785	0.0175	0.0008	0.0006	0.0006	0.0003	0.0002	0.0001	0.0001	0.0001	14	12	
26	845	0.786574125289917	864	0.656104326248169	845.0000	454.0000	800.0000	641.0000	566.0000	151.0000	927.0000	838.0000	202.0000	864.0000	0.7866	0.1886	0.0059	0.0057	0.0025	0.0024	0.0013	0.0013	0.0008	0.0008	9	13	
27	454	0.9339470863342285	864	0.3876211643218994	454.0000	800.0000	845.0000	641.0000	747.0000	566.0000	94.0000	927.0000	202.0000	838.0000	0.9339	0.0241	0.0103	0.0097	0.0050	0.0040	0.0020	0.0014	0.0013	0.0012	15	13	
28	845	0.2836604118347168	864	2.0366127490997314	845.0000	864.0000	454.0000	800.0000	641.0000	838.0000	566.0000	815.0000	435.0000	202.0000	0.2837	0.2494	0.1618	0.1082	0.0686	0.0366	0.0273	0.0141	0.0071	0.0045	1	14	
29	641	0.4643253684043884	864	2.061307430267334	641.0000	454.0000	864.0000	566.0000	747.0000	800.0000	815.0000	845.0000	838.0000	370.0000	0.4643	0.1496	0.0706	0.0468	0.0425	0.0361	0.0339	0.0325	0.0300	0.0227	2	14	
30	845	0.30099236965179443	864	1.9490008354187012	845.0000	864.0000	454.0000	641.0000	838.0000	747.0000	927.0000	224.0000	151.0000	664.0000	0.3010	0.2040	0.1871	0.1239	0.0866	0.0199	0.0148	0.0148	0.0096	0.0095	1	15	
31	454	0.6611385345458984	864	1.3065876960754395	454.0000	747.0000	838.0000	845.0000	864.0000	641.0000	170.0000	151.0000	566.0000	927.0000	0.6611	0.1128	0.0967	0.0324	0.0291	0.0240	0.0102	0.0066	0.0043	0.0032	4	15	
