	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	692	0.08301365375518799	865	5.192575454711914	692.0000	282.0000	347.0000	98.0000	899.0000	252.0000	279.0000	521.0000	909.0000	525.0000	0.0830	0.0787	0.0596	0.0330	0.0240	0.0192	0.0140	0.0128	0.0127	0.0125	310	0	
1	521	0.29882362484931946	865	3.2042529582977295	521.0000	844.0000	0.0000	523.0000	585.0000	789.0000	819.0000	811.0000	627.0000	543.0000	0.2988	0.1554	0.0876	0.0652	0.0510	0.0298	0.0228	0.0115	0.0108	0.0100	40	0	
2	521	0.19298702478408813	865	4.09536600112915	521.0000	0.0000	789.0000	215.0000	75.0000	811.0000	585.0000	282.0000	485.0000	888.0000	0.1930	0.1294	0.0490	0.0399	0.0335	0.0308	0.0245	0.0234	0.0201	0.0187	82	0	
3	488	0.3182312548160553	865	4.083841323852539	488.0000	521.0000	120.0000	746.0000	811.0000	638.0000	285.0000	347.0000	745.0000	326.0000	0.3182	0.0362	0.0338	0.0242	0.0242	0.0222	0.0181	0.0167	0.0152	0.0138	237	0	
4	521	0.16179370880126953	865	4.442324161529541	521.0000	488.0000	396.0000	638.0000	629.0000	347.0000	844.0000	583.0000	326.0000	584.0000	0.1618	0.0614	0.0556	0.0466	0.0439	0.0308	0.0298	0.0197	0.0188	0.0184	247	0	
5	509	0.192372128367424	865	4.266580104827881	509.0000	364.0000	811.0000	489.0000	521.0000	942.0000	307.0000	626.0000	222.0000	789.0000	0.1924	0.0654	0.0582	0.0509	0.0365	0.0352	0.0326	0.0286	0.0248	0.0206	204	0	
6	811	0.3958418369293213	865	2.789003372192383	811.0000	282.0000	543.0000	347.0000	874.0000	49.0000	924.0000	483.0000	909.0000	169.0000	0.3958	0.1271	0.1061	0.1002	0.0429	0.0129	0.0070	0.0068	0.0065	0.0059	250	1	
7	282	0.6213758587837219	865	1.9022352695465088	282.0000	543.0000	811.0000	347.0000	0.0000	483.0000	627.0000	789.0000	893.0000	528.0000	0.6214	0.0997	0.0725	0.0288	0.0247	0.0127	0.0121	0.0080	0.0069	0.0069	195	1	
8	811	0.20960386097431183	865	3.182906150817871	811.0000	483.0000	282.0000	453.0000	162.0000	441.0000	166.0000	517.0000	543.0000	8.0000	0.2096	0.1371	0.1141	0.1009	0.0567	0.0524	0.0380	0.0275	0.0183	0.0165	335	1	
9	453	0.33368951082229614	865	3.0385749340057373	453.0000	517.0000	854.0000	811.0000	282.0000	524.0000	441.0000	488.0000	340.0000	787.0000	0.3337	0.1697	0.1315	0.0297	0.0293	0.0168	0.0148	0.0147	0.0142	0.0101	134	1	
10	347	0.3264855146408081	865	3.819150447845459	347.0000	453.0000	811.0000	320.0000	874.0000	488.0000	576.0000	524.0000	343.0000	521.0000	0.3265	0.1014	0.0287	0.0273	0.0249	0.0235	0.0234	0.0134	0.0120	0.0118	206	1	
11	811	0.30042320489883423	865	3.323038101196289	811.0000	441.0000	509.0000	282.0000	510.0000	543.0000	425.0000	483.0000	874.0000	651.0000	0.3004	0.1790	0.0734	0.0592	0.0229	0.0200	0.0176	0.0132	0.0125	0.0106	71	1	
12	811	0.4179953336715698	865	1.9259370565414429	811.0000	282.0000	441.0000	8.0000	543.0000	319.0000	874.0000	453.0000	924.0000	626.0000	0.4180	0.2724	0.1316	0.0406	0.0367	0.0088	0.0062	0.0056	0.0055	0.0050	310	2	
13	282	0.7664987444877625	865	1.229142189025879	282.0000	811.0000	543.0000	153.0000	385.0000	627.0000	441.0000	868.0000	626.0000	483.0000	0.7665	0.0911	0.0434	0.0068	0.0064	0.0064	0.0055	0.0037	0.0034	0.0029	180	2	
14	441	0.40660080313682556	865	1.926001787185669	441.0000	8.0000	811.0000	453.0000	282.0000	319.0000	543.0000	162.0000	854.0000	483.0000	0.4066	0.2783	0.0808	0.0720	0.0588	0.0154	0.0137	0.0082	0.0055	0.0047	397	2	
15	522	0.4845969080924988	865	2.228775978088379	522.0000	854.0000	730.0000	340.0000	319.0000	110.0000	282.0000	8.0000	453.0000	811.0000	0.4846	0.1662	0.0683	0.0375	0.0321	0.0268	0.0179	0.0134	0.0125	0.0124	72	2	
16	626	0.3541155159473419	865	2.44496488571167	626.0000	282.0000	522.0000	854.0000	310.0000	326.0000	396.0000	449.0000	488.0000	347.0000	0.3541	0.3484	0.0269	0.0200	0.0165	0.0144	0.0120	0.0116	0.0101	0.0088	152	2	
