	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	282	0.11951891332864761	868	4.574929237365723	282.0000	6.0000	854.0000	893.0000	453.0000	626.0000	919.0000	213.0000	228.0000	263.0000	0.1195	0.0735	0.0619	0.0535	0.0354	0.0297	0.0221	0.0220	0.0220	0.0178	56	0	
1	844	0.4333251118659973	868	2.4389805793762207	844.0000	282.0000	711.0000	893.0000	528.0000	513.0000	131.0000	453.0000	85.0000	217.0000	0.4333	0.1342	0.0886	0.0876	0.0444	0.0170	0.0139	0.0121	0.0118	0.0083	35	1	
2	282	0.2570093870162964	868	2.9800875186920166	282.0000	844.0000	528.0000	85.0000	893.0000	217.0000	213.0000	540.0000	639.0000	320.0000	0.2570	0.1231	0.1189	0.0897	0.0841	0.0484	0.0194	0.0182	0.0170	0.0144	11	2	
3	528	0.15949881076812744	868	3.1965532302856445	528.0000	844.0000	453.0000	282.0000	531.0000	364.0000	711.0000	215.0000	213.0000	245.0000	0.1595	0.1508	0.1275	0.1266	0.0523	0.0398	0.0371	0.0297	0.0185	0.0174	54	3	
4	854	0.3704933822154999	868	2.176013708114624	854.0000	282.0000	528.0000	213.0000	711.0000	85.0000	819.0000	614.0000	419.0000	162.0000	0.3705	0.2539	0.1340	0.0739	0.0319	0.0135	0.0131	0.0062	0.0061	0.0056	74	4	
5	282	0.5713706016540527	868	1.994469165802002	282.0000	213.0000	711.0000	528.0000	181.0000	419.0000	626.0000	809.0000	614.0000	854.0000	0.5714	0.1393	0.0601	0.0242	0.0190	0.0153	0.0115	0.0108	0.0108	0.0107	91	5	
6	282	0.4287470877170563	868	2.4079737663269043	282.0000	528.0000	711.0000	614.0000	893.0000	213.0000	419.0000	217.0000	745.0000	453.0000	0.4287	0.1684	0.0803	0.0424	0.0401	0.0254	0.0183	0.0179	0.0145	0.0140	71	6	
7	282	0.9298985004425049	868	0.4118679165840149	282.0000	528.0000	711.0000	213.0000	893.0000	614.0000	745.0000	217.0000	854.0000	396.0000	0.9299	0.0206	0.0160	0.0127	0.0099	0.0011	0.0009	0.0005	0.0005	0.0004	34	7	
8	282	0.4218243360519409	868	2.0787181854248047	282.0000	711.0000	213.0000	528.0000	614.0000	854.0000	893.0000	394.0000	745.0000	407.0000	0.4218	0.2603	0.1021	0.0409	0.0356	0.0130	0.0129	0.0127	0.0051	0.0040	35	8	
9	217	0.36112740635871887	868	2.528999090194702	217.0000	320.0000	213.0000	282.0000	854.0000	585.0000	177.0000	528.0000	627.0000	893.0000	0.3611	0.1649	0.1122	0.1093	0.0278	0.0243	0.0155	0.0149	0.0123	0.0109	30	9	
10	217	0.3529219925403595	868	2.284405469894409	217.0000	282.0000	893.0000	711.0000	213.0000	585.0000	582.0000	85.0000	819.0000	614.0000	0.3529	0.2468	0.1297	0.0614	0.0278	0.0244	0.0162	0.0109	0.0097	0.0088	45	10	
11	213	0.1412992626428604	868	3.7811267375946045	213.0000	181.0000	170.0000	178.0000	706.0000	457.0000	282.0000	57.0000	371.0000	182.0000	0.1413	0.1060	0.0960	0.0459	0.0447	0.0363	0.0354	0.0334	0.0287	0.0252	26	11	
12	285	0.32646894454956055	868	2.0912089347839355	285.0000	854.0000	320.0000	217.0000	528.0000	177.0000	213.0000	85.0000	893.0000	162.0000	0.3265	0.2496	0.2130	0.0253	0.0215	0.0205	0.0190	0.0171	0.0165	0.0128	45	12	
13	282	0.22607183456420898	868	2.7405498027801514	282.0000	213.0000	528.0000	320.0000	854.0000	217.0000	711.0000	745.0000	457.0000	406.0000	0.2261	0.1888	0.1181	0.0905	0.0857	0.0598	0.0324	0.0255	0.0221	0.0139	42	13	
