	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	510	0.18978294730186462	869	4.230564594268799	510.0000	584.0000	670.0000	884.0000	780.0000	191.0000	621.0000	55.0000	240.0000	797.0000	0.1898	0.1185	0.0608	0.0367	0.0287	0.0261	0.0200	0.0194	0.0165	0.0153	66	0	
1	510	0.24969881772994995	869	3.6793651580810547	510.0000	797.0000	589.0000	584.0000	884.0000	507.0000	621.0000	590.0000	681.0000	670.0000	0.2497	0.0918	0.0774	0.0376	0.0335	0.0332	0.0314	0.0283	0.0263	0.0164	75	0	
2	621	0.09802950918674469	869	5.137012958526611	621.0000	584.0000	510.0000	55.0000	780.0000	358.0000	797.0000	288.0000	681.0000	431.0000	0.0980	0.0555	0.0502	0.0306	0.0291	0.0203	0.0154	0.0140	0.0136	0.0127	53	0	
3	306	0.15603995323181152	869	5.226876735687256	306.0000	38.0000	621.0000	510.0000	96.0000	870.0000	511.0000	797.0000	288.0000	55.0000	0.1560	0.0507	0.0364	0.0283	0.0193	0.0174	0.0173	0.0134	0.0124	0.0121	34	0	
4	510	0.17792730033397675	869	4.298884391784668	510.0000	811.0000	441.0000	509.0000	681.0000	240.0000	670.0000	222.0000	142.0000	515.0000	0.1779	0.1285	0.1004	0.0268	0.0187	0.0168	0.0156	0.0144	0.0136	0.0130	16	1	
5	510	0.8170537948608398	869	0.9648576378822327	510.0000	590.0000	507.0000	681.0000	589.0000	811.0000	621.0000	82.0000	431.0000	755.0000	0.8171	0.0654	0.0230	0.0181	0.0118	0.0115	0.0102	0.0033	0.0031	0.0023	22	1	
6	441	0.13162276148796082	869	4.452947616577148	441.0000	510.0000	681.0000	690.0000	240.0000	509.0000	621.0000	909.0000	541.0000	515.0000	0.1316	0.1149	0.0713	0.0455	0.0322	0.0249	0.0214	0.0199	0.0183	0.0176	20	1	
7	510	0.23590290546417236	869	3.7939529418945312	510.0000	288.0000	869.0000	942.0000	621.0000	358.0000	38.0000	690.0000	96.0000	910.0000	0.2359	0.0872	0.0776	0.0543	0.0503	0.0383	0.0343	0.0338	0.0181	0.0179	2	1	
8	646	0.11873835325241089	869	3.7754998207092285	646.0000	510.0000	681.0000	191.0000	509.0000	584.0000	513.0000	44.0000	811.0000	255.0000	0.1187	0.1164	0.1071	0.0666	0.0621	0.0540	0.0371	0.0345	0.0234	0.0206	11	2	
9	510	0.32469040155410767	869	2.7058849334716797	510.0000	295.0000	646.0000	513.0000	681.0000	630.0000	832.0000	869.0000	589.0000	621.0000	0.3247	0.1638	0.0719	0.0682	0.0665	0.0584	0.0257	0.0247	0.0177	0.0149	7	2	
10	510	0.30266764760017395	869	3.3931944370269775	510.0000	646.0000	832.0000	240.0000	55.0000	431.0000	347.0000	295.0000	869.0000	884.0000	0.3027	0.0575	0.0507	0.0480	0.0447	0.0433	0.0347	0.0288	0.0279	0.0278	8	2	
11	942	0.19268910586833954	869	3.706895589828491	942.0000	869.0000	38.0000	546.0000	510.0000	832.0000	251.0000	737.0000	941.0000	795.0000	0.1927	0.1421	0.0572	0.0429	0.0398	0.0339	0.0257	0.0232	0.0218	0.0216	1	2	
12	646	0.17416857182979584	869	3.8437724113464355	646.0000	541.0000	681.0000	884.0000	431.0000	96.0000	3.0000	395.0000	869.0000	38.0000	0.1742	0.1211	0.0965	0.0526	0.0274	0.0237	0.0225	0.0213	0.0190	0.0185	8	3	
13	590	0.2796599268913269	869	2.353865623474121	590.0000	295.0000	510.0000	681.0000	431.0000	869.0000	44.0000	426.0000	646.0000	379.0000	0.2797	0.1338	0.1156	0.1087	0.1066	0.0969	0.0388	0.0170	0.0116	0.0107	5	3	
14	104	0.3513492941856384	869	2.829963207244873	104.0000	541.0000	431.0000	96.0000	909.0000	832.0000	277.0000	869.0000	509.0000	226.0000	0.3513	0.2322	0.0457	0.0420	0.0285	0.0187	0.0142	0.0128	0.0105	0.0101	7	3	
15	38	0.9176642894744873	869	0.4037492275238037	38.0000	54.0000	909.0000	692.0000	96.0000	870.0000	853.0000	869.0000	555.0000	252.0000	0.9177	0.0457	0.0211	0.0078	0.0013	0.0009	0.0008	0.0005	0.0005	0.0005	7	3	
16	191	0.4044962227344513	869	2.5022330284118652	191.0000	483.0000	509.0000	681.0000	44.0000	330.0000	510.0000	226.0000	851.0000	180.0000	0.4045	0.1013	0.0949	0.0941	0.0676	0.0316	0.0201	0.0172	0.0151	0.0127	43	4	
17	681	0.4027816355228424	869	2.2669427394866943	681.0000	431.0000	507.0000	590.0000	851.0000	363.0000	510.0000	68.0000	910.0000	295.0000	0.4028	0.1768	0.0654	0.0544	0.0471	0.0471	0.0461	0.0276	0.0132	0.0131	11	4	
18	133	0.3807610273361206	869	2.4050910472869873	133.0000	191.0000	226.0000	277.0000	509.0000	44.0000	180.0000	137.0000	330.0000	304.0000	0.3808	0.2255	0.0705	0.0596	0.0446	0.0257	0.0231	0.0222	0.0098	0.0085	76	4	
19	191	0.6964017748832703	869	1.9701184034347534	191.0000	483.0000	363.0000	690.0000	509.0000	330.0000	277.0000	924.0000	735.0000	698.0000	0.6964	0.0327	0.0253	0.0177	0.0136	0.0110	0.0097	0.0078	0.0066	0.0064	14	4	
20	681	0.3931991457939148	869	2.452817440032959	681.0000	44.0000	869.0000	909.0000	191.0000	226.0000	363.0000	19.0000	851.0000	426.0000	0.3932	0.2347	0.0493	0.0415	0.0361	0.0335	0.0233	0.0141	0.0106	0.0097	2	5	
21	590	0.24750187993049622	869	2.6758251190185547	590.0000	869.0000	681.0000	431.0000	44.0000	589.0000	426.0000	226.0000	507.0000	295.0000	0.2475	0.1257	0.1225	0.1045	0.0944	0.0370	0.0325	0.0250	0.0233	0.0220	1	5	
22	909	0.4462156593799591	869	2.410036087036133	909.0000	44.0000	363.0000	277.0000	869.0000	133.0000	681.0000	541.0000	19.0000	930.0000	0.4462	0.1602	0.0984	0.0397	0.0212	0.0192	0.0173	0.0162	0.0126	0.0097	4	5	
23	909	0.6802974939346313	869	1.7521402835845947	909.0000	910.0000	869.0000	854.0000	363.0000	541.0000	288.0000	44.0000	431.0000	28.0000	0.6803	0.1001	0.0252	0.0241	0.0143	0.0096	0.0069	0.0065	0.0063	0.0059	2	5	
24	191	0.7501206994056702	869	1.1570045948028564	191.0000	510.0000	869.0000	585.0000	681.0000	644.0000	391.0000	240.0000	565.0000	521.0000	0.7501	0.1522	0.0103	0.0093	0.0082	0.0054	0.0038	0.0033	0.0026	0.0022	2	6	
25	869	0.5253000855445862	869	1.6765315532684326	869.0000	681.0000	431.0000	590.0000	510.0000	240.0000	426.0000	630.0000	295.0000	607.0000	0.5253	0.2305	0.0695	0.0369	0.0252	0.0193	0.0190	0.0117	0.0059	0.0050	0	6	
26	681	0.2142241895198822	869	3.159829616546631	681.0000	869.0000	363.0000	510.0000	180.0000	44.0000	541.0000	590.0000	621.0000	431.0000	0.2142	0.1768	0.1075	0.0755	0.0353	0.0328	0.0324	0.0277	0.0216	0.0196	1	6	
27	869	0.5917750597000122	869	2.1236767768859863	869.0000	910.0000	288.0000	28.0000	363.0000	621.0000	350.0000	584.0000	909.0000	541.0000	0.5918	0.0569	0.0468	0.0451	0.0374	0.0257	0.0157	0.0152	0.0140	0.0133	0	6	
28	646	0.2578735947608948	869	3.848484992980957	646.0000	869.0000	909.0000	584.0000	679.0000	191.0000	483.0000	662.0000	645.0000	173.0000	0.2579	0.0695	0.0623	0.0612	0.0349	0.0296	0.0260	0.0206	0.0202	0.0153	1	7	
29	869	0.8006367087364197	869	1.001722812652588	869.0000	426.0000	590.0000	510.0000	416.0000	431.0000	295.0000	589.0000	44.0000	226.0000	0.8006	0.0497	0.0449	0.0237	0.0229	0.0138	0.0063	0.0047	0.0033	0.0027	0	7	
30	191	0.14839783310890198	869	3.3064651489257812	191.0000	869.0000	226.0000	312.0000	426.0000	510.0000	225.0000	304.0000	347.0000	363.0000	0.1484	0.1460	0.1204	0.0937	0.0866	0.0639	0.0273	0.0251	0.0191	0.0158	1	7	
31	28	0.5982137322425842	869	1.023881435394287	28.0000	869.0000	288.0000	910.0000	363.0000	275.0000	568.0000	38.0000	295.0000	621.0000	0.5982	0.3377	0.0173	0.0108	0.0092	0.0037	0.0036	0.0029	0.0023	0.0020	1	7	
32	191	0.5315090417861938	869	2.5668396949768066	191.0000	909.0000	295.0000	681.0000	869.0000	364.0000	510.0000	670.0000	646.0000	738.0000	0.5315	0.0767	0.0389	0.0263	0.0239	0.0210	0.0179	0.0164	0.0146	0.0138	4	8	
33	295	0.8412330746650696	869	0.7761494517326355	295.0000	426.0000	869.0000	431.0000	681.0000	510.0000	589.0000	416.0000	738.0000	590.0000	0.8412	0.0463	0.0426	0.0212	0.0200	0.0052	0.0031	0.0022	0.0015	0.0015	2	8	
34	510	0.27707356214523315	869	2.363095283508301	510.0000	869.0000	909.0000	363.0000	541.0000	738.0000	288.0000	681.0000	621.0000	431.0000	0.2771	0.2716	0.1747	0.0516	0.0231	0.0228	0.0211	0.0190	0.0117	0.0116	1	8	
35	38	0.35563230514526367	869	2.9922852516174316	38.0000	869.0000	295.0000	909.0000	603.0000	431.0000	510.0000	541.0000	191.0000	363.0000	0.3556	0.1761	0.0611	0.0369	0.0351	0.0254	0.0188	0.0172	0.0141	0.0113	1	8	
36	191	0.6895388960838318	869	1.237264633178711	191.0000	681.0000	509.0000	510.0000	226.0000	738.0000	507.0000	851.0000	288.0000	330.0000	0.6895	0.1478	0.0538	0.0290	0.0135	0.0087	0.0078	0.0065	0.0064	0.0063	10	9	
37	590	0.26422813534736633	869	2.013871192932129	590.0000	431.0000	510.0000	869.0000	681.0000	507.0000	851.0000	288.0000	910.0000	295.0000	0.2642	0.2434	0.1691	0.1500	0.0596	0.0223	0.0190	0.0124	0.0067	0.0064	3	9	
38	191	0.5847617983818054	869	2.01259708404541	191.0000	133.0000	180.0000	909.0000	507.0000	137.0000	226.0000	141.0000	288.0000	590.0000	0.5848	0.0907	0.0613	0.0260	0.0246	0.0220	0.0170	0.0155	0.0134	0.0122	25	9	
39	854	0.16876614093780518	869	3.9465837478637695	854.0000	509.0000	96.0000	180.0000	71.0000	909.0000	441.0000	133.0000	502.0000	483.0000	0.1688	0.1206	0.0612	0.0518	0.0358	0.0316	0.0259	0.0238	0.0238	0.0230	44	9	
40	909	0.45564377307891846	869	2.5932912826538086	909.0000	191.0000	503.0000	681.0000	541.0000	869.0000	226.0000	738.0000	565.0000	431.0000	0.4556	0.1609	0.0396	0.0305	0.0246	0.0242	0.0216	0.0174	0.0166	0.0151	5	10	
41	869	0.7100188136100769	869	1.1537203788757324	869.0000	681.0000	590.0000	431.0000	510.0000	426.0000	295.0000	416.0000	851.0000	363.0000	0.7100	0.1174	0.0698	0.0512	0.0077	0.0062	0.0054	0.0045	0.0043	0.0033	0	10	
42	909	0.7866308093070984	869	1.4032238721847534	909.0000	551.0000	347.0000	191.0000	73.0000	279.0000	690.0000	98.0000	104.0000	431.0000	0.7866	0.0167	0.0166	0.0164	0.0157	0.0131	0.0111	0.0081	0.0074	0.0065	17	10	
43	657	0.2981320321559906	869	2.9133901596069336	657.0000	909.0000	690.0000	786.0000	854.0000	4.0000	471.0000	411.0000	279.0000	252.0000	0.2981	0.2368	0.0817	0.0453	0.0307	0.0300	0.0201	0.0190	0.0149	0.0137	14	10	
44	510	0.3104831576347351	869	2.3832552433013916	510.0000	191.0000	869.0000	509.0000	226.0000	483.0000	646.0000	31.0000	426.0000	68.0000	0.3105	0.2187	0.1540	0.1006	0.0298	0.0237	0.0224	0.0101	0.0098	0.0077	2	11	
45	507	0.5782595872879028	869	0.9854621291160583	507.0000	869.0000	431.0000	590.0000	851.0000	416.0000	44.0000	226.0000	510.0000	358.0000	0.5783	0.3563	0.0295	0.0172	0.0038	0.0029	0.0023	0.0013	0.0012	0.0011	1	11	
46	869	0.5033165216445923	869	1.9070954322814941	869.0000	510.0000	226.0000	363.0000	191.0000	909.0000	431.0000	73.0000	55.0000	589.0000	0.5033	0.1514	0.1164	0.0716	0.0453	0.0104	0.0089	0.0070	0.0065	0.0057	0	11	
47	869	0.7177083492279053	869	1.221595048904419	869.0000	910.0000	288.0000	509.0000	363.0000	28.0000	295.0000	38.0000	621.0000	786.0000	0.7177	0.0925	0.0583	0.0383	0.0229	0.0129	0.0127	0.0099	0.0097	0.0067	0	11	
48	869	0.1477135270833969	869	4.358863830566406	869.0000	672.0000	142.0000	541.0000	644.0000	681.0000	515.0000	173.0000	426.0000	521.0000	0.1477	0.0650	0.0517	0.0355	0.0327	0.0289	0.0267	0.0244	0.0243	0.0220	0	12	
49	295	0.36292511224746704	869	2.412464141845703	295.0000	869.0000	431.0000	426.0000	681.0000	589.0000	212.0000	614.0000	936.0000	510.0000	0.3629	0.2851	0.0512	0.0329	0.0282	0.0213	0.0165	0.0142	0.0098	0.0097	1	12	
50	869	0.4811306893825531	869	2.6440491676330566	869.0000	644.0000	909.0000	652.0000	515.0000	541.0000	323.0000	672.0000	426.0000	133.0000	0.4811	0.0572	0.0486	0.0451	0.0445	0.0285	0.0245	0.0180	0.0169	0.0141	0	12	
51	38	0.24470721185207367	869	3.1163535118103027	38.0000	909.0000	869.0000	54.0000	910.0000	541.0000	495.0000	363.0000	690.0000	551.0000	0.2447	0.2161	0.1631	0.0354	0.0268	0.0151	0.0130	0.0099	0.0095	0.0091	2	12	
52	191	0.1964346468448639	869	3.503955841064453	191.0000	279.0000	899.0000	853.0000	44.0000	450.0000	681.0000	909.0000	832.0000	924.0000	0.1964	0.1042	0.0727	0.0599	0.0476	0.0406	0.0381	0.0372	0.0328	0.0320	36	13	
53	44	0.5931235551834106	869	1.1374456882476807	44.0000	681.0000	869.0000	426.0000	738.0000	431.0000	416.0000	851.0000	510.0000	590.0000	0.5931	0.2858	0.0486	0.0367	0.0160	0.0043	0.0034	0.0017	0.0016	0.0009	2	13	
54	909	0.5813726186752319	869	1.6833477020263672	909.0000	541.0000	450.0000	837.0000	692.0000	279.0000	832.0000	133.0000	98.0000	278.0000	0.5814	0.1399	0.1159	0.0297	0.0177	0.0126	0.0116	0.0081	0.0080	0.0068	27	13	
55	692	0.3938099145889282	869	1.8041605949401855	692.0000	541.0000	786.0000	252.0000	869.0000	98.0000	363.0000	909.0000	690.0000	612.0000	0.3938	0.3473	0.0715	0.0328	0.0312	0.0193	0.0155	0.0148	0.0127	0.0115	4	13	
56	869	0.22846779227256775	869	3.0114715099334717	869.0000	510.0000	431.0000	226.0000	509.0000	191.0000	681.0000	68.0000	142.0000	167.0000	0.2285	0.1521	0.1007	0.0812	0.0562	0.0545	0.0461	0.0342	0.0220	0.0186	0	14	
57	590	0.4551376402378082	869	1.2854009866714478	590.0000	869.0000	431.0000	510.0000	589.0000	681.0000	426.0000	507.0000	851.0000	295.0000	0.4551	0.2701	0.2307	0.0143	0.0070	0.0062	0.0030	0.0028	0.0025	0.0021	1	14	
58	226	0.5266250371932983	869	1.5453112125396729	226.0000	431.0000	869.0000	541.0000	510.0000	142.0000	509.0000	590.0000	426.0000	304.0000	0.5266	0.2982	0.0361	0.0270	0.0220	0.0110	0.0094	0.0078	0.0073	0.0052	2	14	
59	690	0.10335983335971832	869	4.294447422027588	690.0000	869.0000	431.0000	910.0000	786.0000	621.0000	509.0000	541.0000	282.0000	538.0000	0.1034	0.0784	0.0649	0.0565	0.0461	0.0453	0.0420	0.0412	0.0310	0.0248	1	14	
60	811	0.6744012832641602	869	1.1826155185699463	811.0000	191.0000	476.0000	681.0000	819.0000	924.0000	510.0000	748.0000	509.0000	232.0000	0.6744	0.2331	0.0150	0.0101	0.0054	0.0050	0.0041	0.0034	0.0031	0.0029	54	15	
61	681	0.6542888283729553	869	1.4445195198059082	681.0000	869.0000	590.0000	295.0000	363.0000	431.0000	510.0000	662.0000	884.0000	285.0000	0.6543	0.0749	0.0684	0.0518	0.0413	0.0337	0.0299	0.0087	0.0054	0.0050	1	15	
62	191	0.19685985147953033	869	3.7731029987335205	191.0000	662.0000	180.0000	226.0000	924.0000	558.0000	853.0000	509.0000	910.0000	426.0000	0.1969	0.0747	0.0466	0.0438	0.0406	0.0359	0.0354	0.0276	0.0267	0.0264	39	15	
63	38	0.2159416228532791	869	3.445249557495117	38.0000	657.0000	191.0000	869.0000	54.0000	910.0000	282.0000	369.0000	590.0000	853.0000	0.2159	0.0997	0.0688	0.0678	0.0652	0.0440	0.0432	0.0301	0.0276	0.0272	3	15	
64	191	0.6796081066131592	869	1.7055063247680664	191.0000	681.0000	869.0000	646.0000	426.0000	364.0000	476.0000	565.0000	851.0000	853.0000	0.6796	0.1114	0.0189	0.0180	0.0156	0.0135	0.0111	0.0077	0.0076	0.0061	2	16	
65	869	0.2664082646369934	869	2.184979200363159	869.0000	431.0000	590.0000	295.0000	851.0000	681.0000	510.0000	226.0000	373.0000	426.0000	0.2664	0.2487	0.0957	0.0842	0.0735	0.0658	0.0571	0.0247	0.0216	0.0196	0	16	
66	225	0.16016416251659393	869	3.502974033355713	225.0000	853.0000	44.0000	851.0000	467.0000	426.0000	191.0000	551.0000	869.0000	364.0000	0.1602	0.1278	0.0792	0.0723	0.0553	0.0431	0.0359	0.0346	0.0311	0.0239	8	16	
67	910	0.5571127533912659	869	1.2627991437911987	910.0000	869.0000	786.0000	288.0000	28.0000	879.0000	598.0000	690.0000	294.0000	363.0000	0.5571	0.3079	0.0517	0.0351	0.0161	0.0053	0.0022	0.0017	0.0016	0.0015	1	16	
68	191	0.7582979202270508	869	1.603074312210083	191.0000	363.0000	924.0000	137.0000	285.0000	551.0000	347.0000	483.0000	811.0000	755.0000	0.7583	0.0235	0.0168	0.0137	0.0125	0.0093	0.0089	0.0086	0.0072	0.0070	53	17	
69	363	0.5350484251976013	869	1.6867120265960693	363.0000	869.0000	590.0000	295.0000	426.0000	681.0000	44.0000	674.0000	510.0000	416.0000	0.5350	0.1820	0.0773	0.0543	0.0385	0.0301	0.0178	0.0090	0.0062	0.0054	1	17	
70	551	0.6917591691017151	869	1.2982268333435059	551.0000	347.0000	285.0000	909.0000	450.0000	55.0000	854.0000	581.0000	73.0000	924.0000	0.6918	0.1372	0.0632	0.0354	0.0069	0.0067	0.0062	0.0052	0.0049	0.0030	162	17	
71	347	0.14014308154582977	869	3.6526670455932617	347.0000	363.0000	55.0000	786.0000	551.0000	789.0000	418.0000	294.0000	657.0000	285.0000	0.1401	0.1290	0.1033	0.0641	0.0559	0.0537	0.0475	0.0325	0.0293	0.0186	19	17	
72	681	0.33451351523399353	869	3.7059524059295654	681.0000	646.0000	191.0000	38.0000	395.0000	617.0000	541.0000	68.0000	644.0000	431.0000	0.3345	0.0421	0.0409	0.0343	0.0330	0.0315	0.0246	0.0207	0.0197	0.0186	14	18	
