	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	38	0.7675872445106506	870	1.2357507944107056	38.0000	157.0000	186.0000	870.0000	617.0000	511.0000	364.0000	2.0000	734.0000	912.0000	0.7676	0.0821	0.0222	0.0187	0.0177	0.0101	0.0098	0.0037	0.0034	0.0033	3	0	
1	38	0.8637179136276245	870	0.6958737373352051	38.0000	157.0000	870.0000	511.0000	2.0000	186.0000	817.0000	617.0000	926.0000	465.0000	0.8637	0.0532	0.0325	0.0140	0.0051	0.0047	0.0046	0.0033	0.0020	0.0018	2	0	
2	364	0.7803006172180176	870	0.8149532079696655	364.0000	38.0000	912.0000	511.0000	617.0000	870.0000	96.0000	191.0000	845.0000	465.0000	0.7803	0.1453	0.0321	0.0149	0.0098	0.0061	0.0021	0.0019	0.0012	0.0005	5	0	
3	38	0.9581424593925476	870	0.25001928210258484	38.0000	511.0000	870.0000	617.0000	186.0000	465.0000	949.0000	364.0000	926.0000	96.0000	0.9581	0.0207	0.0095	0.0035	0.0014	0.0010	0.0009	0.0009	0.0006	0.0004	2	0	
4	38	0.8798204064369202	870	0.5463129281997681	38.0000	870.0000	511.0000	617.0000	157.0000	36.0000	926.0000	186.0000	465.0000	555.0000	0.8798	0.0783	0.0172	0.0043	0.0042	0.0035	0.0015	0.0014	0.0012	0.0010	1	0	
5	38	0.8909894824028015	870	0.52812260389328	38.0000	511.0000	617.0000	364.0000	870.0000	817.0000	465.0000	186.0000	484.0000	912.0000	0.8910	0.0413	0.0363	0.0139	0.0062	0.0026	0.0020	0.0020	0.0008	0.0006	4	0	
6	157	0.5854630470275879	870	1.6262986660003662	157.0000	38.0000	340.0000	186.0000	817.0000	617.0000	511.0000	364.0000	870.0000	385.0000	0.5855	0.2428	0.0292	0.0168	0.0091	0.0082	0.0063	0.0061	0.0058	0.0053	8	0	
7	38	0.36206138134002686	870	1.7995648384094238	38.0000	870.0000	511.0000	555.0000	617.0000	157.0000	186.0000	36.0000	610.0000	734.0000	0.3621	0.3490	0.0855	0.0850	0.0262	0.0160	0.0077	0.0075	0.0069	0.0060	1	0	
8	38	0.6921902894973755	870	1.025462031364441	38.0000	364.0000	511.0000	617.0000	870.0000	912.0000	465.0000	96.0000	817.0000	191.0000	0.6922	0.1780	0.0731	0.0263	0.0131	0.0061	0.0019	0.0015	0.0013	0.0006	4	0	
9	364	0.859757661819458	870	0.7560132741928101	364.0000	912.0000	38.0000	511.0000	617.0000	484.0000	817.0000	485.0000	191.0000	465.0000	0.8598	0.0436	0.0305	0.0146	0.0129	0.0080	0.0071	0.0029	0.0011	0.0010	23	0	
10	38	0.9748736023902893	870	0.14199292659759521	38.0000	511.0000	617.0000	870.0000	817.0000	186.0000	465.0000	926.0000	364.0000	272.0000	0.9749	0.0191	0.0025	0.0017	0.0006	0.0003	0.0003	0.0002	0.0001	0.0000	3	0	
11	38	0.9118378162384033	870	0.46183156967163086	38.0000	511.0000	617.0000	870.0000	186.0000	926.0000	817.0000	465.0000	272.0000	157.0000	0.9118	0.0372	0.0187	0.0129	0.0044	0.0038	0.0027	0.0023	0.0011	0.0009	3	0	
12	38	0.8962737917900085	870	0.5247979760169983	38.0000	511.0000	364.0000	617.0000	870.0000	817.0000	912.0000	465.0000	186.0000	96.0000	0.8963	0.0376	0.0259	0.0132	0.0128	0.0051	0.0029	0.0012	0.0010	0.0007	4	0	
13	38	0.7013818621635437	870	1.2066714763641357	38.0000	870.0000	157.0000	817.0000	511.0000	54.0000	734.0000	617.0000	555.0000	2.0000	0.7014	0.0921	0.0914	0.0540	0.0168	0.0064	0.0048	0.0044	0.0043	0.0035	1	0	
14	364	0.9686699509620667	870	0.21172603964805603	364.0000	38.0000	912.0000	617.0000	511.0000	845.0000	166.0000	485.0000	96.0000	282.0000	0.9687	0.0115	0.0072	0.0033	0.0030	0.0009	0.0007	0.0006	0.0004	0.0003	29	0	
15	364	0.9608218669891357	870	0.1915748119354248	364.0000	912.0000	38.0000	511.0000	96.0000	617.0000	191.0000	845.0000	243.0000	555.0000	0.9608	0.0342	0.0024	0.0010	0.0002	0.0002	0.0002	0.0001	0.0000	0.0000	10	0	
16	870	0.5557345151901245	870	1.0568435192108154	870.0000	38.0000	36.0000	555.0000	511.0000	157.0000	617.0000	949.0000	667.0000	96.0000	0.5557	0.3862	0.0111	0.0091	0.0052	0.0041	0.0021	0.0016	0.0016	0.0013	0	0	
17	484	0.857628345489502	870	0.8247659206390381	484.0000	38.0000	511.0000	870.0000	485.0000	610.0000	949.0000	555.0000	617.0000	202.0000	0.8576	0.0517	0.0171	0.0117	0.0089	0.0044	0.0040	0.0038	0.0033	0.0032	3	0	
18	38	0.937000572681427	870	0.3194195032119751	38.0000	511.0000	617.0000	870.0000	817.0000	465.0000	186.0000	364.0000	272.0000	157.0000	0.9370	0.0369	0.0117	0.0064	0.0042	0.0014	0.0009	0.0006	0.0002	0.0001	3	0	
19	364	0.23837803304195404	870	2.368917226791382	364.0000	511.0000	912.0000	38.0000	36.0000	555.0000	949.0000	484.0000	617.0000	870.0000	0.2384	0.2268	0.1640	0.1621	0.0396	0.0223	0.0150	0.0131	0.0121	0.0090	9	0	
20	38	0.5449067950248718	870	1.3086313009262085	38.0000	364.0000	511.0000	617.0000	912.0000	186.0000	484.0000	465.0000	870.0000	96.0000	0.5449	0.2541	0.1173	0.0465	0.0101	0.0055	0.0038	0.0031	0.0011	0.0010	8	0	
