	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	347	0.3154122233390808	874	3.7244086265563965	347.0000	96.0000	874.0000	49.0000	143.0000	421.0000	2.0000	74.0000	331.0000	3.0000	0.3154	0.1065	0.0527	0.0326	0.0291	0.0188	0.0181	0.0160	0.0156	0.0142	2	0	
1	347	0.890323281288147	874	0.6818338632583618	347.0000	874.0000	282.0000	74.0000	385.0000	49.0000	576.0000	651.0000	889.0000	832.0000	0.8903	0.0489	0.0096	0.0039	0.0037	0.0033	0.0022	0.0020	0.0018	0.0015	1	0	
2	692	0.10221146047115326	874	4.5113630294799805	692.0000	347.0000	861.0000	845.0000	96.0000	499.0000	54.0000	651.0000	3.0000	255.0000	0.1022	0.0956	0.0610	0.0515	0.0469	0.0433	0.0359	0.0256	0.0228	0.0180	20	1	
3	54	0.685644268989563	874	1.5044353008270264	54.0000	49.0000	845.0000	347.0000	874.0000	96.0000	924.0000	857.0000	364.0000	258.0000	0.6856	0.0933	0.0772	0.0393	0.0136	0.0052	0.0048	0.0045	0.0043	0.0040	4	1	
4	874	0.5325976610183716	874	2.0829145908355713	874.0000	347.0000	651.0000	923.0000	282.0000	809.0000	122.0000	254.0000	96.0000	909.0000	0.5326	0.1769	0.0518	0.0401	0.0235	0.0199	0.0180	0.0110	0.0094	0.0079	0	2	
5	874	0.7819344401359558	874	1.098995327949524	874.0000	809.0000	342.0000	651.0000	889.0000	49.0000	371.0000	647.0000	925.0000	654.0000	0.7819	0.1059	0.0141	0.0097	0.0090	0.0087	0.0078	0.0062	0.0051	0.0033	0	2	
6	254	0.38882333040237427	874	2.3382163047790527	254.0000	874.0000	682.0000	909.0000	347.0000	326.0000	638.0000	576.0000	809.0000	13.0000	0.3888	0.1771	0.1143	0.0738	0.0340	0.0239	0.0218	0.0157	0.0138	0.0123	1	3	
7	874	0.9035643935203552	874	0.42899978160858154	874.0000	809.0000	347.0000	651.0000	924.0000	527.0000	96.0000	576.0000	282.0000	832.0000	0.9036	0.0553	0.0341	0.0010	0.0008	0.0005	0.0004	0.0004	0.0003	0.0003	0	3	
8	651	0.2925877273082733	874	2.456678628921509	651.0000	809.0000	854.0000	254.0000	133.0000	326.0000	346.0000	471.0000	874.0000	375.0000	0.2926	0.1684	0.1180	0.0850	0.0785	0.0615	0.0305	0.0245	0.0237	0.0202	8	4	
9	809	0.32015711069107056	874	2.6158366203308105	809.0000	874.0000	647.0000	347.0000	342.0000	924.0000	54.0000	371.0000	719.0000	49.0000	0.3202	0.1605	0.0956	0.0787	0.0645	0.0458	0.0236	0.0223	0.0188	0.0186	1	4	
10	347	0.37745723128318787	874	3.280200481414795	347.0000	96.0000	809.0000	874.0000	282.0000	254.0000	861.0000	357.0000	421.0000	651.0000	0.3775	0.0701	0.0669	0.0412	0.0391	0.0340	0.0332	0.0137	0.0127	0.0125	3	5	
11	347	0.8407343626022339	874	0.831976056098938	347.0000	282.0000	54.0000	809.0000	96.0000	909.0000	874.0000	924.0000	657.0000	205.0000	0.8407	0.0425	0.0396	0.0255	0.0081	0.0075	0.0065	0.0046	0.0032	0.0026	6	5	
12	809	0.5590854287147522	874	1.8044596910476685	809.0000	874.0000	651.0000	74.0000	254.0000	96.0000	346.0000	255.0000	282.0000	396.0000	0.5591	0.1370	0.1261	0.0335	0.0312	0.0091	0.0083	0.0080	0.0064	0.0046	1	6	
13	874	0.9859662652015686	874	0.0998673215508461	874.0000	347.0000	809.0000	651.0000	282.0000	342.0000	371.0000	924.0000	527.0000	54.0000	0.9860	0.0061	0.0053	0.0003	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0	6	
14	651	0.3330712914466858	874	3.4473094940185547	651.0000	874.0000	923.0000	884.0000	690.0000	809.0000	541.0000	254.0000	845.0000	395.0000	0.3331	0.0690	0.0518	0.0321	0.0296	0.0280	0.0269	0.0265	0.0234	0.0190	1	7	
15	54	0.31103256344795227	874	2.0279428958892822	54.0000	347.0000	874.0000	282.0000	809.0000	603.0000	651.0000	833.0000	667.0000	924.0000	0.3110	0.2924	0.2308	0.0240	0.0146	0.0096	0.0093	0.0087	0.0083	0.0079	2	7	
