	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	524	0.18043643236160278	876	3.6362669467926025	524.0000	100.0000	744.0000	523.0000	771.0000	792.0000	401.0000	58.0000	543.0000	282.0000	0.1804	0.1231	0.0764	0.0680	0.0382	0.0364	0.0324	0.0314	0.0241	0.0238	11	0	
1	100	0.1382077932357788	876	3.320265531539917	100.0000	771.0000	744.0000	523.0000	524.0000	58.0000	401.0000	792.0000	0.0000	381.0000	0.1382	0.1240	0.0798	0.0709	0.0669	0.0618	0.0606	0.0437	0.0381	0.0259	10	0	
2	100	0.09656272828578949	876	4.010071754455566	100.0000	524.0000	523.0000	744.0000	320.0000	33.0000	876.0000	543.0000	401.0000	282.0000	0.0966	0.0847	0.0772	0.0590	0.0552	0.0428	0.0395	0.0283	0.0269	0.0262	6	0	
3	100	0.08574767410755157	876	4.345775127410889	100.0000	524.0000	523.0000	521.0000	744.0000	33.0000	282.0000	320.0000	771.0000	543.0000	0.0857	0.0781	0.0622	0.0557	0.0479	0.0375	0.0343	0.0338	0.0322	0.0275	14	0	
4	854	0.13413119316101074	876	4.529421806335449	854.0000	320.0000	909.0000	543.0000	282.0000	874.0000	347.0000	807.0000	884.0000	181.0000	0.1341	0.0714	0.0525	0.0473	0.0315	0.0264	0.0217	0.0204	0.0204	0.0188	31	1	
5	854	0.145443856716156	876	4.428703308105469	854.0000	320.0000	282.0000	181.0000	819.0000	191.0000	543.0000	874.0000	71.0000	909.0000	0.1454	0.0973	0.0489	0.0385	0.0311	0.0286	0.0236	0.0213	0.0211	0.0201	22	1	
6	320	0.49368491768836975	876	2.9316349029541016	320.0000	522.0000	854.0000	282.0000	71.0000	543.0000	676.0000	807.0000	677.0000	874.0000	0.4937	0.0838	0.0317	0.0245	0.0212	0.0210	0.0195	0.0160	0.0111	0.0088	19	1	
7	320	0.17175737023353577	876	4.033848762512207	320.0000	909.0000	71.0000	282.0000	854.0000	807.0000	543.0000	522.0000	290.0000	899.0000	0.1718	0.1479	0.0774	0.0749	0.0441	0.0258	0.0232	0.0186	0.0165	0.0119	90	1	
8	320	0.7944429516792297	876	1.178983211517334	320.0000	425.0000	522.0000	854.0000	282.0000	807.0000	452.0000	676.0000	523.0000	0.0000	0.7944	0.0459	0.0304	0.0133	0.0108	0.0102	0.0095	0.0068	0.0062	0.0054	11	2	
9	320	0.6981933116912842	876	1.483072280883789	320.0000	0.0000	425.0000	859.0000	876.0000	326.0000	744.0000	33.0000	381.0000	522.0000	0.6982	0.0661	0.0476	0.0325	0.0305	0.0140	0.0126	0.0115	0.0098	0.0076	4	2	
10	320	0.8959733843803406	876	0.5780595541000366	320.0000	522.0000	543.0000	401.0000	326.0000	523.0000	819.0000	676.0000	425.0000	807.0000	0.8960	0.0480	0.0129	0.0051	0.0047	0.0037	0.0035	0.0035	0.0033	0.0026	11	2	
11	320	0.8320131897926331	876	0.8995879888534546	320.0000	326.0000	854.0000	819.0000	807.0000	522.0000	543.0000	65.0000	282.0000	859.0000	0.8320	0.0752	0.0145	0.0124	0.0112	0.0073	0.0033	0.0027	0.0024	0.0023	15	2	
12	528	0.14611850678920746	876	3.654418468475342	528.0000	247.0000	524.0000	0.0000	811.0000	320.0000	744.0000	57.0000	520.0000	808.0000	0.1461	0.1073	0.0849	0.0721	0.0633	0.0454	0.0380	0.0375	0.0277	0.0246	22	3	
13	0	0.26404106616973877	876	2.9696521759033203	0.0000	639.0000	524.0000	744.0000	58.0000	521.0000	247.0000	520.0000	320.0000	859.0000	0.2640	0.1181	0.1124	0.0772	0.0744	0.0553	0.0293	0.0242	0.0171	0.0157	45	3	
14	320	0.20934797823429108	876	3.2216598987579346	320.0000	523.0000	521.0000	524.0000	100.0000	876.0000	808.0000	522.0000	744.0000	819.0000	0.2093	0.1739	0.0980	0.0536	0.0535	0.0386	0.0321	0.0244	0.0236	0.0207	5	3	
15	320	0.33367255330085754	876	3.1204066276550293	320.0000	247.0000	876.0000	819.0000	524.0000	808.0000	744.0000	521.0000	748.0000	576.0000	0.3337	0.1015	0.0862	0.0588	0.0311	0.0263	0.0246	0.0232	0.0216	0.0201	2	3	
16	320	0.6638508439064026	876	1.5834406614303589	320.0000	282.0000	627.0000	528.0000	254.0000	789.0000	13.0000	543.0000	285.0000	319.0000	0.6639	0.0823	0.0590	0.0319	0.0284	0.0222	0.0216	0.0207	0.0066	0.0047	136	4	
17	320	0.5974423289299011	876	1.68290114402771	320.0000	282.0000	789.0000	13.0000	627.0000	254.0000	543.0000	854.0000	471.0000	285.0000	0.5974	0.1371	0.0548	0.0418	0.0364	0.0295	0.0264	0.0111	0.0100	0.0036	175	4	
18	320	0.8652005195617676	876	0.7856035828590393	320.0000	282.0000	254.0000	543.0000	627.0000	854.0000	319.0000	626.0000	696.0000	418.0000	0.8652	0.0422	0.0206	0.0201	0.0071	0.0036	0.0031	0.0023	0.0021	0.0019	115	4	
