	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	657	0.1645553559064865	879	4.206875801086426	657.0000	747.0000	210.0000	709.0000	762.0000	332.0000	246.0000	47.0000	262.0000	825.0000	0.1646	0.0665	0.0485	0.0407	0.0400	0.0347	0.0335	0.0327	0.0272	0.0255	86	0	
1	206	0.06046978756785393	879	5.764606475830078	206.0000	547.0000	285.0000	486.0000	845.0000	347.0000	942.0000	102.0000	143.0000	4.0000	0.0605	0.0571	0.0276	0.0180	0.0166	0.0147	0.0126	0.0124	0.0117	0.0113	27	0	
2	547	0.22877931594848633	879	4.695794105529785	547.0000	235.0000	205.0000	102.0000	206.0000	143.0000	208.0000	285.0000	705.0000	512.0000	0.2288	0.0868	0.0444	0.0442	0.0136	0.0116	0.0112	0.0095	0.0090	0.0084	103	0	
3	285	0.18781320750713348	879	4.949915409088135	285.0000	547.0000	358.0000	507.0000	845.0000	925.0000	143.0000	208.0000	703.0000	243.0000	0.1878	0.0447	0.0345	0.0240	0.0166	0.0158	0.0155	0.0130	0.0124	0.0118	128	0	
4	845	0.05068477615714073	879	5.588693618774414	845.0000	143.0000	285.0000	547.0000	206.0000	235.0000	703.0000	243.0000	358.0000	208.0000	0.0507	0.0392	0.0372	0.0367	0.0214	0.0188	0.0174	0.0169	0.0159	0.0158	56	0	
5	657	0.09836560487747192	879	4.542385101318359	657.0000	845.0000	480.0000	825.0000	701.0000	216.0000	67.0000	332.0000	16.0000	566.0000	0.0984	0.0780	0.0559	0.0424	0.0354	0.0336	0.0326	0.0310	0.0284	0.0276	143	1	
6	880	0.4195094406604767	879	2.9817471504211426	880.0000	760.0000	206.0000	547.0000	95.0000	623.0000	674.0000	467.0000	507.0000	484.0000	0.4195	0.1621	0.0438	0.0380	0.0376	0.0285	0.0114	0.0098	0.0082	0.0081	63	1	
7	880	0.29855990409851074	879	2.866697072982788	880.0000	547.0000	760.0000	206.0000	95.0000	623.0000	361.0000	837.0000	235.0000	512.0000	0.2986	0.2016	0.1606	0.0718	0.0291	0.0288	0.0183	0.0079	0.0077	0.0044	76	1	
8	880	0.45712581276893616	879	1.6953482627868652	880.0000	760.0000	547.0000	623.0000	95.0000	206.0000	507.0000	377.0000	705.0000	674.0000	0.4571	0.2873	0.0918	0.0720	0.0308	0.0122	0.0027	0.0025	0.0024	0.0011	46	1	
9	880	0.29871416091918945	879	3.4472739696502686	880.0000	547.0000	760.0000	361.0000	623.0000	206.0000	95.0000	252.0000	512.0000	38.0000	0.2987	0.1985	0.0972	0.0304	0.0262	0.0210	0.0188	0.0088	0.0088	0.0087	83	1	
10	657	0.1276935487985611	879	4.982110977172852	657.0000	623.0000	566.0000	641.0000	47.0000	166.0000	169.0000	596.0000	170.0000	845.0000	0.1277	0.0613	0.0352	0.0326	0.0265	0.0259	0.0221	0.0220	0.0148	0.0144	73	2	
11	282	0.13705870509147644	879	5.076938629150391	282.0000	347.0000	547.0000	38.0000	235.0000	832.0000	206.0000	98.0000	13.0000	150.0000	0.1371	0.0383	0.0318	0.0308	0.0268	0.0258	0.0233	0.0186	0.0169	0.0165	85	2	
12	38	0.09061799198389053	879	4.919040203094482	38.0000	235.0000	547.0000	760.0000	441.0000	206.0000	789.0000	692.0000	282.0000	98.0000	0.0906	0.0653	0.0456	0.0416	0.0405	0.0387	0.0357	0.0337	0.0193	0.0188	67	2	
13	623	0.10104987770318985	879	4.94099235534668	623.0000	547.0000	206.0000	760.0000	441.0000	150.0000	8.0000	347.0000	543.0000	443.0000	0.1010	0.0919	0.0651	0.0327	0.0222	0.0210	0.0199	0.0194	0.0177	0.0149	60	2	
