	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	206	0.2545959949493408	880	3.7050294876098633	206.0000	547.0000	143.0000	67.0000	38.0000	925.0000	845.0000	651.0000	335.0000	923.0000	0.2546	0.1829	0.0826	0.0371	0.0179	0.0147	0.0135	0.0129	0.0104	0.0102	346	0	
1	547	0.31328052282333374	880	4.314474582672119	547.0000	206.0000	909.0000	45.0000	38.0000	512.0000	235.0000	143.0000	67.0000	761.0000	0.3133	0.0680	0.0431	0.0231	0.0160	0.0153	0.0140	0.0119	0.0091	0.0082	339	0	
2	547	0.3272620737552643	880	3.1586408615112305	547.0000	880.0000	879.0000	95.0000	909.0000	760.0000	206.0000	235.0000	894.0000	667.0000	0.3273	0.1154	0.0977	0.0469	0.0436	0.0422	0.0315	0.0251	0.0181	0.0178	1	1	
3	547	0.21674585342407227	880	3.5862507820129395	547.0000	880.0000	235.0000	909.0000	894.0000	879.0000	95.0000	206.0000	670.0000	38.0000	0.2167	0.1194	0.0899	0.0767	0.0572	0.0491	0.0346	0.0218	0.0210	0.0156	1	1	
4	206	0.46167799830436707	880	2.4111504554748535	206.0000	547.0000	512.0000	95.0000	98.0000	880.0000	760.0000	258.0000	205.0000	623.0000	0.4617	0.1238	0.0931	0.0563	0.0463	0.0253	0.0244	0.0144	0.0110	0.0092	5	2	
5	206	0.8312503099441528	880	1.151702880859375	206.0000	547.0000	98.0000	512.0000	507.0000	205.0000	880.0000	760.0000	258.0000	358.0000	0.8313	0.0156	0.0142	0.0114	0.0082	0.0081	0.0071	0.0070	0.0069	0.0063	6	2	
6	760	0.27229738235473633	880	2.922487735748291	760.0000	547.0000	206.0000	512.0000	667.0000	95.0000	909.0000	880.0000	361.0000	258.0000	0.2723	0.2190	0.1128	0.0542	0.0362	0.0359	0.0192	0.0191	0.0123	0.0112	7	3	
7	760	0.16286088526248932	880	3.306307792663574	760.0000	206.0000	361.0000	547.0000	880.0000	909.0000	879.0000	95.0000	667.0000	252.0000	0.1629	0.1332	0.1041	0.0982	0.0562	0.0542	0.0450	0.0353	0.0337	0.0328	4	3	
8	880	0.6628227233886719	880	1.3950482606887817	880.0000	760.0000	95.0000	879.0000	518.0000	623.0000	432.0000	206.0000	918.0000	512.0000	0.6628	0.1193	0.0505	0.0428	0.0342	0.0195	0.0177	0.0157	0.0064	0.0049	0	4	
9	880	0.30253827571868896	880	2.5966286659240723	880.0000	879.0000	760.0000	518.0000	95.0000	706.0000	623.0000	98.0000	43.0000	667.0000	0.3025	0.2045	0.1950	0.0349	0.0221	0.0211	0.0198	0.0152	0.0130	0.0112	0	4	
10	95	0.8094320893287659	880	0.7146703004837036	95.0000	880.0000	206.0000	760.0000	518.0000	879.0000	918.0000	547.0000	432.0000	142.0000	0.8094	0.0936	0.0678	0.0198	0.0030	0.0028	0.0014	0.0008	0.0005	0.0003	1	5	
11	95	0.5872045159339905	880	1.2880914211273193	95.0000	206.0000	880.0000	760.0000	879.0000	918.0000	518.0000	235.0000	432.0000	547.0000	0.5872	0.1695	0.1447	0.0400	0.0327	0.0089	0.0034	0.0034	0.0024	0.0019	2	5	
12	95	0.25806593894958496	880	2.4331414699554443	95.0000	98.0000	760.0000	512.0000	547.0000	252.0000	880.0000	879.0000	571.0000	335.0000	0.2581	0.1974	0.1103	0.1087	0.0993	0.0451	0.0342	0.0197	0.0160	0.0119	6	6	
13	252	0.24321015179157257	880	2.7759499549865723	252.0000	879.0000	760.0000	95.0000	547.0000	98.0000	206.0000	335.0000	340.0000	347.0000	0.2432	0.1557	0.1122	0.0815	0.0763	0.0629	0.0486	0.0263	0.0229	0.0146	12	6	
