	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	0	0.14944753050804138	888	4.453608989715576	0.0000	888.0000	468.0000	532.0000	808.0000	273.0000	58.0000	443.0000	90.0000	655.0000	0.1494	0.0808	0.0756	0.0442	0.0299	0.0296	0.0273	0.0263	0.0231	0.0209	1	0	
1	0	0.15406928956508636	888	4.396145820617676	0.0000	468.0000	808.0000	532.0000	521.0000	888.0000	443.0000	58.0000	655.0000	90.0000	0.1541	0.1130	0.0449	0.0383	0.0300	0.0243	0.0242	0.0213	0.0202	0.0198	5	0	
2	532	0.20006926357746124	888	3.9818077087402344	532.0000	0.0000	884.0000	521.0000	348.0000	808.0000	468.0000	232.0000	58.0000	235.0000	0.2001	0.0850	0.0752	0.0646	0.0486	0.0407	0.0403	0.0289	0.0190	0.0144	16	0	
3	703	0.11069898307323456	888	4.836877822875977	703.0000	75.0000	844.0000	205.0000	4.0000	805.0000	532.0000	215.0000	528.0000	51.0000	0.1107	0.0625	0.0606	0.0596	0.0211	0.0206	0.0203	0.0185	0.0184	0.0179	10	0	
4	888	0.7707062363624573	888	1.162968397140503	888.0000	945.0000	655.0000	273.0000	90.0000	235.0000	250.0000	91.0000	443.0000	0.0000	0.7707	0.0561	0.0391	0.0311	0.0180	0.0143	0.0135	0.0135	0.0052	0.0044	0	1	
5	888	0.4640926420688629	888	2.078014850616455	888.0000	0.0000	585.0000	235.0000	655.0000	90.0000	306.0000	942.0000	443.0000	521.0000	0.4641	0.1498	0.1298	0.0568	0.0383	0.0281	0.0204	0.0148	0.0134	0.0082	0	1	
6	888	0.4606081247329712	888	2.105729103088379	888.0000	273.0000	585.0000	655.0000	0.0000	945.0000	235.0000	240.0000	90.0000	443.0000	0.4606	0.1844	0.0914	0.0461	0.0359	0.0305	0.0260	0.0154	0.0150	0.0069	0	1	
7	888	0.5535784363746643	888	2.37042236328125	888.0000	443.0000	0.0000	776.0000	655.0000	844.0000	273.0000	945.0000	235.0000	90.0000	0.5536	0.0659	0.0425	0.0419	0.0347	0.0213	0.0159	0.0153	0.0126	0.0114	0	1	
8	250	0.5850253701210022	888	1.9376640319824219	250.0000	888.0000	563.0000	655.0000	90.0000	443.0000	477.0000	273.0000	449.0000	12.0000	0.5850	0.0991	0.0554	0.0482	0.0378	0.0321	0.0201	0.0090	0.0086	0.0065	1	2	
9	250	0.21499884128570557	888	3.1562228202819824	250.0000	888.0000	655.0000	90.0000	563.0000	799.0000	91.0000	477.0000	443.0000	589.0000	0.2150	0.1839	0.1247	0.0516	0.0293	0.0278	0.0276	0.0257	0.0232	0.0230	1	2	
10	250	0.36835557222366333	888	2.5914649963378906	250.0000	655.0000	888.0000	273.0000	90.0000	329.0000	563.0000	92.0000	190.0000	53.0000	0.3684	0.0913	0.0913	0.0904	0.0648	0.0561	0.0465	0.0234	0.0165	0.0120	2	2	
11	888	0.22183048725128174	888	3.6184768676757812	888.0000	655.0000	4.0000	90.0000	92.0000	911.0000	250.0000	443.0000	589.0000	235.0000	0.2218	0.1192	0.0919	0.0581	0.0531	0.0381	0.0292	0.0267	0.0204	0.0201	0	2	
12	0	0.16896256804466248	888	3.9502921104431152	0.0000	235.0000	888.0000	515.0000	627.0000	789.0000	468.0000	443.0000	644.0000	563.0000	0.1690	0.1534	0.0839	0.0586	0.0326	0.0325	0.0264	0.0156	0.0150	0.0150	2	3	
13	326	0.13332757353782654	888	4.909036636352539	326.0000	854.0000	0.0000	443.0000	235.0000	490.0000	830.0000	158.0000	638.0000	627.0000	0.1333	0.0803	0.0794	0.0164	0.0158	0.0145	0.0145	0.0142	0.0129	0.0113	60	3	
14	0	0.11757930368185043	888	4.966924667358398	0.0000	235.0000	563.0000	811.0000	201.0000	621.0000	233.0000	155.0000	662.0000	510.0000	0.1176	0.0435	0.0333	0.0300	0.0247	0.0241	0.0185	0.0181	0.0169	0.0160	13	3	
15	4	0.44282540678977966	888	3.5505571365356445	4.0000	6.0000	626.0000	0.0000	442.0000	484.0000	888.0000	872.0000	698.0000	45.0000	0.4428	0.0584	0.0265	0.0230	0.0163	0.0161	0.0152	0.0123	0.0118	0.0079	6	3	
16	888	0.546728253364563	888	2.1362624168395996	888.0000	0.0000	532.0000	92.0000	563.0000	4.0000	884.0000	273.0000	449.0000	515.0000	0.5467	0.1796	0.0528	0.0230	0.0182	0.0080	0.0078	0.0077	0.0062	0.0058	0	4	
17	0	0.7759236097335815	888	1.3280327320098877	0.0000	888.0000	33.0000	273.0000	525.0000	326.0000	655.0000	4.0000	674.0000	521.0000	0.7759	0.0405	0.0349	0.0288	0.0160	0.0097	0.0074	0.0058	0.0040	0.0035	1	4	
18	888	0.493592232465744	888	2.4961624145507812	888.0000	273.0000	0.0000	92.0000	190.0000	884.0000	532.0000	563.0000	295.0000	674.0000	0.4936	0.1036	0.0958	0.0226	0.0208	0.0190	0.0185	0.0174	0.0143	0.0108	0	4	
19	0	0.5162680149078369	888	1.9242640733718872	0.0000	4.0000	888.0000	33.0000	449.0000	655.0000	521.0000	532.0000	92.0000	525.0000	0.5163	0.2578	0.0465	0.0230	0.0163	0.0096	0.0081	0.0075	0.0061	0.0059	2	4	
20	888	0.516591489315033	888	2.1792635917663574	888.0000	644.0000	12.0000	521.0000	945.0000	808.0000	799.0000	655.0000	563.0000	92.0000	0.5166	0.0897	0.0700	0.0461	0.0448	0.0418	0.0223	0.0208	0.0191	0.0169	0	5	
21	872	0.15397846698760986	888	3.6503524780273438	872.0000	522.0000	888.0000	808.0000	521.0000	865.0000	799.0000	273.0000	12.0000	466.0000	0.1540	0.1001	0.0890	0.0804	0.0521	0.0384	0.0375	0.0326	0.0310	0.0253	2	5	
22	888	0.3456759750843048	888	2.283848285675049	888.0000	273.0000	945.0000	655.0000	799.0000	674.0000	563.0000	884.0000	477.0000	630.0000	0.3457	0.3400	0.0454	0.0235	0.0220	0.0215	0.0191	0.0114	0.0113	0.0102	0	5	
23	0	0.2785388231277466	888	3.074800491333008	0.0000	582.0000	521.0000	844.0000	893.0000	531.0000	872.0000	522.0000	865.0000	444.0000	0.2785	0.2095	0.0608	0.0446	0.0431	0.0319	0.0311	0.0222	0.0193	0.0163	26	5	
24	888	0.8939123749732971	888	0.6492127776145935	888.0000	655.0000	90.0000	92.0000	12.0000	91.0000	563.0000	235.0000	550.0000	273.0000	0.8939	0.0343	0.0099	0.0084	0.0072	0.0058	0.0056	0.0041	0.0036	0.0024	0	6	
25	90	0.4199153184890747	888	2.28940486907959	90.0000	444.0000	888.0000	466.0000	273.0000	799.0000	550.0000	190.0000	561.0000	12.0000	0.4199	0.1357	0.1176	0.0765	0.0495	0.0260	0.0195	0.0141	0.0140	0.0125	2	6	
26	888	0.6135561466217041	888	1.6307461261749268	888.0000	273.0000	90.0000	92.0000	655.0000	190.0000	799.0000	563.0000	91.0000	536.0000	0.6136	0.1438	0.0707	0.0304	0.0301	0.0297	0.0099	0.0083	0.0072	0.0020	0	6	
27	90	0.1100502759218216	888	3.577148675918579	90.0000	799.0000	536.0000	888.0000	190.0000	550.0000	911.0000	246.0000	352.0000	444.0000	0.1101	0.1081	0.1015	0.0925	0.0769	0.0458	0.0427	0.0353	0.0223	0.0222	3	6	
