	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	703	0.35808488726615906	890	4.067906379699707	703.0000	558.0000	51.0000	297.0000	285.0000	208.0000	235.0000	141.0000	277.0000	888.0000	0.3581	0.0328	0.0221	0.0213	0.0194	0.0152	0.0137	0.0130	0.0102	0.0099	570	0	
1	703	0.73824143409729	890	1.718351125717163	703.0000	235.0000	285.0000	643.0000	131.0000	51.0000	208.0000	162.0000	925.0000	382.0000	0.7382	0.0372	0.0195	0.0140	0.0124	0.0100	0.0083	0.0079	0.0071	0.0063	648	0	
2	703	0.1482895016670227	890	4.785003662109375	703.0000	528.0000	625.0000	235.0000	134.0000	582.0000	453.0000	273.0000	844.0000	945.0000	0.1483	0.0466	0.0455	0.0398	0.0289	0.0267	0.0240	0.0208	0.0167	0.0146	372	1	
3	703	0.23869594931602478	890	3.70219349861145	703.0000	528.0000	285.0000	23.0000	944.0000	51.0000	440.0000	844.0000	57.0000	551.0000	0.2387	0.1683	0.0557	0.0319	0.0305	0.0279	0.0212	0.0195	0.0187	0.0180	353	1	
4	670	0.5761759877204895	890	2.3407182693481445	670.0000	441.0000	830.0000	273.0000	625.0000	361.0000	134.0000	932.0000	936.0000	716.0000	0.5762	0.0551	0.0400	0.0248	0.0232	0.0226	0.0192	0.0188	0.0186	0.0161	302	2	
5	49	0.2284795641899109	890	3.5061488151550293	49.0000	31.0000	23.0000	440.0000	483.0000	716.0000	867.0000	670.0000	719.0000	132.0000	0.2285	0.1080	0.0595	0.0473	0.0415	0.0361	0.0319	0.0303	0.0275	0.0243	251	2	
6	507	0.1327657252550125	890	3.2114877700805664	507.0000	670.0000	945.0000	888.0000	689.0000	273.0000	312.0000	703.0000	134.0000	424.0000	0.1328	0.1062	0.0989	0.0891	0.0886	0.0871	0.0775	0.0368	0.0258	0.0185	136	3	
7	670	0.1715134233236313	890	3.6482324600219727	670.0000	194.0000	797.0000	440.0000	945.0000	184.0000	132.0000	31.0000	312.0000	703.0000	0.1715	0.0840	0.0670	0.0624	0.0596	0.0355	0.0327	0.0321	0.0319	0.0273	191	3	
8	830	0.4838455319404602	890	1.8893202543258667	830.0000	558.0000	490.0000	626.0000	49.0000	673.0000	208.0000	453.0000	134.0000	137.0000	0.4838	0.2497	0.1017	0.0265	0.0169	0.0095	0.0084	0.0078	0.0061	0.0034	128	4	
9	716	0.17838186025619507	890	3.3272671699523926	716.0000	34.0000	670.0000	194.0000	703.0000	551.0000	208.0000	797.0000	61.0000	925.0000	0.1784	0.1590	0.0815	0.0715	0.0617	0.0473	0.0468	0.0338	0.0272	0.0181	188	4	
10	703	0.26900747418403625	890	2.9298484325408936	703.0000	424.0000	273.0000	776.0000	528.0000	670.0000	134.0000	945.0000	803.0000	592.0000	0.2690	0.1549	0.1236	0.0397	0.0372	0.0330	0.0309	0.0301	0.0245	0.0243	100	5	
11	703	0.3953540027141571	890	2.7099030017852783	703.0000	194.0000	893.0000	184.0000	23.0000	208.0000	440.0000	670.0000	776.0000	34.0000	0.3954	0.0577	0.0570	0.0545	0.0451	0.0441	0.0419	0.0334	0.0288	0.0269	205	5	
12	830	0.8413326144218445	890	0.9904571175575256	830.0000	490.0000	626.0000	208.0000	888.0000	235.0000	134.0000	716.0000	441.0000	932.0000	0.8413	0.0251	0.0168	0.0163	0.0131	0.0095	0.0080	0.0080	0.0063	0.0048	295	6	
