	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	38	0.1402921974658966	895	3.2495622634887695	38.0000	926.0000	923.0000	484.0000	617.0000	895.0000	186.0000	255.0000	272.0000	32.0000	0.1403	0.1348	0.1318	0.1078	0.0554	0.0367	0.0363	0.0346	0.0324	0.0279	5	0	
1	216	0.0850880891084671	895	4.589698314666748	216.0000	750.0000	845.0000	637.0000	161.0000	790.0000	182.0000	551.0000	358.0000	495.0000	0.0851	0.0832	0.0563	0.0520	0.0344	0.0304	0.0304	0.0284	0.0281	0.0217	84	0	
2	926	0.6794675588607788	895	1.57462739944458	926.0000	923.0000	38.0000	255.0000	340.0000	895.0000	32.0000	617.0000	186.0000	484.0000	0.6795	0.0915	0.0476	0.0297	0.0180	0.0121	0.0106	0.0101	0.0099	0.0089	5	0	
3	38	0.22276438772678375	895	2.6081013679504395	38.0000	157.0000	926.0000	340.0000	176.0000	453.0000	442.0000	186.0000	272.0000	483.0000	0.2228	0.1953	0.1212	0.0803	0.0716	0.0691	0.0434	0.0288	0.0242	0.0220	35	1	
4	787	0.31722503900527954	895	2.8377132415771484	787.0000	96.0000	483.0000	38.0000	441.0000	924.0000	339.0000	822.0000	49.0000	55.0000	0.3172	0.2752	0.0572	0.0483	0.0278	0.0215	0.0150	0.0086	0.0080	0.0076	471	1	
5	926	0.6848419904708862	895	1.4275996685028076	926.0000	38.0000	255.0000	319.0000	340.0000	157.0000	538.0000	176.0000	272.0000	186.0000	0.6848	0.0918	0.0705	0.0270	0.0202	0.0188	0.0169	0.0162	0.0040	0.0040	31	1	
6	926	0.33487173914909363	895	2.3243703842163086	926.0000	484.0000	282.0000	255.0000	557.0000	272.0000	923.0000	340.0000	176.0000	186.0000	0.3349	0.1758	0.1637	0.0579	0.0481	0.0422	0.0217	0.0188	0.0162	0.0138	22	2	
7	790	0.11911018192768097	895	4.764649868011475	790.0000	483.0000	703.0000	776.0000	216.0000	531.0000	637.0000	855.0000	492.0000	194.0000	0.1191	0.0915	0.0392	0.0312	0.0303	0.0296	0.0220	0.0196	0.0172	0.0134	381	2	
8	255	0.6195515394210815	895	1.008286952972412	255.0000	926.0000	319.0000	176.0000	340.0000	441.0000	923.0000	335.0000	557.0000	538.0000	0.6196	0.3066	0.0224	0.0150	0.0129	0.0074	0.0051	0.0022	0.0021	0.0016	22	2	
9	255	0.5656871795654297	895	1.712281346321106	255.0000	926.0000	442.0000	8.0000	538.0000	38.0000	923.0000	566.0000	340.0000	272.0000	0.5657	0.1101	0.0914	0.0699	0.0322	0.0304	0.0300	0.0117	0.0106	0.0072	29	3	
10	171	0.08305852115154266	895	4.550975799560547	171.0000	721.0000	2.0000	492.0000	243.0000	32.0000	46.0000	483.0000	867.0000	442.0000	0.0831	0.0595	0.0554	0.0517	0.0497	0.0379	0.0261	0.0247	0.0180	0.0165	105	3	
11	255	0.6099336743354797	895	1.1480624675750732	255.0000	926.0000	340.0000	538.0000	8.0000	442.0000	319.0000	923.0000	38.0000	441.0000	0.6099	0.2323	0.0917	0.0287	0.0215	0.0051	0.0021	0.0019	0.0018	0.0011	29	3	
12	272	0.3057541847229004	895	2.1926417350769043	272.0000	38.0000	186.0000	926.0000	511.0000	255.0000	442.0000	617.0000	176.0000	441.0000	0.3058	0.1856	0.1246	0.1220	0.0616	0.0393	0.0372	0.0354	0.0205	0.0125	20	4	
13	492	0.16918596625328064	895	4.2429518699646	492.0000	845.0000	617.0000	483.0000	75.0000	243.0000	442.0000	166.0000	776.0000	171.0000	0.1692	0.0487	0.0463	0.0409	0.0355	0.0342	0.0307	0.0306	0.0280	0.0280	170	4	
14	926	0.48467978835105896	895	1.3656554222106934	926.0000	255.0000	441.0000	340.0000	186.0000	176.0000	319.0000	617.0000	538.0000	483.0000	0.4847	0.3511	0.0502	0.0320	0.0288	0.0183	0.0073	0.0060	0.0035	0.0035	18	4	
