	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	528	0.24797871708869934	898	4.102268218994141	528.0000	348.0000	944.0000	85.0000	530.0000	703.0000	844.0000	247.0000	582.0000	329.0000	0.2480	0.0716	0.0311	0.0297	0.0275	0.0250	0.0250	0.0243	0.0205	0.0202	458	0	
1	528	0.17424249649047852	898	3.992290496826172	528.0000	844.0000	530.0000	944.0000	507.0000	721.0000	488.0000	945.0000	703.0000	205.0000	0.1742	0.0790	0.0535	0.0466	0.0460	0.0419	0.0404	0.0362	0.0298	0.0254	193	1	
2	348	0.523090124130249	898	2.4749341011047363	348.0000	837.0000	371.0000	453.0000	490.0000	528.0000	748.0000	104.0000	478.0000	582.0000	0.5231	0.0772	0.0422	0.0357	0.0283	0.0260	0.0213	0.0188	0.0186	0.0161	188	2	
3	348	0.5060893893241882	898	2.5161471366882324	348.0000	364.0000	884.0000	241.0000	945.0000	453.0000	245.0000	44.0000	582.0000	689.0000	0.5061	0.1152	0.0480	0.0417	0.0390	0.0171	0.0168	0.0142	0.0102	0.0065	108	3	
4	348	0.11224540323019028	898	3.5846104621887207	348.0000	945.0000	944.0000	364.0000	689.0000	212.0000	235.0000	44.0000	888.0000	468.0000	0.1122	0.1099	0.0911	0.0910	0.0909	0.0613	0.0463	0.0349	0.0216	0.0157	33	4	
5	49	0.5327059626579285	898	2.209138870239258	49.0000	673.0000	830.0000	528.0000	453.0000	626.0000	679.0000	44.0000	489.0000	837.0000	0.5327	0.1071	0.0743	0.0528	0.0271	0.0249	0.0221	0.0116	0.0100	0.0082	64	5	
6	205	0.12775631248950958	898	3.6844565868377686	205.0000	212.0000	945.0000	626.0000	830.0000	689.0000	27.0000	703.0000	679.0000	348.0000	0.1278	0.1000	0.0963	0.0720	0.0538	0.0441	0.0419	0.0380	0.0374	0.0357	48	6	
7	27	0.38494616746902466	898	2.80407452583313	27.0000	776.0000	830.0000	215.0000	0.0000	945.0000	204.0000	212.0000	358.0000	394.0000	0.3849	0.1733	0.0517	0.0398	0.0256	0.0245	0.0199	0.0186	0.0159	0.0158	183	7	
8	528	0.42142072319984436	898	1.99835205078125	528.0000	348.0000	748.0000	732.0000	689.0000	0.0000	844.0000	721.0000	830.0000	837.0000	0.4214	0.3396	0.0181	0.0157	0.0157	0.0152	0.0152	0.0132	0.0131	0.0112	134	8	
9	164	0.1773611605167389	898	3.370851755142212	164.0000	517.0000	27.0000	45.0000	235.0000	582.0000	721.0000	136.0000	212.0000	153.0000	0.1774	0.1343	0.1017	0.0781	0.0686	0.0407	0.0344	0.0277	0.0172	0.0161	122	9	
10	837	0.48798850178718567	898	2.2531352043151855	837.0000	819.0000	528.0000	205.0000	394.0000	85.0000	854.0000	471.0000	348.0000	169.0000	0.4880	0.1497	0.1157	0.0210	0.0186	0.0151	0.0139	0.0127	0.0104	0.0089	337	10	
11	626	0.3576532006263733	898	2.3714447021484375	626.0000	49.0000	453.0000	830.0000	8.0000	362.0000	245.0000	558.0000	395.0000	924.0000	0.3577	0.1979	0.1768	0.0485	0.0201	0.0177	0.0154	0.0106	0.0103	0.0100	43	11	
12	528	0.3158000707626343	898	2.8742966651916504	528.0000	348.0000	196.0000	945.0000	585.0000	163.0000	350.0000	245.0000	545.0000	184.0000	0.3158	0.1094	0.1043	0.0679	0.0499	0.0436	0.0289	0.0280	0.0198	0.0183	50	12	
13	205	0.2590208649635315	898	2.7681918144226074	205.0000	626.0000	776.0000	245.0000	348.0000	689.0000	945.0000	27.0000	721.0000	453.0000	0.2590	0.1968	0.0662	0.0548	0.0516	0.0486	0.0464	0.0420	0.0292	0.0275	134	13	
14	670	0.24312984943389893	898	2.86871337890625	670.0000	945.0000	528.0000	348.0000	721.0000	582.0000	837.0000	626.0000	245.0000	704.0000	0.2431	0.1383	0.1172	0.0996	0.0795	0.0322	0.0259	0.0244	0.0200	0.0184	91	14	
15	205	0.18469813466072083	898	2.913536548614502	205.0000	348.0000	670.0000	235.0000	528.0000	350.0000	945.0000	212.0000	646.0000	211.0000	0.1847	0.1682	0.1432	0.1087	0.0595	0.0397	0.0301	0.0223	0.0212	0.0198	186	15	
16	890	0.3664725422859192	898	2.415409564971924	890.0000	945.0000	670.0000	888.0000	944.0000	273.0000	721.0000	27.0000	235.0000	163.0000	0.3665	0.2267	0.0775	0.0508	0.0429	0.0297	0.0288	0.0216	0.0152	0.0088	54	16	
17	944	0.8578900694847107	898	0.5693299770355225	944.0000	670.0000	212.0000	945.0000	646.0000	273.0000	890.0000	102.0000	510.0000	45.0000	0.8579	0.1140	0.0051	0.0049	0.0026	0.0016	0.0016	0.0012	0.0011	0.0010	63	17	
18	528	0.18548643589019775	898	2.970655918121338	528.0000	945.0000	670.0000	646.0000	944.0000	245.0000	776.0000	348.0000	510.0000	890.0000	0.1855	0.1487	0.1067	0.0748	0.0747	0.0623	0.0425	0.0368	0.0268	0.0243	115	18	
19	528	0.7743498682975769	898	1.4135549068450928	528.0000	290.0000	71.0000	181.0000	348.0000	8.0000	679.0000	232.0000	584.0000	626.0000	0.7743	0.0212	0.0186	0.0160	0.0142	0.0111	0.0106	0.0105	0.0092	0.0079	266	19	
20	453	0.41639769077301025	898	2.085306167602539	453.0000	348.0000	241.0000	944.0000	528.0000	890.0000	670.0000	45.0000	589.0000	748.0000	0.4164	0.1836	0.1067	0.0731	0.0364	0.0322	0.0307	0.0295	0.0157	0.0145	93	20	
21	830	0.3069557249546051	898	2.958096981048584	830.0000	49.0000	626.0000	679.0000	854.0000	837.0000	528.0000	85.0000	478.0000	247.0000	0.3070	0.2115	0.1130	0.0550	0.0379	0.0172	0.0119	0.0105	0.0080	0.0079	88	21	
22	945	0.24637316167354584	898	2.991504192352295	945.0000	348.0000	205.0000	944.0000	689.0000	670.0000	589.0000	153.0000	235.0000	582.0000	0.2464	0.1703	0.0968	0.0832	0.0646	0.0483	0.0266	0.0204	0.0178	0.0177	137	22	
23	670	0.673119306564331	898	1.2744817733764648	670.0000	348.0000	528.0000	945.0000	235.0000	205.0000	350.0000	890.0000	944.0000	45.0000	0.6731	0.1338	0.0660	0.0339	0.0303	0.0230	0.0109	0.0058	0.0040	0.0024	133	23	
24	945	0.6857216358184814	898	1.2802722454071045	945.0000	944.0000	241.0000	453.0000	528.0000	689.0000	245.0000	670.0000	844.0000	890.0000	0.6857	0.1539	0.0386	0.0209	0.0162	0.0155	0.0139	0.0128	0.0085	0.0075	121	24	
25	558	0.6202404499053955	898	1.5239081382751465	558.0000	528.0000	8.0000	730.0000	748.0000	453.0000	582.0000	605.0000	502.0000	338.0000	0.6202	0.1315	0.0933	0.0491	0.0200	0.0130	0.0121	0.0110	0.0031	0.0030	314	25	
26	49	0.31099867820739746	898	2.7486588954925537	49.0000	181.0000	748.0000	8.0000	558.0000	830.0000	364.0000	853.0000	909.0000	528.0000	0.3110	0.1966	0.1180	0.0724	0.0425	0.0308	0.0167	0.0146	0.0138	0.0092	257	26	
27	945	0.6061572432518005	898	1.5206973552703857	945.0000	944.0000	670.0000	235.0000	721.0000	212.0000	917.0000	348.0000	44.0000	27.0000	0.6062	0.1547	0.1095	0.0253	0.0140	0.0124	0.0122	0.0098	0.0066	0.0057	80	27	
28	348	0.9223387241363525	898	0.463083416223526	348.0000	235.0000	205.0000	528.0000	245.0000	44.0000	819.0000	642.0000	585.0000	247.0000	0.9223	0.0324	0.0214	0.0023	0.0012	0.0011	0.0011	0.0010	0.0008	0.0008	115	28	
29	689	0.5273860692977905	898	1.3533968925476074	689.0000	348.0000	507.0000	945.0000	212.0000	646.0000	670.0000	350.0000	528.0000	755.0000	0.5274	0.2643	0.1300	0.0348	0.0065	0.0060	0.0033	0.0032	0.0028	0.0026	75	29	
30	945	0.4123590886592865	898	1.8359594345092773	945.0000	670.0000	528.0000	348.0000	689.0000	646.0000	245.0000	44.0000	944.0000	453.0000	0.4124	0.2408	0.0969	0.0846	0.0738	0.0140	0.0120	0.0086	0.0081	0.0081	63	30	
31	945	0.25420573353767395	898	2.1171302795410156	945.0000	670.0000	528.0000	348.0000	689.0000	245.0000	944.0000	646.0000	212.0000	453.0000	0.2542	0.2512	0.1754	0.1416	0.0292	0.0270	0.0210	0.0159	0.0140	0.0107	57	31	
32	945	0.5869407057762146	898	1.5689997673034668	945.0000	670.0000	348.0000	944.0000	528.0000	689.0000	212.0000	890.0000	646.0000	44.0000	0.5869	0.1509	0.1054	0.0365	0.0196	0.0185	0.0149	0.0107	0.0081	0.0073	73	32	
33	945	0.6788138747215271	898	1.3047945499420166	945.0000	670.0000	348.0000	528.0000	944.0000	646.0000	689.0000	890.0000	245.0000	44.0000	0.6788	0.1440	0.0629	0.0203	0.0145	0.0114	0.0104	0.0094	0.0076	0.0061	75	33	
34	945	0.8653516173362732	898	0.6482434272766113	945.0000	670.0000	348.0000	944.0000	890.0000	44.0000	689.0000	646.0000	245.0000	212.0000	0.8654	0.0732	0.0148	0.0136	0.0056	0.0046	0.0044	0.0029	0.0025	0.0020	64	34	
35	945	0.6623452305793762	898	1.3473834991455078	945.0000	670.0000	348.0000	944.0000	528.0000	890.0000	44.0000	646.0000	689.0000	245.0000	0.6623	0.1460	0.0689	0.0276	0.0153	0.0140	0.0120	0.0098	0.0079	0.0055	68	35	
36	945	0.7359811663627625	898	1.1985893249511719	945.0000	348.0000	670.0000	528.0000	944.0000	44.0000	245.0000	689.0000	890.0000	205.0000	0.7360	0.0829	0.0551	0.0276	0.0213	0.0113	0.0095	0.0092	0.0092	0.0076	85	36	
37	945	0.784145712852478	898	1.045400857925415	945.0000	670.0000	348.0000	528.0000	944.0000	44.0000	689.0000	890.0000	205.0000	245.0000	0.7841	0.0522	0.0423	0.0382	0.0247	0.0072	0.0069	0.0068	0.0065	0.0062	85	37	
38	945	0.7133262157440186	898	1.244498610496521	945.0000	348.0000	670.0000	528.0000	944.0000	245.0000	689.0000	890.0000	44.0000	646.0000	0.7133	0.0997	0.0560	0.0400	0.0212	0.0105	0.0092	0.0090	0.0077	0.0044	82	38	
39	945	0.6260810494422913	898	1.3966419696807861	945.0000	348.0000	670.0000	528.0000	944.0000	44.0000	689.0000	890.0000	245.0000	350.0000	0.6261	0.1591	0.0649	0.0455	0.0404	0.0141	0.0101	0.0068	0.0047	0.0039	84	39	
40	945	0.6830531358718872	898	1.155516505241394	945.0000	348.0000	670.0000	528.0000	44.0000	944.0000	689.0000	890.0000	245.0000	646.0000	0.6831	0.1390	0.0923	0.0344	0.0111	0.0107	0.0082	0.0044	0.0043	0.0017	68	40	
41	348	0.47598016262054443	898	1.5785579681396484	348.0000	945.0000	528.0000	670.0000	944.0000	245.0000	205.0000	689.0000	646.0000	890.0000	0.4760	0.2899	0.1056	0.0375	0.0141	0.0129	0.0090	0.0070	0.0062	0.0057	105	41	
42	945	0.3956851065158844	898	1.6551470756530762	945.0000	348.0000	670.0000	528.0000	944.0000	245.0000	689.0000	453.0000	890.0000	44.0000	0.3957	0.3843	0.0632	0.0322	0.0310	0.0114	0.0108	0.0085	0.0075	0.0073	89	42	
43	945	0.6326301097869873	898	1.2066779136657715	945.0000	348.0000	528.0000	670.0000	944.0000	453.0000	245.0000	689.0000	44.0000	890.0000	0.6326	0.2370	0.0363	0.0337	0.0123	0.0076	0.0076	0.0072	0.0043	0.0040	85	43	
