	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	644	0.2014233022928238	899	4.136275768280029	644.0000	884.0000	449.0000	232.0000	873.0000	297.0000	872.0000	91.0000	789.0000	466.0000	0.2014	0.1039	0.0682	0.0454	0.0413	0.0360	0.0266	0.0197	0.0196	0.0172	696	0	
1	909	0.16184525191783905	899	3.6265153884887695	909.0000	547.0000	254.0000	282.0000	320.0000	692.0000	71.0000	471.0000	627.0000	690.0000	0.1618	0.1568	0.1124	0.0557	0.0423	0.0357	0.0356	0.0273	0.0223	0.0195	32	0	
2	547	0.5756834149360657	899	2.47597074508667	547.0000	6.0000	484.0000	277.0000	361.0000	282.0000	909.0000	278.0000	837.0000	4.0000	0.5757	0.0684	0.0390	0.0329	0.0188	0.0172	0.0163	0.0103	0.0096	0.0075	45	0	
3	909	0.4812493920326233	899	2.556333541870117	909.0000	254.0000	692.0000	547.0000	541.0000	282.0000	690.0000	71.0000	252.0000	627.0000	0.4812	0.1060	0.0981	0.0294	0.0253	0.0184	0.0156	0.0142	0.0111	0.0107	31	0	
4	6	0.21888206899166107	899	4.5763444900512695	6.0000	789.0000	74.0000	54.0000	692.0000	226.0000	842.0000	96.0000	232.0000	3.0000	0.2189	0.0534	0.0454	0.0405	0.0261	0.0242	0.0212	0.0145	0.0136	0.0134	297	0	
5	884	0.28644856810569763	899	3.4411137104034424	884.0000	449.0000	644.0000	873.0000	232.0000	91.0000	11.0000	872.0000	466.0000	412.0000	0.2864	0.1775	0.0573	0.0408	0.0325	0.0265	0.0196	0.0179	0.0176	0.0141	484	0	
6	254	0.1803966611623764	899	3.762887954711914	254.0000	909.0000	320.0000	71.0000	347.0000	471.0000	627.0000	282.0000	547.0000	692.0000	0.1804	0.1261	0.0911	0.0634	0.0596	0.0413	0.0259	0.0257	0.0256	0.0162	88	0	
7	909	0.25530382990837097	899	2.9405150413513184	909.0000	692.0000	38.0000	71.0000	252.0000	353.0000	282.0000	690.0000	581.0000	96.0000	0.2553	0.2328	0.1218	0.0583	0.0392	0.0376	0.0273	0.0127	0.0098	0.0088	27	0	
8	71	0.40509721636772156	899	2.606901168823242	71.0000	909.0000	692.0000	347.0000	353.0000	581.0000	96.0000	122.0000	483.0000	690.0000	0.4051	0.1604	0.1549	0.0239	0.0148	0.0129	0.0125	0.0123	0.0117	0.0110	24	0	
9	909	0.26974937319755554	899	3.319072961807251	909.0000	282.0000	692.0000	71.0000	547.0000	254.0000	690.0000	541.0000	353.0000	122.0000	0.2697	0.1043	0.0991	0.0686	0.0413	0.0404	0.0323	0.0293	0.0269	0.0237	31	0	
10	692	0.14415881037712097	899	4.517110347747803	692.0000	254.0000	909.0000	541.0000	627.0000	320.0000	690.0000	547.0000	347.0000	37.0000	0.1442	0.0821	0.0577	0.0411	0.0392	0.0362	0.0345	0.0231	0.0225	0.0220	22	0	
11	909	0.3247188329696655	899	3.108525276184082	909.0000	353.0000	547.0000	818.0000	122.0000	282.0000	254.0000	690.0000	541.0000	692.0000	0.3247	0.0904	0.0736	0.0689	0.0459	0.0396	0.0305	0.0286	0.0268	0.0210	26	0	
12	675	0.1687127947807312	899	4.155066013336182	675.0000	575.0000	873.0000	282.0000	347.0000	528.0000	638.0000	824.0000	593.0000	884.0000	0.1687	0.1326	0.1240	0.0413	0.0279	0.0264	0.0160	0.0159	0.0136	0.0110	245	0	
13	282	0.2905174195766449	899	4.166245460510254	282.0000	320.0000	347.0000	824.0000	627.0000	153.0000	205.0000	162.0000	421.0000	874.0000	0.2905	0.0534	0.0473	0.0401	0.0312	0.0206	0.0197	0.0182	0.0170	0.0131	265	0	
14	6	0.1599455326795578	899	4.27394962310791	6.0000	837.0000	277.0000	181.0000	484.0000	278.0000	541.0000	581.0000	347.0000	512.0000	0.1599	0.0888	0.0681	0.0661	0.0507	0.0414	0.0328	0.0222	0.0166	0.0137	147	0	
15	909	0.3370082974433899	899	2.7142715454101562	909.0000	347.0000	277.0000	181.0000	71.0000	278.0000	581.0000	226.0000	483.0000	191.0000	0.3370	0.1288	0.1157	0.0621	0.0581	0.0364	0.0353	0.0272	0.0117	0.0113	95	0	
16	122	0.4196029007434845	899	3.0379223823547363	122.0000	282.0000	353.0000	226.0000	818.0000	346.0000	692.0000	783.0000	6.0000	483.0000	0.4196	0.0765	0.0666	0.0461	0.0356	0.0265	0.0265	0.0248	0.0222	0.0162	224	0	
17	692	0.17024314403533936	899	4.223389148712158	692.0000	824.0000	93.0000	98.0000	395.0000	347.0000	513.0000	832.0000	861.0000	627.0000	0.1702	0.0802	0.0442	0.0429	0.0379	0.0308	0.0284	0.0275	0.0272	0.0260	118	0	
18	909	0.6303513646125793	899	1.750864028930664	909.0000	71.0000	347.0000	692.0000	282.0000	547.0000	874.0000	541.0000	581.0000	690.0000	0.6304	0.1480	0.0583	0.0172	0.0163	0.0118	0.0117	0.0065	0.0054	0.0043	49	0	
19	909	0.16207365691661835	899	4.2213521003723145	909.0000	320.0000	254.0000	282.0000	547.0000	71.0000	471.0000	627.0000	347.0000	692.0000	0.1621	0.0840	0.0817	0.0615	0.0461	0.0358	0.0277	0.0275	0.0206	0.0195	51	0	
20	909	0.29334425926208496	899	3.7090513706207275	909.0000	254.0000	692.0000	547.0000	282.0000	71.0000	320.0000	690.0000	541.0000	122.0000	0.2933	0.1073	0.0540	0.0433	0.0344	0.0299	0.0197	0.0194	0.0178	0.0174	22	0	
21	909	0.5561449527740479	899	2.3846044540405273	909.0000	282.0000	254.0000	71.0000	692.0000	122.0000	818.0000	627.0000	471.0000	347.0000	0.5561	0.0773	0.0483	0.0253	0.0215	0.0208	0.0167	0.0155	0.0153	0.0140	40	0	
22	832	0.06375773996114731	899	4.953277111053467	832.0000	675.0000	282.0000	347.0000	873.0000	884.0000	449.0000	692.0000	824.0000	583.0000	0.0638	0.0591	0.0584	0.0514	0.0399	0.0286	0.0240	0.0239	0.0191	0.0165	222	0	
23	254	0.1947174221277237	899	3.7738990783691406	254.0000	909.0000	692.0000	547.0000	320.0000	282.0000	627.0000	471.0000	347.0000	71.0000	0.1947	0.1170	0.0777	0.0686	0.0650	0.0485	0.0303	0.0223	0.0190	0.0187	40	0	
24	909	0.5677586793899536	899	2.2254528999328613	909.0000	254.0000	282.0000	71.0000	547.0000	692.0000	471.0000	320.0000	541.0000	690.0000	0.5678	0.1059	0.0361	0.0315	0.0282	0.0222	0.0189	0.0146	0.0130	0.0111	30	0	
25	692	0.16247500479221344	899	4.090060234069824	692.0000	824.0000	499.0000	282.0000	832.0000	834.0000	873.0000	861.0000	627.0000	98.0000	0.1625	0.1178	0.0763	0.0643	0.0536	0.0335	0.0231	0.0207	0.0159	0.0149	123	0	
26	395	0.3747892379760742	899	2.726731777191162	395.0000	466.0000	449.0000	644.0000	253.0000	574.0000	412.0000	91.0000	687.0000	470.0000	0.3748	0.1306	0.1181	0.0559	0.0272	0.0194	0.0189	0.0173	0.0143	0.0120	357	1	
27	96	0.252836674451828	899	3.125082492828369	96.0000	499.0000	11.0000	575.0000	203.0000	909.0000	235.0000	824.0000	583.0000	692.0000	0.2528	0.2441	0.0682	0.0334	0.0231	0.0208	0.0199	0.0189	0.0182	0.0173	13	1	
28	348	0.11767922341823578	899	4.455617904663086	348.0000	521.0000	476.0000	282.0000	543.0000	884.0000	528.0000	744.0000	347.0000	748.0000	0.1177	0.0781	0.0773	0.0542	0.0310	0.0293	0.0275	0.0255	0.0233	0.0170	220	1	
29	499	0.5284029245376587	899	2.3463501930236816	499.0000	96.0000	11.0000	575.0000	598.0000	299.0000	824.0000	37.0000	692.0000	470.0000	0.5284	0.0642	0.0541	0.0411	0.0329	0.0316	0.0258	0.0213	0.0192	0.0146	37	1	
30	346	0.20896513760089874	899	3.8084168434143066	346.0000	74.0000	466.0000	679.0000	395.0000	232.0000	0.0000	789.0000	687.0000	297.0000	0.2090	0.0776	0.0761	0.0569	0.0373	0.0345	0.0321	0.0303	0.0253	0.0232	238	1	
31	395	0.347495436668396	899	2.653268337249756	395.0000	884.0000	466.0000	297.0000	449.0000	873.0000	347.0000	679.0000	91.0000	479.0000	0.3475	0.1494	0.1440	0.0515	0.0236	0.0194	0.0184	0.0171	0.0164	0.0156	210	1	
32	96	0.3655749559402466	899	3.3030576705932617	96.0000	98.0000	11.0000	499.0000	203.0000	412.0000	909.0000	583.0000	349.0000	785.0000	0.3656	0.0547	0.0459	0.0430	0.0368	0.0328	0.0290	0.0211	0.0206	0.0185	11	1	
33	499	0.19730177521705627	899	3.773627281188965	499.0000	299.0000	598.0000	287.0000	675.0000	96.0000	470.0000	861.0000	3.0000	834.0000	0.1973	0.1140	0.0574	0.0515	0.0493	0.0445	0.0443	0.0368	0.0364	0.0199	16	1	
34	575	0.5691858530044556	899	1.4649064540863037	575.0000	598.0000	37.0000	675.0000	63.0000	499.0000	583.0000	96.0000	375.0000	848.0000	0.5692	0.2982	0.0208	0.0133	0.0088	0.0083	0.0057	0.0056	0.0044	0.0037	33	1	
35	499	0.6690818071365356	899	1.9060795307159424	499.0000	11.0000	96.0000	692.0000	824.0000	575.0000	598.0000	299.0000	122.0000	98.0000	0.6691	0.0287	0.0285	0.0258	0.0224	0.0217	0.0197	0.0175	0.0098	0.0070	40	1	
36	96	0.15175315737724304	899	4.583178520202637	96.0000	470.0000	499.0000	98.0000	598.0000	675.0000	583.0000	692.0000	282.0000	3.0000	0.1518	0.0677	0.0623	0.0317	0.0286	0.0280	0.0273	0.0242	0.0177	0.0162	19	1	
37	499	0.18700343370437622	899	3.5104410648345947	499.0000	11.0000	96.0000	575.0000	909.0000	235.0000	37.0000	203.0000	13.0000	412.0000	0.1870	0.1569	0.0601	0.0427	0.0373	0.0369	0.0272	0.0260	0.0253	0.0240	19	1	
38	63	0.1605001538991928	899	3.0994677543640137	63.0000	575.0000	675.0000	499.0000	598.0000	466.0000	347.0000	96.0000	412.0000	253.0000	0.1605	0.1509	0.1486	0.0891	0.0809	0.0680	0.0432	0.0271	0.0147	0.0123	119	1	
39	347	0.6048995852470398	899	2.3518381118774414	347.0000	499.0000	282.0000	421.0000	646.0000	679.0000	861.0000	924.0000	74.0000	824.0000	0.6049	0.0447	0.0371	0.0338	0.0259	0.0175	0.0145	0.0108	0.0092	0.0091	167	1	
40	282	0.8353562951087952	899	1.1913678646087646	282.0000	744.0000	543.0000	347.0000	528.0000	521.0000	771.0000	452.0000	476.0000	385.0000	0.8354	0.0164	0.0105	0.0101	0.0098	0.0090	0.0054	0.0040	0.0035	0.0035	182	1	
41	575	0.2898934781551361	899	3.448451042175293	575.0000	675.0000	37.0000	499.0000	320.0000	598.0000	785.0000	282.0000	203.0000	583.0000	0.2899	0.1138	0.0581	0.0525	0.0475	0.0333	0.0244	0.0205	0.0192	0.0152	16	1	
42	679	0.18406280875205994	899	4.067476272583008	679.0000	654.0000	346.0000	832.0000	499.0000	861.0000	787.0000	835.0000	483.0000	347.0000	0.1841	0.1029	0.0636	0.0474	0.0401	0.0388	0.0250	0.0247	0.0166	0.0149	287	1	
43	395	0.5445318222045898	899	2.234769105911255	395.0000	347.0000	861.0000	679.0000	884.0000	683.0000	832.0000	584.0000	499.0000	692.0000	0.5445	0.0719	0.0613	0.0439	0.0333	0.0329	0.0290	0.0243	0.0113	0.0096	120	1	
44	499	0.731890082359314	899	1.340055227279663	499.0000	861.0000	470.0000	675.0000	395.0000	575.0000	834.0000	683.0000	785.0000	412.0000	0.7319	0.0920	0.0484	0.0169	0.0142	0.0122	0.0082	0.0065	0.0061	0.0035	27	1	
45	96	0.4808428883552551	899	2.8692688941955566	96.0000	499.0000	575.0000	899.0000	909.0000	54.0000	11.0000	583.0000	282.0000	543.0000	0.4808	0.0736	0.0489	0.0318	0.0231	0.0167	0.0160	0.0144	0.0141	0.0121	3	1	
46	499	0.29639074206352234	899	3.3938465118408203	499.0000	96.0000	11.0000	824.0000	692.0000	13.0000	575.0000	98.0000	203.0000	412.0000	0.2964	0.1367	0.0790	0.0294	0.0292	0.0282	0.0223	0.0185	0.0153	0.0146	17	1	
47	499	0.19893382489681244	899	3.4102165699005127	499.0000	11.0000	598.0000	96.0000	575.0000	37.0000	909.0000	203.0000	824.0000	299.0000	0.1989	0.0907	0.0819	0.0806	0.0634	0.0610	0.0285	0.0278	0.0263	0.0258	34	1	
48	583	0.36417773365974426	899	3.0442471504211426	583.0000	253.0000	63.0000	449.0000	395.0000	347.0000	11.0000	412.0000	499.0000	466.0000	0.3642	0.0739	0.0668	0.0620	0.0487	0.0415	0.0361	0.0342	0.0170	0.0153	157	1	
49	499	0.4454742968082428	899	2.810183525085449	499.0000	824.0000	692.0000	13.0000	11.0000	96.0000	98.0000	575.0000	235.0000	203.0000	0.4455	0.0551	0.0473	0.0393	0.0328	0.0325	0.0308	0.0302	0.0240	0.0151	31	1	
50	96	0.22842884063720703	899	3.787436008453369	96.0000	909.0000	824.0000	543.0000	11.0000	282.0000	203.0000	899.0000	235.0000	3.0000	0.2284	0.0806	0.0481	0.0471	0.0430	0.0332	0.0320	0.0301	0.0242	0.0236	7	1	
51	499	0.38836702704429626	899	3.145988702774048	499.0000	395.0000	861.0000	598.0000	347.0000	583.0000	627.0000	824.0000	421.0000	11.0000	0.3884	0.0946	0.0416	0.0320	0.0300	0.0232	0.0217	0.0215	0.0178	0.0140	61	1	
52	644	0.26349005103111267	899	3.2908482551574707	644.0000	466.0000	395.0000	919.0000	884.0000	107.0000	789.0000	808.0000	574.0000	91.0000	0.2635	0.1113	0.0657	0.0428	0.0426	0.0398	0.0342	0.0324	0.0288	0.0270	565	2	
53	203	0.26868489384651184	899	2.6228106021881104	203.0000	609.0000	349.0000	37.0000	690.0000	361.0000	785.0000	924.0000	573.0000	575.0000	0.2687	0.1887	0.1599	0.1166	0.0232	0.0228	0.0201	0.0194	0.0163	0.0134	30	2	
54	348	0.11135997623205185	899	4.9095048904418945	348.0000	811.0000	340.0000	45.0000	703.0000	819.0000	235.0000	169.0000	84.0000	290.0000	0.1114	0.0726	0.0445	0.0399	0.0210	0.0203	0.0174	0.0170	0.0168	0.0168	700	2	
55	203	0.1745830774307251	899	3.749192476272583	203.0000	349.0000	299.0000	37.0000	692.0000	13.0000	98.0000	254.0000	541.0000	575.0000	0.1746	0.0769	0.0639	0.0602	0.0489	0.0338	0.0310	0.0307	0.0296	0.0264	46	2	
56	6	0.24406881630420685	899	3.6279525756835938	6.0000	161.0000	143.0000	825.0000	346.0000	107.0000	483.0000	734.0000	679.0000	484.0000	0.2441	0.1093	0.0938	0.0629	0.0438	0.0276	0.0268	0.0262	0.0232	0.0179	332	2	
57	644	0.12722478806972504	899	3.5810041427612305	644.0000	884.0000	919.0000	232.0000	789.0000	297.0000	808.0000	466.0000	873.0000	574.0000	0.1272	0.1044	0.0802	0.0691	0.0673	0.0586	0.0490	0.0430	0.0414	0.0246	488	2	
58	349	0.2301255464553833	899	2.818411111831665	349.0000	609.0000	203.0000	361.0000	690.0000	301.0000	412.0000	541.0000	104.0000	583.0000	0.2301	0.1336	0.1258	0.1156	0.0752	0.0592	0.0282	0.0215	0.0208	0.0171	15	2	
59	299	0.20948156714439392	899	3.005626916885376	299.0000	861.0000	153.0000	692.0000	111.0000	499.0000	98.0000	543.0000	470.0000	811.0000	0.2095	0.1827	0.1631	0.0516	0.0487	0.0467	0.0344	0.0324	0.0240	0.0142	74	2	
60	575	0.5657027959823608	899	2.469090461730957	575.0000	122.0000	353.0000	609.0000	203.0000	81.0000	583.0000	652.0000	37.0000	785.0000	0.5657	0.0278	0.0278	0.0274	0.0250	0.0238	0.0145	0.0145	0.0144	0.0140	24	2	
61	349	0.27176839113235474	899	2.6464853286743164	349.0000	98.0000	609.0000	203.0000	690.0000	785.0000	541.0000	832.0000	692.0000	421.0000	0.2718	0.1635	0.1498	0.0850	0.0545	0.0516	0.0346	0.0191	0.0165	0.0162	34	2	
62	861	0.1037600040435791	899	4.555617332458496	861.0000	98.0000	924.0000	347.0000	692.0000	609.0000	93.0000	203.0000	824.0000	884.0000	0.1038	0.0937	0.0451	0.0335	0.0277	0.0275	0.0248	0.0246	0.0236	0.0223	51	2	
63	203	0.28010642528533936	899	2.2769289016723633	203.0000	37.0000	541.0000	609.0000	349.0000	690.0000	785.0000	98.0000	573.0000	412.0000	0.2801	0.1554	0.1429	0.1104	0.1005	0.0640	0.0468	0.0225	0.0106	0.0085	17	2	
64	884	0.1813194304704666	899	3.9126837253570557	884.0000	919.0000	873.0000	679.0000	466.0000	644.0000	395.0000	412.0000	347.0000	692.0000	0.1813	0.0763	0.0700	0.0689	0.0686	0.0646	0.0340	0.0199	0.0149	0.0145	136	2	
65	884	0.07947716116905212	899	4.478781700134277	884.0000	282.0000	347.0000	297.0000	844.0000	919.0000	162.0000	72.0000	692.0000	75.0000	0.0795	0.0742	0.0675	0.0445	0.0356	0.0294	0.0283	0.0262	0.0255	0.0229	359	2	
66	282	0.26437515020370483	899	3.8451626300811768	282.0000	348.0000	543.0000	811.0000	347.0000	521.0000	627.0000	780.0000	33.0000	153.0000	0.2644	0.0801	0.0715	0.0508	0.0347	0.0283	0.0251	0.0234	0.0189	0.0188	448	2	
67	349	0.1893928200006485	899	3.1675028800964355	349.0000	98.0000	924.0000	203.0000	541.0000	785.0000	690.0000	609.0000	37.0000	285.0000	0.1894	0.1291	0.1090	0.1030	0.0707	0.0514	0.0437	0.0307	0.0251	0.0208	37	2	
68	6	0.4439740777015686	899	2.4256370067596436	6.0000	679.0000	483.0000	347.0000	832.0000	166.0000	835.0000	353.0000	787.0000	346.0000	0.4440	0.2158	0.0754	0.0219	0.0186	0.0157	0.0154	0.0127	0.0113	0.0104	227	2	
69	297	0.13760769367218018	899	4.233479976654053	297.0000	644.0000	679.0000	692.0000	584.0000	91.0000	466.0000	395.0000	346.0000	861.0000	0.1376	0.0723	0.0712	0.0658	0.0301	0.0292	0.0268	0.0233	0.0210	0.0206	268	2	
70	499	0.20175252854824066	899	3.4332289695739746	499.0000	785.0000	609.0000	679.0000	203.0000	861.0000	349.0000	395.0000	690.0000	541.0000	0.2018	0.1569	0.0770	0.0406	0.0374	0.0361	0.0357	0.0287	0.0239	0.0232	15	2	
71	203	0.19200579822063446	899	3.6647863388061523	203.0000	153.0000	361.0000	575.0000	412.0000	899.0000	349.0000	573.0000	583.0000	710.0000	0.1920	0.0948	0.0634	0.0628	0.0517	0.0401	0.0385	0.0280	0.0258	0.0240	5	2	
72	203	0.22792980074882507	899	3.628682851791382	203.0000	349.0000	98.0000	513.0000	690.0000	541.0000	609.0000	37.0000	692.0000	785.0000	0.2279	0.0830	0.0508	0.0486	0.0484	0.0440	0.0408	0.0283	0.0280	0.0200	24	2	
