	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	884	0.11097073554992676	900	4.833730220794678	884.0000	513.0000	543.0000	644.0000	824.0000	395.0000	692.0000	584.0000	93.0000	282.0000	0.1110	0.0424	0.0413	0.0388	0.0313	0.0304	0.0254	0.0230	0.0218	0.0185	87	0	
1	844	0.11237234622240067	900	4.946218967437744	844.0000	513.0000	532.0000	893.0000	584.0000	232.0000	884.0000	776.0000	703.0000	215.0000	0.1124	0.0513	0.0404	0.0293	0.0287	0.0247	0.0214	0.0206	0.0161	0.0152	73	0	
2	131	0.04226077347993851	900	5.010409355163574	131.0000	320.0000	551.0000	867.0000	361.0000	55.0000	716.0000	703.0000	285.0000	547.0000	0.0423	0.0373	0.0359	0.0359	0.0349	0.0346	0.0273	0.0262	0.0260	0.0229	52	1	
3	513	0.18237589299678802	900	4.513564109802246	513.0000	626.0000	528.0000	627.0000	419.0000	75.0000	821.0000	532.0000	401.0000	222.0000	0.1824	0.0623	0.0428	0.0414	0.0312	0.0215	0.0195	0.0166	0.0164	0.0160	58	1	
4	55	0.410873144865036	900	2.8155336380004883	55.0000	854.0000	347.0000	483.0000	471.0000	899.0000	874.0000	787.0000	285.0000	719.0000	0.4109	0.0823	0.0692	0.0542	0.0474	0.0449	0.0379	0.0354	0.0186	0.0106	61	2	
5	205	0.4470376670360565	900	2.4232280254364014	205.0000	844.0000	212.0000	584.0000	532.0000	119.0000	727.0000	582.0000	840.0000	153.0000	0.4470	0.1540	0.0786	0.0461	0.0395	0.0202	0.0163	0.0159	0.0119	0.0109	114	2	
6	844	0.2140108197927475	900	3.7018697261810303	844.0000	900.0000	584.0000	811.0000	531.0000	868.0000	521.0000	57.0000	719.0000	639.0000	0.2140	0.0870	0.0801	0.0730	0.0612	0.0224	0.0217	0.0215	0.0200	0.0199	1	3	
7	531	0.3783024251461029	900	2.7401840686798096	531.0000	844.0000	893.0000	513.0000	532.0000	528.0000	212.0000	826.0000	552.0000	805.0000	0.3783	0.1794	0.0579	0.0398	0.0362	0.0274	0.0263	0.0231	0.0145	0.0138	11	3	
8	513	0.5073927044868469	900	1.7216160297393799	513.0000	584.0000	900.0000	55.0000	716.0000	646.0000	924.0000	102.0000	679.0000	34.0000	0.5074	0.3085	0.0307	0.0112	0.0091	0.0087	0.0086	0.0079	0.0075	0.0068	2	4	
9	205	0.5119019746780396	900	2.5525474548339844	205.0000	513.0000	395.0000	75.0000	212.0000	532.0000	703.0000	153.0000	211.0000	584.0000	0.5119	0.1151	0.0269	0.0254	0.0217	0.0211	0.0211	0.0205	0.0177	0.0135	19	4	
10	679	0.17128193378448486	900	3.0344581604003906	679.0000	483.0000	787.0000	584.0000	282.0000	924.0000	49.0000	290.0000	441.0000	526.0000	0.1713	0.1247	0.0950	0.0749	0.0720	0.0661	0.0558	0.0499	0.0412	0.0401	14	5	
11	205	0.337639182806015	900	2.8454408645629883	205.0000	513.0000	919.0000	532.0000	153.0000	727.0000	642.0000	826.0000	531.0000	900.0000	0.3376	0.1994	0.0586	0.0461	0.0362	0.0224	0.0189	0.0167	0.0152	0.0149	9	5	
12	900	0.9382196664810181	900	0.2683234214782715	900.0000	584.0000	513.0000	532.0000	531.0000	679.0000	318.0000	245.0000	582.0000	528.0000	0.9382	0.0542	0.0050	0.0004	0.0003	0.0002	0.0002	0.0002	0.0001	0.0001	0	6	
13	196	0.09146714210510254	900	4.270724296569824	196.0000	297.0000	138.0000	362.0000	584.0000	900.0000	510.0000	395.0000	44.0000	513.0000	0.0915	0.0683	0.0583	0.0505	0.0431	0.0416	0.0379	0.0335	0.0279	0.0269	5	6	
14	513	0.18494147062301636	900	2.7528200149536133	513.0000	854.0000	347.0000	900.0000	326.0000	584.0000	471.0000	679.0000	55.0000	909.0000	0.1849	0.1377	0.1359	0.1057	0.0993	0.0943	0.0440	0.0250	0.0243	0.0168	3	7	
15	196	0.5183082818984985	900	1.7976726293563843	196.0000	513.0000	362.0000	532.0000	205.0000	297.0000	626.0000	55.0000	153.0000	524.0000	0.5183	0.2385	0.0969	0.0171	0.0113	0.0102	0.0080	0.0060	0.0053	0.0053	102	7	
16	513	0.5592255592346191	900	1.5753369331359863	513.0000	584.0000	532.0000	900.0000	639.0000	582.0000	528.0000	826.0000	844.0000	531.0000	0.5592	0.2178	0.0722	0.0333	0.0220	0.0147	0.0126	0.0121	0.0071	0.0071	3	8	
17	584	0.40347328782081604	900	2.728818655014038	584.0000	513.0000	362.0000	453.0000	844.0000	196.0000	532.0000	297.0000	528.0000	727.0000	0.4035	0.1130	0.0586	0.0513	0.0494	0.0431	0.0318	0.0224	0.0203	0.0156	11	8	
18	584	0.9645174741744995	900	0.2160458266735077	584.0000	900.0000	513.0000	844.0000	531.0000	884.0000	826.0000	222.0000	532.0000	245.0000	0.9645	0.0120	0.0103	0.0082	0.0014	0.0005	0.0004	0.0002	0.0002	0.0002	1	9	
19	205	0.41728031635284424	900	2.265547513961792	205.0000	532.0000	513.0000	844.0000	584.0000	826.0000	811.0000	531.0000	528.0000	196.0000	0.4173	0.1607	0.1302	0.0670	0.0385	0.0313	0.0195	0.0096	0.0091	0.0089	19	9	
20	679	0.17330904304981232	900	3.3476428985595703	679.0000	584.0000	483.0000	710.0000	528.0000	513.0000	797.0000	55.0000	318.0000	787.0000	0.1733	0.1081	0.0993	0.0659	0.0632	0.0549	0.0492	0.0416	0.0244	0.0241	18	10	
21	205	0.6036120653152466	900	2.464672565460205	205.0000	297.0000	704.0000	681.0000	532.0000	703.0000	137.0000	166.0000	642.0000	196.0000	0.6036	0.0295	0.0288	0.0281	0.0234	0.0127	0.0123	0.0106	0.0088	0.0085	97	10	
22	900	0.7586398124694824	900	1.050492763519287	900.0000	582.0000	528.0000	290.0000	348.0000	532.0000	245.0000	584.0000	531.0000	85.0000	0.7586	0.0888	0.0625	0.0231	0.0134	0.0079	0.0077	0.0063	0.0061	0.0047	0	11	
23	532	0.430286705493927	900	1.638054370880127	532.0000	362.0000	453.0000	245.0000	582.0000	826.0000	212.0000	900.0000	513.0000	844.0000	0.4303	0.3651	0.0830	0.0190	0.0089	0.0077	0.0074	0.0066	0.0066	0.0055	7	11	
24	483	0.1709902584552765	900	3.6141812801361084	483.0000	673.0000	945.0000	272.0000	670.0000	652.0000	319.0000	87.0000	45.0000	679.0000	0.1710	0.1673	0.0740	0.0537	0.0427	0.0323	0.0298	0.0228	0.0221	0.0214	27	12	
25	153	0.3448597490787506	900	2.380824089050293	153.0000	205.0000	584.0000	844.0000	789.0000	900.0000	211.0000	642.0000	453.0000	309.0000	0.3449	0.2431	0.1340	0.0331	0.0251	0.0166	0.0157	0.0154	0.0137	0.0124	5	12	
26	900	0.7624853849411011	900	1.1126233339309692	900.0000	513.0000	584.0000	884.0000	808.0000	348.0000	222.0000	844.0000	528.0000	639.0000	0.7625	0.1047	0.0325	0.0145	0.0116	0.0108	0.0090	0.0073	0.0070	0.0044	0	13	
27	727	0.31256619095802307	900	3.106377124786377	727.0000	362.0000	532.0000	900.0000	483.0000	844.0000	395.0000	531.0000	719.0000	787.0000	0.3126	0.1116	0.0912	0.0505	0.0399	0.0383	0.0354	0.0301	0.0275	0.0170	3	13	
28	513	0.1911151111125946	900	2.4052839279174805	513.0000	584.0000	884.0000	582.0000	900.0000	290.0000	348.0000	639.0000	532.0000	844.0000	0.1911	0.1897	0.1802	0.0962	0.0912	0.0728	0.0601	0.0277	0.0094	0.0082	4	14	
29	196	0.1975208967924118	900	3.929805278778076	196.0000	532.0000	75.0000	55.0000	513.0000	138.0000	844.0000	297.0000	245.0000	644.0000	0.1975	0.1184	0.0755	0.0394	0.0328	0.0319	0.0318	0.0234	0.0170	0.0156	171	14	
30	348	0.2367900013923645	900	3.5267815589904785	348.0000	582.0000	488.0000	900.0000	703.0000	290.0000	945.0000	245.0000	787.0000	584.0000	0.2368	0.0817	0.0774	0.0581	0.0432	0.0377	0.0321	0.0295	0.0246	0.0246	3	15	
31	453	0.34004393219947815	900	2.570852279663086	453.0000	844.0000	528.0000	532.0000	531.0000	821.0000	245.0000	582.0000	805.0000	348.0000	0.3400	0.1273	0.1152	0.1037	0.0668	0.0575	0.0257	0.0223	0.0124	0.0070	65	15	
32	528	0.4197036325931549	900	1.9672327041625977	528.0000	924.0000	513.0000	900.0000	584.0000	844.0000	222.0000	679.0000	483.0000	808.0000	0.4197	0.1703	0.1286	0.1188	0.0340	0.0246	0.0224	0.0163	0.0116	0.0086	3	16	
33	626	0.44455137848854065	900	2.3459222316741943	626.0000	196.0000	532.0000	138.0000	362.0000	716.0000	789.0000	529.0000	528.0000	205.0000	0.4446	0.1339	0.0648	0.0538	0.0426	0.0410	0.0351	0.0283	0.0174	0.0137	20	16	
34	528	0.29218730330467224	900	3.1398940086364746	528.0000	847.0000	854.0000	531.0000	900.0000	513.0000	924.0000	326.0000	805.0000	471.0000	0.2922	0.0683	0.0581	0.0561	0.0556	0.0547	0.0434	0.0333	0.0324	0.0225	4	17	
