	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	148	0.06956534087657928	902	4.814138412475586	148.0000	2.0000	627.0000	243.0000	142.0000	923.0000	734.0000	870.0000	282.0000	585.0000	0.0696	0.0609	0.0605	0.0426	0.0351	0.0330	0.0315	0.0308	0.0281	0.0257	94	0	
1	148	0.2686368525028229	902	3.141062021255493	148.0000	56.0000	790.0000	610.0000	243.0000	25.0000	870.0000	255.0000	542.0000	484.0000	0.2686	0.1076	0.0854	0.0765	0.0694	0.0389	0.0260	0.0257	0.0195	0.0189	35	0	
2	142	0.4182738661766052	902	2.709559440612793	142.0000	148.0000	870.0000	610.0000	627.0000	789.0000	667.0000	588.0000	585.0000	140.0000	0.4183	0.1648	0.0634	0.0422	0.0406	0.0199	0.0173	0.0157	0.0110	0.0109	13	1	
3	148	0.3184084892272949	902	2.195521593093872	148.0000	56.0000	408.0000	262.0000	610.0000	902.0000	25.0000	571.0000	637.0000	790.0000	0.3184	0.2527	0.1484	0.0828	0.0456	0.0175	0.0149	0.0138	0.0127	0.0116	5	1	
4	140	0.2376258820295334	902	3.1522791385650635	140.0000	148.0000	610.0000	870.0000	2.0000	714.0000	627.0000	905.0000	356.0000	38.0000	0.2376	0.2273	0.1172	0.0754	0.0348	0.0230	0.0163	0.0160	0.0134	0.0128	21	2	
5	56	0.3185384273529053	902	2.4842183589935303	56.0000	148.0000	25.0000	902.0000	715.0000	790.0000	262.0000	408.0000	533.0000	845.0000	0.3185	0.1801	0.1201	0.0681	0.0681	0.0530	0.0291	0.0198	0.0181	0.0126	3	2	
6	148	0.3112570643424988	902	3.71169376373291	148.0000	140.0000	714.0000	54.0000	56.0000	905.0000	571.0000	902.0000	142.0000	907.0000	0.3113	0.1042	0.0426	0.0298	0.0289	0.0242	0.0235	0.0207	0.0145	0.0140	7	3	
7	56	0.6209151744842529	902	1.4192824363708496	56.0000	790.0000	902.0000	25.0000	262.0000	408.0000	533.0000	148.0000	905.0000	715.0000	0.6209	0.1211	0.0939	0.0581	0.0312	0.0156	0.0145	0.0126	0.0085	0.0062	2	3	
8	902	0.36498335003852844	902	2.9266159534454346	902.0000	610.0000	2.0000	140.0000	148.0000	571.0000	870.0000	905.0000	714.0000	142.0000	0.3650	0.1861	0.0563	0.0442	0.0294	0.0226	0.0187	0.0181	0.0179	0.0177	0	4	
9	56	0.7274143695831299	902	1.3093831539154053	56.0000	571.0000	715.0000	148.0000	790.0000	902.0000	262.0000	25.0000	156.0000	140.0000	0.7274	0.0581	0.0406	0.0321	0.0296	0.0261	0.0162	0.0131	0.0091	0.0080	5	4	
