	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	909	0.3689555525779724	909	1.3689851760864258	909.0000	96.0000	38.0000	133.0000	581.0000	853.0000	692.0000	511.0000	3.0000	822.0000	0.3690	0.3659	0.2149	0.0114	0.0040	0.0037	0.0036	0.0035	0.0034	0.0025	0	0	
1	909	0.5833466649055481	909	1.6712794303894043	909.0000	282.0000	38.0000	133.0000	96.0000	692.0000	71.0000	3.0000	853.0000	60.0000	0.5833	0.1349	0.0640	0.0596	0.0455	0.0203	0.0156	0.0084	0.0080	0.0069	0	0	
2	909	0.9775720238685608	909	0.15365678071975708	909.0000	282.0000	441.0000	133.0000	96.0000	38.0000	899.0000	71.0000	928.0000	567.0000	0.9776	0.0078	0.0054	0.0026	0.0013	0.0012	0.0011	0.0010	0.0005	0.0002	0	0	
3	909	0.7098339200019836	909	1.5121328830718994	909.0000	282.0000	96.0000	899.0000	692.0000	133.0000	3.0000	853.0000	38.0000	690.0000	0.7098	0.0730	0.0454	0.0308	0.0226	0.0118	0.0087	0.0069	0.0057	0.0054	0	0	
4	909	0.6424158215522766	909	0.8846746683120728	909.0000	282.0000	71.0000	133.0000	441.0000	181.0000	651.0000	692.0000	38.0000	899.0000	0.6424	0.3161	0.0126	0.0078	0.0055	0.0042	0.0014	0.0012	0.0012	0.0010	0	0	
5	133	0.5419776439666748	909	2.2003345489501953	133.0000	853.0000	909.0000	899.0000	71.0000	114.0000	60.0000	832.0000	282.0000	96.0000	0.5420	0.1061	0.0809	0.0241	0.0212	0.0193	0.0193	0.0156	0.0148	0.0143	2	0	
6	353	0.3800240159034729	909	2.3945295810699463	353.0000	909.0000	38.0000	692.0000	690.0000	581.0000	899.0000	96.0000	583.0000	937.0000	0.3800	0.2021	0.1128	0.0475	0.0276	0.0217	0.0209	0.0200	0.0192	0.0154	1	0	
7	909	0.7474203109741211	909	0.6909626722335815	909.0000	282.0000	38.0000	71.0000	899.0000	96.0000	692.0000	499.0000	133.0000	651.0000	0.7474	0.2321	0.0056	0.0037	0.0027	0.0024	0.0011	0.0006	0.0005	0.0004	0	0	
8	38	0.8798088431358337	909	0.7367133498191833	38.0000	511.0000	581.0000	186.0000	926.0000	255.0000	353.0000	133.0000	279.0000	71.0000	0.8798	0.0265	0.0227	0.0132	0.0054	0.0053	0.0039	0.0032	0.0030	0.0028	22	0	
9	692	0.4060356020927429	909	2.193525791168213	692.0000	690.0000	909.0000	3.0000	96.0000	282.0000	853.0000	60.0000	133.0000	899.0000	0.4060	0.1676	0.1241	0.0864	0.0501	0.0225	0.0183	0.0172	0.0138	0.0109	2	0	
10	909	0.466418981552124	909	1.3131211996078491	909.0000	282.0000	38.0000	71.0000	899.0000	96.0000	692.0000	926.0000	133.0000	441.0000	0.4664	0.3861	0.0778	0.0184	0.0106	0.0098	0.0039	0.0035	0.0023	0.0022	0	0	
11	909	0.3015866279602051	909	3.085303544998169	909.0000	282.0000	471.0000	899.0000	692.0000	854.0000	347.0000	581.0000	38.0000	690.0000	0.3016	0.1519	0.0842	0.0796	0.0395	0.0388	0.0218	0.0158	0.0141	0.0138	0	0	
12	853	0.16714157164096832	909	3.7130751609802246	853.0000	3.0000	96.0000	38.0000	133.0000	114.0000	60.0000	692.0000	541.0000	395.0000	0.1671	0.0955	0.0747	0.0746	0.0578	0.0522	0.0518	0.0514	0.0323	0.0301	16	0	
13	38	0.8288002610206604	909	0.9197119474411011	38.0000	511.0000	581.0000	282.0000	909.0000	71.0000	186.0000	926.0000	133.0000	538.0000	0.8288	0.0478	0.0324	0.0254	0.0114	0.0095	0.0041	0.0040	0.0029	0.0027	4	0	
14	38	0.5121819972991943	909	2.5314502716064453	38.0000	186.0000	71.0000	282.0000	581.0000	511.0000	133.0000	255.0000	853.0000	690.0000	0.5122	0.0509	0.0393	0.0371	0.0351	0.0271	0.0229	0.0209	0.0200	0.0198	10	0	
15	96	0.6012388467788696	909	1.341130256652832	96.0000	3.0000	38.0000	909.0000	870.0000	853.0000	692.0000	567.0000	133.0000	384.0000	0.6012	0.2047	0.0813	0.0369	0.0194	0.0161	0.0158	0.0035	0.0030	0.0026	3	0	
