	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	95	0.7136436700820923	918	1.887800931930542	95.0000	596.0000	623.0000	760.0000	547.0000	512.0000	608.0000	235.0000	377.0000	142.0000	0.7136	0.0418	0.0328	0.0217	0.0205	0.0074	0.0052	0.0047	0.0046	0.0041	785	0	
1	879	0.5977696776390076	918	2.330841541290283	879.0000	880.0000	845.0000	377.0000	623.0000	760.0000	161.0000	608.0000	142.0000	95.0000	0.5978	0.0608	0.0400	0.0374	0.0283	0.0201	0.0149	0.0104	0.0093	0.0088	140	1	
2	880	0.5877422094345093	918	1.9782474040985107	880.0000	879.0000	760.0000	206.0000	623.0000	102.0000	95.0000	399.0000	432.0000	377.0000	0.5877	0.0969	0.0919	0.0456	0.0316	0.0158	0.0105	0.0076	0.0054	0.0046	52	2	
3	879	0.9508001208305359	918	0.2684085965156555	879.0000	377.0000	760.0000	880.0000	206.0000	432.0000	623.0000	818.0000	518.0000	547.0000	0.9508	0.0329	0.0049	0.0042	0.0009	0.0009	0.0008	0.0007	0.0007	0.0004	24	3	
4	880	0.8016712665557861	918	0.8242214322090149	880.0000	623.0000	879.0000	206.0000	760.0000	601.0000	845.0000	518.0000	377.0000	918.0000	0.8017	0.0973	0.0502	0.0160	0.0114	0.0031	0.0031	0.0027	0.0023	0.0023	9	4	
5	879	0.3180592656135559	918	2.305994987487793	879.0000	880.0000	623.0000	687.0000	918.0000	507.0000	760.0000	518.0000	845.0000	601.0000	0.3181	0.1881	0.1776	0.0688	0.0377	0.0341	0.0338	0.0297	0.0236	0.0096	4	5	
6	760	0.6724014282226562	918	1.3681316375732422	760.0000	623.0000	672.0000	880.0000	918.0000	206.0000	547.0000	879.0000	601.0000	95.0000	0.6724	0.1103	0.0540	0.0382	0.0339	0.0276	0.0147	0.0116	0.0056	0.0050	4	6	
7	507	0.2205604612827301	918	3.254420757293701	507.0000	760.0000	623.0000	880.0000	206.0000	918.0000	687.0000	923.0000	95.0000	161.0000	0.2206	0.1541	0.0677	0.0637	0.0609	0.0591	0.0365	0.0284	0.0190	0.0186	5	7	
8	879	0.5430726408958435	918	1.0040619373321533	879.0000	95.0000	880.0000	623.0000	918.0000	760.0000	206.0000	518.0000	588.0000	672.0000	0.5431	0.3848	0.0395	0.0108	0.0091	0.0050	0.0017	0.0010	0.0009	0.0007	4	8	
9	95	0.4767969846725464	918	1.679837703704834	95.0000	206.0000	377.0000	880.0000	879.0000	687.0000	518.0000	623.0000	588.0000	782.0000	0.4768	0.2410	0.0826	0.0606	0.0250	0.0204	0.0199	0.0198	0.0184	0.0097	11	9	
10	879	0.3880619406700134	918	1.6510521173477173	879.0000	760.0000	880.0000	95.0000	623.0000	918.0000	690.0000	252.0000	206.0000	601.0000	0.3881	0.2884	0.1218	0.1085	0.0411	0.0153	0.0052	0.0051	0.0033	0.0031	5	10	
