	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	923	0.7361612915992737	923	0.6543225049972534	923.0000	8.0000	255.0000	538.0000	651.0000	319.0000	926.0000	127.0000	734.0000	227.0000	0.7362	0.2509	0.0051	0.0034	0.0018	0.0006	0.0004	0.0002	0.0002	0.0001	0	0	
1	923	0.9860512018203735	923	0.0810629203915596	923.0000	8.0000	895.0000	926.0000	255.0000	272.0000	538.0000	227.0000	127.0000	651.0000	0.9861	0.0123	0.0005	0.0005	0.0005	0.0001	0.0001	0.0000	0.0000	0.0000	0	1	
2	923	0.9796741604804993	923	0.12383623421192169	923.0000	255.0000	8.0000	926.0000	895.0000	319.0000	538.0000	651.0000	227.0000	186.0000	0.9797	0.0109	0.0061	0.0013	0.0013	0.0003	0.0002	0.0001	0.0000	0.0000	0	2	
3	8	0.8423267006874084	923	0.4799821674823761	8.0000	923.0000	255.0000	319.0000	926.0000	895.0000	538.0000	651.0000	176.0000	272.0000	0.8423	0.1464	0.0107	0.0004	0.0001	0.0001	0.0001	0.0000	0.0000	0.0000	1	3	
4	923	0.8342736959457397	923	0.6138781309127808	923.0000	255.0000	8.0000	895.0000	926.0000	319.0000	538.0000	176.0000	227.0000	651.0000	0.8343	0.1035	0.0455	0.0116	0.0028	0.0010	0.0003	0.0002	0.0002	0.0001	0	4	
5	923	0.6381796002388	923	0.8137021064758301	923.0000	255.0000	926.0000	8.0000	895.0000	319.0000	538.0000	176.0000	651.0000	186.0000	0.6382	0.3266	0.0151	0.0095	0.0095	0.0004	0.0002	0.0001	0.0001	0.0001	0	5	
6	923	0.9955444931983948	923	0.03255310654640198	923.0000	8.0000	255.0000	926.0000	895.0000	319.0000	227.0000	538.0000	32.0000	176.0000	0.9955	0.0022	0.0020	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0	6	
7	923	0.9075902700424194	923	0.4219242334365845	923.0000	8.0000	255.0000	926.0000	895.0000	651.0000	319.0000	176.0000	335.0000	538.0000	0.9076	0.0392	0.0346	0.0150	0.0011	0.0011	0.0006	0.0003	0.0001	0.0001	0	7	
8	923	0.9732198119163513	923	0.15304303169250488	923.0000	255.0000	8.0000	895.0000	926.0000	176.0000	319.0000	651.0000	140.0000	650.0000	0.9732	0.0138	0.0102	0.0015	0.0008	0.0001	0.0001	0.0000	0.0000	0.0000	0	8	
9	8	0.725990891456604	923	0.7558635473251343	8.0000	923.0000	255.0000	926.0000	319.0000	651.0000	442.0000	340.0000	176.0000	538.0000	0.7260	0.2089	0.0617	0.0017	0.0010	0.0004	0.0001	0.0001	0.0000	0.0000	1	9	
10	923	0.9928015470504761	923	0.0473443828523159	923.0000	8.0000	926.0000	319.0000	255.0000	538.0000	176.0000	442.0000	340.0000	186.0000	0.9928	0.0061	0.0007	0.0002	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0	10	
11	923	0.46518924832344055	923	1.4033348560333252	923.0000	255.0000	8.0000	926.0000	895.0000	319.0000	176.0000	650.0000	227.0000	538.0000	0.4652	0.2086	0.1773	0.1125	0.0234	0.0049	0.0041	0.0008	0.0008	0.0006	0	11	
12	923	0.9919710159301758	923	0.05789078772068024	923.0000	8.0000	895.0000	926.0000	255.0000	319.0000	538.0000	176.0000	186.0000	442.0000	0.9920	0.0039	0.0018	0.0015	0.0005	0.0002	0.0001	0.0001	0.0000	0.0000	0	12	
13	923	0.7184590101242065	923	0.9779751300811768	923.0000	8.0000	255.0000	926.0000	176.0000	442.0000	186.0000	319.0000	453.0000	272.0000	0.7185	0.1153	0.0908	0.0567	0.0073	0.0032	0.0030	0.0025	0.0004	0.0004	0	13	
14	923	0.9953433275222778	923	0.03330984711647034	923.0000	926.0000	8.0000	255.0000	186.0000	538.0000	272.0000	949.0000	453.0000	319.0000	0.9953	0.0036	0.0007	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	14	
