	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	285	0.08983583003282547	924	4.862222671508789	285.0000	647.0000	483.0000	719.0000	867.0000	673.0000	551.0000	347.0000	925.0000	131.0000	0.0898	0.0593	0.0509	0.0473	0.0441	0.0393	0.0334	0.0179	0.0168	0.0156	12	0	
1	285	0.06972556561231613	924	5.493928909301758	285.0000	844.0000	719.0000	552.0000	483.0000	282.0000	893.0000	205.0000	703.0000	131.0000	0.0697	0.0524	0.0365	0.0326	0.0216	0.0203	0.0149	0.0144	0.0130	0.0121	72	0	
2	673	0.5037451386451721	924	3.054941415786743	673.0000	49.0000	509.0000	483.0000	787.0000	162.0000	191.0000	719.0000	889.0000	662.0000	0.5037	0.0415	0.0375	0.0303	0.0272	0.0246	0.0167	0.0155	0.0152	0.0104	16	0	
3	719	0.06944919377565384	924	4.780342102050781	719.0000	483.0000	131.0000	647.0000	285.0000	626.0000	551.0000	673.0000	347.0000	867.0000	0.0694	0.0459	0.0394	0.0380	0.0359	0.0312	0.0257	0.0252	0.0239	0.0232	20	0	
4	551	0.06089877709746361	924	5.367371082305908	551.0000	576.0000	832.0000	547.0000	421.0000	347.0000	285.0000	584.0000	517.0000	543.0000	0.0609	0.0402	0.0313	0.0249	0.0236	0.0236	0.0193	0.0183	0.0148	0.0148	57	0	
5	96	0.5047350525856018	924	3.086789131164551	96.0000	282.0000	364.0000	870.0000	912.0000	285.0000	483.0000	817.0000	507.0000	598.0000	0.5047	0.0662	0.0302	0.0253	0.0219	0.0174	0.0147	0.0135	0.0096	0.0092	153	0	
6	285	0.09307744354009628	924	5.611239433288574	285.0000	483.0000	528.0000	893.0000	282.0000	721.0000	297.0000	205.0000	551.0000	719.0000	0.0931	0.0305	0.0282	0.0272	0.0217	0.0184	0.0162	0.0161	0.0141	0.0128	57	0	
7	364	0.41807428002357483	924	3.3577516078948975	364.0000	552.0000	492.0000	654.0000	719.0000	787.0000	483.0000	583.0000	362.0000	342.0000	0.4181	0.0597	0.0509	0.0385	0.0263	0.0242	0.0206	0.0183	0.0141	0.0139	24	0	
8	347	0.1159929484128952	924	4.92225980758667	347.0000	867.0000	131.0000	285.0000	874.0000	868.0000	719.0000	811.0000	551.0000	576.0000	0.1160	0.0805	0.0461	0.0449	0.0305	0.0215	0.0213	0.0191	0.0187	0.0157	55	0	
9	285	0.5351910591125488	924	2.167534112930298	285.0000	924.0000	867.0000	716.0000	719.0000	797.0000	55.0000	819.0000	899.0000	347.0000	0.5352	0.0952	0.0914	0.0333	0.0314	0.0259	0.0197	0.0148	0.0145	0.0141	1	1	
10	551	0.0959414690732956	924	4.609368324279785	551.0000	719.0000	716.0000	285.0000	483.0000	552.0000	867.0000	703.0000	191.0000	673.0000	0.0959	0.0847	0.0766	0.0492	0.0247	0.0236	0.0224	0.0199	0.0192	0.0174	13	1	
11	673	0.8789728283882141	924	0.6784502863883972	673.0000	483.0000	49.0000	924.0000	867.0000	787.0000	347.0000	191.0000	679.0000	96.0000	0.8790	0.0345	0.0306	0.0120	0.0101	0.0075	0.0037	0.0026	0.0015	0.0010	3	1	
12	285	0.28506043553352356	924	2.7577133178710938	285.0000	899.0000	867.0000	819.0000	924.0000	719.0000	716.0000	797.0000	55.0000	874.0000	0.2851	0.1678	0.0940	0.0935	0.0727	0.0449	0.0327	0.0277	0.0139	0.0136	4	1	
13	719	0.18283970654010773	924	3.725039005279541	719.0000	285.0000	819.0000	716.0000	867.0000	797.0000	540.0000	924.0000	936.0000	899.0000	0.1828	0.0967	0.0648	0.0609	0.0586	0.0556	0.0458	0.0398	0.0338	0.0233	7	1	
14	96	0.19786451756954193	924	4.698558330535889	96.0000	38.0000	598.0000	555.0000	575.0000	626.0000	364.0000	3.0000	54.0000	679.0000	0.1979	0.0934	0.0488	0.0310	0.0161	0.0155	0.0150	0.0147	0.0129	0.0128	85	1	
15	347	0.06558729708194733	924	5.095561981201172	347.0000	583.0000	924.0000	467.0000	285.0000	802.0000	503.0000	297.0000	551.0000	323.0000	0.0656	0.0572	0.0435	0.0361	0.0304	0.0231	0.0218	0.0201	0.0191	0.0151	2	1	
16	867	0.18683528900146484	924	3.333493947982788	867.0000	583.0000	832.0000	924.0000	483.0000	821.0000	513.0000	347.0000	362.0000	364.0000	0.1868	0.1013	0.0894	0.0844	0.0654	0.0510	0.0495	0.0409	0.0401	0.0398	3	1	
17	583	0.08737604320049286	924	5.2783403396606445	583.0000	483.0000	899.0000	347.0000	285.0000	797.0000	912.0000	868.0000	96.0000	673.0000	0.0874	0.0389	0.0349	0.0298	0.0254	0.0228	0.0215	0.0212	0.0207	0.0184	18	1	
18	285	0.2676248550415039	924	2.716090679168701	285.0000	364.0000	811.0000	241.0000	867.0000	821.0000	924.0000	347.0000	719.0000	528.0000	0.2676	0.2098	0.1446	0.0814	0.0391	0.0365	0.0250	0.0212	0.0144	0.0105	6	2	
19	285	0.18147408962249756	924	4.09604549407959	285.0000	867.0000	719.0000	703.0000	924.0000	776.0000	282.0000	131.0000	513.0000	440.0000	0.1815	0.1084	0.1009	0.0529	0.0258	0.0220	0.0197	0.0178	0.0177	0.0166	4	2	
20	673	0.33243343234062195	924	2.90537691116333	673.0000	867.0000	483.0000	924.0000	440.0000	49.0000	342.0000	811.0000	285.0000	191.0000	0.3324	0.1298	0.1228	0.0619	0.0515	0.0427	0.0170	0.0152	0.0139	0.0133	3	2	
21	811	0.1718747317790985	924	3.8943984508514404	811.0000	924.0000	716.0000	867.0000	797.0000	719.0000	899.0000	347.0000	874.0000	819.0000	0.1719	0.0877	0.0760	0.0446	0.0413	0.0399	0.0353	0.0340	0.0287	0.0268	1	2	
22	57	0.29452887177467346	924	3.187246799468994	57.0000	874.0000	543.0000	65.0000	247.0000	320.0000	811.0000	867.0000	819.0000	440.0000	0.2945	0.1136	0.0973	0.0581	0.0505	0.0405	0.0305	0.0269	0.0204	0.0151	58	2	
23	679	0.3919718265533447	924	3.264711380004883	679.0000	868.0000	96.0000	844.0000	797.0000	320.0000	584.0000	347.0000	873.0000	884.0000	0.3920	0.0635	0.0631	0.0560	0.0333	0.0304	0.0258	0.0181	0.0140	0.0128	22	2	
24	347	0.12221954762935638	924	4.190308570861816	347.0000	396.0000	802.0000	583.0000	93.0000	861.0000	832.0000	282.0000	323.0000	63.0000	0.1222	0.1219	0.0532	0.0503	0.0478	0.0415	0.0242	0.0232	0.0213	0.0192	10	2	
25	342	0.3245050609111786	924	2.5606417655944824	342.0000	654.0000	483.0000	364.0000	583.0000	924.0000	87.0000	104.0000	719.0000	495.0000	0.3245	0.1963	0.1550	0.0561	0.0545	0.0271	0.0125	0.0111	0.0100	0.0084	5	2	
26	347	0.3861307203769684	924	2.867398738861084	347.0000	899.0000	603.0000	609.0000	679.0000	575.0000	797.0000	832.0000	710.0000	646.0000	0.3861	0.1108	0.0604	0.0595	0.0572	0.0340	0.0261	0.0243	0.0205	0.0190	22	2	
27	924	0.370159387588501	924	2.140058994293213	924.0000	421.0000	867.0000	719.0000	285.0000	318.0000	797.0000	703.0000	284.0000	868.0000	0.3702	0.2373	0.1654	0.0617	0.0252	0.0175	0.0146	0.0094	0.0085	0.0037	0	3	
28	719	0.6411911249160767	924	2.141317129135132	719.0000	552.0000	844.0000	421.0000	654.0000	703.0000	647.0000	285.0000	867.0000	148.0000	0.6412	0.0488	0.0300	0.0234	0.0187	0.0152	0.0119	0.0105	0.0097	0.0083	17	3	
29	867	0.2914399206638336	924	2.658968925476074	867.0000	868.0000	440.0000	924.0000	285.0000	169.0000	162.0000	342.0000	673.0000	811.0000	0.2914	0.1559	0.1011	0.0744	0.0680	0.0543	0.0253	0.0248	0.0201	0.0198	3	3	
30	924	0.3905033469200134	924	2.431570053100586	924.0000	421.0000	867.0000	285.0000	719.0000	342.0000	868.0000	449.0000	703.0000	811.0000	0.3905	0.2020	0.0926	0.0603	0.0455	0.0162	0.0138	0.0108	0.0098	0.0096	0	3	
31	421	0.6181139349937439	924	1.9263887405395508	421.0000	349.0000	543.0000	457.0000	576.0000	867.0000	899.0000	797.0000	924.0000	318.0000	0.6181	0.0874	0.0624	0.0305	0.0217	0.0197	0.0171	0.0137	0.0112	0.0092	8	3	
32	552	0.0998370349407196	924	4.552340507507324	552.0000	544.0000	492.0000	703.0000	320.0000	867.0000	868.0000	488.0000	342.0000	282.0000	0.0998	0.0846	0.0572	0.0405	0.0387	0.0311	0.0303	0.0281	0.0267	0.0235	26	3	
33	285	0.07117826491594315	924	5.21522331237793	285.0000	347.0000	867.0000	924.0000	811.0000	797.0000	326.0000	55.0000	522.0000	719.0000	0.0712	0.0635	0.0416	0.0342	0.0334	0.0302	0.0237	0.0157	0.0123	0.0120	3	3	
34	342	0.2601058781147003	924	2.5784707069396973	342.0000	924.0000	583.0000	453.0000	719.0000	347.0000	421.0000	548.0000	651.0000	787.0000	0.2601	0.2443	0.1303	0.1045	0.0442	0.0180	0.0144	0.0134	0.0107	0.0096	1	3	
35	811	0.8780415654182434	924	0.7799848318099976	811.0000	285.0000	457.0000	868.0000	719.0000	925.0000	440.0000	867.0000	57.0000	410.0000	0.8780	0.0377	0.0119	0.0103	0.0089	0.0060	0.0023	0.0023	0.0020	0.0015	43	3	
36	483	0.3775272071361542	924	1.6873537302017212	483.0000	787.0000	924.0000	673.0000	421.0000	719.0000	867.0000	679.0000	49.0000	285.0000	0.3775	0.3657	0.0984	0.0522	0.0227	0.0179	0.0101	0.0101	0.0072	0.0048	2	4	
37	453	0.697698175907135	924	1.612695574760437	453.0000	441.0000	483.0000	787.0000	290.0000	528.0000	340.0000	924.0000	442.0000	679.0000	0.6977	0.0842	0.0223	0.0206	0.0175	0.0122	0.0122	0.0120	0.0107	0.0091	7	4	
38	673	0.5522741675376892	924	1.8359918594360352	673.0000	787.0000	924.0000	483.0000	49.0000	867.0000	679.0000	284.0000	285.0000	719.0000	0.5523	0.1520	0.1033	0.0404	0.0286	0.0227	0.0141	0.0050	0.0047	0.0045	2	4	
39	787	0.3899380564689636	924	1.6992117166519165	787.0000	673.0000	924.0000	483.0000	679.0000	421.0000	899.0000	49.0000	867.0000	719.0000	0.3899	0.2734	0.1780	0.0548	0.0302	0.0230	0.0136	0.0059	0.0049	0.0036	2	4	
40	787	0.38919422030448914	924	1.974865436553955	787.0000	924.0000	673.0000	679.0000	719.0000	483.0000	421.0000	551.0000	71.0000	867.0000	0.3892	0.3405	0.0374	0.0357	0.0268	0.0245	0.0231	0.0187	0.0175	0.0102	1	4	
41	96	0.4023672938346863	924	2.6952786445617676	96.0000	679.0000	282.0000	605.0000	584.0000	924.0000	346.0000	38.0000	909.0000	441.0000	0.4024	0.1977	0.0831	0.0259	0.0217	0.0156	0.0150	0.0144	0.0141	0.0124	5	4	
42	282	0.5102632641792297	924	2.5635156631469727	282.0000	528.0000	453.0000	787.0000	924.0000	71.0000	346.0000	357.0000	421.0000	343.0000	0.5103	0.0558	0.0536	0.0500	0.0464	0.0459	0.0270	0.0163	0.0108	0.0077	4	4	
43	924	0.33060386776924133	924	3.037369728088379	924.0000	552.0000	483.0000	787.0000	421.0000	551.0000	719.0000	609.0000	583.0000	131.0000	0.3306	0.1576	0.0541	0.0491	0.0482	0.0366	0.0192	0.0186	0.0157	0.0118	0	4	
44	679	0.27300533652305603	924	3.187727451324463	679.0000	483.0000	551.0000	421.0000	924.0000	909.0000	832.0000	71.0000	868.0000	719.0000	0.2730	0.2417	0.1076	0.0227	0.0192	0.0121	0.0102	0.0099	0.0095	0.0092	4	4	
45	285	0.5047885775566101	924	2.0318236351013184	285.0000	719.0000	924.0000	421.0000	925.0000	867.0000	318.0000	483.0000	673.0000	440.0000	0.5048	0.1002	0.0906	0.0553	0.0505	0.0415	0.0241	0.0189	0.0166	0.0157	2	5	
46	844	0.24278369545936584	924	3.4522364139556885	844.0000	719.0000	703.0000	285.0000	421.0000	440.0000	924.0000	540.0000	552.0000	23.0000	0.2428	0.1667	0.0571	0.0388	0.0282	0.0274	0.0244	0.0243	0.0233	0.0211	6	5	
47	673	0.3108025789260864	924	2.0776419639587402	673.0000	49.0000	483.0000	924.0000	679.0000	787.0000	867.0000	31.0000	440.0000	285.0000	0.3108	0.2483	0.1160	0.0765	0.0554	0.0550	0.0494	0.0291	0.0179	0.0074	3	5	
48	924	0.29859253764152527	924	2.734637498855591	924.0000	719.0000	285.0000	867.0000	925.0000	421.0000	787.0000	679.0000	318.0000	483.0000	0.2986	0.1908	0.0587	0.0535	0.0502	0.0501	0.0320	0.0319	0.0263	0.0259	0	5	
