	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	2	0.2721814811229706	926	3.575023651123047	2.0000	926.0000	38.0000	511.0000	156.0000	364.0000	255.0000	143.0000	895.0000	542.0000	0.2722	0.1006	0.0631	0.0564	0.0429	0.0358	0.0335	0.0260	0.0230	0.0227	1	0	
1	926	0.5876282453536987	926	2.2304909229278564	926.0000	2.0000	127.0000	38.0000	667.0000	150.0000	511.0000	734.0000	255.0000	542.0000	0.5876	0.0745	0.0428	0.0353	0.0274	0.0181	0.0135	0.0131	0.0124	0.0099	0	0	
2	2	0.6382266879081726	926	1.7329833507537842	2.0000	923.0000	895.0000	157.0000	335.0000	140.0000	767.0000	156.0000	255.0000	926.0000	0.6382	0.0751	0.0423	0.0373	0.0357	0.0303	0.0245	0.0113	0.0111	0.0097	9	1	
3	926	0.3887160122394562	926	2.6894469261169434	926.0000	2.0000	157.0000	870.0000	127.0000	734.0000	335.0000	16.0000	923.0000	895.0000	0.3887	0.1062	0.0779	0.0420	0.0398	0.0396	0.0391	0.0375	0.0344	0.0159	0	1	
4	2	0.7314875721931458	926	1.1248650550842285	2.0000	143.0000	335.0000	542.0000	870.0000	734.0000	926.0000	658.0000	882.0000	905.0000	0.7315	0.1501	0.0260	0.0209	0.0112	0.0095	0.0071	0.0038	0.0038	0.0028	6	2	
5	926	0.3137114942073822	926	1.926298975944519	926.0000	2.0000	734.0000	127.0000	150.0000	38.0000	895.0000	665.0000	870.0000	335.0000	0.3137	0.2305	0.1956	0.1089	0.0789	0.0106	0.0105	0.0052	0.0048	0.0038	0	2	
6	2	0.6710431575775146	926	0.9896740913391113	2.0000	926.0000	38.0000	870.0000	734.0000	335.0000	255.0000	903.0000	895.0000	186.0000	0.6710	0.2488	0.0391	0.0125	0.0055	0.0038	0.0031	0.0029	0.0026	0.0013	1	3	
7	926	0.9085752367973328	926	0.5294973254203796	926.0000	38.0000	2.0000	150.0000	127.0000	734.0000	870.0000	335.0000	473.0000	949.0000	0.9086	0.0247	0.0244	0.0105	0.0070	0.0057	0.0038	0.0015	0.0012	0.0010	0	3	
8	2	0.6186505556106567	926	1.2356295585632324	2.0000	157.0000	335.0000	926.0000	186.0000	912.0000	340.0000	32.0000	512.0000	870.0000	0.6187	0.2330	0.0527	0.0492	0.0061	0.0053	0.0051	0.0040	0.0030	0.0027	3	4	
9	926	0.6748679876327515	926	1.2118706703186035	926.0000	2.0000	127.0000	38.0000	734.0000	870.0000	157.0000	140.0000	511.0000	667.0000	0.6749	0.1665	0.0779	0.0135	0.0126	0.0122	0.0042	0.0040	0.0037	0.0031	0	4	
10	2	0.8826248049736023	926	0.6396608352661133	2.0000	926.0000	335.0000	734.0000	157.0000	870.0000	923.0000	658.0000	227.0000	255.0000	0.8826	0.0390	0.0213	0.0125	0.0094	0.0076	0.0061	0.0031	0.0018	0.0018	1	5	
11	926	0.450310617685318	926	1.849780797958374	926.0000	734.0000	127.0000	2.0000	923.0000	895.0000	335.0000	870.0000	255.0000	473.0000	0.4503	0.1468	0.1239	0.0863	0.0856	0.0363	0.0118	0.0113	0.0112	0.0049	0	5	
12	2	0.4686151146888733	926	1.9545131921768188	2.0000	926.0000	32.0000	335.0000	465.0000	38.0000	895.0000	903.0000	227.0000	923.0000	0.4686	0.1465	0.1036	0.0635	0.0514	0.0427	0.0311	0.0157	0.0103	0.0103	1	6	
13	926	0.9916480779647827	926	0.06421533972024918	926.0000	923.0000	895.0000	127.0000	734.0000	255.0000	335.0000	2.0000	38.0000	465.0000	0.9916	0.0035	0.0021	0.0006	0.0005	0.0004	0.0004	0.0003	0.0001	0.0001	0	6	
14	2	0.6366637349128723	926	0.7783789038658142	2.0000	926.0000	558.0000	870.0000	903.0000	335.0000	127.0000	38.0000	157.0000	339.0000	0.6367	0.3448	0.0033	0.0029	0.0024	0.0022	0.0015	0.0013	0.0008	0.0006	1	7	
15	926	0.9933438301086426	926	0.05575733259320259	926.0000	2.0000	127.0000	335.0000	38.0000	870.0000	32.0000	734.0000	895.0000	923.0000	0.9933	0.0023	0.0011	0.0010	0.0006	0.0003	0.0001	0.0001	0.0001	0.0001	0	7	
16	2	0.6951512098312378	926	0.7073293924331665	2.0000	926.0000	903.0000	335.0000	127.0000	734.0000	157.0000	870.0000	38.0000	558.0000	0.6952	0.2899	0.0043	0.0039	0.0019	0.0018	0.0006	0.0004	0.0004	0.0002	1	8	
17	926	0.6078970432281494	926	0.9415698051452637	926.0000	127.0000	734.0000	150.0000	2.0000	667.0000	335.0000	473.0000	321.0000	16.0000	0.6079	0.3325	0.0205	0.0196	0.0065	0.0047	0.0044	0.0009	0.0004	0.0004	0	8	
