	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	454	0.3380052447319031	927	1.9164018630981445	454.0000	566.0000	641.0000	838.0000	864.0000	815.0000	151.0000	800.0000	927.0000	170.0000	0.3380	0.2940	0.1422	0.0386	0.0368	0.0338	0.0262	0.0179	0.0151	0.0149	8	0	
1	566	0.4819764792919159	927	1.174294114112854	566.0000	454.0000	838.0000	800.0000	815.0000	864.0000	359.0000	123.0000	664.0000	480.0000	0.4820	0.3200	0.1713	0.0080	0.0061	0.0047	0.0017	0.0009	0.0007	0.0007	15	1	
2	454	0.5412748456001282	927	0.9696735739707947	454.0000	838.0000	566.0000	864.0000	815.0000	800.0000	16.0000	210.0000	151.0000	664.0000	0.5413	0.3894	0.0483	0.0084	0.0038	0.0025	0.0024	0.0008	0.0006	0.0004	12	2	
3	454	0.9952718615531921	927	0.03811690956354141	454.0000	838.0000	864.0000	800.0000	641.0000	815.0000	566.0000	193.0000	94.0000	619.0000	0.9953	0.0023	0.0009	0.0006	0.0004	0.0001	0.0001	0.0001	0.0001	0.0000	30	3	
4	838	0.5510736703872681	927	1.173512578010559	838.0000	454.0000	864.0000	566.0000	800.0000	94.0000	210.0000	815.0000	664.0000	641.0000	0.5511	0.2602	0.1430	0.0178	0.0127	0.0075	0.0028	0.0021	0.0008	0.0007	25	4	
5	838	0.8289287686347961	927	0.6775804758071899	838.0000	454.0000	94.0000	566.0000	864.0000	800.0000	815.0000	210.0000	151.0000	641.0000	0.8289	0.1009	0.0248	0.0223	0.0132	0.0066	0.0017	0.0004	0.0003	0.0003	14	5	
6	838	0.6990712285041809	927	0.9183613657951355	838.0000	454.0000	864.0000	566.0000	151.0000	94.0000	815.0000	800.0000	359.0000	210.0000	0.6991	0.1664	0.1082	0.0134	0.0088	0.0018	0.0013	0.0004	0.0002	0.0001	20	6	
7	838	0.5963633060455322	927	0.847898006439209	838.0000	454.0000	864.0000	566.0000	151.0000	800.0000	480.0000	94.0000	815.0000	202.0000	0.5964	0.3659	0.0226	0.0095	0.0024	0.0008	0.0004	0.0004	0.0004	0.0003	14	7	
8	566	0.7994320392608643	927	0.6950856447219849	566.0000	838.0000	815.0000	454.0000	151.0000	864.0000	359.0000	800.0000	94.0000	193.0000	0.7994	0.1442	0.0333	0.0073	0.0070	0.0057	0.0011	0.0010	0.0004	0.0001	23	8	
9	838	0.6189994215965271	927	0.996253252029419	838.0000	454.0000	800.0000	566.0000	864.0000	151.0000	94.0000	845.0000	210.0000	480.0000	0.6190	0.2769	0.0529	0.0430	0.0032	0.0030	0.0008	0.0003	0.0003	0.0002	50	9	
10	454	0.7784718871116638	927	0.7650094628334045	454.0000	864.0000	838.0000	566.0000	800.0000	202.0000	151.0000	845.0000	94.0000	210.0000	0.7785	0.1105	0.0895	0.0094	0.0084	0.0014	0.0010	0.0007	0.0005	0.0000	26	10	
11	454	0.5146691203117371	927	0.8337010145187378	454.0000	838.0000	94.0000	800.0000	566.0000	864.0000	210.0000	151.0000	815.0000	202.0000	0.5147	0.4589	0.0141	0.0049	0.0029	0.0028	0.0005	0.0004	0.0003	0.0002	36	11	
12	454	0.5394116044044495	927	1.0668691396713257	454.0000	838.0000	566.0000	815.0000	800.0000	151.0000	94.0000	864.0000	332.0000	619.0000	0.5394	0.3502	0.0642	0.0354	0.0032	0.0020	0.0020	0.0017	0.0002	0.0002	24	12	
13	838	0.9244601726531982	927	0.28217458724975586	838.0000	454.0000	864.0000	151.0000	202.0000	94.0000	359.0000	815.0000	566.0000	800.0000	0.9245	0.0729	0.0020	0.0002	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	25	13	
14	838	0.7113613486289978	927	0.7720420360565186	838.0000	454.0000	815.0000	566.0000	151.0000	94.0000	202.0000	864.0000	210.0000	800.0000	0.7114	0.2501	0.0151	0.0114	0.0082	0.0011	0.0009	0.0006	0.0004	0.0003	11	14	
15	454	0.6782512664794922	927	0.8686552047729492	454.0000	838.0000	864.0000	566.0000	845.0000	151.0000	815.0000	641.0000	202.0000	480.0000	0.6783	0.2388	0.0719	0.0030	0.0023	0.0012	0.0010	0.0008	0.0007	0.0006	16	15	
16	838	0.8037058711051941	927	0.7154734134674072	838.0000	566.0000	454.0000	151.0000	800.0000	815.0000	94.0000	210.0000	864.0000	359.0000	0.8037	0.1209	0.0443	0.0170	0.0089	0.0027	0.0017	0.0003	0.0002	0.0001	27	16	
17	838	0.9868744015693665	927	0.0897781103849411	838.0000	815.0000	566.0000	864.0000	454.0000	151.0000	210.0000	438.0000	480.0000	94.0000	0.9869	0.0046	0.0039	0.0033	0.0004	0.0004	0.0002	0.0002	0.0000	0.0000	21	17	
18	838	0.4567996859550476	927	1.1248204708099365	838.0000	454.0000	864.0000	815.0000	566.0000	151.0000	845.0000	800.0000	641.0000	210.0000	0.4568	0.4208	0.0862	0.0114	0.0106	0.0040	0.0039	0.0016	0.0009	0.0007	10	18	
19	838	0.874367892742157	927	0.5493128895759583	838.0000	454.0000	800.0000	210.0000	864.0000	566.0000	815.0000	151.0000	94.0000	423.0000	0.8744	0.0748	0.0177	0.0115	0.0089	0.0076	0.0018	0.0013	0.0012	0.0002	20	19	
20	838	0.6858651041984558	927	1.1749637126922607	838.0000	864.0000	566.0000	151.0000	480.0000	210.0000	454.0000	224.0000	438.0000	815.0000	0.6859	0.1139	0.1037	0.0313	0.0195	0.0141	0.0082	0.0045	0.0043	0.0026	22	20	
21	566	0.5111061930656433	927	1.0920209884643555	566.0000	838.0000	454.0000	864.0000	151.0000	800.0000	480.0000	845.0000	202.0000	359.0000	0.5111	0.3696	0.0688	0.0385	0.0077	0.0011	0.0009	0.0006	0.0005	0.0003	21	21	
22	838	0.939464807510376	927	0.3445897698402405	838.0000	151.0000	864.0000	454.0000	566.0000	480.0000	438.0000	815.0000	949.0000	210.0000	0.9395	0.0232	0.0134	0.0066	0.0060	0.0046	0.0014	0.0010	0.0009	0.0007	24	22	
23	838	0.8289180994033813	927	0.7574446201324463	838.0000	454.0000	210.0000	566.0000	800.0000	864.0000	845.0000	151.0000	815.0000	94.0000	0.8289	0.0646	0.0416	0.0276	0.0173	0.0061	0.0034	0.0030	0.0021	0.0013	22	23	
24	838	0.9546859860420227	927	0.25096774101257324	838.0000	454.0000	864.0000	151.0000	641.0000	566.0000	480.0000	67.0000	651.0000	927.0000	0.9547	0.0167	0.0120	0.0113	0.0030	0.0015	0.0002	0.0002	0.0001	0.0000	9	24	
25	454	0.9953771829605103	927	0.03549298271536827	454.0000	838.0000	566.0000	864.0000	815.0000	800.0000	94.0000	210.0000	151.0000	438.0000	0.9954	0.0025	0.0009	0.0009	0.0002	0.0001	0.0001	0.0000	0.0000	0.0000	15	25	
26	566	0.5865822434425354	927	1.300269365310669	566.0000	454.0000	864.0000	838.0000	800.0000	480.0000	815.0000	151.0000	16.0000	332.0000	0.5866	0.2190	0.0888	0.0528	0.0106	0.0103	0.0083	0.0063	0.0054	0.0026	36	26	
27	838	0.9064033627510071	927	0.4258319139480591	838.0000	864.0000	566.0000	151.0000	454.0000	210.0000	359.0000	94.0000	438.0000	480.0000	0.9064	0.0594	0.0127	0.0092	0.0082	0.0015	0.0009	0.0004	0.0004	0.0003	15	27	
28	838	0.6013396978378296	927	1.4622366428375244	838.0000	151.0000	359.0000	800.0000	864.0000	815.0000	454.0000	210.0000	566.0000	123.0000	0.6013	0.1895	0.0458	0.0324	0.0259	0.0198	0.0161	0.0144	0.0143	0.0085	29	28	
29	454	0.6915894150733948	927	1.0192997455596924	454.0000	566.0000	838.0000	800.0000	151.0000	94.0000	815.0000	359.0000	210.0000	571.0000	0.6916	0.1575	0.0855	0.0373	0.0190	0.0025	0.0020	0.0009	0.0008	0.0006	14	29	
30	838	0.6384924054145813	927	1.104562520980835	838.0000	454.0000	566.0000	151.0000	800.0000	815.0000	864.0000	210.0000	16.0000	94.0000	0.6385	0.1814	0.1225	0.0243	0.0209	0.0057	0.0014	0.0012	0.0011	0.0007	14	30	
31	838	0.6493960618972778	927	1.0258471965789795	838.0000	454.0000	566.0000	800.0000	151.0000	864.0000	815.0000	16.0000	210.0000	94.0000	0.6494	0.1890	0.1294	0.0122	0.0112	0.0024	0.0017	0.0015	0.0010	0.0005	12	31	
32	838	0.5284180045127869	927	1.079758644104004	838.0000	454.0000	566.0000	800.0000	864.0000	151.0000	815.0000	210.0000	94.0000	16.0000	0.5284	0.3592	0.0758	0.0136	0.0117	0.0064	0.0018	0.0009	0.0006	0.0006	12	32	
33	838	0.5086223483085632	927	1.1087712049484253	838.0000	454.0000	566.0000	800.0000	151.0000	864.0000	815.0000	210.0000	16.0000	480.0000	0.5086	0.3728	0.0757	0.0167	0.0124	0.0092	0.0013	0.0012	0.0004	0.0003	16	33	
34	454	0.5038118362426758	927	1.007254958152771	454.0000	838.0000	566.0000	800.0000	151.0000	864.0000	815.0000	210.0000	94.0000	16.0000	0.5038	0.4234	0.0304	0.0217	0.0100	0.0076	0.0010	0.0006	0.0004	0.0003	18	34	
35	838	0.6137120127677917	927	0.985958456993103	838.0000	454.0000	566.0000	800.0000	864.0000	151.0000	815.0000	210.0000	94.0000	16.0000	0.6137	0.3032	0.0418	0.0205	0.0081	0.0080	0.0021	0.0009	0.0003	0.0002	16	35	
36	838	0.8126659989356995	927	0.6041237115859985	838.0000	454.0000	566.0000	864.0000	151.0000	800.0000	815.0000	210.0000	94.0000	480.0000	0.8127	0.1588	0.0131	0.0071	0.0043	0.0027	0.0004	0.0003	0.0001	0.0001	19	36	
37	838	0.5806950926780701	927	0.9173613786697388	838.0000	454.0000	566.0000	864.0000	800.0000	151.0000	210.0000	815.0000	480.0000	94.0000	0.5807	0.3607	0.0383	0.0095	0.0063	0.0022	0.0009	0.0005	0.0002	0.0002	16	37	
38	838	0.522293746471405	927	0.9215052127838135	838.0000	454.0000	566.0000	800.0000	864.0000	151.0000	815.0000	210.0000	480.0000	94.0000	0.5223	0.4249	0.0357	0.0054	0.0049	0.0037	0.0011	0.0007	0.0003	0.0002	23	38	
39	838	0.5635040998458862	927	0.9122286438941956	838.0000	454.0000	566.0000	864.0000	800.0000	151.0000	210.0000	815.0000	94.0000	480.0000	0.5635	0.3847	0.0298	0.0106	0.0048	0.0039	0.0009	0.0007	0.0003	0.0001	18	39	
40	454	0.6013178825378418	927	0.829353392124176	454.0000	838.0000	566.0000	864.0000	800.0000	151.0000	210.0000	815.0000	94.0000	480.0000	0.6013	0.3673	0.0154	0.0079	0.0032	0.0028	0.0006	0.0005	0.0002	0.0002	18	40	
41	454	0.6841992735862732	927	0.7786919474601746	454.0000	838.0000	566.0000	864.0000	800.0000	151.0000	210.0000	815.0000	94.0000	480.0000	0.6842	0.2780	0.0243	0.0094	0.0022	0.0010	0.0003	0.0001	0.0001	0.0001	20	41	
42	838	0.6549719572067261	927	0.8472937345504761	838.0000	454.0000	566.0000	864.0000	800.0000	151.0000	210.0000	815.0000	94.0000	480.0000	0.6550	0.2958	0.0288	0.0120	0.0037	0.0027	0.0005	0.0004	0.0004	0.0002	17	42	
43	454	0.6461971998214722	927	0.825499415397644	454.0000	838.0000	566.0000	864.0000	800.0000	151.0000	815.0000	210.0000	94.0000	480.0000	0.6462	0.3120	0.0282	0.0077	0.0027	0.0012	0.0005	0.0005	0.0002	0.0002	19	43	
44	454	0.5924718976020813	927	0.8199205994606018	454.0000	838.0000	566.0000	864.0000	800.0000	151.0000	210.0000	94.0000	815.0000	845.0000	0.5925	0.3785	0.0133	0.0099	0.0031	0.0017	0.0004	0.0001	0.0001	0.0001	14	44	
45	838	0.47508591413497925	927	0.9573400616645813	838.0000	454.0000	566.0000	864.0000	151.0000	800.0000	210.0000	480.0000	815.0000	845.0000	0.4751	0.4607	0.0449	0.0099	0.0037	0.0029	0.0011	0.0002	0.0002	0.0002	14	45	
46	838	0.695017397403717	927	0.7525733709335327	838.0000	454.0000	864.0000	566.0000	151.0000	800.0000	210.0000	815.0000	480.0000	94.0000	0.6950	0.2765	0.0123	0.0085	0.0038	0.0021	0.0007	0.0002	0.0002	0.0001	16	46	
47	838	0.6271741986274719	927	0.8476240634918213	838.0000	454.0000	566.0000	864.0000	151.0000	800.0000	210.0000	815.0000	845.0000	480.0000	0.6272	0.3315	0.0177	0.0153	0.0033	0.0031	0.0009	0.0002	0.0002	0.0002	22	47	
48	838	0.6109177470207214	927	0.7857598662376404	838.0000	454.0000	566.0000	864.0000	151.0000	800.0000	210.0000	815.0000	94.0000	202.0000	0.6109	0.3672	0.0100	0.0048	0.0035	0.0021	0.0007	0.0001	0.0001	0.0001	14	48	
49	454	0.7225953936576843	927	0.8426783084869385	454.0000	838.0000	864.0000	566.0000	800.0000	151.0000	210.0000	815.0000	202.0000	94.0000	0.7226	0.1884	0.0613	0.0227	0.0018	0.0014	0.0008	0.0002	0.0002	0.0002	14	49	
50	838	0.5897623300552368	927	0.9000654220581055	838.0000	454.0000	566.0000	864.0000	151.0000	800.0000	210.0000	815.0000	94.0000	480.0000	0.5898	0.3585	0.0214	0.0203	0.0052	0.0030	0.0010	0.0002	0.0001	0.0001	15	50	
