	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	467	0.3558792471885681	930	3.416551113128662	467.0000	441.0000	191.0000	133.0000	104.0000	346.0000	304.0000	347.0000	503.0000	621.0000	0.3559	0.0658	0.0515	0.0410	0.0361	0.0288	0.0254	0.0239	0.0206	0.0140	70	0	
1	837	0.8067086338996887	930	1.1170954704284668	837.0000	228.0000	928.0000	558.0000	226.0000	809.0000	133.0000	279.0000	924.0000	80.0000	0.8067	0.0307	0.0273	0.0205	0.0196	0.0170	0.0106	0.0059	0.0052	0.0034	80	1	
2	837	0.42666196823120117	930	2.609016180038452	837.0000	558.0000	467.0000	807.0000	809.0000	924.0000	479.0000	554.0000	724.0000	228.0000	0.4267	0.1561	0.0619	0.0414	0.0382	0.0274	0.0242	0.0192	0.0159	0.0118	223	2	
3	180	0.37689468264579773	930	2.306649684906006	180.0000	259.0000	104.0000	698.0000	141.0000	494.0000	657.0000	165.0000	226.0000	331.0000	0.3769	0.2493	0.1134	0.0267	0.0241	0.0226	0.0187	0.0176	0.0159	0.0125	57	3	
4	924	0.41031327843666077	930	2.9573187828063965	924.0000	730.0000	104.0000	558.0000	133.0000	277.0000	502.0000	837.0000	330.0000	228.0000	0.4103	0.0680	0.0570	0.0561	0.0510	0.0431	0.0317	0.0194	0.0168	0.0160	255	4	
5	924	0.4008685350418091	930	2.498171329498291	924.0000	662.0000	837.0000	724.0000	558.0000	191.0000	226.0000	104.0000	137.0000	165.0000	0.4009	0.2582	0.0610	0.0209	0.0160	0.0159	0.0133	0.0125	0.0092	0.0070	49	5	
6	228	0.5750178098678589	930	2.2915685176849365	228.0000	277.0000	104.0000	485.0000	830.0000	44.0000	854.0000	486.0000	280.0000	508.0000	0.5750	0.0730	0.0511	0.0450	0.0178	0.0162	0.0148	0.0137	0.0134	0.0122	78	6	
7	104	0.5903705954551697	930	2.395512342453003	104.0000	252.0000	690.0000	44.0000	541.0000	692.0000	467.0000	580.0000	277.0000	485.0000	0.5904	0.0420	0.0324	0.0253	0.0211	0.0211	0.0192	0.0143	0.0124	0.0111	25	7	
8	558	0.36202195286750793	930	2.086160659790039	558.0000	44.0000	191.0000	486.0000	748.0000	369.0000	137.0000	165.0000	467.0000	830.0000	0.3620	0.3429	0.0748	0.0276	0.0224	0.0209	0.0207	0.0142	0.0127	0.0077	37	8	
9	809	0.7531751990318298	930	1.3456089496612549	809.0000	80.0000	575.0000	903.0000	566.0000	926.0000	558.0000	724.0000	338.0000	259.0000	0.7532	0.0837	0.0276	0.0105	0.0089	0.0085	0.0081	0.0079	0.0071	0.0058	60	9	
10	558	0.2724909782409668	930	3.476893901824951	558.0000	228.0000	133.0000	809.0000	837.0000	338.0000	924.0000	541.0000	575.0000	724.0000	0.2725	0.0735	0.0682	0.0604	0.0495	0.0482	0.0401	0.0325	0.0220	0.0211	38	10	
11	662	0.22563403844833374	930	3.4497478008270264	662.0000	809.0000	180.0000	277.0000	926.0000	724.0000	338.0000	104.0000	903.0000	191.0000	0.2256	0.1202	0.0931	0.0435	0.0430	0.0360	0.0313	0.0310	0.0293	0.0254	13	11	
12	809	0.7529196739196777	930	1.3040668964385986	809.0000	228.0000	854.0000	926.0000	837.0000	508.0000	730.0000	279.0000	191.0000	813.0000	0.7529	0.0788	0.0314	0.0255	0.0143	0.0110	0.0094	0.0059	0.0054	0.0042	114	12	
13	235	0.17490509152412415	930	3.764230966567993	235.0000	165.0000	710.0000	277.0000	634.0000	369.0000	541.0000	34.0000	270.0000	155.0000	0.1749	0.1165	0.0740	0.0398	0.0340	0.0300	0.0293	0.0289	0.0283	0.0272	82	13	
14	104	0.5104052424430847	930	2.0680313110351562	104.0000	226.0000	558.0000	662.0000	837.0000	277.0000	137.0000	494.0000	44.0000	155.0000	0.5104	0.1359	0.0891	0.0523	0.0357	0.0174	0.0135	0.0127	0.0109	0.0102	35	14	
15	558	0.3842242658138275	930	2.1701292991638184	558.0000	670.0000	104.0000	369.0000	494.0000	44.0000	555.0000	180.0000	466.0000	903.0000	0.3842	0.1803	0.1425	0.0722	0.0570	0.0382	0.0125	0.0106	0.0094	0.0088	24	15	
16	558	0.43375712633132935	930	2.6629669666290283	558.0000	338.0000	924.0000	467.0000	104.0000	96.0000	690.0000	277.0000	278.0000	425.0000	0.4338	0.1111	0.0570	0.0565	0.0280	0.0259	0.0207	0.0207	0.0177	0.0155	34	16	
17	277	0.3939192295074463	930	2.0346264839172363	277.0000	104.0000	541.0000	558.0000	837.0000	672.0000	98.0000	508.0000	926.0000	338.0000	0.3939	0.2215	0.1691	0.0622	0.0194	0.0184	0.0125	0.0101	0.0088	0.0070	31	17	
18	180	0.2549665868282318	930	3.0335960388183594	180.0000	494.0000	474.0000	558.0000	662.0000	670.0000	338.0000	191.0000	364.0000	226.0000	0.2550	0.1204	0.0978	0.0862	0.0849	0.0544	0.0413	0.0307	0.0155	0.0092	79	18	
19	277	0.9871942400932312	930	0.10328295826911926	277.0000	474.0000	104.0000	508.0000	456.0000	467.0000	219.0000	670.0000	494.0000	558.0000	0.9872	0.0041	0.0018	0.0014	0.0012	0.0011	0.0003	0.0003	0.0002	0.0002	40	19	
20	228	0.17950113117694855	930	3.3059258460998535	228.0000	854.0000	837.0000	133.0000	558.0000	280.0000	203.0000	813.0000	809.0000	277.0000	0.1795	0.1742	0.1694	0.0457	0.0368	0.0330	0.0288	0.0258	0.0179	0.0177	144	20	
21	133	0.23264865577220917	930	2.748162269592285	133.0000	277.0000	203.0000	104.0000	558.0000	837.0000	854.0000	690.0000	228.0000	96.0000	0.2326	0.1950	0.1094	0.1003	0.0467	0.0406	0.0402	0.0264	0.0220	0.0200	89	21	
