	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	584	0.1285821795463562	931	4.918858051300049	584.0000	157.0000	131.0000	844.0000	358.0000	552.0000	2.0000	143.0000	492.0000	719.0000	0.1286	0.0470	0.0426	0.0412	0.0215	0.0212	0.0189	0.0178	0.0169	0.0155	756	0	
1	513	0.2646344304084778	931	3.6834301948547363	513.0000	93.0000	575.0000	584.0000	884.0000	395.0000	347.0000	861.0000	541.0000	683.0000	0.2646	0.0883	0.0552	0.0535	0.0451	0.0388	0.0290	0.0251	0.0201	0.0190	489	0	
2	584	0.15533410012722015	931	4.830052375793457	584.0000	166.0000	162.0000	551.0000	844.0000	358.0000	285.0000	161.0000	797.0000	750.0000	0.1553	0.0508	0.0381	0.0323	0.0310	0.0274	0.0223	0.0152	0.0151	0.0141	775	0	
3	575	0.21437811851501465	931	4.418535232543945	575.0000	513.0000	797.0000	541.0000	584.0000	93.0000	672.0000	395.0000	884.0000	861.0000	0.2144	0.0646	0.0400	0.0362	0.0356	0.0330	0.0265	0.0206	0.0172	0.0146	588	0	
4	96	0.2828216552734375	931	3.433034658432007	96.0000	55.0000	483.0000	909.0000	787.0000	282.0000	75.0000	441.0000	899.0000	538.0000	0.2828	0.1437	0.0828	0.0618	0.0432	0.0282	0.0178	0.0155	0.0142	0.0116	679	1	
5	513	0.19892379641532898	931	3.4839048385620117	513.0000	683.0000	357.0000	861.0000	347.0000	55.0000	824.0000	832.0000	98.0000	93.0000	0.1989	0.1358	0.0839	0.0662	0.0599	0.0496	0.0367	0.0352	0.0248	0.0160	517	1	
6	96	0.4241311848163605	931	1.7332220077514648	96.0000	55.0000	483.0000	787.0000	909.0000	899.0000	716.0000	71.0000	375.0000	339.0000	0.4241	0.3194	0.1357	0.0203	0.0172	0.0071	0.0047	0.0044	0.0039	0.0027	683	1	
7	347	0.36082562804222107	931	2.950854778289795	347.0000	583.0000	37.0000	909.0000	80.0000	355.0000	55.0000	575.0000	683.0000	375.0000	0.3608	0.1099	0.0899	0.0549	0.0316	0.0303	0.0256	0.0237	0.0188	0.0188	545	1	
8	75	0.573997437953949	931	1.9938077926635742	75.0000	719.0000	342.0000	483.0000	364.0000	358.0000	551.0000	703.0000	285.0000	55.0000	0.5740	0.1472	0.0314	0.0310	0.0225	0.0158	0.0138	0.0129	0.0104	0.0094	367	2	
9	55	0.37300705909729004	931	3.535524368286133	55.0000	819.0000	285.0000	575.0000	797.0000	196.0000	710.0000	716.0000	138.0000	532.0000	0.3730	0.0592	0.0401	0.0395	0.0302	0.0264	0.0238	0.0182	0.0182	0.0171	308	2	
10	75	0.5325238704681396	931	2.335721492767334	75.0000	342.0000	719.0000	285.0000	483.0000	331.0000	703.0000	358.0000	716.0000	551.0000	0.5325	0.0646	0.0475	0.0447	0.0354	0.0315	0.0293	0.0212	0.0206	0.0134	451	2	
11	55	0.18900778889656067	931	4.036368370056152	55.0000	532.0000	646.0000	513.0000	819.0000	716.0000	138.0000	703.0000	75.0000	196.0000	0.1890	0.1064	0.0646	0.0476	0.0430	0.0351	0.0249	0.0213	0.0210	0.0193	337	2	
12	55	0.42907068133354187	931	2.4485182762145996	55.0000	716.0000	75.0000	138.0000	915.0000	483.0000	787.0000	291.0000	584.0000	196.0000	0.4291	0.1817	0.0709	0.0600	0.0282	0.0216	0.0159	0.0154	0.0116	0.0084	394	3	
13	55	0.7482136487960815	931	1.2686231136322021	55.0000	196.0000	645.0000	710.0000	93.0000	716.0000	513.0000	37.0000	583.0000	138.0000	0.7482	0.1222	0.0132	0.0115	0.0095	0.0072	0.0067	0.0064	0.0048	0.0042	395	3	
14	55	0.7304583191871643	931	1.3157827854156494	55.0000	716.0000	584.0000	645.0000	483.0000	915.0000	936.0000	138.0000	75.0000	96.0000	0.7305	0.0820	0.0409	0.0267	0.0214	0.0145	0.0119	0.0097	0.0087	0.0062	655	3	
15	55	0.5575770139694214	931	1.8362061977386475	55.0000	196.0000	645.0000	513.0000	93.0000	716.0000	138.0000	646.0000	603.0000	710.0000	0.5576	0.2169	0.0297	0.0278	0.0153	0.0151	0.0150	0.0119	0.0112	0.0093	463	3	
16	75	0.3851436376571655	931	2.9346251487731934	75.0000	357.0000	55.0000	350.0000	936.0000	787.0000	138.0000	721.0000	112.0000	208.0000	0.3851	0.0975	0.0684	0.0674	0.0660	0.0247	0.0242	0.0147	0.0113	0.0103	165	4	
17	55	0.7593337893486023	931	1.250028133392334	55.0000	347.0000	710.0000	576.0000	93.0000	693.0000	583.0000	609.0000	797.0000	543.0000	0.7593	0.0634	0.0593	0.0157	0.0102	0.0069	0.0062	0.0060	0.0054	0.0054	191	4	
18	75	0.4817982017993927	931	2.9697368144989014	75.0000	55.0000	208.0000	936.0000	342.0000	331.0000	143.0000	716.0000	350.0000	440.0000	0.4818	0.0432	0.0418	0.0270	0.0225	0.0177	0.0174	0.0136	0.0133	0.0124	192	4	
19	55	0.7632331848144531	931	1.2330392599105835	55.0000	710.0000	347.0000	797.0000	819.0000	693.0000	75.0000	201.0000	93.0000	583.0000	0.7632	0.0741	0.0441	0.0202	0.0168	0.0097	0.0060	0.0052	0.0039	0.0039	95	4	
20	75	0.41444486379623413	931	2.5701847076416016	75.0000	208.0000	55.0000	38.0000	936.0000	143.0000	909.0000	148.0000	716.0000	196.0000	0.4144	0.1273	0.0926	0.0636	0.0346	0.0260	0.0227	0.0197	0.0162	0.0152	168	5	
21	55	0.7202199697494507	931	1.102217197418213	55.0000	196.0000	693.0000	832.0000	936.0000	716.0000	551.0000	710.0000	403.0000	66.0000	0.7202	0.1427	0.0687	0.0142	0.0088	0.0050	0.0049	0.0046	0.0045	0.0031	302	5	
22	55	0.5506272315979004	931	2.0576257705688477	55.0000	936.0000	38.0000	75.0000	716.0000	96.0000	196.0000	909.0000	208.0000	693.0000	0.5506	0.1033	0.0735	0.0547	0.0351	0.0193	0.0179	0.0133	0.0111	0.0104	320	5	
