	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	626	0.5238103866577148	932	2.650015115737915	626.0000	297.0000	412.0000	343.0000	552.0000	573.0000	11.0000	575.0000	574.0000	549.0000	0.5238	0.0510	0.0430	0.0401	0.0284	0.0266	0.0228	0.0200	0.0155	0.0155	116	0	
1	626	0.4199810028076172	932	3.217315196990967	626.0000	343.0000	297.0000	104.0000	574.0000	552.0000	575.0000	573.0000	412.0000	919.0000	0.4200	0.0576	0.0488	0.0386	0.0324	0.0298	0.0233	0.0220	0.0169	0.0163	149	0	
2	528	0.11542697995901108	932	4.134859561920166	528.0000	297.0000	844.0000	598.0000	675.0000	575.0000	552.0000	239.0000	75.0000	625.0000	0.1154	0.1082	0.0957	0.0801	0.0591	0.0575	0.0402	0.0268	0.0253	0.0108	217	0	
3	395	0.15035024285316467	932	4.195678234100342	395.0000	574.0000	626.0000	942.0000	297.0000	449.0000	412.0000	941.0000	550.0000	343.0000	0.1504	0.0782	0.0610	0.0587	0.0436	0.0396	0.0369	0.0348	0.0178	0.0164	249	1	
4	626	0.3790988028049469	932	2.9363746643066406	626.0000	583.0000	297.0000	574.0000	395.0000	412.0000	343.0000	627.0000	63.0000	449.0000	0.3791	0.1438	0.1185	0.0311	0.0301	0.0298	0.0241	0.0080	0.0079	0.0069	181	1	
5	544	0.2428835779428482	932	3.1014654636383057	544.0000	297.0000	844.0000	942.0000	626.0000	528.0000	488.0000	721.0000	443.0000	521.0000	0.2429	0.1941	0.1258	0.0752	0.0419	0.0261	0.0217	0.0179	0.0167	0.0132	247	1	
6	626	0.2627314627170563	932	2.9998116493225098	626.0000	449.0000	282.0000	310.0000	819.0000	583.0000	326.0000	942.0000	297.0000	412.0000	0.2627	0.2021	0.1078	0.0711	0.0502	0.0224	0.0216	0.0134	0.0122	0.0107	321	2	
7	449	0.36096715927124023	932	2.1932263374328613	449.0000	583.0000	626.0000	412.0000	499.0000	343.0000	121.0000	470.0000	297.0000	310.0000	0.3610	0.1959	0.1829	0.0593	0.0365	0.0317	0.0210	0.0164	0.0109	0.0083	291	2	
8	583	0.23888975381851196	932	4.0933427810668945	583.0000	844.0000	575.0000	593.0000	466.0000	521.0000	491.0000	573.0000	63.0000	112.0000	0.2389	0.1042	0.0357	0.0317	0.0276	0.0255	0.0224	0.0202	0.0188	0.0184	204	2	
9	412	0.12804704904556274	932	3.685452938079834	412.0000	626.0000	449.0000	628.0000	297.0000	942.0000	575.0000	443.0000	117.0000	916.0000	0.1280	0.1249	0.1171	0.0679	0.0582	0.0533	0.0490	0.0230	0.0227	0.0155	217	3	
10	297	0.12503868341445923	932	3.8115339279174805	297.0000	626.0000	550.0000	412.0000	575.0000	449.0000	343.0000	916.0000	466.0000	583.0000	0.1250	0.1244	0.0958	0.0917	0.0731	0.0428	0.0340	0.0293	0.0268	0.0261	235	3	
11	528	0.37024322152137756	932	2.8919105529785156	528.0000	297.0000	552.0000	583.0000	521.0000	721.0000	488.0000	844.0000	491.0000	575.0000	0.3702	0.1348	0.1095	0.0661	0.0268	0.0201	0.0187	0.0129	0.0112	0.0106	118	3	
12	310	0.20774483680725098	932	3.1942968368530273	310.0000	626.0000	343.0000	449.0000	466.0000	297.0000	574.0000	549.0000	628.0000	443.0000	0.2077	0.1782	0.1507	0.0388	0.0384	0.0353	0.0246	0.0221	0.0213	0.0203	399	4	
13	626	0.2639823853969574	932	2.5048418045043945	626.0000	343.0000	574.0000	583.0000	412.0000	449.0000	297.0000	121.0000	941.0000	550.0000	0.2640	0.2516	0.0962	0.0809	0.0801	0.0424	0.0418	0.0207	0.0067	0.0063	375	4	
14	297	0.6009373068809509	932	2.2839810848236084	297.0000	583.0000	491.0000	916.0000	488.0000	466.0000	627.0000	112.0000	844.0000	721.0000	0.6009	0.0716	0.0332	0.0207	0.0152	0.0135	0.0117	0.0112	0.0102	0.0101	283	4	
15	626	0.2897263169288635	932	2.860241651535034	626.0000	343.0000	575.0000	449.0000	942.0000	583.0000	297.0000	203.0000	628.0000	412.0000	0.2897	0.0987	0.0843	0.0825	0.0724	0.0639	0.0607	0.0298	0.0239	0.0185	67	5	
16	583	0.19796954095363617	932	3.281986713409424	583.0000	343.0000	626.0000	575.0000	412.0000	550.0000	47.0000	203.0000	297.0000	881.0000	0.1980	0.0978	0.0914	0.0775	0.0746	0.0703	0.0671	0.0341	0.0234	0.0182	62	5	
17	488	0.1804748773574829	932	3.717343330383301	488.0000	582.0000	721.0000	544.0000	45.0000	583.0000	491.0000	575.0000	297.0000	522.0000	0.1805	0.0823	0.0801	0.0789	0.0778	0.0466	0.0443	0.0327	0.0220	0.0198	243	5	
18	626	0.3059428930282593	932	2.3598127365112305	626.0000	550.0000	449.0000	412.0000	343.0000	203.0000	72.0000	881.0000	574.0000	269.0000	0.3059	0.1551	0.1455	0.1321	0.1050	0.0264	0.0116	0.0064	0.0062	0.0058	234	6	
19	412	0.38380318880081177	932	2.1993050575256348	412.0000	626.0000	343.0000	449.0000	121.0000	550.0000	881.0000	583.0000	11.0000	573.0000	0.3838	0.2153	0.0893	0.0768	0.0737	0.0234	0.0200	0.0134	0.0128	0.0111	196	6	
20	491	0.3738834261894226	932	2.0986618995666504	491.0000	583.0000	375.0000	593.0000	721.0000	675.0000	575.0000	112.0000	544.0000	938.0000	0.3739	0.2814	0.0651	0.0526	0.0406	0.0394	0.0324	0.0120	0.0088	0.0084	170	6	
21	626	0.17465840280056	932	4.037412166595459	626.0000	412.0000	466.0000	449.0000	549.0000	550.0000	919.0000	343.0000	205.0000	574.0000	0.1747	0.0885	0.0743	0.0461	0.0387	0.0355	0.0278	0.0241	0.0216	0.0208	629	7	
22	412	0.5683509111404419	932	2.2411999702453613	412.0000	574.0000	449.0000	575.0000	550.0000	626.0000	466.0000	881.0000	343.0000	203.0000	0.5684	0.0751	0.0630	0.0472	0.0235	0.0228	0.0106	0.0102	0.0098	0.0089	428	7	
23	528	0.19677570462226868	932	3.6661949157714844	528.0000	844.0000	297.0000	582.0000	45.0000	112.0000	488.0000	653.0000	814.0000	217.0000	0.1968	0.1098	0.0531	0.0494	0.0456	0.0423	0.0369	0.0334	0.0310	0.0272	538	7	
24	872	0.23838993906974792	932	3.0133628845214844	872.0000	942.0000	628.0000	203.0000	626.0000	412.0000	449.0000	550.0000	343.0000	72.0000	0.2384	0.2033	0.0724	0.0709	0.0450	0.0404	0.0344	0.0268	0.0256	0.0157	377	8	
25	626	0.19851204752922058	932	3.2081542015075684	626.0000	574.0000	203.0000	550.0000	412.0000	575.0000	583.0000	449.0000	121.0000	916.0000	0.1985	0.1162	0.1093	0.0904	0.0821	0.0536	0.0280	0.0272	0.0173	0.0161	245	8	
26	552	0.27713796496391296	932	2.8002984523773193	552.0000	625.0000	297.0000	45.0000	583.0000	162.0000	112.0000	544.0000	575.0000	844.0000	0.2771	0.2337	0.0651	0.0485	0.0474	0.0458	0.0323	0.0257	0.0169	0.0168	172	8	
27	449	0.4686252772808075	932	2.139681339263916	449.0000	626.0000	942.0000	412.0000	297.0000	628.0000	550.0000	941.0000	0.0000	6.0000	0.4686	0.1148	0.1100	0.1026	0.0353	0.0216	0.0207	0.0132	0.0129	0.0108	314	9	
28	449	0.5734953284263611	932	1.8385826349258423	449.0000	626.0000	550.0000	412.0000	583.0000	570.0000	343.0000	466.0000	6.0000	104.0000	0.5735	0.1379	0.0689	0.0496	0.0345	0.0229	0.0162	0.0059	0.0056	0.0055	294	9	
29	583	0.4372231662273407	932	2.40771484375	583.0000	297.0000	598.0000	626.0000	491.0000	675.0000	172.0000	81.0000	122.0000	814.0000	0.4372	0.1472	0.0725	0.0541	0.0304	0.0289	0.0221	0.0196	0.0165	0.0160	120	9	
30	449	0.6830988526344299	932	1.5803990364074707	449.0000	343.0000	626.0000	550.0000	203.0000	865.0000	412.0000	205.0000	27.0000	628.0000	0.6831	0.0714	0.0574	0.0332	0.0291	0.0119	0.0113	0.0112	0.0105	0.0078	148	10	
