	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	16	0.3301355242729187	933	2.382549285888672	16.0000	67.0000	566.0000	170.0000	933.0000	258.0000	151.0000	480.0000	224.0000	50.0000	0.3301	0.1861	0.1244	0.0712	0.0526	0.0339	0.0330	0.0257	0.0183	0.0168	4	0	
1	566	0.46283742785453796	933	1.6787614822387695	566.0000	67.0000	16.0000	151.0000	933.0000	170.0000	258.0000	224.0000	820.0000	480.0000	0.4628	0.2544	0.1051	0.0647	0.0308	0.0117	0.0106	0.0098	0.0097	0.0068	4	0	
2	258	0.37451937794685364	933	2.1456990242004395	258.0000	50.0000	667.0000	67.0000	933.0000	224.0000	480.0000	332.0000	170.0000	123.0000	0.3745	0.2119	0.1218	0.0820	0.0234	0.0205	0.0194	0.0186	0.0157	0.0156	4	0	
3	67	0.8417141437530518	933	0.6240601539611816	67.0000	566.0000	933.0000	151.0000	16.0000	383.0000	480.0000	224.0000	820.0000	667.0000	0.8417	0.1003	0.0297	0.0136	0.0082	0.0028	0.0012	0.0005	0.0005	0.0002	2	0	
4	258	0.5340885519981384	933	1.874630331993103	258.0000	67.0000	322.0000	50.0000	151.0000	566.0000	933.0000	667.0000	224.0000	16.0000	0.5341	0.1707	0.0553	0.0451	0.0301	0.0234	0.0193	0.0141	0.0137	0.0110	6	0	
5	16	0.6732326745986938	933	0.942551851272583	16.0000	67.0000	480.0000	566.0000	933.0000	170.0000	667.0000	321.0000	224.0000	258.0000	0.6732	0.2666	0.0174	0.0119	0.0060	0.0055	0.0021	0.0021	0.0019	0.0016	4	0	
6	258	0.23022383451461792	933	2.6265902519226074	258.0000	50.0000	933.0000	67.0000	123.0000	566.0000	322.0000	667.0000	151.0000	332.0000	0.2302	0.1918	0.1128	0.1122	0.0424	0.0380	0.0331	0.0238	0.0230	0.0229	2	0	
7	67	0.7868025302886963	933	0.8029596209526062	67.0000	933.0000	258.0000	566.0000	332.0000	151.0000	383.0000	16.0000	480.0000	224.0000	0.7868	0.1423	0.0216	0.0131	0.0103	0.0096	0.0048	0.0037	0.0015	0.0014	1	0	
8	67	0.4642026126384735	933	1.5769668817520142	67.0000	16.0000	566.0000	170.0000	224.0000	933.0000	480.0000	258.0000	321.0000	864.0000	0.4642	0.3411	0.0596	0.0176	0.0173	0.0165	0.0102	0.0093	0.0092	0.0081	5	0	
9	67	0.7181881666183472	933	0.7822897434234619	67.0000	566.0000	151.0000	933.0000	383.0000	16.0000	480.0000	258.0000	224.0000	569.0000	0.7182	0.2382	0.0232	0.0107	0.0029	0.0029	0.0011	0.0005	0.0004	0.0003	3	0	
10	258	0.21607090532779694	933	3.0322418212890625	258.0000	566.0000	67.0000	170.0000	484.0000	151.0000	664.0000	480.0000	359.0000	50.0000	0.2161	0.0994	0.0814	0.0705	0.0598	0.0514	0.0477	0.0415	0.0330	0.0322	14	0	
11	67	0.9366217255592346	933	0.3471897840499878	67.0000	566.0000	933.0000	383.0000	16.0000	151.0000	569.0000	480.0000	258.0000	820.0000	0.9366	0.0237	0.0216	0.0053	0.0038	0.0025	0.0016	0.0009	0.0008	0.0006	2	0	
