	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	470	0.22684389352798462	941	3.3937501907348633	470.0000	834.0000	861.0000	282.0000	627.0000	11.0000	13.0000	824.0000	683.0000	941.0000	0.2268	0.1433	0.0708	0.0672	0.0514	0.0317	0.0281	0.0213	0.0208	0.0192	9	0	
1	627	0.1603594422340393	941	2.8782918453216553	627.0000	861.0000	20.0000	737.0000	412.0000	834.0000	299.0000	881.0000	941.0000	11.0000	0.1604	0.1230	0.0957	0.0829	0.0803	0.0774	0.0565	0.0543	0.0405	0.0352	8	0	
2	942	0.29631152749061584	941	4.144423484802246	942.0000	471.0000	789.0000	692.0000	546.0000	583.0000	874.0000	203.0000	96.0000	626.0000	0.2963	0.0354	0.0251	0.0218	0.0206	0.0187	0.0184	0.0174	0.0169	0.0154	49	1	
3	11	0.25987768173217773	941	2.7734460830688477	11.0000	737.0000	412.0000	720.0000	881.0000	627.0000	546.0000	37.0000	152.0000	470.0000	0.2599	0.1505	0.1426	0.1199	0.0566	0.0506	0.0186	0.0165	0.0129	0.0120	24	1	
4	834	0.2387317568063736	941	3.50020694732666	834.0000	499.0000	203.0000	37.0000	11.0000	541.0000	282.0000	144.0000	470.0000	347.0000	0.2387	0.1029	0.0836	0.0641	0.0609	0.0436	0.0342	0.0248	0.0226	0.0163	93	2	
5	737	0.40707775950431824	941	2.5416202545166016	737.0000	941.0000	627.0000	11.0000	720.0000	412.0000	299.0000	152.0000	942.0000	824.0000	0.4071	0.1194	0.1175	0.0448	0.0370	0.0293	0.0282	0.0197	0.0172	0.0166	1	2	
6	13	0.12640397250652313	941	4.250494003295898	13.0000	470.0000	627.0000	737.0000	282.0000	347.0000	941.0000	96.0000	471.0000	635.0000	0.1264	0.0621	0.0556	0.0453	0.0446	0.0364	0.0330	0.0319	0.0251	0.0230	6	3	
7	627	0.7482404112815857	941	1.5118741989135742	627.0000	941.0000	737.0000	881.0000	20.0000	412.0000	11.0000	347.0000	282.0000	720.0000	0.7482	0.0434	0.0254	0.0198	0.0140	0.0111	0.0100	0.0094	0.0091	0.0069	1	3	
8	282	0.13961045444011688	941	4.028959274291992	282.0000	470.0000	499.0000	941.0000	861.0000	347.0000	690.0000	13.0000	644.0000	810.0000	0.1396	0.1074	0.0925	0.0784	0.0650	0.0336	0.0270	0.0218	0.0143	0.0132	3	4	
9	720	0.4015210270881653	941	2.525155544281006	720.0000	881.0000	941.0000	737.0000	11.0000	627.0000	152.0000	942.0000	824.0000	299.0000	0.4015	0.1074	0.1067	0.0657	0.0429	0.0350	0.0287	0.0221	0.0212	0.0172	2	4	
10	627	0.1721648871898651	941	3.6909990310668945	627.0000	282.0000	347.0000	11.0000	685.0000	412.0000	789.0000	60.0000	541.0000	635.0000	0.1722	0.1600	0.0897	0.0495	0.0423	0.0313	0.0301	0.0297	0.0244	0.0193	29	5	
11	627	0.9853127598762512	941	0.10725477337837219	627.0000	737.0000	720.0000	941.0000	299.0000	881.0000	11.0000	412.0000	789.0000	419.0000	0.9853	0.0058	0.0045	0.0005	0.0004	0.0004	0.0004	0.0003	0.0003	0.0003	3	5	
12	941	0.13306064903736115	941	4.0626349449157715	941.0000	282.0000	470.0000	235.0000	471.0000	687.0000	685.0000	375.0000	861.0000	627.0000	0.1331	0.1102	0.0729	0.0299	0.0296	0.0279	0.0277	0.0275	0.0251	0.0245	0	6	
13	627	0.5865327715873718	941	2.3148860931396484	627.0000	720.0000	470.0000	941.0000	737.0000	881.0000	412.0000	299.0000	11.0000	861.0000	0.5865	0.0636	0.0336	0.0324	0.0319	0.0309	0.0182	0.0105	0.0100	0.0088	3	6	
14	203	0.13340948522090912	941	3.6863088607788086	203.0000	412.0000	282.0000	122.0000	471.0000	375.0000	347.0000	861.0000	499.0000	690.0000	0.1334	0.1098	0.0982	0.0873	0.0827	0.0398	0.0382	0.0280	0.0255	0.0251	13	7	
15	412	0.2339920699596405	941	3.0356125831604004	412.0000	720.0000	881.0000	941.0000	11.0000	152.0000	682.0000	737.0000	299.0000	627.0000	0.2340	0.1341	0.0987	0.0866	0.0634	0.0519	0.0467	0.0380	0.0225	0.0199	3	7	
16	347	0.35567453503608704	941	2.5931947231292725	347.0000	13.0000	203.0000	499.0000	471.0000	470.0000	346.0000	679.0000	282.0000	449.0000	0.3557	0.2746	0.0846	0.0174	0.0170	0.0140	0.0126	0.0111	0.0100	0.0099	66	8	
17	941	0.45616480708122253	941	1.7050694227218628	941.0000	737.0000	720.0000	627.0000	824.0000	13.0000	412.0000	110.0000	644.0000	942.0000	0.4562	0.3430	0.0370	0.0200	0.0157	0.0153	0.0113	0.0098	0.0085	0.0079	0	8	
18	375	0.3856644630432129	941	2.3521604537963867	375.0000	499.0000	471.0000	909.0000	122.0000	203.0000	899.0000	932.0000	470.0000	133.0000	0.3857	0.1557	0.1048	0.0999	0.0452	0.0204	0.0188	0.0185	0.0155	0.0140	72	9	
19	737	0.4197550415992737	941	2.3115618228912354	737.0000	627.0000	720.0000	881.0000	231.0000	824.0000	941.0000	684.0000	20.0000	13.0000	0.4198	0.2013	0.0762	0.0647	0.0199	0.0188	0.0169	0.0147	0.0134	0.0127	6	9	
