	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	909	0.12581957876682281	948	4.616733551025391	909.0000	899.0000	884.0000	483.0000	924.0000	96.0000	441.0000	521.0000	347.0000	133.0000	0.1258	0.0960	0.0715	0.0413	0.0396	0.0362	0.0217	0.0185	0.0169	0.0166	107	0	
1	483	0.07923804968595505	948	4.808077812194824	483.0000	252.0000	96.0000	346.0000	692.0000	509.0000	787.0000	282.0000	49.0000	74.0000	0.0792	0.0671	0.0635	0.0524	0.0434	0.0355	0.0249	0.0233	0.0185	0.0156	43	0	
2	909	0.25237107276916504	948	2.7501940727233887	909.0000	96.0000	441.0000	282.0000	346.0000	133.0000	38.0000	854.0000	567.0000	924.0000	0.2524	0.2191	0.1436	0.0606	0.0511	0.0339	0.0236	0.0230	0.0154	0.0134	132	0	
3	98	0.4107712507247925	948	3.008117198944092	98.0000	832.0000	692.0000	899.0000	840.0000	884.0000	541.0000	395.0000	909.0000	646.0000	0.4108	0.1091	0.0439	0.0423	0.0312	0.0272	0.0227	0.0166	0.0160	0.0156	37	0	
4	909	0.20882250368595123	948	3.5346438884735107	909.0000	96.0000	483.0000	899.0000	421.0000	924.0000	470.0000	358.0000	541.0000	114.0000	0.2088	0.2011	0.0975	0.0570	0.0302	0.0253	0.0238	0.0171	0.0145	0.0140	77	0	
5	854	0.10487239807844162	948	4.91917610168457	854.0000	282.0000	483.0000	96.0000	945.0000	598.0000	346.0000	191.0000	353.0000	924.0000	0.1049	0.0824	0.0533	0.0362	0.0254	0.0227	0.0197	0.0194	0.0173	0.0162	120	0	
6	96	0.29958656430244446	948	3.193007469177246	96.0000	282.0000	909.0000	346.0000	49.0000	924.0000	385.0000	832.0000	71.0000	38.0000	0.2996	0.1355	0.0785	0.0707	0.0528	0.0348	0.0259	0.0244	0.0190	0.0187	170	0	
7	884	0.12009626626968384	948	4.690737724304199	884.0000	521.0000	584.0000	644.0000	646.0000	395.0000	670.0000	525.0000	483.0000	674.0000	0.1201	0.0957	0.0782	0.0327	0.0293	0.0262	0.0241	0.0207	0.0181	0.0137	102	0	
8	884	0.062051791697740555	948	4.9124250411987305	884.0000	541.0000	840.0000	483.0000	670.0000	924.0000	348.0000	232.0000	98.0000	646.0000	0.0621	0.0556	0.0534	0.0445	0.0312	0.0256	0.0219	0.0215	0.0212	0.0204	28	0	
9	96	0.19032229483127594	948	3.721599578857422	96.0000	346.0000	483.0000	49.0000	787.0000	924.0000	71.0000	282.0000	259.0000	509.0000	0.1903	0.1549	0.1157	0.0735	0.0382	0.0271	0.0243	0.0176	0.0152	0.0149	109	0	
10	546	0.41540470719337463	948	3.385317325592041	546.0000	942.0000	525.0000	534.0000	531.0000	780.0000	301.0000	635.0000	644.0000	584.0000	0.4154	0.0750	0.0476	0.0363	0.0277	0.0196	0.0133	0.0092	0.0090	0.0088	152	1	
11	98	0.928178071975708	948	0.35025233030319214	98.0000	690.0000	948.0000	772.0000	692.0000	541.0000	249.0000	603.0000	331.0000	840.0000	0.9282	0.0438	0.0163	0.0043	0.0025	0.0016	0.0008	0.0005	0.0004	0.0004	2	1	
12	584	0.09989536553621292	948	4.973893642425537	584.0000	421.0000	884.0000	942.0000	692.0000	395.0000	191.0000	780.0000	861.0000	710.0000	0.0999	0.0392	0.0333	0.0296	0.0280	0.0266	0.0213	0.0185	0.0184	0.0181	53	1	
13	98	0.9899420738220215	948	0.0862477719783783	98.0000	690.0000	541.0000	692.0000	948.0000	672.0000	467.0000	395.0000	584.0000	252.0000	0.9899	0.0020	0.0017	0.0016	0.0013	0.0004	0.0003	0.0002	0.0002	0.0002	4	1	
14	395	0.1329641491174698	948	4.383435249328613	395.0000	541.0000	98.0000	899.0000	909.0000	54.0000	358.0000	840.0000	716.0000	421.0000	0.1330	0.1204	0.0601	0.0478	0.0346	0.0309	0.0267	0.0219	0.0210	0.0169	41	1	
15	353	0.18791577219963074	948	4.640829563140869	353.0000	710.0000	282.0000	690.0000	98.0000	347.0000	874.0000	527.0000	638.0000	854.0000	0.1879	0.0566	0.0433	0.0315	0.0260	0.0251	0.0188	0.0158	0.0134	0.0133	35	1	
16	98	0.4923679828643799	948	1.813597559928894	98.0000	395.0000	899.0000	584.0000	467.0000	513.0000	909.0000	692.0000	690.0000	679.0000	0.4924	0.2156	0.0988	0.0369	0.0296	0.0230	0.0141	0.0125	0.0102	0.0097	29	1	
17	546	0.1885673999786377	948	4.048168182373047	546.0000	942.0000	531.0000	584.0000	521.0000	811.0000	780.0000	395.0000	900.0000	377.0000	0.1886	0.0875	0.0799	0.0748	0.0413	0.0250	0.0232	0.0228	0.0171	0.0146	118	1	
18	98	0.41573819518089294	948	2.047503709793091	98.0000	772.0000	541.0000	948.0000	690.0000	840.0000	395.0000	603.0000	68.0000	249.0000	0.4157	0.2340	0.0866	0.0663	0.0429	0.0351	0.0308	0.0106	0.0068	0.0065	3	1	
19	584	0.08898282796144485	948	4.3598127365112305	584.0000	395.0000	68.0000	645.0000	646.0000	98.0000	235.0000	840.0000	467.0000	948.0000	0.0890	0.0616	0.0612	0.0593	0.0493	0.0470	0.0384	0.0315	0.0255	0.0246	9	1	
